Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Little Rock,South Alabama,1,0,0,0,1,Will Neighbour made Free Throw.
Little Rock,South Alabama,2,0,0,0,1,Will Neighbour made Free Throw.
Little Rock,South Alabama,2,0,0,24,0,Augustine Rubit Turnover.
Little Rock,South Alabama,2,0,0,25,0,Gus Leeper Steal.
Little Rock,South Alabama,2,0,0,37,0,Will Neighbour missed Jumper.
Little Rock,South Alabama,2,0,0,37,0,Augustine Rubit Defensive Rebound.
Little Rock,South Alabama,2,0,0,52,0,Antoine Allen missed Three Point Jumper.
Little Rock,South Alabama,2,0,0,52,0,Will Neighbour Defensive Rebound.
Little Rock,South Alabama,2,0,1,10,0,Gus Leeper missed Layup.
Little Rock,South Alabama,2,0,1,10,0,Ken Williams Defensive Rebound.
Little Rock,South Alabama,2,0,1,19,0,Antoine Allen Turnover.
Little Rock,South Alabama,4,0,1,29,1,Will Neighbour made Jumper. Assisted by Leroy Isler.
Little Rock,South Alabama,4,0,2,5,0,Aakim Saintil Turnover.
Little Rock,South Alabama,4,0,2,5,0,Ben Dillard Steal.
Little Rock,South Alabama,4,0,2,5,0,Foul on Aakim Saintil.
Little Rock,South Alabama,4,0,2,5,0,South Alabama  Timeout
Little Rock,South Alabama,4,0,2,29,0,Gus Leeper Turnover.
Little Rock,South Alabama,4,2,2,46,1,Augustine Rubit made Jumper. Assisted by Barrington Stevens III.
Little Rock,South Alabama,4,2,3,1,0,Leroy Isler Turnover.
Little Rock,South Alabama,4,4,3,5,1,Aakim Saintil made Layup.
Little Rock,South Alabama,4,4,3,18,0,DeVonte Smith missed Three Point Jumper.
Little Rock,South Alabama,4,4,3,18,0,Will Neighbour Offensive Rebound.
Little Rock,South Alabama,7,4,3,33,1,Will Neighbour made Three Point Jumper. Assisted by DeVonte Smith.
Little Rock,South Alabama,7,4,4,3,0,Mychal Ammons Turnover.
Little Rock,South Alabama,7,4,4,5,0,Gus Leeper Steal.
Little Rock,South Alabama,7,4,4,18,0,Ben Dillard missed Three Point Jumper.
Little Rock,South Alabama,7,4,4,18,0,Gus Leeper Offensive Rebound.
Little Rock,South Alabama,7,4,4,23,0,Gus Leeper Turnover.
Little Rock,South Alabama,7,4,4,23,0,Foul on Gus Leeper.
Little Rock,South Alabama,7,4,4,23,0,Official TV Timeout
Little Rock,South Alabama,7,4,4,48,0,Ken Williams missed Three Point Jumper.
Little Rock,South Alabama,7,4,4,48,0,Arkansas-Little Rock Defensive Rebound.
Little Rock,South Alabama,7,4,5,9,0,DeVonte Smith Turnover.
Little Rock,South Alabama,7,4,5,10,0,Mychal Ammons Steal.
Little Rock,South Alabama,7,4,5,15,0,Mychal Ammons missed Layup.
Little Rock,South Alabama,7,4,5,15,0,Augustine Rubit Offensive Rebound.
Little Rock,South Alabama,7,6,5,19,1,Augustine Rubit made Layup.
Little Rock,South Alabama,7,6,5,19,0,Foul on Gus Leeper.
Little Rock,South Alabama,7,6,5,19,0,Augustine Rubit missed Free Throw.
