Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Little Rock,Tulsa,0,3,0,31,1,James Woodard made Three Point Jumper. Assisted by Shaquille Harrison.
Little Rock,Tulsa,0,3,0,57,0,Will Neighbour missed Three Point Jumper.
Little Rock,Tulsa,0,3,0,57,0,Tim Peete Defensive Rebound.
Little Rock,Tulsa,0,3,1,12,0,James Woodard missed Three Point Jumper.
Little Rock,Tulsa,0,3,1,12,0,James White Defensive Rebound.
Little Rock,Tulsa,2,3,1,23,1,James White made Jumper.
Little Rock,Tulsa,2,3,1,46,0,Lew Evans missed Jumper.
Little Rock,Tulsa,2,3,1,46,0,Will Neighbour Block.
Little Rock,Tulsa,2,3,1,47,0,Will Neighbour Defensive Rebound.
Little Rock,Tulsa,2,3,1,55,0,James White Turnover.
Little Rock,Tulsa,2,3,1,56,0,Shaquille Harrison Steal.
Little Rock,Tulsa,2,3,2,0,0,James Woodard Turnover.
Little Rock,Tulsa,2,3,2,17,0,James White Turnover.
Little Rock,Tulsa,2,3,2,17,0,Tim Peete Steal.
Little Rock,Tulsa,2,3,2,29,0,James Woodard missed Jumper.
Little Rock,Tulsa,2,3,2,29,0,James White Defensive Rebound.
Little Rock,Tulsa,2,3,2,39,0,Leroy Isler missed Three Point Jumper.
Little Rock,Tulsa,2,3,2,39,0,Lew Evans Defensive Rebound.
Little Rock,Tulsa,2,3,2,46,0,Foul on James White.
Little Rock,Tulsa,2,6,2,59,1,Tim Peete made Three Point Jumper. Assisted by Shaquille Harrison.
Little Rock,Tulsa,5,6,3,16,1,Will Neighbour made Three Point Jumper. Assisted by Josh Hagins.
Little Rock,Tulsa,5,6,3,45,0,Shaquille Harrison missed Jumper.
Little Rock,Tulsa,5,6,3,45,0,Josh Hagins Defensive Rebound.
Little Rock,Tulsa,5,6,3,55,0,DeVonte Smith missed Layup.
Little Rock,Tulsa,5,6,3,55,0,Shaquille Harrison Defensive Rebound.
Little Rock,Tulsa,5,8,4,1,1,Shaquille Harrison made Layup.
Little Rock,Tulsa,8,8,4,28,1,Josh Hagins made Three Point Jumper. Assisted by Will Neighbour.
Little Rock,Tulsa,8,10,4,47,1,James Woodard made Jumper. Assisted by Shaquille Harrison.
Little Rock,Tulsa,8,10,5,8,0,Josh Hagins missed Three Point Jumper.
Little Rock,Tulsa,8,10,5,8,0,Arkansas-Little Rock Offensive Rebound.
Little Rock,Tulsa,8,10,5,9,0,Foul on Rashad Smith.
Little Rock,Tulsa,8,10,5,9,0,Official TV Timeout
Little Rock,Tulsa,10,10,5,30,1,Will Neighbour made Jumper.
Little Rock,Tulsa,10,10,5,47,0,D'Andre Wright Turnover.
Little Rock,Tulsa,10,10,5,47,0,Foul on D'Andre Wright.
Little Rock,Tulsa,12,10,5,58,1,Leroy Isler made Jumper. Assisted by Josh Hagins.
Little Rock,Tulsa,12,10,6,16,0,Rashad Smith missed Layup.
Little Rock,Tulsa,12,10,6,16,0,Josh Hagins Defensive Rebound.
Little Rock,Tulsa,15,10,6,44,1,Leroy Isler made Three Point Jumper.
Little Rock,Tulsa,15,10,7,8,0,Foul on Leroy Isler.
Little Rock,Tulsa,15,11,7,8,1,Rashad Smith made Free Throw.
Little Rock,Tulsa,15,11,7,8,0,Rashad Smith missed Free Throw.
Little Rock,Tulsa,15,11,7,8,0,Will Neighbour Defensive Rebound.
Little Rock,Tulsa,17,11,7,24,1,Will Neighbour made Layup.
Little Rock,Tulsa,17,11,7,47,0,Rashad Smith missed Jumper.
Little Rock,Tulsa,17,11,7,47,0,Josh Hagins Defensive Rebound.
Little Rock,Tulsa,17,11,7,54,0,Foul on Marquel Curtis.
Little Rock,Tulsa,18,11,7,54,1,Leroy Isler made Free Throw.
Little Rock,Tulsa,19,11,7,54,1,Leroy Isler made Free Throw.
Little Rock,Tulsa,19,11,8,14,0,Marquel Curtis Turnover.
Little Rock,Tulsa,19,11,8,15,0,Kemy Osse Steal.
Little Rock,Tulsa,19,11,8,28,0,Gus Leeper missed Jumper.
Little Rock,Tulsa,19,11,8,28,0,Rashad Ray Defensive Rebound.
Little Rock,Tulsa,19,11,8,33,0,Foul on Kemy Osse.
Little Rock,Tulsa,19,11,8,33,0,Official TV Timeout
Little Rock,Tulsa,19,12,8,33,1,D'Andre Wright made Free Throw.
Little Rock,Tulsa,19,13,8,33,1,D'Andre Wright made Free Throw.
Little Rock,Tulsa,19,13,8,56,0,Will Neighbour missed Jumper.
Little Rock,Tulsa,19,13,8,56,0,D'Andre Wright Defensive Rebound.
Little Rock,Tulsa,19,13,9,11,0,Foul on Gus Leeper.
Little Rock,Tulsa,19,13,9,11,0,D'Andre Wright missed Free Throw.
Little Rock,Tulsa,19,13,9,11,0,Tulsa Deadball Team Rebound.
Little Rock,Tulsa,19,14,9,11,1,D'Andre Wright made Free Throw.
Little Rock,Tulsa,19,14,9,40,0,James White missed Jumper.
Little Rock,Tulsa,19,14,9,40,0,Lew Evans Defensive Rebound.
Little Rock,Tulsa,19,14,9,42,0,Foul on Gus Leeper.
Little Rock,Tulsa,19,17,9,58,1,James Woodard made Three Point Jumper. Assisted by Rashad Ray.
Little Rock,Tulsa,19,17,10,16,0,James White missed Jumper.
Little Rock,Tulsa,19,17,10,16,0,Shaquille Harrison Defensive Rebound.
Little Rock,Tulsa,19,17,10,32,0,Lew Evans missed Three Point Jumper.
Little Rock,Tulsa,19,17,10,32,0,Ben Dillard Defensive Rebound.
Little Rock,Tulsa,19,17,10,35,0,Foul on James Woodard.
Little Rock,Tulsa,19,17,10,54,0,James White Turnover.
Little Rock,Tulsa,19,17,10,54,0,James Woodard Steal.
Little Rock,Tulsa,19,17,10,54,0,Foul on DeVonte Smith.
Little Rock,Tulsa,19,17,11,17,0,James Woodard missed Three Point Jumper.
Little Rock,Tulsa,19,17,11,17,0,Rashad Smith Offensive Rebound.
Little Rock,Tulsa,19,17,11,20,0,Rashad Smith missed Layup.
Little Rock,Tulsa,19,17,11,20,0,Kemy Osse Defensive Rebound.
Little Rock,Tulsa,19,17,11,49,0,Foul on James White.
Little Rock,Tulsa,19,17,11,49,0,James White Turnover.
