Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Louisville,Rutgers,0,0,0,0,0,Jump Ball won by Rutgers
Louisville,Rutgers,0,0,0,22,0,Kadeem Jack missed Jumper.
Louisville,Rutgers,0,0,0,22,0,Mangok Mathiang Block.
Louisville,Rutgers,0,0,0,22,0,Montrezl Harrell Defensive Rebound.
Louisville,Rutgers,0,0,0,50,0,Russ Smith Turnover.
Louisville,Rutgers,0,0,0,50,0,J.J. Moore Steal.
Louisville,Rutgers,0,3,0,57,1,J.J. Moore made Three Point Jumper. Assisted by Myles Mack.
Louisville,Rutgers,0,3,1,19,0,Chris Jones missed Jumper.
Louisville,Rutgers,0,3,1,19,0,Kadeem Jack Defensive Rebound.
Louisville,Rutgers,0,3,1,26,0,Myles Mack missed Three Point Jumper.
Louisville,Rutgers,0,3,1,26,0,Montrezl Harrell Defensive Rebound.
Louisville,Rutgers,0,3,1,36,0,Russ Smith missed Jumper.
Louisville,Rutgers,0,3,1,36,0,Montrezl Harrell Offensive Rebound.
Louisville,Rutgers,0,3,1,36,0,Mangok Mathiang missed Jumper.
Louisville,Rutgers,0,3,1,36,0,Montrezl Harrell Offensive Rebound.
Louisville,Rutgers,0,3,1,44,0,Mangok Mathiang missed Jumper.
Louisville,Rutgers,0,3,1,44,0,Mangok Mathiang Offensive Rebound.
Louisville,Rutgers,0,3,1,48,0,Mangok Mathiang missed Jumper.
Louisville,Rutgers,0,3,1,48,0,Rutgers Defensive Rebound.
Louisville,Rutgers,0,5,2,12,1,Myles Mack made Jumper. Assisted by Wally Judge.
Louisville,Rutgers,0,5,2,29,0,Foul on J.J. Moore.
Louisville,Rutgers,0,5,2,33,0,Russ Smith missed Jumper.
Louisville,Rutgers,0,5,2,33,0,Wally Judge Defensive Rebound.
Louisville,Rutgers,0,5,2,56,0,Foul on Mangok Mathiang.
Louisville,Rutgers,0,5,3,15,0,Kadeem Jack missed Jumper.
Louisville,Rutgers,0,5,3,15,0,Rutgers Offensive Rebound.
Louisville,Rutgers,0,7,3,20,1,Myles Mack made Jumper.
Louisville,Rutgers,2,7,3,44,1,Russ Smith made Layup.
Louisville,Rutgers,2,7,4,2,0,Official TV Timeout
Louisville,Rutgers,2,7,4,11,0,Kadeem Jack missed Jumper.
Louisville,Rutgers,2,7,4,11,0,Wayne Blackshear Defensive Rebound.
Louisville,Rutgers,2,7,4,35,0,Russ Smith missed Jumper.
Louisville,Rutgers,2,7,4,35,0,J.J. Moore Block.
Louisville,Rutgers,2,7,4,35,0,J.J. Moore Defensive Rebound.
Louisville,Rutgers,2,9,4,44,1,Wally Judge made Dunk. Assisted by Myles Mack.
Louisville,Rutgers,2,9,5,9,0,Terry Rozier missed Three Point Jumper.
Louisville,Rutgers,2,9,5,9,0,Junior Etou Defensive Rebound.
Louisville,Rutgers,2,9,5,24,0,Myles Mack missed Three Point Jumper.
Louisville,Rutgers,2,9,5,24,0,Montrezl Harrell Defensive Rebound.
Louisville,Rutgers,2,9,5,36,0,Russ Smith missed Three Point Jumper.
Louisville,Rutgers,2,9,5,36,0,Wayne Blackshear Offensive Rebound.
Louisville,Rutgers,2,9,5,36,0,Wayne Blackshear missed Jumper.
Louisville,Rutgers,2,9,5,36,0,Wally Judge Block.
Louisville,Rutgers,2,9,5,36,0,Montrezl Harrell Offensive Rebound.
Louisville,Rutgers,4,9,5,44,1,Montrezl Harrell made Layup.
Louisville,Rutgers,4,12,6,9,1,J.J. Moore made Three Point Jumper. Assisted by Myles Mack.
Louisville,Rutgers,4,12,6,17,0,Louisville  Timeout
Louisville,Rutgers,4,12,6,26,0,Foul on Wally Judge.
Louisville,Rutgers,5,12,6,26,1,Luke Hancock made Free Throw.
Louisville,Rutgers,6,12,6,26,1,Luke Hancock made Free Throw.
Louisville,Rutgers,6,12,6,46,0,D'Von Campbell missed Three Point Jumper.
Louisville,Rutgers,6,12,6,46,0,Terry Rozier Defensive Rebound.
Louisville,Rutgers,6,12,6,57,0,Luke Hancock missed Three Point Jumper.
Louisville,Rutgers,6,12,6,57,0,Junior Etou Defensive Rebound.
Louisville,Rutgers,6,12,7,10,0,J.J. Moore missed Jumper.
Louisville,Rutgers,6,12,7,10,0,Stephan Van Treese Defensive Rebound.
Louisville,Rutgers,6,12,7,20,0,Terry Rozier Turnover.
Louisville,Rutgers,6,12,7,20,0,Craig Brown Turnover.
Louisville,Rutgers,8,12,7,44,1,Montrezl Harrell made Layup. Assisted by Luke Hancock.
Louisville,Rutgers,8,12,7,58,0,Craig Brown Turnover.
Louisville,Rutgers,8,12,7,58,0,Stephan Van Treese Steal.
Louisville,Rutgers,10,12,8,0,1,Terry Rozier made Layup.
Louisville,Rutgers,10,12,8,0,0,Rutgers  Timeout
Louisville,Rutgers,10,12,8,6,0,Official TV Timeout
Louisville,Rutgers,10,12,8,26,0,D'Von Campbell Turnover.
Louisville,Rutgers,10,12,8,26,0,Chris Jones Steal.
Louisville,Rutgers,10,12,8,38,0,Montrezl Harrell missed Jumper.
Louisville,Rutgers,10,12,8,38,0,Wally Judge Defensive Rebound.
Louisville,Rutgers,10,12,9,2,0,Foul on Montrezl Harrell.
Louisville,Rutgers,10,15,9,10,1,Craig Brown made Three Point Jumper. Assisted by Junior Etou.
Louisville,Rutgers,10,15,9,36,0,Foul on D'Von Campbell.
Louisville,Rutgers,10,15,9,38,0,Russ Smith Turnover.
Louisville,Rutgers,10,15,9,56,0,Myles Mack Turnover.
