Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Stillman,McNeese,0,0,0,14,0,Craig McFerrin missed Layup.
Stillman,McNeese,0,0,0,14,0,Kevin Hardy Offensive Rebound.
Stillman,McNeese,0,0,0,19,0,Foul on Jeff Wherry.
Stillman,McNeese,0,0,0,36,0,Adrian Fields missed Layup.
Stillman,McNeese,0,0,0,36,0,Markeith Madison Defensive Rebound.
Stillman,McNeese,0,0,0,57,0,Markeith Madison missed Three Point Jumper.
Stillman,McNeese,0,0,0,57,0,Stanley Magee Offensive Rebound.
Stillman,McNeese,0,0,1,10,0,Daniel Bryant missed Three Point Jumper.
Stillman,McNeese,0,0,1,10,0,Douglas Anderson Offensive Rebound.
Stillman,McNeese,3,0,1,15,1,Stanley Magee made Three Point Jumper.
Stillman,McNeese,3,0,1,27,0,Foul on Daniel Bryant.
Stillman,McNeese,3,0,1,30,0,Ledrick Eackles Turnover.
Stillman,McNeese,5,0,1,46,1,Markeith Madison made Jumper.
Stillman,McNeese,5,0,2,0,0,Craig McFerrin Turnover.
Stillman,McNeese,5,0,2,15,0,Markeith Madison missed Jumper.
Stillman,McNeese,5,0,2,15,0,Ledrick Eackles Defensive Rebound.
Stillman,McNeese,5,2,2,20,1,Craig McFerrin made Layup. Assisted by Ledrick Eackles.
Stillman,McNeese,8,2,2,41,1,Daniel Bryant made Three Point Jumper. Assisted by Markeith Madison.
Stillman,McNeese,8,2,3,1,0,Ledrick Eackles Turnover.
Stillman,McNeese,8,2,3,3,0,Stanley Magee Steal.
Stillman,McNeese,8,2,3,8,0,Jeff Wherry missed Layup.
Stillman,McNeese,8,2,3,8,0,Austin Lewis Block.
Stillman,McNeese,8,2,3,9,0,Stillman Offensive Rebound.
Stillman,McNeese,8,2,3,30,0,Daniel Bryant missed Three Point Jumper.
Stillman,McNeese,8,2,3,30,0,Ledrick Eackles Defensive Rebound.
Stillman,McNeese,8,4,3,45,1,Craig McFerrin made Jumper.
Stillman,McNeese,8,4,3,53,0,Stanley Magee missed Three Point Jumper.
Stillman,McNeese,8,4,3,53,0,Adrian Fields Defensive Rebound.
Stillman,McNeese,8,4,4,5,0,Austin Lewis missed Jumper.
Stillman,McNeese,8,4,4,5,0,Markeith Madison Defensive Rebound.
Stillman,McNeese,8,4,4,14,0,Markeith Madison missed Layup.
Stillman,McNeese,8,4,4,14,0,Ledrick Eackles Defensive Rebound.
Stillman,McNeese,8,4,4,24,0,Adrian Fields Turnover.
Stillman,McNeese,8,4,4,24,0,Official TV Timeout
Stillman,McNeese,8,4,4,38,0,Markeith Madison missed Layup.
Stillman,McNeese,8,4,4,38,0,Kevin Hardy Defensive Rebound.
Stillman,McNeese,8,4,4,46,0,Kevin Hardy Turnover.
Stillman,McNeese,11,4,4,52,1,Jeff Wherry made Three Point Jumper. Assisted by Daniel Bryant.
Stillman,McNeese,11,4,5,25,0,Adrian Fields missed Jumper.
Stillman,McNeese,11,4,5,25,0,Stanley Magee Defensive Rebound.
Stillman,McNeese,11,4,5,31,0,Daniel Bryant missed Three Point Jumper.
Stillman,McNeese,11,4,5,31,0,Craig McFerrin Defensive Rebound.
Stillman,McNeese,11,6,5,47,1,Ledrick Eackles made Layup.
Stillman,McNeese,11,6,6,2,0,Daniel Bryant missed Three Point Jumper.
Stillman,McNeese,11,6,6,2,0,Craig McFerrin Defensive Rebound.
Stillman,McNeese,11,8,6,13,1,Craig McFerrin made Layup. Assisted by Ledrick Eackles.
Stillman,McNeese,14,8,6,33,1,Stanley Magee made Three Point Jumper. Assisted by Douglas Anderson.
Stillman,McNeese,14,8,6,46,0,Kevin Hardy missed Three Point Jumper.
Stillman,McNeese,14,8,6,46,0,Markeith Madison Defensive Rebound.
Stillman,McNeese,16,8,6,56,1,Daniel Bryant made Jumper. Assisted by Stanley Magee.
Stillman,McNeese,16,8,6,58,0,McNeese St  Timeout
Stillman,McNeese,16,8,7,3,0,Ledrick Eackles missed Jumper.
Stillman,McNeese,16,8,7,3,0,Craig McFerrin Offensive Rebound.
Stillman,McNeese,16,10,7,5,1,Craig McFerrin made Layup.
Stillman,McNeese,16,10,7,21,0,Jeff Wherry missed Three Point Jumper.
Stillman,McNeese,16,10,7,21,0,McNeese St Defensive Rebound.
Stillman,McNeese,16,10,7,42,0,Kevin Hardy Turnover.
Stillman,McNeese,16,10,7,43,0,Jeff Wherry Steal.
Stillman,McNeese,16,10,7,46,0,Daniel Bryant missed Three Point Jumper.
Stillman,McNeese,16,10,7,46,0,Stanley Magee Offensive Rebound.
Stillman,McNeese,19,10,7,52,1,Markeith Madison made Three Point Jumper. Assisted by Stanley Magee.
