Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Michigan,Duke,0,0,0,0,0,Jump Ball won by Duke
Michigan,Duke,0,0,0,28,0,Rodney Hood missed Jumper.
Michigan,Duke,0,0,0,28,0,Tyler Thornton Offensive Rebound.
Michigan,Duke,0,2,0,45,1,Jabari Parker made Jumper. Assisted by Quinn Cook.
Michigan,Duke,0,2,1,2,0,Mitch McGary missed Jumper.
Michigan,Duke,0,2,1,2,0,Jabari Parker Defensive Rebound.
Michigan,Duke,0,2,1,20,0,Rodney Hood missed Jumper.
Michigan,Duke,0,2,1,20,0,Glenn Robinson III Defensive Rebound.
Michigan,Duke,0,2,1,51,0,Glenn Robinson III missed Jumper.
Michigan,Duke,0,2,1,51,0,Mitch McGary Offensive Rebound.
Michigan,Duke,0,2,1,55,0,Derrick Walton Jr. missed Three Point Jumper.
Michigan,Duke,0,2,1,55,0,Rodney Hood Defensive Rebound.
Michigan,Duke,0,5,2,4,1,Rodney Hood made Three Point Jumper.
Michigan,Duke,0,5,2,25,0,Mitch McGary missed Jumper.
Michigan,Duke,0,5,2,25,0,Rodney Hood Defensive Rebound.
Michigan,Duke,0,5,2,46,0,Quinn Cook Turnover.
Michigan,Duke,2,5,2,50,1,Derrick Walton Jr. made Layup.
Michigan,Duke,2,8,3,32,1,Tyler Thornton made Three Point Jumper. Assisted by Josh Hairston.
Michigan,Duke,2,8,4,2,0,Foul on Josh Hairston.
Michigan,Duke,2,8,4,2,0,Official TV Timeout
Michigan,Duke,4,8,4,23,1,Glenn Robinson III made Layup. Assisted by Mitch McGary.
Michigan,Duke,4,8,4,44,0,Quinn Cook missed Three Point Jumper.
Michigan,Duke,4,8,4,44,0,Josh Hairston Offensive Rebound.
Michigan,Duke,4,8,4,51,0,Josh Hairston missed Jumper.
Michigan,Duke,4,8,4,51,0,Mitch McGary Defensive Rebound.
Michigan,Duke,4,8,5,4,0,Foul on Josh Hairston.
Michigan,Duke,5,8,5,4,1,Mitch McGary made Free Throw.
Michigan,Duke,5,8,5,4,0,Mitch McGary missed Free Throw.
Michigan,Duke,5,8,5,4,0,Jabari Parker Defensive Rebound.
Michigan,Duke,5,8,5,18,0,Jabari Parker missed Jumper.
Michigan,Duke,5,8,5,18,0,Matt Jones Offensive Rebound.
Michigan,Duke,5,8,5,21,0,Matt Jones Turnover.
Michigan,Duke,5,8,5,35,0,Caris LeVert missed Layup.
Michigan,Duke,5,8,5,35,0,Rodney Hood Defensive Rebound.
Michigan,Duke,5,8,6,4,0,Foul on Marshall Plumlee.
Michigan,Duke,5,8,6,6,0,Quinn Cook missed Three Point Jumper.
Michigan,Duke,5,8,6,6,0,Derrick Walton Jr. Defensive Rebound.
Michigan,Duke,5,8,6,26,0,Derrick Walton Jr. missed Jumper.
Michigan,Duke,5,8,6,26,0,Marshall Plumlee Defensive Rebound.
Michigan,Duke,5,8,6,42,0,Jabari Parker missed Three Point Jumper.
Michigan,Duke,5,8,6,42,0,Marshall Plumlee Offensive Rebound.
Michigan,Duke,5,8,6,56,0,Foul on Jordan Morgan.
Michigan,Duke,5,9,6,56,1,Matt Jones made Free Throw.
Michigan,Duke,5,10,6,56,1,Matt Jones made Free Throw.
Michigan,Duke,5,10,7,14,0,Nik Stauskas missed Layup.
Michigan,Duke,5,10,7,14,0,Amile Jefferson Defensive Rebound.
Michigan,Duke,5,10,7,30,0,Rodney Hood Turnover.
Michigan,Duke,5,10,7,40,0,Foul on Rodney Hood.
Michigan,Duke,5,10,7,45,0,Foul on Matt Jones.
Michigan,Duke,5,10,7,51,0,Spike Albrecht missed Jumper.
Michigan,Duke,5,10,7,51,0,Tyler Thornton Defensive Rebound.
Michigan,Duke,5,12,8,25,1,Amile Jefferson made Jumper.
Michigan,Duke,5,12,8,40,0,Glenn Robinson III Turnover.
Michigan,Duke,5,12,8,41,0,Official TV Timeout
Michigan,Duke,5,12,9,7,0,Rodney Hood missed Three Point Jumper.
Michigan,Duke,5,12,9,7,0,Nik Stauskas Defensive Rebound.
Michigan,Duke,5,12,9,29,0,Foul on Amile Jefferson.
Michigan,Duke,5,12,9,36,0,Nik Stauskas Turnover.
Michigan,Duke,5,12,9,49,0,Jabari Parker missed Jumper.
Michigan,Duke,5,12,9,49,0,Nik Stauskas Defensive Rebound.
Michigan,Duke,5,12,9,51,0,Foul on Tyler Thornton.
Michigan,Duke,6,12,9,51,1,Nik Stauskas made Free Throw.
Michigan,Duke,6,12,9,51,0,Nik Stauskas missed Free Throw.
Michigan,Duke,6,12,9,51,0,Jabari Parker Defensive Rebound.
Michigan,Duke,6,12,10,13,0,Tyler Thornton Turnover.
Michigan,Duke,9,12,10,25,1,Spike Albrecht made Three Point Jumper. Assisted by Nik Stauskas.
Michigan,Duke,9,12,10,56,0,Matt Jones missed Three Point Jumper.
Michigan,Duke,9,12,10,56,0,Spike Albrecht Defensive Rebound.
Michigan,Duke,9,12,11,32,0,Spike Albrecht Turnover.
Michigan,Duke,9,12,11,32,0,Amile Jefferson Steal.
Michigan,Duke,9,12,11,35,0,Foul on Spike Albrecht.
Michigan,Duke,9,14,11,36,1,Rodney Hood made Jumper. Assisted by Quinn Cook.
