Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
NJIT,UMass Lowell,0,0,0,19,0,DJ Mlachnik Turnover.
NJIT,UMass Lowell,2,0,0,37,1,Terrence Smith made Jumper. Assisted by Damon Lynn.
NJIT,UMass Lowell,2,0,0,56,0,Tyler Livingston missed Jumper.
NJIT,UMass Lowell,2,0,0,56,0,Odera Nweke Block.
NJIT,UMass Lowell,2,0,0,58,0,Massachusetts Lowell Offensive Rebound.
NJIT,UMass Lowell,2,0,1,6,0,Chad Holley missed Jumper.
NJIT,UMass Lowell,2,0,1,6,0,Ky Howard Defensive Rebound.
NJIT,UMass Lowell,2,0,1,24,0,Winfield Willis missed Jumper.
NJIT,UMass Lowell,2,0,1,24,0,Tyler Livingston Defensive Rebound.
NJIT,UMass Lowell,2,2,1,33,1,Akeem Williams made Jumper.
NJIT,UMass Lowell,2,2,1,49,0,Damon Lynn missed Three Point Jumper.
NJIT,UMass Lowell,2,2,1,49,0,Chad Holley Defensive Rebound.
NJIT,UMass Lowell,2,2,2,10,0,Akeem Williams missed Three Point Jumper.
NJIT,UMass Lowell,2,2,2,10,0,Odera Nweke Defensive Rebound.
NJIT,UMass Lowell,5,2,2,30,1,Damon Lynn made Three Point Jumper. Assisted by Winfield Willis.
NJIT,UMass Lowell,5,4,2,46,1,Akeem Williams made Layup. Assisted by DJ Mlachnik.
NJIT,UMass Lowell,5,4,2,46,0,Foul on Terrence Smith.
NJIT,UMass Lowell,5,5,2,46,1,Akeem Williams made Free Throw.
NJIT,UMass Lowell,7,5,2,55,1,Terrence Smith made Layup. Assisted by Ky Howard.
NJIT,UMass Lowell,7,5,3,29,0,Kerry Weldon Turnover.
NJIT,UMass Lowell,7,5,3,30,0,Terrence Smith Steal.
NJIT,UMass Lowell,10,5,3,32,1,Damon Lynn made Three Point Jumper. Assisted by Terrence Smith.
NJIT,UMass Lowell,10,7,3,53,1,Mark Cornelius made Layup. Assisted by Akeem Williams.
NJIT,UMass Lowell,10,7,4,11,0,Damon Lynn missed Three Point Jumper.
NJIT,UMass Lowell,10,7,4,11,0,Akeem Williams Defensive Rebound.
NJIT,UMass Lowell,10,7,4,23,0,Kerry Weldon Turnover.
NJIT,UMass Lowell,10,7,4,23,0,Foul on Kerry Weldon.
NJIT,UMass Lowell,10,7,4,23,0,Official TV Timeout
NJIT,UMass Lowell,12,7,4,42,1,Tim Coleman made Jumper. Assisted by Ky Howard.
NJIT,UMass Lowell,12,7,5,12,0,Foul on Ky Howard.
NJIT,UMass Lowell,12,8,5,12,1,Antonio Bivins made Free Throw.
NJIT,UMass Lowell,12,9,5,12,1,Antonio Bivins made Free Throw.
NJIT,UMass Lowell,12,9,5,21,0,Damon Lynn Turnover.
NJIT,UMass Lowell,12,9,5,21,0,Chad Holley Steal.
NJIT,UMass Lowell,12,11,5,23,1,Akeem Williams made Layup. Assisted by Chad Holley.
NJIT,UMass Lowell,12,11,5,54,0,Damon Lynn missed Layup.
NJIT,UMass Lowell,12,11,5,54,0,Akeem Williams Defensive Rebound.
NJIT,UMass Lowell,12,11,6,1,0,Antonio Bivins missed Dunk.
NJIT,UMass Lowell,12,11,6,1,0,Tim Coleman Block.
NJIT,UMass Lowell,12,11,6,4,0,Ky Howard Defensive Rebound.
NJIT,UMass Lowell,15,11,6,7,1,Damon Lynn made Three Point Jumper. Assisted by Ky Howard.
NJIT,UMass Lowell,15,11,6,37,0,Mark Cornelius missed Jumper.
NJIT,UMass Lowell,15,11,6,37,0,Ky Howard Defensive Rebound.
NJIT,UMass Lowell,15,11,7,3,0,Ky Howard Turnover.
NJIT,UMass Lowell,15,11,7,3,0,Foul on Ky Howard.
NJIT,UMass Lowell,15,11,7,23,0,Mark Cornelius missed Layup.
NJIT,UMass Lowell,15,11,7,23,0,Antonio Bivins Offensive Rebound.
NJIT,UMass Lowell,15,11,7,26,0,Foul on Tim Coleman.
NJIT,UMass Lowell,15,11,7,26,0,Antonio Bivins missed Free Throw.
NJIT,UMass Lowell,15,11,7,26,0,Massachusetts Lowell Deadball Team Rebound.
NJIT,UMass Lowell,15,11,7,26,0,Antonio Bivins missed Free Throw.
NJIT,UMass Lowell,15,11,7,26,0,Damon Lynn Defensive Rebound.
NJIT,UMass Lowell,15,11,7,43,0,Foul on Mark Cornelius.
NJIT,UMass Lowell,15,11,7,55,0,Tim Coleman missed Three Point Jumper.
NJIT,UMass Lowell,15,11,7,55,0,Mark Cornelius Defensive Rebound.
NJIT,UMass Lowell,15,11,8,4,0,Foul on Montana Mayfield.
NJIT,UMass Lowell,15,11,8,4,0,Official TV Timeout
NJIT,UMass Lowell,15,11,8,24,0,Akeem Williams missed Three Point Jumper.
NJIT,UMass Lowell,15,11,8,24,0,Emmanuel Tselentakis Defensive Rebound.
NJIT,UMass Lowell,15,11,8,54,0,Emmanuel Tselentakis missed Three Point Jumper.
NJIT,UMass Lowell,15,11,8,54,0,Antonio Bivins Defensive Rebound.
NJIT,UMass Lowell,15,11,9,7,0,Mark Cornelius Turnover.
NJIT,UMass Lowell,15,11,9,18,0,Damon Lynn missed Layup.
NJIT,UMass Lowell,15,11,9,18,0,Chad Holley Defensive Rebound.
NJIT,UMass Lowell,15,14,9,23,1,DJ Mlachnik made Three Point Jumper. Assisted by Chad Holley.
NJIT,UMass Lowell,15,14,9,51,0,Emmanuel Tselentakis Turnover.
NJIT,UMass Lowell,15,14,9,51,0,Foul on Emmanuel Tselentakis.
NJIT,UMass Lowell,15,14,10,7,0,Tyler Livingston missed Three Point Jumper.
NJIT,UMass Lowell,15,14,10,7,0,Emmanuel Tselentakis Defensive Rebound.
NJIT,UMass Lowell,15,14,10,10,0,Emmanuel Tselentakis Turnover.
NJIT,UMass Lowell,15,14,10,11,0,Chad Holley Steal.
NJIT,UMass Lowell,15,14,10,13,0,Chad Holley missed Layup.
NJIT,UMass Lowell,15,14,10,13,0,Emmanuel Tselentakis Defensive Rebound.
NJIT,UMass Lowell,17,14,10,26,1,Terrence Smith made Dunk. Assisted by Montana Mayfield.
NJIT,UMass Lowell,17,14,10,48,0,Foul on Montana Mayfield.
NJIT,UMass Lowell,17,15,10,48,1,Chad Holley made Free Throw.
NJIT,UMass Lowell,17,16,10,48,1,Chad Holley made Free Throw.
NJIT,UMass Lowell,20,16,10,55,1,Damon Lynn made Three Point Jumper. Assisted by Tim Coleman.
NJIT,UMass Lowell,20,16,11,23,0,Foul on Tim Coleman.
NJIT,UMass Lowell,20,17,11,23,1,Chad Holley made Free Throw.
NJIT,UMass Lowell,20,17,11,23,0,Chad Holley missed Free Throw.
NJIT,UMass Lowell,20,17,11,23,0,Odera Nweke Defensive Rebound.
NJIT,UMass Lowell,20,17,11,51,0,Winfield Willis Turnover.
NJIT,UMass Lowell,20,17,11,52,0,Kerry Weldon Steal.
NJIT,UMass Lowell,20,20,11,56,1,Chad Holley made Three Point Jumper. Assisted by DJ Mlachnik.
NJIT,UMass Lowell,20,20,12,20,0,Jake Duncan missed Three Point Jumper.
NJIT,UMass Lowell,20,20,12,20,0,Massachusetts Lowell Deadball Team Rebound.
NJIT,UMass Lowell,20,20,12,23,0,Official TV Timeout
NJIT,UMass Lowell,20,20,12,37,0,Akeem Williams missed Layup.
NJIT,UMass Lowell,20,20,12,37,0,Kerry Weldon Offensive Rebound.
NJIT,UMass Lowell,20,22,12,40,1,Kerry Weldon made Two Point Tip Shot.
NJIT,UMass Lowell,20,22,12,53,0,Winfield Willis missed Layup.
NJIT,UMass Lowell,20,22,12,53,0,Antonio Bivins Block.
NJIT,UMass Lowell,20,22,13,3,0,Antonio Bivins Defensive Rebound.
NJIT,UMass Lowell,20,25,13,12,1,Chad Holley made Three Point Jumper. Assisted by Akeem Williams.
NJIT,UMass Lowell,22,25,13,35,1,Daquan Holiday made Layup. Assisted by Damon Lynn.
NJIT,UMass Lowell,22,28,13,55,1,Akeem Williams made Three Point Jumper.
NJIT,UMass Lowell,24,28,14,14,1,Damon Lynn made Jumper. Assisted by Jake Duncan.
NJIT,UMass Lowell,24,31,14,33,1,DJ Mlachnik made Three Point Jumper. Assisted by Akeem Williams.
