Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
San Jose State,New Mexico,0,0,0,21,0,Matt Pollard missed Jumper.
San Jose State,New Mexico,0,0,0,21,0,Hugh Greenwood Defensive Rebound.
San Jose State,New Mexico,0,2,0,38,1,Alex Kirk made Jumper. Assisted by Kendall Williams.
San Jose State,New Mexico,0,2,1,12,0,Jaleel Williams missed Three Point Jumper.
San Jose State,New Mexico,0,2,1,12,0,Hugh Greenwood Defensive Rebound.
San Jose State,New Mexico,0,4,1,26,1,Cameron Bairstow made Jumper. Assisted by Deshawn Delaney.
San Jose State,New Mexico,3,4,2,6,1,Isaac Thornton made Three Point Jumper.
San Jose State,New Mexico,3,4,2,18,0,Alex Kirk missed Layup.
San Jose State,New Mexico,3,4,2,18,0,Jalen James Defensive Rebound.
San Jose State,New Mexico,3,4,2,48,0,Jalen James Turnover.
San Jose State,New Mexico,3,4,2,49,0,Hugh Greenwood Steal.
San Jose State,New Mexico,3,6,2,53,1,Cameron Bairstow made Layup. Assisted by Hugh Greenwood.
San Jose State,New Mexico,3,6,3,18,0,Brandon Mitchell missed Three Point Jumper.
San Jose State,New Mexico,3,6,3,18,0,Kendall Williams Defensive Rebound.
San Jose State,New Mexico,3,6,3,31,0,Foul on Matt Pollard.
San Jose State,New Mexico,3,7,3,31,1,Deshawn Delaney made Free Throw.
San Jose State,New Mexico,3,8,3,31,1,Deshawn Delaney made Free Throw.
San Jose State,New Mexico,3,8,3,51,0,Jalen James Turnover.
San Jose State,New Mexico,3,8,3,51,0,Alex Kirk Steal.
San Jose State,New Mexico,3,10,4,11,1,Alex Kirk made Jumper. Assisted by Deshawn Delaney.
San Jose State,New Mexico,3,10,4,18,0,San Jose St  Timeout
San Jose State,New Mexico,3,10,4,39,0,Chris Cunningham missed Layup.
San Jose State,New Mexico,3,10,4,39,0,Alex Kirk Defensive Rebound.
San Jose State,New Mexico,3,12,4,47,1,Alex Kirk made Layup. Assisted by Hugh Greenwood.
San Jose State,New Mexico,3,12,4,47,0,Foul on Rashad Muhammad.
San Jose State,New Mexico,3,12,4,48,0,Official TV Timeout
San Jose State,New Mexico,3,13,4,48,1,Alex Kirk made Free Throw.
San Jose State,New Mexico,3,13,5,0,0,Rashad Muhammad missed Three Point Jumper.
San Jose State,New Mexico,3,13,5,0,0,Hugh Greenwood Defensive Rebound.
San Jose State,New Mexico,3,13,5,3,0,Foul on Chris Cunningham.
San Jose State,New Mexico,3,15,5,12,1,Kendall Williams made Jumper.
San Jose State,New Mexico,3,15,5,47,0,Rashad Muhammad missed Three Point Jumper.
San Jose State,New Mexico,3,15,5,47,0,Cameron Bairstow Defensive Rebound.
San Jose State,New Mexico,3,15,6,0,0,Cullen Neal missed Three Point Jumper.
San Jose State,New Mexico,3,15,6,0,0,San Jose St Defensive Rebound.
San Jose State,New Mexico,3,15,6,24,0,Jalen James missed Jumper.
San Jose State,New Mexico,3,15,6,24,0,New Mexico Defensive Rebound.
San Jose State,New Mexico,3,15,6,38,0,Cameron Bairstow missed Jumper.
San Jose State,New Mexico,3,15,6,38,0,Jalen James Defensive Rebound.
San Jose State,New Mexico,3,15,6,54,0,Jaleel Williams missed Three Point Jumper.
San Jose State,New Mexico,3,15,6,54,0,Kendall Williams Defensive Rebound.
