Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Norfolk State,Savannah State,0,0,0,0,0,Jump Ball won by Savannah St
Norfolk State,Savannah State,0,0,0,27,0,Jeremiah Hill missed Three Point Jumper.
Norfolk State,Savannah State,0,0,0,27,0,Brandon Goode Defensive Rebound.
Norfolk State,Savannah State,2,0,0,46,1,Pendarvis Williams made Layup. Assisted by Malcolm Hawkins.
Norfolk State,Savannah State,2,2,0,52,1,Khiry White made Jumper.
Norfolk State,Savannah State,4,2,1,10,1,Kievyn Lila-St. Rose made Layup.
Norfolk State,Savannah State,4,2,1,19,0,Foul on Pendarvis Williams.
Norfolk State,Savannah State,4,3,1,19,1,Khiry White made Free Throw.
Norfolk State,Savannah State,4,3,1,19,0,Khiry White missed Free Throw.
Norfolk State,Savannah State,4,3,1,19,0,Brandon Goode Defensive Rebound.
Norfolk State,Savannah State,4,3,1,48,0,Brandon Goode missed Jumper.
Norfolk State,Savannah State,4,3,1,48,0,Rashid Gaston Offensive Rebound.
Norfolk State,Savannah State,4,3,1,53,0,Rashid Gaston missed Jumper.
Norfolk State,Savannah State,4,3,1,53,0,Jyles Smith Block.
Norfolk State,Savannah State,4,3,1,53,0,Rashid Gaston Offensive Rebound.
Norfolk State,Savannah State,6,3,2,1,1,Rashid Gaston made Jumper. Assisted by Pendarvis Williams.
Norfolk State,Savannah State,6,3,2,19,0,Saadiq Muhammad missed Jumper.
Norfolk State,Savannah State,6,3,2,19,0,Brandon Goode Block.
Norfolk State,Savannah State,6,3,2,19,0,Pendarvis Williams Defensive Rebound.
Norfolk State,Savannah State,6,3,2,25,0,Foul on Jeremiah Hill.
Norfolk State,Savannah State,6,3,2,28,0,Brandon Goode Turnover.
Norfolk State,Savannah State,6,3,2,28,0,Jeremiah Hill Steal.
Norfolk State,Savannah State,6,5,2,35,1,Keierre Richards made Layup. Assisted by Jeremiah Hill.
Norfolk State,Savannah State,6,5,2,46,0,Brandon Goode missed Layup.
Norfolk State,Savannah State,6,5,2,46,0,Jump Ball won by Norfolk St
Norfolk State,Savannah State,6,5,2,46,0,Norfolk St Offensive Rebound.
Norfolk State,Savannah State,6,5,2,51,0,Kievyn Lila-St. Rose Turnover.
Norfolk State,Savannah State,6,5,2,51,0,Keierre Richards Steal.
Norfolk State,Savannah State,6,5,2,57,0,Foul on Pendarvis Williams.
Norfolk State,Savannah State,6,5,2,57,0,Joshua Montgomery missed Free Throw.
Norfolk State,Savannah State,6,5,2,57,0,Savannah St Deadball Team Rebound.
Norfolk State,Savannah State,6,6,2,57,1,Joshua Montgomery made Free Throw.
Norfolk State,Savannah State,6,6,3,23,0,Anell Alexis missed Jumper.
Norfolk State,Savannah State,6,6,3,23,0,Kievyn Lila-St. Rose Offensive Rebound.
Norfolk State,Savannah State,6,6,3,25,0,Kievyn Lila-St. Rose missed Jumper.
Norfolk State,Savannah State,6,6,3,25,0,Keierre Richards Defensive Rebound.
