Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
North Carolina A&T;,North Carolina Central,0,0,0,5,0,Foul on Jeremy Underwood.
North Carolina A&T;,North Carolina Central,0,1,0,5,1,Jeremy Ingram made Free Throw.
North Carolina A&T;,North Carolina Central,0,2,0,5,1,Jeremy Ingram made Free Throw.
North Carolina A&T;,North Carolina Central,0,2,0,20,0,Bryan Akinkugbe missed Jumper.
North Carolina A&T;,North Carolina Central,0,2,0,20,0,Emanuel Chapman Defensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,0,29,0,Alfonzo Houston missed Layup.
North Carolina A&T;,North Carolina Central,0,2,0,29,0,Bryan Akinkugbe Block.
North Carolina A&T;,North Carolina Central,0,2,0,44,0,James Whitaker Offensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,0,46,0,James Whitaker missed Layup.
North Carolina A&T;,North Carolina Central,0,2,0,46,0,Emanuel Chapman Defensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,1,13,0,Emanuel Chapman missed Jumper.
North Carolina A&T;,North Carolina Central,0,2,1,13,0,Bruce Beckford Defensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,1,24,0,Lamont Middleton missed Jumper.
North Carolina A&T;,North Carolina Central,0,2,1,24,0,Jay Copeland Block.
North Carolina A&T;,North Carolina Central,0,2,1,27,0,Lamont Middleton Offensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,1,30,0,Bryan Akinkugbe missed Layup.
North Carolina A&T;,North Carolina Central,0,2,1,30,0,Karamo Jawara Defensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,1,53,0,Alfonzo Houston missed Jumper.
North Carolina A&T;,North Carolina Central,0,2,1,53,0,North Carolina A&T; Defensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,1,54,0,Foul on Alfonzo Houston.
North Carolina A&T;,North Carolina Central,0,2,2,1,0,Bruce Beckford missed Three Point Jumper.
North Carolina A&T;,North Carolina Central,0,2,2,1,0,Jeremy Underwood Offensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,2,7,0,Jeremy Underwood missed Three Point Jumper.
North Carolina A&T;,North Carolina Central,0,2,2,7,0,North Carolina Central Defensive Rebound.
North Carolina A&T;,North Carolina Central,0,2,2,22,0,Jay Copeland Turnover.
North Carolina A&T;,North Carolina Central,0,2,2,22,0,Foul on Jay Copeland.
North Carolina A&T;,North Carolina Central,0,2,2,41,0,Bryan Akinkugbe Turnover.
North Carolina A&T;,North Carolina Central,0,2,2,42,0,Alfonzo Houston Steal.
North Carolina A&T;,North Carolina Central,0,2,2,46,0,Alfonzo Houston missed Layup.
North Carolina A&T;,North Carolina Central,0,2,2,46,0,Bryan Akinkugbe Block.
North Carolina A&T;,North Carolina Central,0,2,2,47,0,Jeremy Ingram Offensive Rebound.
North Carolina A&T;,North Carolina Central,0,4,2,49,1,Jeremy Ingram made Layup.
North Carolina A&T;,North Carolina Central,0,4,3,11,0,Bryan Akinkugbe Turnover.
North Carolina A&T;,North Carolina Central,0,4,3,11,0,Foul on Bryan Akinkugbe.
North Carolina A&T;,North Carolina Central,0,4,3,28,0,Jeremy Ingram missed Three Point Jumper.
North Carolina A&T;,North Carolina Central,0,4,3,28,0,Jay Copeland Offensive Rebound.
North Carolina A&T;,North Carolina Central,0,4,3,31,0,Jay Copeland missed Layup.
North Carolina A&T;,North Carolina Central,0,4,3,31,0,Bryan Akinkugbe Block.
North Carolina A&T;,North Carolina Central,0,4,3,32,0,Lamont Middleton Defensive Rebound.
North Carolina A&T;,North Carolina Central,0,4,3,42,0,Richaud Pack missed Layup.
North Carolina A&T;,North Carolina Central,0,4,3,42,0,Jeremy Ingram Block.
