Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
North Carolina,Wake Forest,0,0,0,0,0,Jump Ball won by North Carolina
North Carolina,Wake Forest,0,0,0,13,0,Kennedy Meeks missed Layup.
North Carolina,Wake Forest,0,0,0,13,0,Devin Thomas Defensive Rebound.
North Carolina,Wake Forest,0,0,0,40,0,Travis McKie Turnover.
North Carolina,Wake Forest,0,0,0,40,0,Nate Britt Steal.
North Carolina,Wake Forest,0,0,0,41,0,Foul on Madison Jones.
North Carolina,Wake Forest,0,0,0,58,0,Kennedy Meeks missed Jumper.
North Carolina,Wake Forest,0,0,0,58,0,Devin Thomas Defensive Rebound.
North Carolina,Wake Forest,0,0,1,5,0,Foul on Marcus Paige.
North Carolina,Wake Forest,0,1,1,5,1,Codi Miller-McIntyre made Free Throw.
North Carolina,Wake Forest,0,1,1,5,0,Codi Miller-McIntyre missed Free Throw.
North Carolina,Wake Forest,0,1,1,5,0,James Michael McAdoo Defensive Rebound.
North Carolina,Wake Forest,2,1,1,29,1,Marcus Paige made Jumper.
North Carolina,Wake Forest,2,1,1,40,0,Foul on James Michael McAdoo.
North Carolina,Wake Forest,2,2,1,40,1,Tyler Cavanaugh made Free Throw.
North Carolina,Wake Forest,2,3,1,40,1,Tyler Cavanaugh made Free Throw.
North Carolina,Wake Forest,4,3,1,50,1,James Michael McAdoo made Jumper. Assisted by J.P. Tokoto.
North Carolina,Wake Forest,4,3,2,10,0,Codi Miller-McIntyre missed Layup.
North Carolina,Wake Forest,4,3,2,10,0,J.P. Tokoto Block.
North Carolina,Wake Forest,4,3,2,10,0,Kennedy Meeks Defensive Rebound.
North Carolina,Wake Forest,4,3,2,15,0,Foul on Tyler Cavanaugh.
North Carolina,Wake Forest,5,3,2,15,1,James Michael McAdoo made Free Throw.
North Carolina,Wake Forest,6,3,2,15,1,James Michael McAdoo made Free Throw.
North Carolina,Wake Forest,6,5,2,25,1,Devin Thomas made Layup.
North Carolina,Wake Forest,8,5,2,40,1,J.P. Tokoto made Layup.
North Carolina,Wake Forest,8,5,3,6,0,Madison Jones missed Layup.
North Carolina,Wake Forest,8,5,3,6,0,James Michael McAdoo Defensive Rebound.
North Carolina,Wake Forest,10,5,3,14,1,Nate Britt made Jumper.
North Carolina,Wake Forest,10,7,3,30,1,Travis McKie made Layup. Assisted by Devin Thomas.
North Carolina,Wake Forest,12,7,3,47,1,Kennedy Meeks made Layup. Assisted by Nate Britt.
North Carolina,Wake Forest,12,7,4,4,0,Codi Miller-McIntyre Turnover.
North Carolina,Wake Forest,12,7,4,4,0,James Michael McAdoo Steal.
North Carolina,Wake Forest,12,7,4,17,0,James Michael McAdoo missed Jumper.
North Carolina,Wake Forest,12,7,4,17,0,J.P. Tokoto Offensive Rebound.
North Carolina,Wake Forest,12,7,4,17,0,J.P. Tokoto missed Two Point Tip Shot.
North Carolina,Wake Forest,12,7,4,17,0,Kennedy Meeks Offensive Rebound.
North Carolina,Wake Forest,12,7,4,27,0,Marcus Paige missed Three Point Jumper.
North Carolina,Wake Forest,12,7,4,27,0,Devin Thomas Defensive Rebound.
North Carolina,Wake Forest,12,7,4,30,0,Foul on J.P. Tokoto.
North Carolina,Wake Forest,12,7,4,30,0,Official TV Timeout
North Carolina,Wake Forest,12,9,4,45,1,Arnaud William Adala Moto made Layup. Assisted by Devin Thomas.
North Carolina,Wake Forest,12,9,4,45,0,Foul on James Michael McAdoo.
North Carolina,Wake Forest,12,9,4,45,0,Arnaud William Adala Moto missed Free Throw.
North Carolina,Wake Forest,12,9,4,45,0,James Michael McAdoo Defensive Rebound.
North Carolina,Wake Forest,12,9,4,57,0,Foul on Devin Thomas.
North Carolina,Wake Forest,13,9,4,57,1,James Michael McAdoo made Free Throw.
North Carolina,Wake Forest,13,9,4,57,0,James Michael McAdoo missed Free Throw.
North Carolina,Wake Forest,13,9,4,57,0,Arnaud William Adala Moto Defensive Rebound.
North Carolina,Wake Forest,13,12,5,5,1,Coron Williams made Three Point Jumper. Assisted by Codi Miller-McIntyre.
North Carolina,Wake Forest,15,12,5,16,1,Brice Johnson made Dunk. Assisted by Marcus Paige.
North Carolina,Wake Forest,15,12,5,28,0,Codi Miller-McIntyre missed Jumper.
North Carolina,Wake Forest,15,12,5,28,0,James Michael McAdoo Defensive Rebound.
North Carolina,Wake Forest,15,12,5,35,0,Marcus Paige Turnover.
North Carolina,Wake Forest,15,12,5,35,0,Devin Thomas Steal.
North Carolina,Wake Forest,15,12,5,50,0,Foul on J.P. Tokoto.
North Carolina,Wake Forest,15,12,5,50,0,Arnaud William Adala Moto missed Free Throw.
North Carolina,Wake Forest,15,12,5,50,0,Wake Forest Deadball Team Rebound.
North Carolina,Wake Forest,15,12,5,50,0,Arnaud William Adala Moto missed Free Throw.
North Carolina,Wake Forest,15,12,5,50,0,Brice Johnson Defensive Rebound.
