Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Fort Wayne,North Dakota State,0,0,0,0,0,Jump Ball won by North Dakota St
Fort Wayne,North Dakota State,0,0,0,7,0,Taylor Braun missed Three Point Jumper.
Fort Wayne,North Dakota State,0,0,0,7,0,Steve Forbes Defensive Rebound.
Fort Wayne,North Dakota State,0,0,0,45,0,Steve Forbes missed Jumper.
Fort Wayne,North Dakota State,0,0,0,45,0,Taylor Braun Defensive Rebound.
Fort Wayne,North Dakota State,0,0,1,2,0,Kory Brown missed Jumper.
Fort Wayne,North Dakota State,0,0,1,2,0,Michael Kibiloski Defensive Rebound.
Fort Wayne,North Dakota State,2,0,1,13,1,Steve Forbes made Dunk. Assisted by Isaiah McCray.
Fort Wayne,North Dakota State,2,3,1,52,1,Taylor Braun made Three Point Jumper. Assisted by Kory Brown.
Fort Wayne,North Dakota State,2,3,2,6,0,Foul on TrayVonn Wright.
Fort Wayne,North Dakota State,3,3,2,6,1,Isaiah McCray made Free Throw.
Fort Wayne,North Dakota State,3,3,2,6,0,Isaiah McCray missed Free Throw.
Fort Wayne,North Dakota State,3,3,2,6,0,Taylor Braun Defensive Rebound.
Fort Wayne,North Dakota State,3,5,2,27,1,Marshall Bjorklund made Jumper.
Fort Wayne,North Dakota State,6,5,2,50,1,Isaiah McCray made Three Point Jumper. Assisted by Pierre Bland.
Fort Wayne,North Dakota State,6,5,3,7,0,Foul on Steve Forbes.
Fort Wayne,North Dakota State,6,5,3,20,0,Foul on Joe Reed.
Fort Wayne,North Dakota State,6,7,3,38,1,Marshall Bjorklund made Jumper.
Fort Wayne,North Dakota State,9,7,3,56,1,Michael Kibiloski made Three Point Jumper. Assisted by Joe Reed.
Fort Wayne,North Dakota State,9,10,4,14,1,TrayVonn Wright made Three Point Jumper. Assisted by Kory Brown.
Fort Wayne,North Dakota State,11,10,4,37,1,Luis Jacobo made Jumper.
Fort Wayne,North Dakota State,11,10,4,50,0,TrayVonn Wright missed Three Point Jumper.
Fort Wayne,North Dakota State,11,10,4,50,0,IPFW Defensive Rebound.
Fort Wayne,North Dakota State,11,10,4,55,0,Official TV Timeout
