Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Notre Dame,Maryland,0,0,0,0,0,Jump Ball won by Notre Dame
Notre Dame,Maryland,0,0,0,21,0,Eric Atkins Turnover.
Notre Dame,Maryland,0,0,0,21,0,Evan Smotrycz Steal.
Notre Dame,Maryland,0,2,0,29,1,Evan Smotrycz made Layup. Assisted by Jake Layman.
Notre Dame,Maryland,0,2,0,58,0,Garrick Sherman Turnover.
Notre Dame,Maryland,0,4,1,12,1,Shaquille Cleare made Jumper. Assisted by Jake Layman.
Notre Dame,Maryland,0,4,1,45,0,Pat Connaughton missed Layup.
Notre Dame,Maryland,0,4,1,45,0,Shaquille Cleare Block.
Notre Dame,Maryland,0,4,1,45,0,Garrick Sherman Offensive Rebound.
Notre Dame,Maryland,0,4,1,49,0,Garrick Sherman missed Layup.
Notre Dame,Maryland,0,4,1,49,0,Garrick Sherman Offensive Rebound.
Notre Dame,Maryland,2,4,1,49,1,Garrick Sherman made Two Point Tip Shot.
Notre Dame,Maryland,2,7,1,57,1,Jake Layman made Three Point Jumper. Assisted by Seth Allen.
Notre Dame,Maryland,2,7,2,12,0,Demetrius Jackson missed Three Point Jumper.
Notre Dame,Maryland,2,7,2,12,0,Jake Layman Defensive Rebound.
Notre Dame,Maryland,2,7,2,28,0,Evan Smotrycz missed Layup.
Notre Dame,Maryland,2,7,2,28,0,Seth Allen Offensive Rebound.
Notre Dame,Maryland,2,7,2,36,0,Foul on Demetrius Jackson.
Notre Dame,Maryland,2,7,2,36,0,Dez Wells missed Free Throw.
Notre Dame,Maryland,2,7,2,36,0,Maryland Deadball Team Rebound.
Notre Dame,Maryland,2,7,2,36,0,Dez Wells missed Free Throw.
Notre Dame,Maryland,2,7,2,36,0,Garrick Sherman Defensive Rebound.
Notre Dame,Maryland,2,7,2,42,0,Foul on Shaquille Cleare.
Notre Dame,Maryland,4,7,2,52,1,Eric Atkins made Jumper.
Notre Dame,Maryland,4,10,3,2,1,Seth Allen made Three Point Jumper.
Notre Dame,Maryland,6,10,3,21,1,Garrick Sherman made Jumper.
Notre Dame,Maryland,6,10,3,50,0,Jake Layman Turnover.
Notre Dame,Maryland,9,10,3,56,1,Eric Atkins made Three Point Jumper. Assisted by Demetrius Jackson.
Notre Dame,Maryland,9,10,4,11,0,Seth Allen missed Three Point Jumper.
