Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Ohio State,Wisconsin,0,0,0,0,0,Jump Ball won by Ohio State
Ohio State,Wisconsin,0,0,0,11,0,Lenzelle Smith missed Jumper.
Ohio State,Wisconsin,0,0,0,11,0,Amir Williams Offensive Rebound.
Ohio State,Wisconsin,2,0,0,11,1,Amir Williams made Two Point Tip Shot.
Ohio State,Wisconsin,2,0,0,46,0,Sam Dekker Turnover.
Ohio State,Wisconsin,2,0,0,46,0,LaQuinton Ross Steal.
Ohio State,Wisconsin,2,0,0,56,0,Foul on Sam Dekker.
Ohio State,Wisconsin,3,0,0,56,1,LaQuinton Ross made Free Throw.
Ohio State,Wisconsin,4,0,0,56,1,LaQuinton Ross made Free Throw.
Ohio State,Wisconsin,4,2,1,14,1,Nigel Hayes made Jumper.
Ohio State,Wisconsin,4,2,1,46,0,Lenzelle Smith missed Jumper.
Ohio State,Wisconsin,4,2,1,46,0,LaQuinton Ross Offensive Rebound.
Ohio State,Wisconsin,4,2,1,55,0,Amir Williams missed Jumper.
Ohio State,Wisconsin,4,2,1,55,0,Sam Dekker Defensive Rebound.
Ohio State,Wisconsin,4,5,2,17,1,Ben Brust made Three Point Jumper.
Ohio State,Wisconsin,4,5,2,46,0,LaQuinton Ross Turnover.
Ohio State,Wisconsin,4,5,3,4,0,Foul on Amir Williams.
Ohio State,Wisconsin,4,6,3,4,1,Frank Kaminsky made Free Throw.
Ohio State,Wisconsin,4,7,3,4,1,Frank Kaminsky made Free Throw.
Ohio State,Wisconsin,4,7,3,24,0,Sam Thompson missed Jumper.
Ohio State,Wisconsin,4,7,3,24,0,Lenzelle Smith Offensive Rebound.
Ohio State,Wisconsin,4,7,3,29,0,Lenzelle Smith missed Layup.
Ohio State,Wisconsin,4,7,3,29,0,Ben Brust Defensive Rebound.
Ohio State,Wisconsin,4,7,3,39,0,Foul on Aaron Craft.
Ohio State,Wisconsin,4,8,3,39,1,Traevon Jackson made Free Throw.
Ohio State,Wisconsin,4,9,3,39,1,Traevon Jackson made Free Throw.
Ohio State,Wisconsin,4,9,3,59,0,LaQuinton Ross missed Layup.
Ohio State,Wisconsin,4,9,3,59,0,Trey McDonald Offensive Rebound.
Ohio State,Wisconsin,6,9,4,4,1,Trey McDonald made Layup.
Ohio State,Wisconsin,6,9,4,20,0,Foul on LaQuinton Ross.
Ohio State,Wisconsin,6,9,4,20,0,Official TV Timeout
Ohio State,Wisconsin,6,10,4,20,1,Frank Kaminsky made Free Throw.
Ohio State,Wisconsin,6,11,4,20,1,Frank Kaminsky made Free Throw.
Ohio State,Wisconsin,8,11,4,48,1,Shannon Scott made Jumper. Assisted by Lenzelle Smith.
Ohio State,Wisconsin,8,13,5,4,1,Sam Dekker made Dunk. Assisted by Nigel Hayes.
Ohio State,Wisconsin,8,13,5,19,0,Shannon Scott missed Jumper.
Ohio State,Wisconsin,8,13,5,19,0,Sam Dekker Defensive Rebound.
Ohio State,Wisconsin,8,16,5,41,1,Ben Brust made Three Point Jumper. Assisted by Duje Dukan.
Ohio State,Wisconsin,8,16,5,46,0,Ohio State  Timeout
Ohio State,Wisconsin,10,16,5,58,1,Trey McDonald made Layup. Assisted by Shannon Scott.
Ohio State,Wisconsin,10,16,5,58,0,Foul on Bronson Koenig.
Ohio State,Wisconsin,10,16,5,58,0,Trey McDonald missed Free Throw.
Ohio State,Wisconsin,10,16,5,58,0,Ben Brust Defensive Rebound.
Ohio State,Wisconsin,10,16,6,30,0,Frank Kaminsky Turnover.
Ohio State,Wisconsin,10,16,6,41,0,Amedeo Della Valle missed Jumper.
Ohio State,Wisconsin,10,16,6,41,0,Sam Dekker Defensive Rebound.
Ohio State,Wisconsin,10,16,7,14,0,Josh Gasser missed Three Point Jumper.
Ohio State,Wisconsin,10,16,7,14,0,Sam Dekker Offensive Rebound.
Ohio State,Wisconsin,10,18,7,20,1,Sam Dekker made Dunk.
Ohio State,Wisconsin,12,18,7,50,1,Amedeo Della Valle made Layup.
Ohio State,Wisconsin,12,18,7,50,0,Foul on Sam Dekker.
Ohio State,Wisconsin,13,18,7,50,1,Amedeo Della Valle made Free Throw.
Ohio State,Wisconsin,13,20,8,12,1,Traevon Jackson made Jumper.
Ohio State,Wisconsin,13,20,8,21,0,Shannon Scott missed Jumper.
Ohio State,Wisconsin,13,20,8,21,0,Frank Kaminsky Defensive Rebound.
Ohio State,Wisconsin,13,20,8,31,0,Ben Brust missed Three Point Jumper.
Ohio State,Wisconsin,13,20,8,31,0,Aaron Craft Defensive Rebound.
Ohio State,Wisconsin,16,20,8,38,1,Amedeo Della Valle made Three Point Jumper. Assisted by Aaron Craft.
Ohio State,Wisconsin,16,20,9,2,0,Ben Brust missed Jumper.
Ohio State,Wisconsin,16,20,9,2,0,Amir Williams Defensive Rebound.
Ohio State,Wisconsin,16,20,9,13,0,Aaron Craft missed Jumper.
Ohio State,Wisconsin,16,20,9,13,0,Ben Brust Defensive Rebound.
Ohio State,Wisconsin,16,20,9,46,0,Foul on Amir Williams.
Ohio State,Wisconsin,16,20,9,46,0,Official TV Timeout
Ohio State,Wisconsin,16,21,9,46,1,Nigel Hayes made Free Throw.
Ohio State,Wisconsin,16,22,9,46,1,Nigel Hayes made Free Throw.
Ohio State,Wisconsin,19,22,10,8,1,Amedeo Della Valle made Three Point Jumper.
Ohio State,Wisconsin,19,22,10,41,0,Traevon Jackson Turnover.
Ohio State,Wisconsin,19,22,10,48,0,Amedeo Della Valle Turnover.
Ohio State,Wisconsin,19,22,10,48,0,Frank Kaminsky Steal.
Ohio State,Wisconsin,19,22,11,7,0,Foul on Trey McDonald.
Ohio State,Wisconsin,19,22,11,26,0,Ben Brust missed Three Point Jumper.
Ohio State,Wisconsin,19,22,11,26,0,Amedeo Della Valle Defensive Rebound.
Ohio State,Wisconsin,19,22,11,33,0,Shannon Scott Turnover.
Ohio State,Wisconsin,19,22,11,33,0,Ben Brust Steal.
Ohio State,Wisconsin,19,22,11,54,0,Bronson Koenig missed Three Point Jumper.
Ohio State,Wisconsin,19,22,11,54,0,Shannon Scott Defensive Rebound.
Ohio State,Wisconsin,19,22,12,27,0,Foul on Aaron Craft.
Ohio State,Wisconsin,19,22,12,27,0,Aaron Craft Turnover.
Ohio State,Wisconsin,19,22,12,27,0,Official TV Timeout
Ohio State,Wisconsin,19,22,12,38,0,Frank Kaminsky missed Three Point Jumper.
Ohio State,Wisconsin,19,22,12,38,0,Amedeo Della Valle Defensive Rebound.
Ohio State,Wisconsin,19,22,13,10,0,Lenzelle Smith missed Three Point Jumper.
Ohio State,Wisconsin,19,22,13,13,0,Nigel Hayes Defensive Rebound.
Ohio State,Wisconsin,19,24,13,24,1,Ben Brust made Jumper.
Ohio State,Wisconsin,19,24,13,41,0,Shannon Scott missed Jumper.
Ohio State,Wisconsin,19,24,13,41,0,Josh Gasser Defensive Rebound.
Ohio State,Wisconsin,19,24,13,51,0,Traevon Jackson missed Layup.
Ohio State,Wisconsin,19,24,13,51,0,Lenzelle Smith Defensive Rebound.
Ohio State,Wisconsin,19,24,13,55,0,Amedeo Della Valle missed Three Point Jumper.
Ohio State,Wisconsin,19,24,13,55,0,Wisconsin Defensive Rebound.
Ohio State,Wisconsin,19,26,14,22,1,Bronson Koenig made Jumper.
Ohio State,Wisconsin,21,26,14,46,1,Shannon Scott made Layup.
Ohio State,Wisconsin,21,26,15,12,0,Traevon Jackson missed Layup.
Ohio State,Wisconsin,21,26,15,12,0,Lenzelle Smith Defensive Rebound.
Ohio State,Wisconsin,21,26,15,21,0,Foul on Josh Gasser.
Ohio State,Wisconsin,22,26,15,21,1,LaQuinton Ross made Free Throw.
Ohio State,Wisconsin,23,26,15,21,1,LaQuinton Ross made Free Throw.
Ohio State,Wisconsin,23,26,15,41,0,Sam Dekker missed Jumper.
Ohio State,Wisconsin,23,26,15,41,0,Lenzelle Smith Defensive Rebound.
Ohio State,Wisconsin,23,26,15,48,0,Lenzelle Smith missed Jumper.
Ohio State,Wisconsin,23,26,15,49,0,Nigel Hayes Block.
Ohio State,Wisconsin,23,26,15,50,0,Ben Brust Defensive Rebound.
Ohio State,Wisconsin,23,26,16,9,0,Bronson Koenig missed Three Point Jumper.
Ohio State,Wisconsin,23,26,16,10,0,Lenzelle Smith Defensive Rebound.
Ohio State,Wisconsin,23,26,16,28,0,Foul on Bronson Koenig.
Ohio State,Wisconsin,23,26,16,28,0,Official TV Timeout
Ohio State,Wisconsin,24,26,16,28,1,LaQuinton Ross made Free Throw.
Ohio State,Wisconsin,25,26,16,28,1,LaQuinton Ross made Free Throw.
Ohio State,Wisconsin,25,26,17,1,0,Foul on LaQuinton Ross.
Ohio State,Wisconsin,25,27,17,1,1,Ben Brust made Free Throw.
Ohio State,Wisconsin,25,28,17,1,1,Ben Brust made Free Throw.
Ohio State,Wisconsin,27,28,17,26,1,Trey McDonald made Dunk. Assisted by Shannon Scott.
Ohio State,Wisconsin,27,28,17,48,0,Foul on Trey McDonald.
Ohio State,Wisconsin,27,28,17,48,0,Nigel Hayes missed Free Throw.
Ohio State,Wisconsin,27,28,17,48,0,Lenzelle Smith Defensive Rebound.
Ohio State,Wisconsin,27,28,18,10,0,Amedeo Della Valle missed Layup.
Ohio State,Wisconsin,27,28,18,10,0,Frank Kaminsky Defensive Rebound.
Ohio State,Wisconsin,27,28,18,30,0,Foul on Lenzelle Smith.
Ohio State,Wisconsin,27,29,18,30,1,Josh Gasser made Free Throw.
Ohio State,Wisconsin,27,29,18,30,0,Josh Gasser missed Free Throw.
Ohio State,Wisconsin,27,29,18,30,0,Wisconsin Offensive Rebound.
Ohio State,Wisconsin,27,29,18,43,0,Foul on Sam Thompson.
Ohio State,Wisconsin,27,30,18,43,1,Frank Kaminsky made Free Throw.
