Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Oregon,Colorado,0,0,0,0,0,Jump Ball won by Oregon
Oregon,Colorado,3,0,0,27,1,Joseph Young made Three Point Jumper. Assisted by Damyean Dotson.
Oregon,Colorado,3,0,1,6,0,Askia Booker missed Jumper.
Oregon,Colorado,3,0,1,6,0,Xavier Johnson Offensive Rebound.
Oregon,Colorado,3,2,1,13,1,Josh Scott made Jumper. Assisted by Spencer Dinwiddie.
Oregon,Colorado,5,2,1,47,1,Mike Moser made Jumper.
Oregon,Colorado,5,2,2,8,0,Askia Booker missed Layup.
Oregon,Colorado,5,2,2,9,0,Wesley Gordon Offensive Rebound.
Oregon,Colorado,5,4,2,11,1,Wesley Gordon made Layup.
Oregon,Colorado,5,4,2,43,0,Joseph Young missed Three Point Jumper.
Oregon,Colorado,5,4,2,43,0,Josh Scott Defensive Rebound.
Oregon,Colorado,5,4,3,3,0,Wesley Gordon Turnover.
Oregon,Colorado,5,4,3,10,0,Mike Moser missed Three Point Jumper.
Oregon,Colorado,5,4,3,10,0,Damyean Dotson Offensive Rebound.
Oregon,Colorado,5,4,3,15,0,Damyean Dotson missed Jumper.
Oregon,Colorado,5,4,3,15,0,Askia Booker Defensive Rebound.
Oregon,Colorado,5,4,3,50,0,Josh Scott missed Jumper.
Oregon,Colorado,5,4,3,50,0,Oregon Defensive Rebound.
Oregon,Colorado,8,4,4,4,1,Mike Moser made Three Point Jumper. Assisted by Johnathan Loyd.
Oregon,Colorado,8,4,4,17,0,Foul on Richard Amardi.
Oregon,Colorado,8,4,4,17,0,Official TV Timeout
Oregon,Colorado,8,5,4,17,1,Askia Booker made Free Throw.
Oregon,Colorado,8,6,4,17,1,Askia Booker made Free Throw.
Oregon,Colorado,8,6,4,38,0,Damyean Dotson missed Jumper.
Oregon,Colorado,8,6,4,38,0,Askia Booker Defensive Rebound.
Oregon,Colorado,8,8,4,45,1,Askia Booker made Jumper.
Oregon,Colorado,8,8,5,9,0,Johnathan Loyd missed Three Point Jumper.
Oregon,Colorado,8,8,5,9,0,Oregon Offensive Rebound.
Oregon,Colorado,8,8,5,36,0,Mike Moser missed Jumper.
Oregon,Colorado,8,8,5,36,0,Josh Scott Defensive Rebound.
Oregon,Colorado,8,8,5,37,0,Foul on Waverly Austin.
Oregon,Colorado,8,8,6,14,0,Askia Booker missed Jumper.
Oregon,Colorado,8,8,6,14,0,Wesley Gordon Offensive Rebound.
Oregon,Colorado,8,8,6,16,0,Foul on Elgin Cook.
Oregon,Colorado,8,8,6,29,0,Spencer Dinwiddie Turnover.
Oregon,Colorado,8,8,6,29,0,Dominic Artis Steal.
Oregon,Colorado,8,8,6,37,0,Dominic Artis Turnover.
Oregon,Colorado,8,8,6,37,0,Jaron Hopkins Steal.
Oregon,Colorado,8,10,6,42,1,Jaron Hopkins made Layup.
Oregon,Colorado,10,10,7,2,1,Johnathan Loyd made Layup.
Oregon,Colorado,10,10,7,16,0,Jaron Hopkins missed Three Point Jumper.
Oregon,Colorado,10,10,7,16,0,Johnathan Loyd Defensive Rebound.
Oregon,Colorado,10,10,7,26,0,Elgin Cook missed Jumper.
Oregon,Colorado,10,10,7,26,0,Elgin Cook Offensive Rebound.
Oregon,Colorado,10,10,7,28,0,Foul on Dustin Thomas.
Oregon,Colorado,10,10,7,38,0,Dominic Artis missed Three Point Jumper.
Oregon,Colorado,10,10,7,38,0,Xavier Johnson Defensive Rebound.
Oregon,Colorado,10,10,7,57,0,Xavier Johnson Turnover.
Oregon,Colorado,10,10,7,57,0,Ben Carter Steal.
Oregon,Colorado,12,10,8,1,1,Joseph Young made Layup.
Oregon,Colorado,12,10,8,1,0,Foul on Dustin Thomas.
Oregon,Colorado,13,10,8,1,1,Joseph Young made Free Throw.
