Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Saint Joseph's,Pennsylvania,2,0,0,13,1,Ronald Roberts Jr. made Dunk. Assisted by Halil Kanacevic.
Saint Joseph's,Pennsylvania,2,0,0,35,0,Foul on Langston Galloway.
Saint Joseph's,Pennsylvania,2,1,0,35,1,Fran Dougherty made Free Throw.
Saint Joseph's,Pennsylvania,2,2,0,35,1,Fran Dougherty made Free Throw.
Saint Joseph's,Pennsylvania,2,2,0,51,0,DeAndre Bembry Turnover.
Saint Joseph's,Pennsylvania,2,2,0,54,0,Fran Dougherty Steal.
Saint Joseph's,Pennsylvania,2,4,0,58,1,Miles Jackson-Cartwright made Jumper. Assisted by Tony Hicks.
Saint Joseph's,Pennsylvania,4,4,1,18,1,Ronald Roberts Jr. made Layup. Assisted by Langston Galloway.
Saint Joseph's,Pennsylvania,4,4,1,29,0,Darien Nelson-Henry Turnover.
Saint Joseph's,Pennsylvania,4,4,1,31,0,DeAndre Bembry Steal.
Saint Joseph's,Pennsylvania,4,4,1,45,0,Foul on Julian Harrell.
Saint Joseph's,Pennsylvania,4,4,1,57,0,Halil Kanacevic Turnover.
Saint Joseph's,Pennsylvania,4,4,2,21,0,Fran Dougherty Turnover.
Saint Joseph's,Pennsylvania,4,4,2,46,0,Ronald Roberts Jr. missed Jumper.
Saint Joseph's,Pennsylvania,4,4,2,46,0,Halil Kanacevic Offensive Rebound.
Saint Joseph's,Pennsylvania,6,4,2,50,1,Halil Kanacevic made Layup.
Saint Joseph's,Pennsylvania,6,6,3,1,1,Fran Dougherty made Jumper. Assisted by Miles Jackson-Cartwright.
Saint Joseph's,Pennsylvania,6,6,3,20,0,DeAndre Bembry missed Jumper.
Saint Joseph's,Pennsylvania,6,6,3,20,0,Fran Dougherty Defensive Rebound.
Saint Joseph's,Pennsylvania,6,6,3,27,0,Tony Hicks missed Jumper.
Saint Joseph's,Pennsylvania,6,6,3,27,0,Halil Kanacevic Defensive Rebound.
Saint Joseph's,Pennsylvania,9,6,3,42,1,DeAndre Bembry made Three Point Jumper. Assisted by Halil Kanacevic.
Saint Joseph's,Pennsylvania,9,6,4,7,0,Julian Harrell missed Three Point Jumper.
Saint Joseph's,Pennsylvania,9,6,4,7,0,DeAndre Bembry Defensive Rebound.
Saint Joseph's,Pennsylvania,9,6,4,18,0,Chris Wilson missed Three Point Jumper.
Saint Joseph's,Pennsylvania,9,6,4,18,0,Julian Harrell Defensive Rebound.
