Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Eastern Washington,Portland St,0,0,0,21,0,Andre Winston Jr. missed Jumper.
Eastern Washington,Portland St,0,0,0,21,0,Drew Brandon Defensive Rebound.
Eastern Washington,Portland St,2,0,0,40,1,Venky Jois made Layup.
Eastern Washington,Portland St,2,0,1,5,0,Marcus Hall missed Three Point Jumper.
Eastern Washington,Portland St,2,0,1,5,0,Venky Jois Defensive Rebound.
Eastern Washington,Portland St,2,0,1,22,0,Parker Kelly missed Layup.
Eastern Washington,Portland St,2,0,1,22,0,Portland St Defensive Rebound.
Eastern Washington,Portland St,2,2,1,43,1,Kyle Richardson made Layup.
Eastern Washington,Portland St,5,2,2,3,1,Tyler Harvey made Three Point Jumper. Assisted by Drew Brandon.
Eastern Washington,Portland St,5,5,2,36,1,Andre Winston Jr. made Three Point Jumper. Assisted by Tim Douglas.
Eastern Washington,Portland St,5,5,3,3,0,Parker Kelly missed Three Point Jumper.
Eastern Washington,Portland St,5,5,3,3,0,Marcus Hall Defensive Rebound.
Eastern Washington,Portland St,5,5,3,14,0,Foul on Venky Jois.
Eastern Washington,Portland St,5,5,3,20,0,Tim Douglas missed Jumper.
Eastern Washington,Portland St,5,5,3,20,0,Ognjen Miljkovic Defensive Rebound.
Eastern Washington,Portland St,5,5,3,29,0,Ognjen Miljkovic Turnover.
Eastern Washington,Portland St,5,7,3,45,1,Kyle Richardson made Jumper. Assisted by Gary Winston.
Eastern Washington,Portland St,7,7,4,20,1,Ognjen Miljkovic made Layup. Assisted by Tyler Harvey.
Eastern Washington,Portland St,7,9,4,47,1,Gary Winston made Layup. Assisted by Andre Winston Jr..
Eastern Washington,Portland St,10,9,5,10,1,Ognjen Miljkovic made Three Point Jumper. Assisted by Drew Brandon.
Eastern Washington,Portland St,10,9,5,26,0,Tim Douglas Turnover.
Eastern Washington,Portland St,13,9,5,36,1,Ognjen Miljkovic made Three Point Jumper. Assisted by Drew Brandon.
Eastern Washington,Portland St,13,9,5,56,0,Kyle Richardson missed Jumper.
Eastern Washington,Portland St,13,9,5,56,0,Eastern Washington Defensive Rebound.
Eastern Washington,Portland St,13,9,6,6,0,Foul on Gary Winston.
Eastern Washington,Portland St,15,9,6,17,1,Ognjen Miljkovic made Layup. Assisted by Drew Brandon.
Eastern Washington,Portland St,15,9,6,29,0,DaShaun Wiggins missed Jumper.
Eastern Washington,Portland St,15,9,6,29,0,Drew Brandon Defensive Rebound.
Eastern Washington,Portland St,18,9,6,40,1,Tyler Harvey made Three Point Jumper. Assisted by Ognjen Miljkovic.
Eastern Washington,Portland St,18,11,7,3,1,Kyle Richardson made Layup. Assisted by DaShaun Wiggins.
Eastern Washington,Portland St,18,11,7,18,0,Ognjen Miljkovic missed Three Point Jumper.
Eastern Washington,Portland St,18,11,7,18,0,Tim Douglas Defensive Rebound.
Eastern Washington,Portland St,18,11,7,30,0,Kyle Richardson Turnover.
Eastern Washington,Portland St,18,11,7,49,0,Thomas Reuter Turnover.
Eastern Washington,Portland St,18,14,8,7,1,Tim Douglas made Three Point Jumper. Assisted by DaShaun Wiggins.
Eastern Washington,Portland St,20,14,8,24,1,Thomas Reuter made Layup. Assisted by Ognjen Miljkovic.
Eastern Washington,Portland St,20,14,9,0,0,DaShaun Wiggins missed Jumper.
Eastern Washington,Portland St,20,14,9,0,0,Kyle Richardson Offensive Rebound.
Eastern Washington,Portland St,20,16,9,5,1,Kyle Richardson made Layup.
Eastern Washington,Portland St,22,16,9,16,1,Tyler Harvey made Jumper.
Eastern Washington,Portland St,22,16,9,16,0,Foul on Kyle Richardson.
Eastern Washington,Portland St,22,16,9,16,0,Official TV Timeout
Eastern Washington,Portland St,22,16,9,16,0,Tyler Harvey missed Free Throw.
Eastern Washington,Portland St,22,16,9,16,0,Kyle Richardson Defensive Rebound.
Eastern Washington,Portland St,22,16,9,40,0,Zach Gengler missed Three Point Jumper.
Eastern Washington,Portland St,22,16,9,40,0,Venky Jois Defensive Rebound.
Eastern Washington,Portland St,24,16,10,0,1,Martin Seiferth made Jumper. Assisted by Venky Jois.
Eastern Washington,Portland St,24,16,10,30,0,Kyle Richardson Turnover.
Eastern Washington,Portland St,24,16,10,32,0,Daniel Hill Steal.
Eastern Washington,Portland St,26,16,11,4,1,Daniel Hill made Layup. Assisted by Parker Kelly.
Eastern Washington,Portland St,26,16,11,16,0,Zach Gengler missed Jumper.
Eastern Washington,Portland St,26,16,11,16,0,Venky Jois Defensive Rebound.
Eastern Washington,Portland St,26,16,11,29,0,Venky Jois missed Layup.
Eastern Washington,Portland St,26,16,11,29,0,Marcus Hall Block.
Eastern Washington,Portland St,26,16,11,31,0,Marcus Hall Defensive Rebound.
Eastern Washington,Portland St,26,16,11,35,0,DaShaun Wiggins missed Three Point Jumper.
Eastern Washington,Portland St,26,16,11,35,0,Marcus Hall Offensive Rebound.
Eastern Washington,Portland St,26,16,11,39,0,Gary Winston Turnover.
Eastern Washington,Portland St,26,16,11,52,0,Drew Brandon Turnover.
Eastern Washington,Portland St,26,16,11,54,0,Marcus Hall Steal.
Eastern Washington,Portland St,26,16,11,55,0,Foul on Parker Kelly.
Eastern Washington,Portland St,26,17,11,55,1,DaShaun Wiggins made Free Throw.
Eastern Washington,Portland St,26,17,11,55,0,DaShaun Wiggins missed Free Throw.
Eastern Washington,Portland St,26,17,11,55,0,Ognjen Miljkovic Defensive Rebound.
Eastern Washington,Portland St,26,17,12,8,0,Tyler Harvey missed Three Point Jumper.
Eastern Washington,Portland St,26,17,12,8,0,Andre Winston Jr. Defensive Rebound.
Eastern Washington,Portland St,26,17,12,16,0,Foul on Parker Kelly.
Eastern Washington,Portland St,26,17,12,16,0,Official TV Timeout
Eastern Washington,Portland St,26,18,12,16,1,Andre Winston Jr. made Free Throw.
Eastern Washington,Portland St,26,19,12,16,1,Andre Winston Jr. made Free Throw.
Eastern Washington,Portland St,28,19,12,25,1,Drew Brandon made Layup.
Eastern Washington,Portland St,28,19,12,45,0,Andre Winston Jr. missed Three Point Jumper.
Eastern Washington,Portland St,28,19,12,45,0,Tyler Harvey Defensive Rebound.
Eastern Washington,Portland St,28,19,13,3,0,Foul on Gary Winston.
Eastern Washington,Portland St,31,19,13,5,1,Tyler Harvey made Three Point Jumper. Assisted by Drew Brandon.
Eastern Washington,Portland St,31,19,13,32,0,Foul on Martin Seiferth.
Eastern Washington,Portland St,31,19,13,52,0,DaShaun Wiggins missed Three Point Jumper.
