Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Purdue,West Virginia,0,0,0,0,0,Jump Ball won by West Virginia
Purdue,West Virginia,0,0,0,17,0,Foul on Travis Carroll.
Purdue,West Virginia,0,1,0,17,1,Devin Williams made Free Throw.
Purdue,West Virginia,0,2,0,17,1,Devin Williams made Free Throw.
Purdue,West Virginia,0,2,0,33,0,Terone Johnson missed Jumper.
Purdue,West Virginia,0,2,0,33,0,Devin Williams Defensive Rebound.
Purdue,West Virginia,0,2,0,46,0,Eron Harris missed Jumper.
Purdue,West Virginia,0,2,0,46,0,Travis Carroll Defensive Rebound.
Purdue,West Virginia,0,2,1,8,0,Basil Smotherman missed Jumper.
Purdue,West Virginia,0,2,1,8,0,Basil Smotherman Offensive Rebound.
Purdue,West Virginia,2,2,1,13,1,Basil Smotherman made Jumper.
Purdue,West Virginia,2,2,1,36,0,Juwan Staten Turnover.
Purdue,West Virginia,2,2,1,47,0,Basil Smotherman missed Layup.
Purdue,West Virginia,2,2,1,47,0,Remi Dibo Defensive Rebound.
Purdue,West Virginia,2,5,1,53,1,Eron Harris made Three Point Jumper. Assisted by Juwan Staten.
Purdue,West Virginia,4,5,2,10,1,Ronnie Johnson made Layup.
Purdue,West Virginia,4,5,2,16,0,Terry Henderson missed Three Point Jumper.
Purdue,West Virginia,4,5,2,16,0,Terone Johnson Defensive Rebound.
Purdue,West Virginia,4,5,2,34,0,Ronnie Johnson Turnover.
Purdue,West Virginia,4,5,2,50,0,Remi Dibo missed Three Point Jumper.
Purdue,West Virginia,4,5,2,50,0,Rapheal Davis Defensive Rebound.
Purdue,West Virginia,6,5,2,59,1,Basil Smotherman made Layup. Assisted by Rapheal Davis.
Purdue,West Virginia,6,7,3,14,1,Eron Harris made Jumper.
Purdue,West Virginia,6,7,3,33,0,Terone Johnson missed Jumper.
Purdue,West Virginia,6,7,3,33,0,Devin Williams Defensive Rebound.
Purdue,West Virginia,6,7,3,47,0,Juwan Staten missed Jumper.
Purdue,West Virginia,6,7,3,47,0,A.J. Hammons Block.
Purdue,West Virginia,6,7,3,47,0,A.J. Hammons Defensive Rebound.
Purdue,West Virginia,6,7,3,56,0,Foul on Brandon Watkins.
Purdue,West Virginia,6,7,4,4,0,Terone Johnson Turnover.
Purdue,West Virginia,6,7,4,4,0,Brandon Watkins Steal.
Purdue,West Virginia,6,7,4,11,0,Terry Henderson missed Layup.
Purdue,West Virginia,6,7,4,11,0,Brandon Watkins Offensive Rebound.
Purdue,West Virginia,6,7,4,19,0,Brandon Watkins missed Layup.
Purdue,West Virginia,6,7,4,19,0,A.J. Hammons Block.
Purdue,West Virginia,6,7,4,19,0,A.J. Hammons Defensive Rebound.
Purdue,West Virginia,6,7,4,19,0,A.J. Hammons Turnover.
Purdue,West Virginia,6,7,4,19,0,Brandon Watkins Steal.
Purdue,West Virginia,6,9,4,33,1,Terry Henderson made Layup.
Purdue,West Virginia,6,9,4,41,0,Terone Johnson missed Three Point Jumper.
Purdue,West Virginia,6,9,4,41,0,Brandon Watkins Defensive Rebound.
Purdue,West Virginia,6,9,4,41,0,Foul on A.J. Hammons.
Purdue,West Virginia,6,9,4,41,0,Official TV Timeout
Purdue,West Virginia,6,11,5,6,1,Juwan Staten made Jumper.
Purdue,West Virginia,6,11,5,28,0,Foul on Brandon Watkins.
Purdue,West Virginia,6,11,5,31,0,Bryson Scott missed Jumper.
Purdue,West Virginia,6,11,5,31,0,Remi Dibo Defensive Rebound.
Purdue,West Virginia,6,14,5,40,1,Terry Henderson made Three Point Jumper. Assisted by Juwan Staten.
Purdue,West Virginia,6,14,5,54,0,Kendall Stephens missed Three Point Jumper.
Purdue,West Virginia,6,14,5,54,0,Remi Dibo Defensive Rebound.
Purdue,West Virginia,6,14,6,11,0,Foul on Errick Peck.
Purdue,West Virginia,6,14,6,12,0,Eron Harris missed Three Point Jumper.
Purdue,West Virginia,6,14,6,12,0,Devin Williams Offensive Rebound.
Purdue,West Virginia,6,14,6,17,0,Devin Williams missed Jumper.
Purdue,West Virginia,6,14,6,17,0,Nathan Adrian Offensive Rebound.
Purdue,West Virginia,6,14,6,17,0,Nathan Adrian missed Jumper.
Purdue,West Virginia,6,14,6,17,0,Errick Peck Defensive Rebound.
Purdue,West Virginia,6,14,6,36,0,Errick Peck missed Jumper.
Purdue,West Virginia,6,14,6,36,0,Devin Williams Defensive Rebound.
Purdue,West Virginia,6,14,6,46,0,Nathan Adrian missed Three Point Jumper.
Purdue,West Virginia,6,14,6,46,0,Sterling Carter Defensive Rebound.
Purdue,West Virginia,9,14,7,2,1,Kendall Stephens made Three Point Jumper.
Purdue,West Virginia,9,14,7,18,0,Devin Williams missed Jumper.
Purdue,West Virginia,9,14,7,18,0,Kendall Stephens Block.
Purdue,West Virginia,9,14,7,18,0,Ronnie Johnson Defensive Rebound.
Purdue,West Virginia,12,14,7,31,1,Sterling Carter made Three Point Jumper. Assisted by Kendall Stephens.
Purdue,West Virginia,12,14,7,31,0,West Virginia  Timeout
Purdue,West Virginia,12,14,7,42,0,Foul on Sterling Carter.
Purdue,West Virginia,12,14,7,46,0,Nathan Adrian missed Jumper.
Purdue,West Virginia,12,14,7,46,0,Jay Simpson Defensive Rebound.
Purdue,West Virginia,14,14,7,50,1,Basil Smotherman made Layup.
Purdue,West Virginia,14,14,8,5,0,Foul on Jay Simpson.
Purdue,West Virginia,14,14,8,5,0,Official TV Timeout
Purdue,West Virginia,14,14,8,7,0,Eron Harris Turnover.
Purdue,West Virginia,14,14,8,27,0,Sterling Carter missed Three Point Jumper.
Purdue,West Virginia,14,14,8,27,0,Devin Williams Defensive Rebound.
Purdue,West Virginia,14,14,8,52,0,Foul on Kendall Stephens.
Purdue,West Virginia,14,16,8,53,1,Eron Harris made Jumper. Assisted by Juwan Staten.
Purdue,West Virginia,17,16,9,12,1,Ronnie Johnson made Three Point Jumper. Assisted by Basil Smotherman.
Purdue,West Virginia,17,18,9,36,1,Devin Williams made Jumper.
Purdue,West Virginia,17,18,9,51,0,Rapheal Davis Turnover.
Purdue,West Virginia,17,18,9,51,0,Devin Williams Steal.
Purdue,West Virginia,17,18,9,51,0,Jump Ball won by West Virginia
Purdue,West Virginia,17,20,10,4,1,Juwan Staten made Jumper.
Purdue,West Virginia,17,20,10,19,0,Basil Smotherman Turnover.
Purdue,West Virginia,17,20,10,27,0,Foul on Kevin Noreen.
Purdue,West Virginia,17,20,10,27,0,Kevin Noreen Turnover.
Purdue,West Virginia,17,20,10,34,0,Ronnie Johnson missed Jumper.
Purdue,West Virginia,17,20,10,34,0,Juwan Staten Defensive Rebound.
Purdue,West Virginia,17,20,10,40,0,Terry Henderson missed Jumper.
Purdue,West Virginia,17,20,10,40,0,A.J. Hammons Block.
Purdue,West Virginia,17,20,10,40,0,Rapheal Davis Defensive Rebound.
Purdue,West Virginia,17,20,10,48,0,Rapheal Davis Turnover.
Purdue,West Virginia,17,20,10,48,0,Juwan Staten Steal.
Purdue,West Virginia,17,20,10,48,0,Juwan Staten missed Jumper.
Purdue,West Virginia,17,20,10,48,0,Terone Johnson missed Free Throw.
Purdue,West Virginia,17,20,10,48,0,Rapheal Davis Defensive Rebound.
Purdue,West Virginia,17,20,10,48,0,Purdue Deadball Team Rebound.
Purdue,West Virginia,18,20,10,48,1,Terone Johnson made Free Throw.
Purdue,West Virginia,18,20,10,57,0,Foul on Kevin Noreen.
Purdue,West Virginia,18,20,10,57,0,Gary Browne missed Jumper.
Purdue,West Virginia,18,20,11,10,0,A.J. Hammons Defensive Rebound.
Purdue,West Virginia,20,20,11,27,1,Terone Johnson made Layup.
Purdue,West Virginia,20,20,11,53,0,Foul on Kendall Stephens.
Purdue,West Virginia,20,21,11,53,1,Terry Henderson made Free Throw.
Purdue,West Virginia,20,21,11,53,0,West Virginia Deadball Team Rebound.
Purdue,West Virginia,20,21,11,53,0,Terry Henderson missed Free Throw.
Purdue,West Virginia,20,21,11,53,0,A.J. Hammons Defensive Rebound.
Purdue,West Virginia,22,21,12,7,1,A.J. Hammons made Layup. Assisted by Ronnie Johnson.
Purdue,West Virginia,22,23,12,27,1,Devin Williams made Jumper.
Purdue,West Virginia,22,23,12,46,0,Ronnie Johnson missed Jumper.
Purdue,West Virginia,22,23,12,46,0,A.J. Hammons Offensive Rebound.
Purdue,West Virginia,22,23,12,52,0,A.J. Hammons missed Jumper.
Purdue,West Virginia,22,23,12,52,0,West Virginia Defensive Rebound.
Purdue,West Virginia,22,23,12,54,0,Official TV Timeout
Purdue,West Virginia,22,23,13,9,0,Foul on Bryson Scott.
Purdue,West Virginia,22,23,13,9,0,Eron Harris missed Free Throw.
Purdue,West Virginia,22,23,13,9,0,A.J. Hammons Defensive Rebound.
Purdue,West Virginia,22,23,13,17,0,Foul on Errick Peck.
Purdue,West Virginia,22,23,13,17,0,Errick Peck Turnover.
Purdue,West Virginia,22,23,13,43,0,Terry Henderson missed Three Point Jumper.
Purdue,West Virginia,22,23,13,43,0,West Virginia Offensive Rebound.
Purdue,West Virginia,22,23,13,48,0,Devin Williams Turnover.
Purdue,West Virginia,22,23,13,48,0,Foul on Devin Williams.
Purdue,West Virginia,22,23,14,0,0,Terone Johnson missed Three Point Jumper.
Purdue,West Virginia,22,23,14,0,0,Bryson Scott Offensive Rebound.
Purdue,West Virginia,22,23,14,7,0,Foul on Nathan Adrian.
Purdue,West Virginia,24,23,14,9,1,Bryson Scott made Layup.
Purdue,West Virginia,24,23,14,26,0,Foul on Bryson Scott.
Purdue,West Virginia,24,24,14,26,1,Terry Henderson made Free Throw.
Purdue,West Virginia,24,25,14,26,1,Terry Henderson made Free Throw.
Purdue,West Virginia,24,25,14,35,0,Foul on Juwan Staten.
Purdue,West Virginia,25,25,14,35,1,Ronnie Johnson made Free Throw.
Purdue,West Virginia,26,25,14,35,1,Ronnie Johnson made Free Throw.
Purdue,West Virginia,26,25,14,57,0,Juwan Staten Turnover.
Purdue,West Virginia,26,25,14,57,0,Terone Johnson Steal.
Purdue,West Virginia,26,25,14,57,0,Foul on Juwan Staten.
Purdue,West Virginia,27,25,14,57,1,Terone Johnson made Free Throw.
Purdue,West Virginia,28,25,14,57,1,Terone Johnson made Free Throw.
Purdue,West Virginia,28,25,15,19,0,Terry Henderson missed Three Point Jumper.
Purdue,West Virginia,28,25,15,19,0,Sterling Carter Defensive Rebound.
Purdue,West Virginia,30,25,15,36,1,A.J. Hammons made Dunk. Assisted by Terone Johnson.
Purdue,West Virginia,30,27,16,12,1,Eron Harris made Jumper.
Purdue,West Virginia,30,27,16,30,0,Terone Johnson missed Three Point Jumper.
Purdue,West Virginia,30,27,16,30,0,Devin Williams Defensive Rebound.
Purdue,West Virginia,30,27,16,33,0,Foul on A.J. Hammons.
Purdue,West Virginia,30,27,16,33,0,Official TV Timeout
Purdue,West Virginia,30,27,16,33,0,Devin Williams missed Free Throw.
Purdue,West Virginia,30,27,16,33,0,West Virginia Deadball Team Rebound.
Purdue,West Virginia,30,27,16,33,0,Remi Dibo Turnover.
Purdue,West Virginia,30,27,16,56,0,Ronnie Johnson missed Three Point Jumper.
Purdue,West Virginia,30,27,16,56,0,Gary Browne Defensive Rebound.
Purdue,West Virginia,30,29,17,10,1,Devin Williams made Dunk. Assisted by Eron Harris.
Purdue,West Virginia,30,29,17,29,0,Sterling Carter missed Three Point Jumper.
Purdue,West Virginia,30,29,17,29,0,West Virginia Defensive Rebound.
Purdue,West Virginia,30,29,17,45,0,Foul on Ronnie Johnson.
Purdue,West Virginia,30,29,17,45,0,Foul on Gary Browne.
Purdue,West Virginia,30,29,17,50,0,Devin Williams missed Layup.
Purdue,West Virginia,30,29,17,50,0,Devin Williams Offensive Rebound.
Purdue,West Virginia,30,31,17,50,1,Devin Williams made Two Point Tip Shot.
Purdue,West Virginia,30,31,18,7,0,Foul on Nathan Adrian.
Purdue,West Virginia,30,31,18,7,0,Basil Smotherman missed Free Throw.
Purdue,West Virginia,30,31,18,7,0,Purdue Deadball Team Rebound.
Purdue,West Virginia,31,31,18,7,1,Basil Smotherman made Free Throw.
Purdue,West Virginia,31,31,18,17,0,Devin Williams Turnover.
Purdue,West Virginia,31,31,18,17,0,Terone Johnson Steal.
Purdue,West Virginia,31,31,18,17,0,Jump Ball won by Purdue
Purdue,West Virginia,31,31,18,32,0,Terone Johnson missed Jumper.
Purdue,West Virginia,31,31,18,32,0,Purdue Offensive Rebound.
Purdue,West Virginia,31,31,18,32,0,Purdue  Timeout
Purdue,West Virginia,31,31,18,42,0,Ronnie Johnson missed Jumper.
Purdue,West Virginia,31,31,18,42,0,Terone Johnson Offensive Rebound.
Purdue,West Virginia,31,31,18,46,0,Foul on Nathan Adrian.
Purdue,West Virginia,32,31,18,46,1,Terone Johnson made Free Throw.
Purdue,West Virginia,33,31,18,46,1,Terone Johnson made Free Throw.
Purdue,West Virginia,33,31,19,3,0,Foul on Travis Carroll.
Purdue,West Virginia,33,32,19,3,1,Devin Williams made Free Throw.
Purdue,West Virginia,33,33,19,3,1,Devin Williams made Free Throw.
Purdue,West Virginia,33,33,19,18,0,Ronnie Johnson missed Jumper.
Purdue,West Virginia,33,33,19,18,0,Eron Harris Defensive Rebound.
Purdue,West Virginia,33,33,19,43,0,Eron Harris missed Three Point Jumper.
Purdue,West Virginia,33,33,19,43,0,Ronnie Johnson Defensive Rebound.
Purdue,West Virginia,33,33,19,55,0,Ronnie Johnson missed Jumper.
Purdue,West Virginia,33,33,19,55,0,Devin Williams Block.
Purdue,West Virginia,33,33,19,55,0,Travis Carroll Offensive Rebound.
Purdue,West Virginia,35,33,19,55,1,Travis Carroll made Layup.
Purdue,West Virginia,35,33,20,0,0,End of 1st half
Purdue,West Virginia,35,33,20,0,0,Jump Ball won by West Virginia
Purdue,West Virginia,35,33,20,15,0,Eron Harris missed Jumper.
Purdue,West Virginia,35,33,20,15,0,Basil Smotherman Defensive Rebound.
Purdue,West Virginia,38,33,20,48,1,Terone Johnson made Three Point Jumper. Assisted by Ronnie Johnson.
Purdue,West Virginia,38,33,21,17,0,Remi Dibo missed Three Point Jumper.
Purdue,West Virginia,38,33,21,17,0,Rapheal Davis Defensive Rebound.
Purdue,West Virginia,38,33,21,47,0,Foul on Eron Harris.
Purdue,West Virginia,40,33,22,8,1,Ronnie Johnson made Jumper.
Purdue,West Virginia,40,33,22,27,0,Terry Henderson missed Jumper.
Purdue,West Virginia,40,33,22,27,0,Purdue Defensive Rebound.
Purdue,West Virginia,40,33,22,56,0,Basil Smotherman missed Three Point Jumper.
Purdue,West Virginia,40,33,22,56,0,Brandon Watkins Defensive Rebound.
Purdue,West Virginia,40,33,23,4,0,Juwan Staten missed Dunk.
Purdue,West Virginia,40,33,23,4,0,Nathan Adrian Offensive Rebound.
Purdue,West Virginia,40,33,23,4,0,Foul on Ronnie Johnson.
Purdue,West Virginia,40,35,23,24,1,Eron Harris made Layup.
Purdue,West Virginia,40,35,23,59,0,Ronnie Johnson missed Jumper.
Purdue,West Virginia,40,35,23,59,0,A.J. Hammons Offensive Rebound.
Purdue,West Virginia,40,35,24,18,0,Terone Johnson missed Jumper.
Purdue,West Virginia,40,35,24,18,0,A.J. Hammons Offensive Rebound.
Purdue,West Virginia,40,35,24,18,0,A.J. Hammons missed Two Point Tip Shot.
Purdue,West Virginia,40,35,24,18,0,West Virginia Defensive Rebound.
Purdue,West Virginia,40,35,24,25,0,Official TV Timeout
Purdue,West Virginia,40,35,24,41,0,Brandon Watkins missed Jumper.
Purdue,West Virginia,40,35,24,41,0,Nathan Adrian Offensive Rebound.
Purdue,West Virginia,40,37,24,41,1,Nathan Adrian made Two Point Tip Shot.
Purdue,West Virginia,40,37,24,53,0,Foul on Brandon Watkins.
Purdue,West Virginia,41,37,24,53,1,A.J. Hammons made Free Throw.
Purdue,West Virginia,42,37,24,53,1,A.J. Hammons made Free Throw.
Purdue,West Virginia,42,37,25,0,0,Foul on Kendall Stephens.
Purdue,West Virginia,42,39,25,7,1,Eron Harris made Jumper. Assisted by Nathan Adrian.
Purdue,West Virginia,44,39,25,28,1,Terone Johnson made Jumper.
Purdue,West Virginia,44,39,25,35,0,Terry Henderson missed Three Point Jumper.
Purdue,West Virginia,44,39,25,35,0,A.J. Hammons Defensive Rebound.
Purdue,West Virginia,44,39,25,45,0,Kendall Stephens missed Three Point Jumper.
Purdue,West Virginia,44,39,25,45,0,Devin Williams Defensive Rebound.
Purdue,West Virginia,44,39,25,45,0,Foul on Errick Peck.
Purdue,West Virginia,44,39,26,8,0,Eron Harris missed Three Point Jumper.
Purdue,West Virginia,44,39,26,8,0,Kendall Stephens Defensive Rebound.
Purdue,West Virginia,44,39,26,20,0,A.J. Hammons missed Layup.
Purdue,West Virginia,44,39,26,20,0,Nathan Adrian Defensive Rebound.
Purdue,West Virginia,44,39,26,45,0,Devin Williams missed Jumper.
Purdue,West Virginia,44,39,26,45,0,A.J. Hammons Defensive Rebound.
Purdue,West Virginia,44,39,26,53,0,Errick Peck Turnover.
Purdue,West Virginia,44,39,27,12,0,Nathan Adrian missed Three Point Jumper.
