Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Richmond,George Mason,0,0,0,0,0,Jump Ball won by Richmond
Richmond,George Mason,0,0,0,16,0,Kendall Anthony missed Three Point Jumper.
Richmond,George Mason,0,0,0,16,0,Alonzo Nelson-Ododa Offensive Rebound.
Richmond,George Mason,0,0,0,37,0,Kendall Anthony missed Three Point Jumper.
Richmond,George Mason,0,0,0,37,0,Trey Davis Offensive Rebound.
Richmond,George Mason,0,0,1,6,0,Deion Taylor missed Three Point Jumper.
Richmond,George Mason,0,0,1,6,0,George Mason Defensive Rebound.
Richmond,George Mason,0,2,1,31,1,Sherrod Wright made Layup. Assisted by Jalen Jenkins.
Richmond,George Mason,3,2,1,59,1,Wayne Sparrow made Three Point Jumper. Assisted by Kendall Anthony.
Richmond,George Mason,3,2,2,38,0,Bryon Allen missed Jumper.
Richmond,George Mason,3,2,2,38,0,Jalen Jenkins Offensive Rebound.
Richmond,George Mason,3,4,2,42,1,Jalen Jenkins made Layup.
Richmond,George Mason,3,4,3,7,0,Alonzo Nelson-Ododa Turnover.
Richmond,George Mason,3,4,3,7,0,Bryon Allen Steal.
Richmond,George Mason,3,4,3,15,0,Marquise Moore missed Layup.
Richmond,George Mason,3,4,3,15,0,Trey Davis Defensive Rebound.
Richmond,George Mason,5,4,3,21,1,Kendall Anthony made Jumper. Assisted by Trey Davis.
Richmond,George Mason,5,4,3,48,0,Erik Copes Turnover.
Richmond,George Mason,5,4,3,48,0,Deion Taylor Steal.
Richmond,George Mason,7,4,3,58,1,Wayne Sparrow made Layup.
Richmond,George Mason,7,7,4,12,1,Bryon Allen made Three Point Jumper. Assisted by Jalen Jenkins.
Richmond,George Mason,7,7,4,41,0,Official TV Timeout
Richmond,George Mason,7,7,4,45,0,Kendall Anthony missed Three Point Jumper.
Richmond,George Mason,7,7,4,45,0,Sherrod Wright Defensive Rebound.
Richmond,George Mason,7,7,4,59,0,Sherrod Wright missed Jumper.
Richmond,George Mason,7,7,4,59,0,Deion Taylor Defensive Rebound.
Richmond,George Mason,7,7,5,10,0,Terry Allen missed Jumper.
Richmond,George Mason,7,7,5,10,0,Marquise Moore Block.
Richmond,George Mason,7,7,5,10,0,Jalen Jenkins Defensive Rebound.
Richmond,George Mason,7,7,5,35,0,Marquise Moore missed Layup.
Richmond,George Mason,7,7,5,35,0,Trey Davis Defensive Rebound.
Richmond,George Mason,7,7,5,45,0,Terry Allen missed Jumper.
Richmond,George Mason,7,7,5,45,0,Bryon Allen Defensive Rebound.
Richmond,George Mason,7,7,5,46,0,Foul on Terry Allen.
