Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
SE Louisiana,Arkansas,0,3,0,28,1,Kikko Haydar made Three Point Jumper.
SE Louisiana,Arkansas,2,3,1,3,1,Jeremy Campbell made Layup. Assisted by Antonnio Benton.
SE Louisiana,Arkansas,2,3,1,12,0,Kikko Haydar missed Three Point Jumper.
SE Louisiana,Arkansas,2,3,1,12,0,Antonnio Benton Defensive Rebound.
SE Louisiana,Arkansas,2,3,1,25,0,Antonnio Benton Turnover.
SE Louisiana,Arkansas,2,3,1,31,0,Foul on Dre Evans.
SE Louisiana,Arkansas,2,3,1,39,0,Bobby Portis Turnover.
SE Louisiana,Arkansas,2,3,1,40,0,Jeremy Campbell Steal.
SE Louisiana,Arkansas,2,3,1,59,0,Dre Evans missed Three Point Jumper.
SE Louisiana,Arkansas,2,3,1,59,0,Fred Gulley Defensive Rebound.
SE Louisiana,Arkansas,2,3,2,9,0,Alandise Harris missed Three Point Jumper.
SE Louisiana,Arkansas,2,3,2,9,0,JaMichael Hawkins Defensive Rebound.
SE Louisiana,Arkansas,2,3,2,21,0,JaMichael Hawkins Turnover.
SE Louisiana,Arkansas,2,6,2,33,1,Kikko Haydar made Three Point Jumper. Assisted by Alandise Harris.
SE Louisiana,Arkansas,2,6,2,43,0,Jeremy Campbell Turnover.
SE Louisiana,Arkansas,2,6,2,44,0,Kikko Haydar Steal.
SE Louisiana,Arkansas,2,8,2,45,1,Bobby Portis made Dunk. Assisted by Kikko Haydar.
SE Louisiana,Arkansas,5,8,3,7,1,JaMichael Hawkins made Three Point Jumper. Assisted by Dre Evans.
SE Louisiana,Arkansas,5,11,3,21,1,Kikko Haydar made Three Point Jumper. Assisted by Rashad Madden.
SE Louisiana,Arkansas,7,11,3,35,1,Devonte Upson made Layup. Assisted by Dre Evans.
SE Louisiana,Arkansas,7,11,3,46,0,Bobby Portis missed Jumper.
SE Louisiana,Arkansas,7,11,3,46,0,Antonnio Benton Defensive Rebound.
SE Louisiana,Arkansas,7,11,3,55,0,JaMichael Hawkins missed Three Point Jumper.
SE Louisiana,Arkansas,7,11,3,55,0,Bobby Portis Defensive Rebound.
SE Louisiana,Arkansas,7,13,4,9,1,Fred Gulley made Layup.
SE Louisiana,Arkansas,7,13,4,45,0,Foul on Alandise Harris.
SE Louisiana,Arkansas,7,13,4,45,0,Official TV Timeout
SE Louisiana,Arkansas,7,13,4,48,0,Julian Chiera Turnover.
SE Louisiana,Arkansas,7,16,4,59,1,Fred Gulley made Three Point Jumper. Assisted by Alandise Harris.
SE Louisiana,Arkansas,7,16,5,14,0,Antonnio Benton missed Layup.
SE Louisiana,Arkansas,7,16,5,14,0,Alandise Harris Block.
