Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Rhode Island,Saint Joseph's,0,2,0,21,1,Halil Kanacevic made Layup. Assisted by DeAndre Bembry.
Rhode Island,Saint Joseph's,0,2,0,45,0,Xavier Munford missed Jumper.
Rhode Island,Saint Joseph's,0,2,0,45,0,Rhode Island Offensive Rebound.
Rhode Island,Saint Joseph's,2,2,0,56,1,T.J. Buchanan made Jumper.
Rhode Island,Saint Joseph's,2,4,1,18,1,Ronald Roberts Jr. made Layup. Assisted by Halil Kanacevic.
Rhode Island,Saint Joseph's,4,4,1,35,1,Hassan Martin made Jumper. Assisted by Gilvydas Biruta.
Rhode Island,Saint Joseph's,4,4,1,54,0,Chris Wilson Turnover.
Rhode Island,Saint Joseph's,4,4,2,22,0,E.C. Matthews Turnover.
Rhode Island,Saint Joseph's,4,7,2,35,1,DeAndre Bembry made Three Point Jumper. Assisted by Chris Wilson.
Rhode Island,Saint Joseph's,4,7,3,2,0,Foul on Halil Kanacevic.
Rhode Island,Saint Joseph's,5,7,3,2,1,Gilvydas Biruta made Free Throw.
Rhode Island,Saint Joseph's,5,7,3,2,0,Gilvydas Biruta missed Free Throw.
Rhode Island,Saint Joseph's,5,7,3,2,0,Halil Kanacevic Defensive Rebound.
Rhode Island,Saint Joseph's,5,7,3,11,0,Halil Kanacevic Turnover.
Rhode Island,Saint Joseph's,5,7,3,38,0,Xavier Munford missed Three Point Jumper.
Rhode Island,Saint Joseph's,5,7,3,38,0,Halil Kanacevic Defensive Rebound.
Rhode Island,Saint Joseph's,5,7,3,46,0,Chris Wilson missed Three Point Jumper.
Rhode Island,Saint Joseph's,5,7,3,46,0,Xavier Munford Defensive Rebound.
Rhode Island,Saint Joseph's,5,7,3,49,0,Xavier Munford Turnover.
Rhode Island,Saint Joseph's,5,7,3,51,0,Langston Galloway Steal.
Rhode Island,Saint Joseph's,5,9,3,54,1,Langston Galloway made Jumper.
Rhode Island,Saint Joseph's,5,9,4,24,0,Gilvydas Biruta missed Three Point Jumper.
Rhode Island,Saint Joseph's,5,9,4,24,0,Chris Wilson Defensive Rebound.
Rhode Island,Saint Joseph's,5,11,4,31,1,Halil Kanacevic made Layup. Assisted by Chris Wilson.
Rhode Island,Saint Joseph's,7,11,4,47,1,Gilvydas Biruta made Jumper. Assisted by T.J. Buchanan.
Rhode Island,Saint Joseph's,7,11,5,14,0,Foul on Gilvydas Biruta.
Rhode Island,Saint Joseph's,7,11,5,14,0,Official TV Timeout
Rhode Island,Saint Joseph's,7,12,5,14,1,Ronald Roberts Jr. made Free Throw.
Rhode Island,Saint Joseph's,7,12,5,14,0,Ronald Roberts Jr. missed Free Throw.
Rhode Island,Saint Joseph's,7,12,5,14,0,Hassan Martin Defensive Rebound.
Rhode Island,Saint Joseph's,7,12,5,31,0,Gilvydas Biruta missed Jumper.
Rhode Island,Saint Joseph's,7,12,5,31,0,Papa Ndao Defensive Rebound.
Rhode Island,Saint Joseph's,7,12,5,40,0,DeAndre Bembry missed Jumper.
Rhode Island,Saint Joseph's,7,12,5,40,0,Gilvydas Biruta Block.
Rhode Island,Saint Joseph's,7,12,5,42,0,Ronald Roberts Jr. Offensive Rebound.
Rhode Island,Saint Joseph's,7,14,5,45,1,Ronald Roberts Jr. made Dunk.
Rhode Island,Saint Joseph's,7,14,5,59,0,E.C. Matthews missed Jumper.
Rhode Island,Saint Joseph's,7,14,5,59,0,Langston Galloway Block.
Rhode Island,Saint Joseph's,7,14,6,1,0,DeAndre Bembry Defensive Rebound.
Rhode Island,Saint Joseph's,7,14,6,7,0,DeAndre Bembry missed Jumper.
Rhode Island,Saint Joseph's,7,14,6,7,0,T.J. Buchanan Defensive Rebound.
Rhode Island,Saint Joseph's,7,14,6,15,0,Foul on DeAndre Bembry.
Rhode Island,Saint Joseph's,7,14,6,30,0,Gilvydas Biruta missed Jumper.
Rhode Island,Saint Joseph's,7,14,6,30,0,Hassan Martin Offensive Rebound.
Rhode Island,Saint Joseph's,7,14,6,33,0,Hassan Martin missed Two Point Tip Shot.
