Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Saint Peter's,Rider,0,2,0,20,1,Daniel Stewart made Jumper. Assisted by Jimmie Taylor.
Saint Peter's,Rider,3,2,0,48,1,Desi Washington made Three Point Jumper. Assisted by Marvin Dominique.
Saint Peter's,Rider,3,2,1,3,0,Zedric Sadler missed Layup.
Saint Peter's,Rider,3,2,1,3,0,Kahlil Thomas Offensive Rebound.
Saint Peter's,Rider,3,5,1,14,1,Daniel Stewart made Three Point Jumper. Assisted by Anthony Myles.
Saint Peter's,Rider,3,5,1,42,0,Chris Burke missed Jumper.
Saint Peter's,Rider,3,5,1,42,0,Jimmie Taylor Defensive Rebound.
Saint Peter's,Rider,3,7,2,1,1,Daniel Stewart made Layup.
Saint Peter's,Rider,3,7,2,12,0,Marvin Dominique missed Three Point Jumper.
Saint Peter's,Rider,3,7,2,12,0,Anthony Myles Defensive Rebound.
Saint Peter's,Rider,3,7,2,25,0,Jimmie Taylor Turnover.
Saint Peter's,Rider,3,7,2,25,0,Trevis Wyche Steal.
Saint Peter's,Rider,3,7,2,28,0,Trevis Wyche missed Layup.
Saint Peter's,Rider,3,7,2,28,0,Quadir Welton Offensive Rebound.
Saint Peter's,Rider,3,7,2,48,0,Desi Washington missed Layup.
Saint Peter's,Rider,3,7,2,48,0,Kahlil Thomas Block.
Saint Peter's,Rider,3,7,2,50,0,Kahlil Thomas Defensive Rebound.
Saint Peter's,Rider,3,7,3,3,0,Foul on Marvin Dominique.
Saint Peter's,Rider,3,7,3,10,0,Anthony Myles missed Jumper.
Saint Peter's,Rider,3,7,3,10,0,Desi Washington Defensive Rebound.
Saint Peter's,Rider,6,7,3,44,1,Desi Washington made Three Point Jumper. Assisted by Trevis Wyche.
Saint Peter's,Rider,6,7,3,58,0,Jimmie Taylor missed Three Point Jumper.
Saint Peter's,Rider,6,7,3,58,0,Trevis Wyche Defensive Rebound.
Saint Peter's,Rider,6,7,4,9,0,Trevis Wyche missed Three Point Jumper.
Saint Peter's,Rider,6,7,4,9,0,Zedric Sadler Defensive Rebound.
Saint Peter's,Rider,6,9,4,28,1,Kahlil Thomas made Layup.
Saint Peter's,Rider,6,9,4,43,0,Desi Washington missed Three Point Jumper.
Saint Peter's,Rider,6,9,4,43,0,Anthony Myles Defensive Rebound.
Saint Peter's,Rider,6,9,4,51,0,Foul on Quadir Welton.
Saint Peter's,Rider,6,9,4,51,0,Official TV Timeout
Saint Peter's,Rider,6,9,5,17,0,Junior Fortunat missed Layup.
Saint Peter's,Rider,6,9,5,17,0,Tyler Gaskins Block.
Saint Peter's,Rider,6,9,5,19,0,Tyler Gaskins Defensive Rebound.
Saint Peter's,Rider,9,9,5,28,1,Desi Washington made Three Point Jumper. Assisted by Trevis Wyche.
Saint Peter's,Rider,9,9,5,49,0,Tommy Pereira missed Three Point Jumper.
Saint Peter's,Rider,9,9,5,49,0,Khalil Alford Offensive Rebound.
Saint Peter's,Rider,9,9,5,57,0,Daniel Stewart missed Jumper.
Saint Peter's,Rider,9,9,5,57,0,Desi Washington Defensive Rebound.
Saint Peter's,Rider,9,9,6,10,0,Marvin Dominique missed Jumper.
Saint Peter's,Rider,9,9,6,10,0,Khalil Alford Defensive Rebound.
Saint Peter's,Rider,9,9,6,35,0,Khalil Alford missed Layup.
Saint Peter's,Rider,9,9,6,35,0,Jimmie Taylor Offensive Rebound.
Saint Peter's,Rider,9,9,6,37,0,Jimmie Taylor missed Layup.
Saint Peter's,Rider,9,9,6,37,0,Marvin Dominique Defensive Rebound.
Saint Peter's,Rider,9,9,6,45,0,Trevis Wyche missed Layup.
Saint Peter's,Rider,9,9,6,45,0,Junior Fortunat Defensive Rebound.
Saint Peter's,Rider,9,9,6,52,0,Foul on Marvin Dominique.
Saint Peter's,Rider,9,9,7,0,0,Foul on Elias Desport.
Saint Peter's,Rider,9,9,7,21,0,Daniel Stewart missed Three Point Jumper.
Saint Peter's,Rider,9,9,7,21,0,Junior Fortunat Offensive Rebound.
Saint Peter's,Rider,9,12,7,26,1,Tommy Pereira made Three Point Jumper. Assisted by Zedric Sadler.
Saint Peter's,Rider,9,12,7,47,0,Howard Sellars missed Three Point Jumper.
Saint Peter's,Rider,9,12,7,47,0,Khalil Alford Defensive Rebound.
Saint Peter's,Rider,9,12,7,57,0,Zedric Sadler missed Three Point Jumper.
Saint Peter's,Rider,9,12,7,57,0,Kris Rolle Defensive Rebound.
Saint Peter's,Rider,9,12,8,5,0,Jamel Fields missed Layup.
Saint Peter's,Rider,9,12,8,5,0,Saint Peter's Offensive Rebound.
Saint Peter's,Rider,9,12,8,7,0,Official TV Timeout
Saint Peter's,Rider,12,12,8,21,1,Chris Burke made Three Point Jumper. Assisted by Quadir Welton.
Saint Peter's,Rider,12,12,8,41,0,Daniel Stewart missed Layup.
Saint Peter's,Rider,12,12,8,41,0,Howard Sellars Defensive Rebound.
Saint Peter's,Rider,12,12,8,46,0,Foul on Khalil Alford.
Saint Peter's,Rider,14,12,9,0,1,Howard Sellars made Jumper. Assisted by Chris Burke.
Saint Peter's,Rider,14,12,9,29,0,Kahlil Thomas missed Layup.
Saint Peter's,Rider,14,12,9,29,0,Kris Rolle Defensive Rebound.
Saint Peter's,Rider,16,12,9,50,1,Howard Sellars made Jumper. Assisted by Trevis Wyche.
Saint Peter's,Rider,16,12,10,8,0,Foul on Howard Sellars.
Saint Peter's,Rider,16,12,10,22,0,Foul on Elias Desport.
Saint Peter's,Rider,16,13,10,22,1,Daniel Stewart made Free Throw.
Saint Peter's,Rider,16,14,10,22,1,Daniel Stewart made Free Throw.
Saint Peter's,Rider,16,14,10,35,0,Foul on Jimmie Taylor.
Saint Peter's,Rider,16,14,10,45,0,Markese Tucker missed Jumper.
Saint Peter's,Rider,16,14,10,45,0,Anthony Myles Defensive Rebound.
Saint Peter's,Rider,16,16,11,7,1,Zedric Sadler made Layup.
Saint Peter's,Rider,19,16,11,23,1,Chris Burke made Three Point Jumper. Assisted by Trevis Wyche.
Saint Peter's,Rider,19,16,11,53,0,Kahlil Thomas Turnover.
Saint Peter's,Rider,19,16,11,54,0,Chris Burke Steal.
Saint Peter's,Rider,19,16,12,21,0,Foul on Kahlil Thomas.
Saint Peter's,Rider,19,16,12,21,0,Official TV Timeout
Saint Peter's,Rider,20,16,12,21,1,Elias Desport made Free Throw.
Saint Peter's,Rider,21,16,12,21,1,Elias Desport made Free Throw.
Saint Peter's,Rider,21,16,12,53,0,Khalil Alford missed Layup.
Saint Peter's,Rider,21,16,12,53,0,Tyler Gaskins Defensive Rebound.
Saint Peter's,Rider,21,16,13,6,0,Tyler Gaskins missed Layup.
Saint Peter's,Rider,21,16,13,6,0,Khalil Alford Defensive Rebound.
Saint Peter's,Rider,21,16,13,15,0,Anthony Myles missed Three Point Jumper.
Saint Peter's,Rider,21,16,13,15,0,Khalil Alford Offensive Rebound.
Saint Peter's,Rider,21,19,13,27,1,Khalil Alford made Three Point Jumper. Assisted by Anthony Myles.
Saint Peter's,Rider,21,19,13,48,0,Tyler Gaskins missed Jumper.
Saint Peter's,Rider,21,19,13,48,0,Khalil Alford Defensive Rebound.
Saint Peter's,Rider,21,19,13,59,0,Khalil Alford missed Three Point Jumper.
Saint Peter's,Rider,21,19,13,59,0,Tyler Gaskins Defensive Rebound.
Saint Peter's,Rider,24,19,14,9,1,Desi Washington made Three Point Jumper. Assisted by Jamel Fields.
Saint Peter's,Rider,24,19,14,12,0,Rider  Timeout
Saint Peter's,Rider,24,19,14,28,0,Jimmie Taylor missed Three Point Jumper.
Saint Peter's,Rider,24,19,14,28,0,Jamel Fields Defensive Rebound.
Saint Peter's,Rider,24,19,14,34,0,Jamel Fields missed Layup.
Saint Peter's,Rider,24,19,14,34,0,Saint Peter's Offensive Rebound.
Saint Peter's,Rider,24,19,15,2,0,Desi Washington missed Three Point Jumper.
Saint Peter's,Rider,24,19,15,2,0,Elias Desport Offensive Rebound.
Saint Peter's,Rider,24,19,15,5,0,Foul on Daniel Stewart.
Saint Peter's,Rider,25,19,15,5,1,Elias Desport made Free Throw.
Saint Peter's,Rider,26,19,15,5,1,Elias Desport made Free Throw.
Saint Peter's,Rider,26,19,15,38,0,Anthony Myles missed Three Point Jumper.
Saint Peter's,Rider,26,19,15,38,0,Desi Washington Defensive Rebound.
Saint Peter's,Rider,28,19,15,51,1,Jamel Fields made Layup.
Saint Peter's,Rider,28,19,15,56,0,Rider  Timeout
Saint Peter's,Rider,28,19,16,26,0,Zedric Sadler missed Three Point Jumper.
Saint Peter's,Rider,28,19,16,26,0,Kahlil Thomas Offensive Rebound.
Saint Peter's,Rider,28,19,16,46,0,Anthony Myles Turnover.
Saint Peter's,Rider,28,19,16,46,0,Official TV Timeout
Saint Peter's,Rider,28,19,17,16,0,Desi Washington missed Three Point Jumper.
Saint Peter's,Rider,28,19,17,16,0,Anthony Myles Defensive Rebound.
Saint Peter's,Rider,28,19,17,17,0,Foul on Kris Rolle.
Saint Peter's,Rider,28,20,17,17,1,Anthony Myles made Free Throw.
Saint Peter's,Rider,28,21,17,17,1,Anthony Myles made Free Throw.
Saint Peter's,Rider,28,21,17,41,0,Chris Burke missed Layup.
Saint Peter's,Rider,28,21,17,41,0,Kahlil Thomas Block.
Saint Peter's,Rider,28,21,17,42,0,Saint Peter's Offensive Rebound.
Saint Peter's,Rider,28,21,17,48,0,Desi Washington missed Three Point Jumper.
Saint Peter's,Rider,28,21,17,48,0,Daniel Stewart Defensive Rebound.
Saint Peter's,Rider,28,24,18,4,1,Daniel Stewart made Three Point Jumper. Assisted by Anthony Myles.
Saint Peter's,Rider,28,24,18,35,0,Foul on Anthony Myles.
Saint Peter's,Rider,28,24,18,35,0,Desi Washington missed Free Throw.
Saint Peter's,Rider,28,24,18,35,0,Saint Peter's Deadball Team Rebound.
Saint Peter's,Rider,29,24,18,35,1,Desi Washington made Free Throw.
Saint Peter's,Rider,29,24,18,53,0,Zedric Sadler Turnover.
Saint Peter's,Rider,29,24,18,54,0,Desi Washington Steal.
Saint Peter's,Rider,29,24,18,55,0,Foul on Tommy Pereira.
Saint Peter's,Rider,30,24,18,55,1,Desi Washington made Free Throw.
Saint Peter's,Rider,31,24,18,55,1,Desi Washington made Free Throw.
Saint Peter's,Rider,31,26,19,14,1,Daniel Stewart made Layup.
Saint Peter's,Rider,31,26,19,53,0,Desi Washington missed Jumper.
Saint Peter's,Rider,31,26,19,53,0,Zedric Sadler Defensive Rebound.
Saint Peter's,Rider,31,26,20,0,0,Zedric Sadler Turnover.
Saint Peter's,Rider,31,26,20,0,0,Trevis Wyche Steal.
Saint Peter's,Rider,31,26,20,0,0,End of 1st half
Saint Peter's,Rider,31,26,20,20,0,Foul on Desi Washington.
Saint Peter's,Rider,31,27,20,20,1,Anthony Myles made Free Throw.
Saint Peter's,Rider,31,28,20,20,1,Anthony Myles made Free Throw.
Saint Peter's,Rider,31,28,20,45,0,Chris Burke missed Layup.
Saint Peter's,Rider,31,28,20,45,0,Daniel Stewart Block.
Saint Peter's,Rider,31,28,20,47,0,Zedric Sadler Defensive Rebound.
Saint Peter's,Rider,31,30,21,1,1,Anthony Myles made Layup.
Saint Peter's,Rider,31,30,21,12,0,Quadir Welton Turnover.
Saint Peter's,Rider,31,30,21,14,0,Anthony Myles Steal.
Saint Peter's,Rider,31,30,21,21,0,Foul on Marvin Dominique.
Saint Peter's,Rider,31,30,21,21,0,Kahlil Thomas missed Free Throw.
Saint Peter's,Rider,31,30,21,21,0,Rider Deadball Team Rebound.
Saint Peter's,Rider,31,31,21,21,1,Kahlil Thomas made Free Throw.
Saint Peter's,Rider,33,31,21,48,1,Marvin Dominique made Jumper. Assisted by Desi Washington.
Saint Peter's,Rider,33,31,22,20,0,Anthony Myles missed Three Point Jumper.
Saint Peter's,Rider,33,31,22,20,0,Saint Peter's Defensive Rebound.
Saint Peter's,Rider,35,31,22,46,1,Marvin Dominique made Jumper.
Saint Peter's,Rider,35,31,23,17,0,Daniel Stewart missed Three Point Jumper.
Saint Peter's,Rider,35,31,23,17,0,Chris Burke Defensive Rebound.
Saint Peter's,Rider,35,31,23,25,0,Chris Burke missed Three Point Jumper.
Saint Peter's,Rider,35,31,23,25,0,Zedric Sadler Defensive Rebound.
Saint Peter's,Rider,35,33,23,36,1,Daniel Stewart made Layup.
Saint Peter's,Rider,35,33,23,45,0,Trevis Wyche Turnover.
Saint Peter's,Rider,35,33,23,45,0,Anthony Myles Steal.
Saint Peter's,Rider,35,35,24,11,1,Daniel Stewart made Layup. Assisted by Kahlil Thomas.
Saint Peter's,Rider,38,35,24,36,1,Trevis Wyche made Three Point Jumper. Assisted by Chris Burke.
Saint Peter's,Rider,38,35,24,58,0,Foul on Chris Burke.
Saint Peter's,Rider,38,35,24,58,0,Official TV Timeout
Saint Peter's,Rider,38,35,25,0,0,Jimmie Taylor Turnover.
Saint Peter's,Rider,38,35,25,0,0,Marvin Dominique Steal.
Saint Peter's,Rider,38,35,25,11,0,Howard Sellars missed Jumper.
Saint Peter's,Rider,38,35,25,11,0,Zedric Sadler Defensive Rebound.
Saint Peter's,Rider,38,35,25,23,0,Foul on Elias Desport.
Saint Peter's,Rider,38,35,25,38,0,Jimmie Taylor Turnover.
Saint Peter's,Rider,38,35,25,45,0,Chris Burke Turnover.
Saint Peter's,Rider,38,37,26,1,1,Jimmie Taylor made Layup.
Saint Peter's,Rider,38,37,26,22,0,Chris Burke missed Layup.
Saint Peter's,Rider,38,37,26,22,0,Elias Desport Offensive Rebound.
Saint Peter's,Rider,40,37,26,23,1,Elias Desport made Layup.
Saint Peter's,Rider,40,37,26,23,0,Foul on Kahlil Thomas.
Saint Peter's,Rider,41,37,26,23,1,Elias Desport made Free Throw.
Saint Peter's,Rider,41,37,26,39,0,Foul on Quadir Welton.
Saint Peter's,Rider,41,37,26,54,0,Daniel Stewart missed Layup.
Saint Peter's,Rider,41,37,26,54,0,Quadir Welton Defensive Rebound.
Saint Peter's,Rider,43,37,27,7,1,Trevis Wyche made Jumper.
Saint Peter's,Rider,43,37,27,19,0,Anthony Myles missed Layup.
Saint Peter's,Rider,43,37,27,19,0,Kris Rolle Defensive Rebound.
Saint Peter's,Rider,43,37,27,38,0,Foul on Tommy Pereira.
Saint Peter's,Rider,43,37,27,55,0,Foul on Tommy Pereira.
Saint Peter's,Rider,44,37,27,55,1,Trevis Wyche made Free Throw.
Saint Peter's,Rider,44,37,27,55,0,Trevis Wyche missed Free Throw.
Saint Peter's,Rider,44,37,27,55,0,Jimmie Taylor Defensive Rebound.
Saint Peter's,Rider,44,37,28,1,0,Foul on Kris Rolle.
Saint Peter's,Rider,44,37,28,1,0,Official TV Timeout
Saint Peter's,Rider,44,37,28,1,0,Jimmie Taylor missed Free Throw.
Saint Peter's,Rider,44,37,28,1,0,Rider Deadball Team Rebound.
Saint Peter's,Rider,44,38,28,1,1,Jimmie Taylor made Free Throw.
Saint Peter's,Rider,44,38,28,22,0,Foul on Junior Fortunat.
Saint Peter's,Rider,44,38,28,36,0,Marvin Dominique missed Layup.
Saint Peter's,Rider,44,38,28,36,0,Khalil Alford Defensive Rebound.
Saint Peter's,Rider,44,38,28,46,0,Jimmie Taylor Turnover.
Saint Peter's,Rider,44,38,29,3,0,Tyler Gaskins missed Jumper.
Saint Peter's,Rider,44,38,29,3,0,Quadir Welton Offensive Rebound.
Saint Peter's,Rider,46,38,29,28,1,Marvin Dominique made Jumper.
Saint Peter's,Rider,46,38,29,42,0,Brandon Channer missed Three Point Jumper.
Saint Peter's,Rider,46,38,29,42,0,Tyler Gaskins Defensive Rebound.
Saint Peter's,Rider,46,38,29,49,0,Foul on Daniel Stewart.
Saint Peter's,Rider,47,38,29,49,1,Jamel Fields made Free Throw.
Saint Peter's,Rider,48,38,29,49,1,Jamel Fields made Free Throw.
Saint Peter's,Rider,48,40,30,10,1,Daniel Stewart made Layup. Assisted by Anthony Myles.
Saint Peter's,Rider,50,40,30,26,1,Desi Washington made Jumper. Assisted by Quadir Welton.
Saint Peter's,Rider,50,43,30,55,1,Khalil Alford made Three Point Jumper. Assisted by Anthony Myles.
Saint Peter's,Rider,53,43,31,14,1,Marvin Dominique made Three Point Jumper. Assisted by Jamel Fields.
Saint Peter's,Rider,53,46,31,31,1,Jimmie Taylor made Three Point Jumper. Assisted by Khalil Alford.
Saint Peter's,Rider,53,46,31,50,0,Foul on Anthony Myles.
Saint Peter's,Rider,54,46,31,50,1,Quadir Welton made Free Throw.
Saint Peter's,Rider,55,46,31,50,1,Quadir Welton made Free Throw.
Saint Peter's,Rider,55,46,32,3,0,Khalil Alford missed Three Point Jumper.
Saint Peter's,Rider,55,46,32,3,0,Rider Offensive Rebound.
Saint Peter's,Rider,55,46,32,6,0,Official TV Timeout
Saint Peter's,Rider,55,48,32,12,1,Kahlil Thomas made Layup. Assisted by Khalil Alford.
Saint Peter's,Rider,57,48,32,47,1,Marvin Dominique made Jumper.
Saint Peter's,Rider,57,48,33,5,0,Foul on Jamel Fields.
Saint Peter's,Rider,57,49,33,5,1,Anthony Myles made Free Throw.
Saint Peter's,Rider,57,50,33,5,1,Anthony Myles made Free Throw.
Saint Peter's,Rider,57,50,33,19,0,Marvin Dominique Turnover.
Saint Peter's,Rider,57,50,33,20,0,Khalil Alford Steal.
Saint Peter's,Rider,57,50,33,28,0,Daniel Stewart missed Layup.
Saint Peter's,Rider,57,50,33,28,0,Jimmie Taylor Offensive Rebound.
Saint Peter's,Rider,57,50,33,29,0,Foul on Trevis Wyche.
Saint Peter's,Rider,57,51,33,29,1,Jimmie Taylor made Free Throw.
Saint Peter's,Rider,57,51,33,29,0,Jimmie Taylor missed Free Throw.
Saint Peter's,Rider,57,51,33,29,0,Marvin Dominique Defensive Rebound.
Saint Peter's,Rider,57,51,33,41,0,Foul on Jimmie Taylor.
Saint Peter's,Rider,58,51,33,41,1,Trevis Wyche made Free Throw.
Saint Peter's,Rider,59,51,33,41,1,Trevis Wyche made Free Throw.
Saint Peter's,Rider,59,51,34,3,0,Foul on Quadir Welton.
Saint Peter's,Rider,59,52,34,3,1,Daniel Stewart made Free Throw.
Saint Peter's,Rider,59,53,34,3,1,Daniel Stewart made Free Throw.
Saint Peter's,Rider,59,53,34,36,0,Desi Washington missed Three Point Jumper.
Saint Peter's,Rider,59,53,34,36,0,Daniel Stewart Defensive Rebound.
Saint Peter's,Rider,59,53,34,57,0,Anthony Myles missed Jumper.
Saint Peter's,Rider,59,53,34,57,0,Marvin Dominique Defensive Rebound.
Saint Peter's,Rider,59,53,34,58,0,Foul on Jimmie Taylor.
Saint Peter's,Rider,60,53,34,58,1,Marvin Dominique made Free Throw.
Saint Peter's,Rider,60,53,34,58,0,Marvin Dominique missed Free Throw.
Saint Peter's,Rider,60,53,34,58,0,Daniel Stewart Defensive Rebound.
Saint Peter's,Rider,60,55,35,14,1,Daniel Stewart made Layup. Assisted by Kahlil Thomas.
Saint Peter's,Rider,60,55,35,26,0,Saint Peter's  Timeout
Saint Peter's,Rider,60,55,35,36,0,Trevis Wyche Turnover.
Saint Peter's,Rider,60,55,36,5,0,Kahlil Thomas missed Layup.
Saint Peter's,Rider,60,55,36,5,0,Quadir Welton Defensive Rebound.
Saint Peter's,Rider,60,55,36,34,0,Marvin Dominique missed Jumper.
Saint Peter's,Rider,60,55,36,34,0,Quadir Welton Offensive Rebound.
