Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
South Carolina State,North Carolina A&T;,0,0,0,11,0,Foul on Steven Burrough.
South Carolina State,North Carolina A&T;,0,0,0,24,0,Theron Stephens missed Three Point Jumper.
South Carolina State,North Carolina A&T;,0,0,0,24,0,Bruce Beckford Defensive Rebound.
South Carolina State,North Carolina A&T;,0,0,0,47,0,Steven Burrough Turnover.
South Carolina State,North Carolina A&T;,0,0,0,59,0,Darryl Palmer Turnover.
South Carolina State,North Carolina A&T;,0,2,1,11,1,Lamont Middleton made Layup.
South Carolina State,North Carolina A&T;,0,2,1,20,0,Foul on Denzel Keyes.
South Carolina State,North Carolina A&T;,2,2,1,36,1,Jalen White made Jumper. Assisted by Matthew Hezekiah.
South Carolina State,North Carolina A&T;,2,2,1,48,0,Lamont Middleton missed Three Point Jumper.
South Carolina State,North Carolina A&T;,2,2,1,48,0,Jalen White Defensive Rebound.
South Carolina State,North Carolina A&T;,2,2,1,58,0,Jalen White missed Three Point Jumper.
South Carolina State,North Carolina A&T;,2,2,1,58,0,Steven Burrough Defensive Rebound.
South Carolina State,North Carolina A&T;,2,2,2,14,0,Steven Burrough Turnover.
South Carolina State,North Carolina A&T;,2,2,2,15,0,Theron Stephens Steal.
South Carolina State,North Carolina A&T;,2,2,2,26,0,Matthew Hezekiah missed Jumper.
South Carolina State,North Carolina A&T;,2,2,2,26,0,South Carolina St Offensive Rebound.
South Carolina State,North Carolina A&T;,4,2,2,46,1,Darryl Palmer made Jumper. Assisted by Theron Stephens.
South Carolina State,North Carolina A&T;,4,2,3,3,0,Bruce Beckford missed Jumper.
South Carolina State,North Carolina A&T;,4,2,3,3,0,Devin Joint Defensive Rebound.
South Carolina State,North Carolina A&T;,4,2,3,13,0,Jalen White Turnover.
South Carolina State,North Carolina A&T;,4,2,3,14,0,Lamont Middleton Steal.
South Carolina State,North Carolina A&T;,4,2,3,23,0,Denzel Keyes missed Three Point Jumper.
South Carolina State,North Carolina A&T;,4,2,3,23,0,Jalen White Defensive Rebound.
South Carolina State,North Carolina A&T;,4,2,3,30,0,Theron Stephens missed Three Point Jumper.
South Carolina State,North Carolina A&T;,4,2,3,30,0,Bruce Beckford Defensive Rebound.
South Carolina State,North Carolina A&T;,4,2,3,44,0,Jeremy Underwood Turnover.
South Carolina State,North Carolina A&T;,4,2,4,6,0,Adama Adams missed Jumper.
South Carolina State,North Carolina A&T;,4,2,4,6,0,Devin Joint Offensive Rebound.
South Carolina State,North Carolina A&T;,6,2,4,17,1,Devin Joint made Layup.
South Carolina State,North Carolina A&T;,6,2,4,28,0,Lamont Middleton missed Layup.
South Carolina State,North Carolina A&T;,6,2,4,28,0,Darryl Palmer Block.
South Carolina State,North Carolina A&T;,6,2,4,34,0,Darryl Palmer Defensive Rebound.
South Carolina State,North Carolina A&T;,8,2,4,36,1,Jalen White made Layup.
South Carolina State,North Carolina A&T;,8,2,4,51,0,Foul on Devin Joint.
