Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Stephen F. Austin,New Orleans,2,0,0,12,1,Thomas Walkup made Layup. Assisted by Jacob Parker.
Stephen F. Austin,New Orleans,2,0,0,24,0,Kevin Hill Turnover.
Stephen F. Austin,New Orleans,2,0,0,26,0,Jacob Parker Steal.
Stephen F. Austin,New Orleans,4,0,0,34,1,Nikola Gajic made Layup.
Stephen F. Austin,New Orleans,4,0,0,40,0,Tradarrius McPhearson Turnover.
Stephen F. Austin,New Orleans,4,0,0,41,0,Trey Pinkney Steal.
Stephen F. Austin,New Orleans,4,0,0,58,0,Thomas Walkup Turnover.
Stephen F. Austin,New Orleans,4,0,1,0,0,Kevin Hill Steal.
Stephen F. Austin,New Orleans,4,0,1,11,0,Tevin Broyles missed Layup.
Stephen F. Austin,New Orleans,4,0,1,11,0,Jacob Parker Defensive Rebound.
Stephen F. Austin,New Orleans,4,0,1,18,0,Foul on Isaac Mack.
Stephen F. Austin,New Orleans,4,0,1,18,0,Thomas Walkup missed Free Throw.
Stephen F. Austin,New Orleans,4,0,1,18,0,Stephen F. Austin Deadball Team Rebound.
Stephen F. Austin,New Orleans,5,0,1,18,1,Thomas Walkup made Free Throw.
Stephen F. Austin,New Orleans,5,0,1,29,0,Kevin Hill Turnover.
Stephen F. Austin,New Orleans,5,0,1,29,0,Thomas Walkup Steal.
Stephen F. Austin,New Orleans,5,0,1,29,0,Foul on Tevin Broyles.
Stephen F. Austin,New Orleans,7,0,1,43,1,Thomas Walkup made Layup.
Stephen F. Austin,New Orleans,7,0,1,58,0,Kevin Hill missed Jumper.
Stephen F. Austin,New Orleans,7,0,1,58,0,Jacob Parker Defensive Rebound.
Stephen F. Austin,New Orleans,7,0,2,11,0,Jacob Parker missed Jumper.
Stephen F. Austin,New Orleans,7,0,2,11,0,Tevin Broyles Defensive Rebound.
Stephen F. Austin,New Orleans,7,2,2,18,1,Tevin Broyles made Layup.
Stephen F. Austin,New Orleans,9,2,2,50,1,Thomas Walkup made Layup. Assisted by Jacob Parker.
Stephen F. Austin,New Orleans,9,2,3,4,0,Tradarrius McPhearson missed Three Point Jumper.
Stephen F. Austin,New Orleans,9,2,3,4,0,Jacob Parker Defensive Rebound.
Stephen F. Austin,New Orleans,9,2,3,11,0,Jacob Parker Turnover.
Stephen F. Austin,New Orleans,9,2,3,12,0,Tradarrius McPhearson Steal.
Stephen F. Austin,New Orleans,9,2,3,12,0,Foul on Nikola Gajic.
Stephen F. Austin,New Orleans,9,2,3,12,0,Foul on Trey Pinkney.
Stephen F. Austin,New Orleans,9,2,3,34,0,Tevin Broyles Turnover.
Stephen F. Austin,New Orleans,9,2,3,35,0,Trey Pinkney Steal.
Stephen F. Austin,New Orleans,11,2,3,41,1,Tanner Clayton made Layup. Assisted by Thomas Walkup.
Stephen F. Austin,New Orleans,11,2,3,41,0,New Orleans  Timeout
Stephen F. Austin,New Orleans,11,2,3,50,0,Tevin Broyles missed Layup.
Stephen F. Austin,New Orleans,11,2,3,50,0,Tanner Clayton Block.
Stephen F. Austin,New Orleans,11,2,3,55,0,Christavious Gill Offensive Rebound.
Stephen F. Austin,New Orleans,11,2,4,6,0,Tevin Broyles missed Layup.
Stephen F. Austin,New Orleans,11,2,4,6,0,Tanner Clayton Defensive Rebound.
Stephen F. Austin,New Orleans,11,2,4,18,0,Dallas Cameron Turnover.
Stephen F. Austin,New Orleans,11,2,4,18,0,Official TV Timeout
Stephen F. Austin,New Orleans,11,2,4,35,0,Cory Dixon missed Jumper.
Stephen F. Austin,New Orleans,11,2,4,35,0,Terrance Syon Offensive Rebound.
Stephen F. Austin,New Orleans,11,2,4,40,0,Terrance Syon missed Jumper.
Stephen F. Austin,New Orleans,11,2,4,40,0,Jacob Parker Defensive Rebound.
Stephen F. Austin,New Orleans,11,2,5,8,0,Dallas Cameron missed Three Point Jumper.
Stephen F. Austin,New Orleans,11,2,5,8,0,Terrance Syon Defensive Rebound.
Stephen F. Austin,New Orleans,11,2,5,15,0,Foul on Connor Brooks.
Stephen F. Austin,New Orleans,11,2,5,15,0,Christavious Gill missed Free Throw.
Stephen F. Austin,New Orleans,11,2,5,15,0,New Orleans Deadball Team Rebound.
Stephen F. Austin,New Orleans,11,2,5,15,0,Christavious Gill missed Free Throw.
Stephen F. Austin,New Orleans,11,2,5,15,0,Desmond Haymon Defensive Rebound.
Stephen F. Austin,New Orleans,13,2,5,27,1,Jacob Parker made Layup.
Stephen F. Austin,New Orleans,13,4,5,39,1,Tevin Broyles made Layup.
Stephen F. Austin,New Orleans,13,4,5,54,0,Foul on Nate Frye.
Stephen F. Austin,New Orleans,15,4,6,3,1,Desmond Haymon made Jumper.
Stephen F. Austin,New Orleans,15,7,6,23,1,Tevin Broyles made Three Point Jumper. Assisted by Terrance Syon.
Stephen F. Austin,New Orleans,15,7,6,49,0,Jacob Parker Turnover.
Stephen F. Austin,New Orleans,15,7,6,50,0,Terrance Syon Steal.
Stephen F. Austin,New Orleans,15,7,6,54,0,Foul on Nate Frye.
Stephen F. Austin,New Orleans,15,7,6,54,0,Nate Frye Turnover.
Stephen F. Austin,New Orleans,17,7,7,15,1,Deshaunt Walker made Jumper. Assisted by Thomas Walkup.
Stephen F. Austin,New Orleans,17,7,7,29,0,Foul on Thomas Walkup.
Stephen F. Austin,New Orleans,17,7,7,29,0,Isaac Mack Turnover.
Stephen F. Austin,New Orleans,17,7,8,2,0,Jacob Parker missed Jumper.
Stephen F. Austin,New Orleans,17,7,8,2,0,Terrance Syon Defensive Rebound.
Stephen F. Austin,New Orleans,17,7,8,9,0,Tradarrius McPhearson missed Layup.
Stephen F. Austin,New Orleans,17,7,8,9,0,Kevin Hill Offensive Rebound.
Stephen F. Austin,New Orleans,17,7,8,10,0,Foul on Jacob Parker.
Stephen F. Austin,New Orleans,17,7,8,10,0,Official TV Timeout
Stephen F. Austin,New Orleans,17,7,8,12,0,Isaac Mack Turnover.
Stephen F. Austin,New Orleans,17,7,8,14,0,Thomas Walkup Steal.
Stephen F. Austin,New Orleans,17,7,8,16,0,Trey Pinkney missed Layup.
Stephen F. Austin,New Orleans,17,7,8,16,0,Tradarrius McPhearson Block.
Stephen F. Austin,New Orleans,17,7,8,16,0,Stephen F. Austin Offensive Rebound.
Stephen F. Austin,New Orleans,19,7,8,25,1,Thomas Walkup made Layup.
Stephen F. Austin,New Orleans,19,7,8,45,0,Terrance Syon missed Layup.
Stephen F. Austin,New Orleans,19,7,8,45,0,Desmond Haymon Defensive Rebound.
Stephen F. Austin,New Orleans,21,7,8,52,1,Thomas Walkup made Layup. Assisted by Tanner Clayton.
Stephen F. Austin,New Orleans,21,7,9,11,0,Isaac Mack missed Jumper.
