Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Loyola (Chi),Tennessee Tech,0,0,0,0,0,Technical Foul on Shirmane Thomas.
Loyola (Chi),Tennessee Tech,0,0,0,0,0,Jeff White missed Free Throw.
Loyola (Chi),Tennessee Tech,0,0,0,0,0,Loyola (IL) Deadball Team Rebound.
Loyola (Chi),Tennessee Tech,1,0,0,0,1,Jeff White made Free Throw.
Loyola (Chi),Tennessee Tech,1,2,0,19,1,Dennis Ogbe made Layup.
Loyola (Chi),Tennessee Tech,1,2,0,29,0,Matt O'Leary Turnover.
Loyola (Chi),Tennessee Tech,1,2,0,32,0,Jeremiah Samarrippas Steal.
Loyola (Chi),Tennessee Tech,1,2,0,35,0,Dennis Ogbe missed Jumper.
Loyola (Chi),Tennessee Tech,1,2,0,35,0,Milton Doyle Defensive Rebound.
Loyola (Chi),Tennessee Tech,1,2,0,52,0,Foul on Anthony Morse.
Loyola (Chi),Tennessee Tech,2,2,0,52,1,Matt O'Leary made Free Throw.
Loyola (Chi),Tennessee Tech,3,2,0,52,1,Matt O'Leary made Free Throw.
Loyola (Chi),Tennessee Tech,3,2,0,55,0,Jordan Johnson Turnover.
Loyola (Chi),Tennessee Tech,3,2,0,56,0,Milton Doyle Steal.
Loyola (Chi),Tennessee Tech,3,2,0,59,0,Milton Doyle missed Layup.
Loyola (Chi),Tennessee Tech,3,2,0,59,0,Dennis Ogbe Defensive Rebound.
Loyola (Chi),Tennessee Tech,3,5,1,15,1,Jeremiah Samarrippas made Three Point Jumper.
Loyola (Chi),Tennessee Tech,3,5,1,25,0,Matt O'Leary missed Three Point Jumper.
Loyola (Chi),Tennessee Tech,3,5,1,25,0,Javon McKay Defensive Rebound.
Loyola (Chi),Tennessee Tech,3,5,1,34,0,Jordan Johnson missed Three Point Jumper.
Loyola (Chi),Tennessee Tech,3,5,1,34,0,Javon McKay Offensive Rebound.
Loyola (Chi),Tennessee Tech,3,5,1,39,0,Javon McKay missed Layup.
Loyola (Chi),Tennessee Tech,3,5,1,39,0,Tennessee Tech Offensive Rebound.
Loyola (Chi),Tennessee Tech,3,5,1,44,0,Anthony Morse missed Jumper.
