Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Arkansas State,UL Monroe,0,0,0,21,0,Foul on DeMondre Harvey.
Arkansas State,UL Monroe,0,0,0,22,0,Melvin Johnson III missed Three Point Jumper.
Arkansas State,UL Monroe,0,0,0,22,0,Kendrick Washington Offensive Rebound.
Arkansas State,UL Monroe,3,0,0,35,1,Rakeem Dickerson made Three Point Jumper. Assisted by Ed Townsel.
Arkansas State,UL Monroe,3,0,1,4,0,Jayon James Turnover.
Arkansas State,UL Monroe,3,0,1,5,0,Kendrick Washington Steal.
Arkansas State,UL Monroe,3,0,1,18,0,Melvin Johnson III missed Three Point Jumper.
Arkansas State,UL Monroe,3,0,1,18,0,Kendrick Washington Offensive Rebound.
Arkansas State,UL Monroe,3,0,1,55,0,Foul on Chinedu Amajoyi.
Arkansas State,UL Monroe,5,0,1,57,1,Kendrick Washington made Layup. Assisted by Rakeem Dickerson.
Arkansas State,UL Monroe,5,0,1,59,0,UL Monroe  Timeout
Arkansas State,UL Monroe,5,2,2,10,1,DeMondre Harvey made Layup. Assisted by Jayon James.
Arkansas State,UL Monroe,5,2,2,28,0,Melvin Johnson III Turnover.
Arkansas State,UL Monroe,5,4,2,35,1,Nick Coppola made Layup.
Arkansas State,UL Monroe,5,4,2,56,0,Foul on DeMondre Harvey.
Arkansas State,UL Monroe,5,4,3,7,0,Melvin Johnson III missed Three Point Jumper.
Arkansas State,UL Monroe,5,4,3,7,0,Tylor Ongwae Defensive Rebound.
Arkansas State,UL Monroe,5,4,3,37,0,Tylor Ongwae missed Jumper.
Arkansas State,UL Monroe,5,4,3,37,0,Kendrick Washington Defensive Rebound.
Arkansas State,UL Monroe,7,4,4,9,1,Kirk Van Slyke made Jumper. Assisted by Rakeem Dickerson.
Arkansas State,UL Monroe,7,4,4,10,0,Foul on Nick Coppola.
Arkansas State,UL Monroe,7,4,4,10,0,Official TV Timeout
Arkansas State,UL Monroe,8,4,4,10,1,Kirk Van Slyke made Free Throw.
Arkansas State,UL Monroe,8,4,4,25,0,Tylor Ongwae missed Jumper.
Arkansas State,UL Monroe,8,4,4,25,0,Rakeem Dickerson Defensive Rebound.
Arkansas State,UL Monroe,8,4,4,32,0,Ed Townsel missed Layup.
Arkansas State,UL Monroe,8,4,4,32,0,Marvin Williams Block.
Arkansas State,UL Monroe,8,4,4,33,0,Tylor Ongwae Defensive Rebound.
Arkansas State,UL Monroe,8,6,4,42,1,Marvin Williams made Layup. Assisted by Jayon James.
Arkansas State,UL Monroe,8,6,5,5,0,Kirk Van Slyke missed Three Point Jumper.
Arkansas State,UL Monroe,8,6,5,5,0,Tylor Ongwae Defensive Rebound.
Arkansas State,UL Monroe,8,6,5,12,0,Jayon James missed Three Point Jumper.
Arkansas State,UL Monroe,8,6,5,12,0,Marvin Williams Offensive Rebound.
Arkansas State,UL Monroe,8,8,5,15,1,Marvin Williams made Layup.
Arkansas State,UL Monroe,10,8,5,29,1,Kirk Van Slyke made Jumper. Assisted by Rakeem Dickerson.
Arkansas State,UL Monroe,10,8,5,44,0,Marvin Williams missed Jumper.
Arkansas State,UL Monroe,10,8,5,44,0,Ed Townsel Defensive Rebound.
Arkansas State,UL Monroe,10,8,6,7,0,Ed Townsel Turnover.
Arkansas State,UL Monroe,10,8,6,8,0,Jayon James Steal.
Arkansas State,UL Monroe,10,8,6,9,0,Jayon James missed Layup.
Arkansas State,UL Monroe,10,8,6,9,0,Jayon James Offensive Rebound.
Arkansas State,UL Monroe,10,8,6,11,0,Jayon James missed Two Point Tip Shot.
Arkansas State,UL Monroe,10,8,6,11,0,Tylor Ongwae Offensive Rebound.
Arkansas State,UL Monroe,10,10,6,13,1,Tylor Ongwae made Layup.
Arkansas State,UL Monroe,10,10,6,13,0,Foul on Melvin Johnson III.
Arkansas State,UL Monroe,10,11,6,13,1,Tylor Ongwae made Free Throw.
Arkansas State,UL Monroe,10,11,6,36,0,Kendrick Washington Turnover.
Arkansas State,UL Monroe,10,13,6,49,1,Jayon James made Layup.
Arkansas State,UL Monroe,10,13,7,8,0,Foul on Marvin Williams.
Arkansas State,UL Monroe,10,13,7,24,0,Kendrick Washington missed Layup.
Arkansas State,UL Monroe,10,13,7,24,0,Jayon James Block.
Arkansas State,UL Monroe,10,13,7,25,0,Marvin Williams Defensive Rebound.
Arkansas State,UL Monroe,10,15,7,39,1,Marvin Williams made Layup. Assisted by Nick Coppola.
Arkansas State,UL Monroe,10,15,8,0,0,Rakeem Dickerson Turnover.
Arkansas State,UL Monroe,10,15,8,22,0,Tylor Ongwae missed Jumper.
Arkansas State,UL Monroe,10,15,8,22,0,Brandon Reed Defensive Rebound.
Arkansas State,UL Monroe,13,15,8,36,1,Cameron Golden made Three Point Jumper. Assisted by Melvin Johnson III.
Arkansas State,UL Monroe,13,15,8,56,0,Official TV Timeout
Arkansas State,UL Monroe,13,15,9,8,0,Foul on Brandon Reed.
Arkansas State,UL Monroe,13,16,9,8,1,Chinedu Amajoyi made Free Throw.
Arkansas State,UL Monroe,13,17,9,8,1,Chinedu Amajoyi made Free Throw.
Arkansas State,UL Monroe,15,17,9,19,1,Kirk Van Slyke made Jumper. Assisted by Cameron Golden.
Arkansas State,UL Monroe,15,17,9,44,0,Foul on Kirk Van Slyke.
Arkansas State,UL Monroe,15,19,9,46,1,Tylor Ongwae made Jumper. Assisted by Jayon James.
Arkansas State,UL Monroe,15,19,9,59,0,Brandon Reed missed Jumper.
Arkansas State,UL Monroe,15,19,9,59,0,Nick Coppola Defensive Rebound.
Arkansas State,UL Monroe,15,19,10,19,0,Jayon James missed Jumper.
Arkansas State,UL Monroe,15,19,10,19,0,Cameron Golden Defensive Rebound.
Arkansas State,UL Monroe,15,19,10,29,0,Ed Townsel Turnover.
Arkansas State,UL Monroe,15,21,10,42,1,Jayon James made Dunk. Assisted by Nick Coppola.
Arkansas State,UL Monroe,17,21,10,55,1,Kirk Van Slyke made Jumper. Assisted by Cameron Golden.
Arkansas State,UL Monroe,17,21,11,23,0,Evan Sims Turnover.
Arkansas State,UL Monroe,17,21,11,24,0,Kirk Van Slyke Steal.
Arkansas State,UL Monroe,17,21,11,27,0,Ed Townsel missed Layup.
Arkansas State,UL Monroe,17,21,11,27,0,Tylor Ongwae Block.
Arkansas State,UL Monroe,17,21,11,28,0,Ed Townsel Offensive Rebound.
Arkansas State,UL Monroe,17,21,11,33,0,Kirk Van Slyke missed Layup.
Arkansas State,UL Monroe,17,21,11,33,0,Jayon James Block.
