Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
USC,Oregon,0,0,0,13,0,Nikola Jovanovic Turnover.
USC,Oregon,0,0,0,15,0,Joseph Young Steal.
USC,Oregon,0,0,0,30,0,Joseph Young missed Jumper.
USC,Oregon,0,0,0,30,0,J.T. Terrell Defensive Rebound.
USC,Oregon,0,0,0,40,0,J.T. Terrell Turnover.
USC,Oregon,0,0,0,41,0,Joseph Young Steal.
USC,Oregon,0,0,0,46,0,Dominic Artis missed Layup.
USC,Oregon,0,0,0,46,0,Dominic Artis Offensive Rebound.
USC,Oregon,0,0,0,49,0,Dominic Artis missed Two Point Tip Shot.
USC,Oregon,0,0,0,49,0,Ben Carter Offensive Rebound.
USC,Oregon,0,0,0,50,0,Ben Carter Turnover.
USC,Oregon,0,0,1,6,0,Foul on Ben Carter.
USC,Oregon,0,0,1,13,0,Nikola Jovanovic missed Layup.
USC,Oregon,0,0,1,13,0,Mike Moser Defensive Rebound.
USC,Oregon,0,0,1,39,0,Dominic Artis missed Three Point Jumper.
USC,Oregon,0,0,1,39,0,Nikola Jovanovic Defensive Rebound.
USC,Oregon,2,0,1,48,1,Pe'Shon Howard made Layup. Assisted by J.T. Terrell.
USC,Oregon,2,0,2,6,0,Foul on Nikola Jovanovic.
USC,Oregon,2,2,2,15,1,Ben Carter made Layup. Assisted by Dominic Artis.
USC,Oregon,4,2,2,35,1,Omar Oraby made Layup. Assisted by Pe'Shon Howard.
USC,Oregon,4,2,2,51,0,Damyean Dotson missed Layup.
USC,Oregon,4,2,2,51,0,Omar Oraby Block.
USC,Oregon,4,2,2,51,0,Oregon Offensive Rebound.
USC,Oregon,4,2,2,53,0,Foul on J.T. Terrell.
USC,Oregon,4,3,2,53,1,Joseph Young made Free Throw.
USC,Oregon,4,4,2,53,1,Joseph Young made Free Throw.
USC,Oregon,6,4,3,3,1,Byron Wesley made Dunk. Assisted by Julian Jacobs.
USC,Oregon,6,4,3,27,0,Ben Carter missed Jumper.
USC,Oregon,6,4,3,27,0,Julian Jacobs Defensive Rebound.
USC,Oregon,8,4,3,38,1,Byron Wesley made Jumper.
USC,Oregon,8,6,4,2,1,Dominic Artis made Jumper.
USC,Oregon,10,6,4,14,1,Julian Jacobs made Layup. Assisted by Roschon Prince.
USC,Oregon,10,6,4,45,0,Joseph Young missed Three Point Jumper.
USC,Oregon,10,6,4,45,0,Oregon Offensive Rebound.
USC,Oregon,10,6,4,47,0,Official TV Timeout
USC,Oregon,10,6,4,59,0,Richard Amardi Turnover.
USC,Oregon,12,6,5,19,1,Byron Wesley made Jumper. Assisted by Julian Jacobs.
USC,Oregon,12,6,5,33,0,Foul on Roschon Prince.
USC,Oregon,12,7,5,33,1,Elgin Cook made Free Throw.
USC,Oregon,12,8,5,33,1,Elgin Cook made Free Throw.
USC,Oregon,12,8,5,55,0,Chass Bryan missed Jumper.
USC,Oregon,12,8,5,55,0,D.J. Haley Offensive Rebound.
USC,Oregon,12,8,5,58,0,D.J. Haley Turnover.
USC,Oregon,12,8,5,59,0,Joseph Young Steal.
USC,Oregon,12,8,6,2,0,Jason Calliste missed Three Point Jumper.
USC,Oregon,12,8,6,2,0,Oregon Deadball Team Rebound.
USC,Oregon,12,8,6,4,0,Foul on Chass Bryan.
USC,Oregon,12,8,6,11,0,Richard Amardi missed Jumper.
USC,Oregon,12,8,6,11,0,Julian Jacobs Defensive Rebound.
USC,Oregon,12,8,6,26,0,Julian Jacobs Turnover.
USC,Oregon,12,8,6,27,0,Joseph Young Steal.
USC,Oregon,12,8,6,28,0,Foul on Julian Jacobs.
USC,Oregon,12,9,6,28,1,Joseph Young made Free Throw.
USC,Oregon,12,10,6,28,1,Joseph Young made Free Throw.
USC,Oregon,12,10,6,44,0,Pe'Shon Howard missed Three Point Jumper.
USC,Oregon,12,10,6,44,0,Richard Amardi Defensive Rebound.
USC,Oregon,12,12,6,51,1,Joseph Young made Layup.
USC,Oregon,12,12,6,51,0,Foul on Roschon Prince.
USC,Oregon,12,13,6,51,1,Joseph Young made Free Throw.
USC,Oregon,12,13,7,2,0,Nikola Jovanovic Turnover.
USC,Oregon,12,13,7,2,0,Johnathan Loyd Steal.
USC,Oregon,12,13,7,11,0,Jason Calliste missed Three Point Jumper.
USC,Oregon,12,13,7,11,0,J.T. Terrell Defensive Rebound.
USC,Oregon,12,13,7,31,0,Omar Oraby Turnover.
USC,Oregon,12,13,7,31,0,Richard Amardi Steal.
USC,Oregon,12,13,7,36,0,Foul on Omar Oraby.
USC,Oregon,12,13,7,36,0,Richard Amardi missed Free Throw.
USC,Oregon,12,13,7,36,0,Oregon Deadball Team Rebound.
USC,Oregon,12,13,7,36,0,Richard Amardi missed Free Throw.
USC,Oregon,12,13,7,36,0,Omar Oraby Defensive Rebound.
USC,Oregon,12,13,7,49,0,Nikola Jovanovic missed Three Point Jumper.
USC,Oregon,12,13,7,49,0,Johnathan Loyd Defensive Rebound.
USC,Oregon,12,13,7,58,0,Damyean Dotson missed Three Point Jumper.
USC,Oregon,12,13,7,58,0,J.T. Terrell Defensive Rebound.
