Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Boston College,USC,0,0,0,22,0,Julian Jacobs Turnover.
Boston College,USC,0,0,0,23,0,Eddie Odio Steal.
Boston College,USC,0,0,0,37,0,Lonnie Jackson missed Three Point Jumper.
Boston College,USC,0,0,0,37,0,Julian Jacobs Defensive Rebound.
Boston College,USC,0,0,0,47,0,Byron Wesley missed Three Point Jumper.
Boston College,USC,0,0,0,47,0,Ryan Anderson Defensive Rebound.
Boston College,USC,3,0,1,11,1,Ryan Anderson made Three Point Jumper. Assisted by Joe Rahon.
Boston College,USC,3,0,1,19,0,Julian Jacobs missed Layup.
Boston College,USC,3,0,1,19,0,Alex Dragicevich Defensive Rebound.
Boston College,USC,3,0,1,41,0,Alex Dragicevich missed Three Point Jumper.
Boston College,USC,3,0,1,41,0,Omar Oraby Defensive Rebound.
Boston College,USC,3,2,1,49,1,Nikola Jovanovic made Layup. Assisted by Pe'Shon Howard.
Boston College,USC,5,2,2,11,1,Joe Rahon made Layup.
Boston College,USC,5,2,2,27,0,Pe'Shon Howard missed Three Point Jumper.
Boston College,USC,5,2,2,27,0,Omar Oraby Offensive Rebound.
Boston College,USC,5,2,2,32,0,Omar Oraby Turnover.
Boston College,USC,8,2,3,5,1,Joe Rahon made Three Point Jumper.
Boston College,USC,8,2,3,21,0,Omar Oraby missed Layup.
Boston College,USC,8,2,3,21,0,Eddie Odio Block.
Boston College,USC,8,2,3,24,0,Joe Rahon Defensive Rebound.
Boston College,USC,8,2,3,28,0,Alex Dragicevich missed Three Point Jumper.
Boston College,USC,8,2,3,28,0,Julian Jacobs Defensive Rebound.
Boston College,USC,8,4,3,41,1,Byron Wesley made Jumper.
Boston College,USC,8,4,3,57,0,Ryan Anderson missed Three Point Jumper.
Boston College,USC,8,4,3,57,0,Byron Wesley Defensive Rebound.
Boston College,USC,8,4,4,6,0,Omar Oraby Turnover.
Boston College,USC,8,4,4,7,0,Alex Dragicevich Steal.
Boston College,USC,10,4,4,11,1,Ryan Anderson made Layup. Assisted by Joe Rahon.
Boston College,USC,10,4,4,11,0,Foul on Byron Wesley.
Boston College,USC,10,4,4,11,0,Official TV Timeout
Boston College,USC,11,4,4,11,1,Ryan Anderson made Free Throw.
Boston College,USC,11,4,4,27,0,Byron Wesley missed Layup.
Boston College,USC,11,4,4,27,0,Roschon Prince Offensive Rebound.
Boston College,USC,11,6,4,30,1,Roschon Prince made Two Point Tip Shot.
Boston College,USC,11,6,4,47,0,Foul on K.C. Caudill.
Boston College,USC,11,6,4,47,0,K.C. Caudill Turnover.
Boston College,USC,11,6,4,58,0,Roschon Prince missed Layup.
Boston College,USC,11,6,4,58,0,K.C. Caudill Block.
Boston College,USC,11,6,5,0,0,USC Offensive Rebound.
Boston College,USC,11,6,5,2,0,Byron Wesley missed Layup.
Boston College,USC,11,6,5,5,0,Olivier Hanlan Defensive Rebound.
Boston College,USC,13,6,5,26,1,K.C. Caudill made Jumper. Assisted by Joe Rahon.
Boston College,USC,13,6,5,51,0,Pe'Shon Howard missed Three Point Jumper.
Boston College,USC,13,6,5,51,0,Byron Wesley Offensive Rebound.
Boston College,USC,13,9,5,56,1,Julian Jacobs made Three Point Jumper. Assisted by Byron Wesley.
Boston College,USC,13,9,6,17,0,Foul on D.J. Haley.
Boston College,USC,16,9,6,35,1,Eddie Odio made Three Point Jumper. Assisted by K.C. Caudill.
Boston College,USC,16,11,6,51,1,Julian Jacobs made Layup.
Boston College,USC,16,11,7,17,0,Foul on Julian Jacobs.
Boston College,USC,16,11,7,21,0,Olivier Hanlan Turnover.
Boston College,USC,16,11,7,22,0,Boston College  Timeout
Boston College,USC,16,11,7,27,0,Byron Wesley missed Layup.
Boston College,USC,16,11,7,30,0,Nikola Jovanovic Offensive Rebound.
Boston College,USC,16,13,7,35,1,Nikola Jovanovic made Layup.
Boston College,USC,16,13,8,0,0,Patrick Heckmann Turnover.
Boston College,USC,16,13,8,0,0,Chass Bryan Steal.
Boston College,USC,16,15,8,5,1,Pe'Shon Howard made Layup. Assisted by Chass Bryan.
Boston College,USC,16,15,8,23,0,Foul on Chass Bryan.
Boston College,USC,16,15,8,23,0,Official TV Timeout
Boston College,USC,17,15,8,23,1,William Magarity made Free Throw.
Boston College,USC,18,15,8,23,1,William Magarity made Free Throw.
Boston College,USC,18,15,8,34,0,Nikola Jovanovic missed Three Point Jumper.
Boston College,USC,18,15,8,34,0,Lonnie Jackson Defensive Rebound.
Boston College,USC,20,15,8,58,1,William Magarity made Layup. Assisted by Joe Rahon.
Boston College,USC,20,15,9,16,0,Chass Bryan missed Three Point Jumper.
Boston College,USC,20,15,9,16,0,Byron Wesley Offensive Rebound.
Boston College,USC,20,15,9,38,0,Nikola Jovanovic missed Jumper.
Boston College,USC,20,15,9,38,0,Omar Oraby Offensive Rebound.
Boston College,USC,20,15,9,40,0,Omar Oraby missed Layup.
Boston College,USC,20,15,9,40,0,Nikola Jovanovic Offensive Rebound.
Boston College,USC,20,17,9,41,1,Nikola Jovanovic made Two Point Tip Shot.
Boston College,USC,20,17,9,42,0,Foul on Lonnie Jackson.
Boston College,USC,20,18,9,42,1,Nikola Jovanovic made Free Throw.
Boston College,USC,20,18,10,12,0,Joe Rahon missed Three Point Jumper.
Boston College,USC,20,18,10,12,0,Nikola Jovanovic Defensive Rebound.
Boston College,USC,20,20,10,22,1,Omar Oraby made Layup. Assisted by Byron Wesley.
Boston College,USC,20,20,10,22,0,Foul on William Magarity.
Boston College,USC,20,20,10,22,0,Omar Oraby missed Free Throw.
Boston College,USC,20,20,10,22,0,Joe Rahon Defensive Rebound.
Boston College,USC,20,20,10,44,0,Ryan Anderson Turnover.
Boston College,USC,20,20,11,13,0,Pe'Shon Howard missed Three Point Jumper.
Boston College,USC,20,20,11,13,0,Boston College Deadball Team Rebound.
