Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Western Illinois,Utah State,0,3,0,14,1,Preston Medlin made Three Point Jumper. Assisted by Marcel Davis.
Western Illinois,Utah State,0,3,0,51,0,Tate Stensgaard Turnover.
Western Illinois,Utah State,0,3,0,59,0,Foul on Jordan Stone.
Western Illinois,Utah State,0,3,0,59,0,Jordan Stone Turnover.
Western Illinois,Utah State,3,3,1,19,1,Jordan Foster made Three Point Jumper. Assisted by Garret Covington.
Western Illinois,Utah State,3,6,1,39,1,Preston Medlin made Three Point Jumper. Assisted by Marcel Davis.
Western Illinois,Utah State,3,6,2,0,0,Foul on Tate Stensgaard.
Western Illinois,Utah State,3,6,2,0,0,Tate Stensgaard Turnover.
Western Illinois,Utah State,3,6,2,9,0,Preston Medlin missed Three Point Jumper.
Western Illinois,Utah State,3,6,2,9,0,Michael Ochereobia Defensive Rebound.
Western Illinois,Utah State,3,6,2,27,0,Tate Stensgaard missed Layup.
Western Illinois,Utah State,3,6,2,27,0,Jordan Stone Defensive Rebound.
Western Illinois,Utah State,3,6,2,33,0,Foul on Adam Link.
Western Illinois,Utah State,3,7,2,33,1,Marcel Davis made Free Throw.
Western Illinois,Utah State,3,8,2,33,1,Marcel Davis made Free Throw.
Western Illinois,Utah State,5,8,2,44,1,Michael Ochereobia made Dunk. Assisted by Adam Link.
Western Illinois,Utah State,5,8,3,4,0,Foul on Tate Stensgaard.
Western Illinois,Utah State,5,9,3,4,1,Kyle Davis made Free Throw.
Western Illinois,Utah State,5,9,3,4,0,Kyle Davis missed Free Throw.
Western Illinois,Utah State,5,9,3,4,0,Spencer Butterfield Offensive Rebound.
Western Illinois,Utah State,5,11,3,13,1,Jordan Stone made Layup. Assisted by Kyle Davis.
Western Illinois,Utah State,5,11,3,32,0,Garret Covington missed Three Point Jumper.
Western Illinois,Utah State,5,11,3,32,0,Spencer Butterfield Defensive Rebound.
Western Illinois,Utah State,5,11,3,45,0,Kyle Davis Turnover.
Western Illinois,Utah State,5,11,4,4,0,Garret Covington missed Layup.
Western Illinois,Utah State,5,11,4,4,0,Kyle Davis Block.
Western Illinois,Utah State,5,11,4,6,0,Adam Link Offensive Rebound.
Western Illinois,Utah State,5,11,4,11,0,Adam Link Turnover.
Western Illinois,Utah State,5,11,4,12,0,Kyle Davis Steal.
Western Illinois,Utah State,5,11,4,38,0,Kyle Davis missed Jumper.
Western Illinois,Utah State,5,11,4,38,0,Spencer Butterfield Offensive Rebound.
Western Illinois,Utah State,5,13,4,41,1,Spencer Butterfield made Layup.
Western Illinois,Utah State,5,13,5,6,0,Michael Ochereobia missed Jumper.
Western Illinois,Utah State,5,13,5,6,0,Western Illinois Offensive Rebound.
Western Illinois,Utah State,5,13,5,9,0,Official TV Timeout
Western Illinois,Utah State,5,13,5,14,0,Garret Covington missed Three Point Jumper.
