Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Idaho State,Utah,0,0,0,14,0,Renan Lenz Turnover.
Idaho State,Utah,0,0,0,15,0,Jeffrey Solarin Steal.
Idaho State,Utah,0,0,0,17,0,Foul on Princeton Onwas.
Idaho State,Utah,1,0,0,17,1,Jeffrey Solarin made Free Throw.
Idaho State,Utah,1,0,0,17,0,Jeffrey Solarin missed Free Throw.
Idaho State,Utah,1,0,0,17,0,Jordan Loveridge Defensive Rebound.
Idaho State,Utah,1,0,0,49,0,Brandon Taylor Turnover.
Idaho State,Utah,1,0,0,59,0,Tomas Sanchez Turnover.
Idaho State,Utah,1,0,1,15,0,Jordan Loveridge missed Three Point Jumper.
Idaho State,Utah,1,0,1,15,0,Jeffrey Solarin Defensive Rebound.
Idaho State,Utah,4,0,1,36,1,Chris Hansen made Three Point Jumper. Assisted by Andre Hatchett.
Idaho State,Utah,4,0,1,54,0,Delon Wright Turnover.
Idaho State,Utah,4,0,1,55,0,Andre Hatchett Steal.
Idaho State,Utah,6,0,2,6,1,Jeffrey Solarin made Jumper.
Idaho State,Utah,6,2,2,29,1,Jordan Loveridge made Layup.
Idaho State,Utah,6,2,2,52,0,Chris Hansen missed Three Point Jumper.
Idaho State,Utah,6,2,2,52,0,Ayibakuro Preh Offensive Rebound.
Idaho State,Utah,6,2,3,7,0,Tomas Sanchez Turnover.
Idaho State,Utah,6,2,3,8,0,Renan Lenz Steal.
Idaho State,Utah,6,4,3,10,1,Delon Wright made Layup. Assisted by Renan Lenz.
Idaho State,Utah,8,4,3,34,1,Andre Hatchett made Jumper.
Idaho State,Utah,8,7,4,5,1,Brandon Taylor made Three Point Jumper. Assisted by Jordan Loveridge.
Idaho State,Utah,8,7,4,9,0,Foul on Ayibakuro Preh.
Idaho State,Utah,8,7,4,9,0,Ayibakuro Preh Turnover.
Idaho State,Utah,8,7,4,9,0,Official TV Timeout
Idaho State,Utah,8,7,4,30,0,Foul on Ayibakuro Preh.
Idaho State,Utah,8,8,4,30,1,Renan Lenz made Free Throw.
Idaho State,Utah,8,9,4,30,1,Renan Lenz made Free Throw.
Idaho State,Utah,8,9,4,48,0,Tomas Sanchez missed Three Point Jumper.
Idaho State,Utah,8,9,4,48,0,Jordan Loveridge Defensive Rebound.
Idaho State,Utah,8,9,4,54,0,Jordan Loveridge Turnover.
Idaho State,Utah,10,9,5,28,1,Tomas Sanchez made Layup.
Idaho State,Utah,10,11,5,59,1,Jordan Loveridge made Layup. Assisted by Delon Wright.
Idaho State,Utah,10,11,6,21,0,Chris Hansen missed Jumper.
Idaho State,Utah,10,11,6,21,0,Renan Lenz Block.
Idaho State,Utah,10,11,6,24,0,Jordan Loveridge Defensive Rebound.
Idaho State,Utah,10,11,6,40,0,Dakarai Tucker missed Three Point Jumper.
Idaho State,Utah,10,11,6,40,0,Renan Lenz Offensive Rebound.
Idaho State,Utah,10,11,6,45,0,Renan Lenz Turnover.
Idaho State,Utah,10,11,6,46,0,Chris Hansen Steal.
Idaho State,Utah,10,11,6,52,0,Jeffrey Solarin missed Layup.
Idaho State,Utah,10,11,6,52,0,Renan Lenz Defensive Rebound.
Idaho State,Utah,10,11,6,58,0,Dakarai Tucker missed Layup.
Idaho State,Utah,10,11,6,58,0,Tomas Sanchez Defensive Rebound.
Idaho State,Utah,10,11,7,19,0,Andre Hatchett missed Jumper.
Idaho State,Utah,10,11,7,19,0,Delon Wright Defensive Rebound.
Idaho State,Utah,10,11,7,27,0,Delon Wright missed Layup.
Idaho State,Utah,10,11,7,27,0,Scotty Tyler Block.
Idaho State,Utah,10,11,7,30,0,Jeffrey Solarin Defensive Rebound.
Idaho State,Utah,13,11,8,0,1,Tomas Sanchez made Three Point Jumper.
Idaho State,Utah,13,13,8,29,1,Jordan Loveridge made Layup. Assisted by Renan Lenz.
Idaho State,Utah,13,13,8,58,0,Scotty Tyler missed Jumper.
Idaho State,Utah,13,13,8,58,0,Delon Wright Defensive Rebound.
Idaho State,Utah,13,15,9,23,1,Delon Wright made Layup.
Idaho State,Utah,13,15,9,24,0,Foul on Scotty Tyler.
Idaho State,Utah,13,15,9,24,0,Official TV Timeout
Idaho State,Utah,13,15,9,24,0,Delon Wright missed Free Throw.
Idaho State,Utah,13,15,9,24,0,Scotty Tyler Defensive Rebound.
Idaho State,Utah,16,15,9,34,1,Justin Smith made Three Point Jumper. Assisted by Tomas Sanchez.
Idaho State,Utah,16,15,10,11,0,Parker Van Dyke missed Three Point Jumper.
Idaho State,Utah,16,15,10,11,0,Jeffrey Solarin Defensive Rebound.
Idaho State,Utah,18,15,10,26,1,Scotty Tyler made Jumper. Assisted by Andre Hatchett.
Idaho State,Utah,18,15,10,48,0,Dakarai Tucker missed Three Point Jumper.
Idaho State,Utah,18,15,10,48,0,Tomas Sanchez Defensive Rebound.
Idaho State,Utah,20,15,11,1,1,Andre Hatchett made Layup.
Idaho State,Utah,20,15,11,2,0,Foul on Parker Van Dyke.
Idaho State,Utah,21,15,11,2,1,Andre Hatchett made Free Throw.
Idaho State,Utah,21,15,11,17,0,Parker Van Dyke Turnover.
Idaho State,Utah,21,15,11,18,0,Andre Hatchett Steal.
Idaho State,Utah,21,15,11,22,0,Foul on Jeremy Olsen.
Idaho State,Utah,22,15,11,22,1,Jeffrey Solarin made Free Throw.
Idaho State,Utah,23,15,11,22,1,Jeffrey Solarin made Free Throw.
Idaho State,Utah,23,18,11,41,1,Jordan Loveridge made Three Point Jumper. Assisted by Brandon Taylor.
Idaho State,Utah,26,18,12,6,1,Tomas Sanchez made Three Point Jumper. Assisted by Chris Hansen.
Idaho State,Utah,26,18,12,43,0,Brandon Taylor Turnover.
Idaho State,Utah,26,18,12,43,0,Evann Hall Steal.
Idaho State,Utah,26,18,12,48,0,Evann Hall missed Layup.
Idaho State,Utah,26,18,12,48,0,Chris Hansen Offensive Rebound.
Idaho State,Utah,28,18,12,50,1,Chris Hansen made Two Point Tip Shot.
Idaho State,Utah,28,18,12,51,0,Utah  Timeout
Idaho State,Utah,28,18,13,3,0,Brandon Taylor missed Three Point Jumper.
Idaho State,Utah,28,18,13,3,0,Chris Hansen Defensive Rebound.
Idaho State,Utah,28,18,13,9,0,Foul on Kenneth Ogbe.
Idaho State,Utah,28,18,13,9,0,Official TV Timeout
Idaho State,Utah,30,18,13,17,1,Tomas Sanchez made Layup.
Idaho State,Utah,30,20,13,48,1,Kenneth Ogbe made Jumper.
Idaho State,Utah,30,20,14,21,0,Chris Hansen missed Three Point Jumper.
Idaho State,Utah,30,20,14,21,0,Jordan Loveridge Defensive Rebound.
