Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Fairleigh Dickinson,Wagner,0,0,0,12,0,Sidney Sanders Jr. Turnover.
Fairleigh Dickinson,Wagner,0,0,0,14,0,Jay Harris Steal.
Fairleigh Dickinson,Wagner,0,0,0,17,0,Foul on Mustafaa Jones.
Fairleigh Dickinson,Wagner,0,0,0,17,0,Kenneth Ortiz missed Free Throw.
Fairleigh Dickinson,Wagner,0,0,0,17,0,Wagner Deadball Team Rebound.
Fairleigh Dickinson,Wagner,0,1,0,17,1,Kenneth Ortiz made Free Throw.
Fairleigh Dickinson,Wagner,0,1,0,25,0,Matt MacDonald Turnover.
Fairleigh Dickinson,Wagner,0,1,0,40,0,Foul on Scooter Gillette.
Fairleigh Dickinson,Wagner,0,1,0,40,0,Dwaun Anderson missed Free Throw.
Fairleigh Dickinson,Wagner,0,1,0,40,0,Wagner Deadball Team Rebound.
Fairleigh Dickinson,Wagner,0,2,0,40,1,Dwaun Anderson made Free Throw.
Fairleigh Dickinson,Wagner,3,2,0,49,1,Mathias Seilund made Three Point Jumper. Assisted by Mustafaa Jones.
Fairleigh Dickinson,Wagner,3,2,1,5,0,Jay Harris missed Three Point Jumper.
Fairleigh Dickinson,Wagner,3,2,1,5,0,Sidney Sanders Jr. Defensive Rebound.
Fairleigh Dickinson,Wagner,5,2,1,17,1,Sidney Sanders Jr. made Layup.
Fairleigh Dickinson,Wagner,5,4,1,27,1,Naofall Folahan made Layup. Assisted by Kenneth Ortiz.
Fairleigh Dickinson,Wagner,5,4,1,49,0,Mathias Seilund missed Layup.
Fairleigh Dickinson,Wagner,5,4,1,49,0,Naofall Folahan Defensive Rebound.
Fairleigh Dickinson,Wagner,5,4,1,57,0,Kenneth Ortiz missed Layup.
Fairleigh Dickinson,Wagner,5,4,1,57,0,Scooter Gillette Block.
Fairleigh Dickinson,Wagner,5,4,2,0,0,Mathias Seilund Defensive Rebound.
Fairleigh Dickinson,Wagner,5,4,2,13,0,Mathias Seilund missed Jumper.
Fairleigh Dickinson,Wagner,5,4,2,13,0,Naofall Folahan Defensive Rebound.
Fairleigh Dickinson,Wagner,5,4,2,38,0,Dwaun Anderson missed Jumper.
Fairleigh Dickinson,Wagner,5,4,2,38,0,Matt MacDonald Defensive Rebound.
Fairleigh Dickinson,Wagner,5,4,2,45,0,Mustafaa Jones missed Three Point Jumper.
Fairleigh Dickinson,Wagner,5,4,2,45,0,Mathias Seilund Offensive Rebound.
Fairleigh Dickinson,Wagner,5,4,2,52,0,Mathias Seilund missed Layup.
Fairleigh Dickinson,Wagner,5,4,2,52,0,Naofall Folahan Block.
Fairleigh Dickinson,Wagner,5,4,2,54,0,Fairleigh Dickinson Offensive Rebound.
Fairleigh Dickinson,Wagner,5,4,2,57,0,Mustafaa Jones missed Jumper.
Fairleigh Dickinson,Wagner,5,4,2,57,0,Orlando Parker Defensive Rebound.
Fairleigh Dickinson,Wagner,5,4,3,5,0,Foul on Matt MacDonald.
Fairleigh Dickinson,Wagner,5,5,3,5,1,Jay Harris made Free Throw.
Fairleigh Dickinson,Wagner,5,6,3,5,1,Jay Harris made Free Throw.
Fairleigh Dickinson,Wagner,5,6,3,28,0,Scooter Gillette missed Layup.
Fairleigh Dickinson,Wagner,5,6,3,28,0,Naofall Folahan Block.
Fairleigh Dickinson,Wagner,5,6,3,30,0,Naofall Folahan Defensive Rebound.
Fairleigh Dickinson,Wagner,5,6,3,40,0,Foul on Mustafaa Jones.
Fairleigh Dickinson,Wagner,5,6,3,51,0,Latif Rivers Turnover.
Fairleigh Dickinson,Wagner,5,6,3,51,0,Foul on Latif Rivers.
Fairleigh Dickinson,Wagner,5,6,4,1,0,Official TV Timeout
Fairleigh Dickinson,Wagner,5,6,4,9,0,Matt MacDonald missed Three Point Jumper.
Fairleigh Dickinson,Wagner,5,6,4,9,0,Kenneth Ortiz Defensive Rebound.
Fairleigh Dickinson,Wagner,5,6,4,33,0,Kenneth Ortiz missed Jumper.
Fairleigh Dickinson,Wagner,5,6,4,33,0,Naofall Folahan Offensive Rebound.
Fairleigh Dickinson,Wagner,5,6,4,38,0,Foul on Xavier Harris.
Fairleigh Dickinson,Wagner,5,7,4,38,1,Naofall Folahan made Free Throw.
Fairleigh Dickinson,Wagner,5,7,4,38,0,Naofall Folahan missed Free Throw.
Fairleigh Dickinson,Wagner,5,7,4,38,0,Xavier Harris Defensive Rebound.
Fairleigh Dickinson,Wagner,5,7,4,49,0,Fairleigh Dickinson  Turnover.
Fairleigh Dickinson,Wagner,5,7,5,10,0,Latif Rivers missed Three Point Jumper.
Fairleigh Dickinson,Wagner,5,7,5,10,0,Fairleigh Dickinson Defensive Rebound.
Fairleigh Dickinson,Wagner,5,7,5,34,0,Sidney Sanders Jr. Turnover.
Fairleigh Dickinson,Wagner,5,7,5,36,0,Dwaun Anderson Steal.
Fairleigh Dickinson,Wagner,5,7,5,52,0,Jay Harris missed Three Point Jumper.
Fairleigh Dickinson,Wagner,5,7,5,52,0,Malachi Nix Defensive Rebound.
Fairleigh Dickinson,Wagner,5,7,5,59,0,Foul on Kenneth Ortiz.
Fairleigh Dickinson,Wagner,7,7,6,5,1,Malachi Nix made Layup.
Fairleigh Dickinson,Wagner,7,7,6,22,0,Foul on Jayde Dawson.
Fairleigh Dickinson,Wagner,7,8,6,22,1,Dwaun Anderson made Free Throw.
Fairleigh Dickinson,Wagner,7,9,6,22,1,Dwaun Anderson made Free Throw.
Fairleigh Dickinson,Wagner,7,9,6,33,0,Jayde Dawson missed Layup.
Fairleigh Dickinson,Wagner,7,9,6,33,0,Gregory Senat Defensive Rebound.
Fairleigh Dickinson,Wagner,7,9,6,43,0,Gregory Senat missed Layup.
Fairleigh Dickinson,Wagner,7,9,6,43,0,Xavier Harris Defensive Rebound.
Fairleigh Dickinson,Wagner,10,9,6,51,1,Malachi Nix made Three Point Jumper.
Fairleigh Dickinson,Wagner,10,9,7,11,0,Dwaun Anderson Turnover.
Fairleigh Dickinson,Wagner,12,9,7,27,1,Kyle Pearson made Jumper.
Fairleigh Dickinson,Wagner,12,12,7,48,1,Dwaun Anderson made Three Point Jumper. Assisted by Latif Rivers.
Fairleigh Dickinson,Wagner,12,12,8,13,0,Xavier Harris missed Layup.
Fairleigh Dickinson,Wagner,12,12,8,13,0,Matt MacDonald Offensive Rebound.
Fairleigh Dickinson,Wagner,12,12,8,17,0,Matt MacDonald missed Layup.
Fairleigh Dickinson,Wagner,12,12,8,17,0,Gregory Senat Defensive Rebound.
Fairleigh Dickinson,Wagner,12,12,8,22,0,Latif Rivers missed Layup.
Fairleigh Dickinson,Wagner,12,12,8,22,0,Gregory Senat Offensive Rebound.
Fairleigh Dickinson,Wagner,12,12,8,26,0,Gregory Senat missed Layup.
Fairleigh Dickinson,Wagner,12,12,8,26,0,Xavier Harris Defensive Rebound.
Fairleigh Dickinson,Wagner,12,12,8,54,0,Foul on Dwaun Anderson.
Fairleigh Dickinson,Wagner,12,12,8,54,0,Official TV Timeout
Fairleigh Dickinson,Wagner,12,12,8,54,0,Jayde Dawson missed Free Throw.
Fairleigh Dickinson,Wagner,12,12,8,54,0,Fairleigh Dickinson Deadball Team Rebound.
Fairleigh Dickinson,Wagner,13,12,8,54,1,Jayde Dawson made Free Throw.
Fairleigh Dickinson,Wagner,13,15,9,7,1,Latif Rivers made Three Point Jumper. Assisted by Kenneth Ortiz.
Fairleigh Dickinson,Wagner,13,15,9,27,0,Sidney Sanders Jr. missed Layup.
Fairleigh Dickinson,Wagner,13,15,9,27,0,Gregory Senat Defensive Rebound.
Fairleigh Dickinson,Wagner,13,15,9,38,0,Latif Rivers missed Three Point Jumper.
Fairleigh Dickinson,Wagner,13,15,9,38,0,Langston Burnett Offensive Rebound.
Fairleigh Dickinson,Wagner,13,15,9,55,0,Latif Rivers missed Layup.
Fairleigh Dickinson,Wagner,13,15,9,55,0,Xavier Harris Block.
Fairleigh Dickinson,Wagner,13,15,9,57,0,Dwaun Anderson Offensive Rebound.
Fairleigh Dickinson,Wagner,13,15,9,59,0,Dwaun Anderson missed Layup.
Fairleigh Dickinson,Wagner,13,15,10,1,0,Mathias Seilund Block.
Fairleigh Dickinson,Wagner,13,15,10,2,0,Gregory Senat Offensive Rebound.
Fairleigh Dickinson,Wagner,13,17,10,4,1,Gregory Senat made Layup.
Fairleigh Dickinson,Wagner,13,17,10,18,0,Foul on Dwaun Anderson.
Fairleigh Dickinson,Wagner,13,17,10,22,0,Scooter Gillette missed Layup.
Fairleigh Dickinson,Wagner,13,17,10,22,0,Naofall Folahan Block.
Fairleigh Dickinson,Wagner,13,17,10,24,0,Orlando Parker Defensive Rebound.
Fairleigh Dickinson,Wagner,13,17,10,48,0,Latif Rivers missed Layup.
Fairleigh Dickinson,Wagner,13,17,10,48,0,Orlando Parker Offensive Rebound.
Fairleigh Dickinson,Wagner,13,17,10,52,0,Foul on Mathias Seilund.
Fairleigh Dickinson,Wagner,13,18,10,52,1,Orlando Parker made Free Throw.
Fairleigh Dickinson,Wagner,13,19,10,52,1,Orlando Parker made Free Throw.
Fairleigh Dickinson,Wagner,15,19,10,59,1,Sidney Sanders Jr. made Layup.
Fairleigh Dickinson,Wagner,15,19,11,17,0,Foul on Mike Owona.
Fairleigh Dickinson,Wagner,15,20,11,17,1,Kenneth Ortiz made Free Throw.
Fairleigh Dickinson,Wagner,15,21,11,17,1,Kenneth Ortiz made Free Throw.
Fairleigh Dickinson,Wagner,15,21,11,41,0,Matt MacDonald Turnover.
Fairleigh Dickinson,Wagner,15,21,11,54,0,Latif Rivers Turnover.
Fairleigh Dickinson,Wagner,15,21,12,8,0,Mike Owona missed Jumper.
Fairleigh Dickinson,Wagner,15,21,12,8,0,Wagner Defensive Rebound.
Fairleigh Dickinson,Wagner,15,21,12,14,0,Official TV Timeout
Fairleigh Dickinson,Wagner,15,21,12,28,0,Foul on Xavier Harris.
Fairleigh Dickinson,Wagner,15,21,12,28,0,Orlando Parker missed Free Throw.
Fairleigh Dickinson,Wagner,15,21,12,28,0,Wagner Deadball Team Rebound.
Fairleigh Dickinson,Wagner,15,22,12,28,1,Orlando Parker made Free Throw.
Fairleigh Dickinson,Wagner,15,22,12,33,0,Matt MacDonald missed Layup.
Fairleigh Dickinson,Wagner,15,22,12,33,0,Naofall Folahan Block.
Fairleigh Dickinson,Wagner,15,22,12,35,0,Wagner Defensive Rebound.
Fairleigh Dickinson,Wagner,15,24,12,48,1,Orlando Parker made Layup. Assisted by Kenneth Ortiz.
