Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Wake Forest,Kansas,0,0,0,0,0,Jump Ball won by Kansas
Wake Forest,Kansas,0,0,0,15,0,Wayne Selden Jr. missed Three Point Jumper.
Wake Forest,Kansas,0,0,0,15,0,Perry Ellis Offensive Rebound.
Wake Forest,Kansas,0,2,0,15,1,Perry Ellis made Dunk.
Wake Forest,Kansas,0,2,0,48,0,Devin Thomas missed Jumper.
Wake Forest,Kansas,0,2,0,48,0,Tyler Cavanaugh Offensive Rebound.
Wake Forest,Kansas,0,2,0,49,0,Foul on Tarik Black.
Wake Forest,Kansas,1,2,0,49,1,Tyler Cavanaugh made Free Throw.
Wake Forest,Kansas,2,2,0,49,1,Tyler Cavanaugh made Free Throw.
Wake Forest,Kansas,2,2,1,18,0,Wayne Selden Jr. Turnover.
Wake Forest,Kansas,2,2,1,18,0,Codi Miller-McIntyre Steal.
Wake Forest,Kansas,4,2,1,31,1,Devin Thomas made Layup.
Wake Forest,Kansas,4,4,1,38,1,Andrew Wiggins made Jumper.
Wake Forest,Kansas,4,4,1,55,0,Foul on Andrew Wiggins.
Wake Forest,Kansas,4,4,2,10,0,Tyler Cavanaugh missed Jumper.
Wake Forest,Kansas,4,4,2,10,0,Perry Ellis Defensive Rebound.
Wake Forest,Kansas,4,4,2,21,0,Andrew Wiggins missed Jumper.
Wake Forest,Kansas,4,4,2,21,0,Tyler Cavanaugh Defensive Rebound.
Wake Forest,Kansas,4,4,2,28,0,Tyler Cavanaugh missed Three Point Jumper.
Wake Forest,Kansas,4,4,2,28,0,Naadir Tharpe Defensive Rebound.
Wake Forest,Kansas,4,6,2,38,1,Tarik Black made Jumper.
Wake Forest,Kansas,4,6,2,38,0,Foul on Devin Thomas.
Wake Forest,Kansas,4,7,2,38,1,Tarik Black made Free Throw.
Wake Forest,Kansas,6,7,2,48,1,Madison Jones made Jumper.
Wake Forest,Kansas,6,7,2,48,0,Foul on Perry Ellis.
Wake Forest,Kansas,6,7,2,48,0,Madison Jones missed Free Throw.
Wake Forest,Kansas,6,7,2,48,0,Andrew Wiggins Defensive Rebound.
Wake Forest,Kansas,6,7,2,58,0,Perry Ellis Turnover.
Wake Forest,Kansas,6,7,2,58,0,Madison Jones Steal.
Wake Forest,Kansas,8,7,3,3,1,Madison Jones made Layup.
Wake Forest,Kansas,8,7,3,25,0,Perry Ellis missed Jumper.
Wake Forest,Kansas,8,7,3,25,0,Tarik Black Offensive Rebound.
Wake Forest,Kansas,8,9,3,31,1,Tarik Black made Jumper.
Wake Forest,Kansas,8,9,3,41,0,Codi Miller-McIntyre missed Three Point Jumper.
Wake Forest,Kansas,8,9,3,41,0,Andrew Wiggins Defensive Rebound.
Wake Forest,Kansas,8,9,3,48,0,Andrew Wiggins missed Layup.
Wake Forest,Kansas,8,9,3,48,0,Codi Miller-McIntyre Defensive Rebound.
Wake Forest,Kansas,11,9,3,56,1,Travis McKie made Three Point Jumper. Assisted by Codi Miller-McIntyre.
Wake Forest,Kansas,11,12,4,13,1,Naadir Tharpe made Three Point Jumper. Assisted by Andrew Wiggins.
Wake Forest,Kansas,11,12,4,35,0,Devin Thomas Turnover.
Wake Forest,Kansas,11,12,4,35,0,Perry Ellis Steal.
Wake Forest,Kansas,11,12,4,41,0,Wayne Selden Jr. missed Jumper.
Wake Forest,Kansas,11,12,4,41,0,Devin Thomas Defensive Rebound.
Wake Forest,Kansas,11,12,5,2,0,Madison Jones Turnover.
Wake Forest,Kansas,11,12,5,2,0,Andrew Wiggins Steal.
Wake Forest,Kansas,11,12,5,6,0,Foul on Tyler Cavanaugh.
Wake Forest,Kansas,11,12,5,6,0,Official TV Timeout
Wake Forest,Kansas,11,12,5,6,0,Andrew Wiggins missed Free Throw.
Wake Forest,Kansas,11,12,5,6,0,Kansas Deadball Team Rebound.
Wake Forest,Kansas,11,13,5,6,1,Andrew Wiggins made Free Throw.
Wake Forest,Kansas,11,13,5,24,0,Travis McKie Turnover.
Wake Forest,Kansas,11,15,5,58,1,Wayne Selden Jr. made Jumper.
Wake Forest,Kansas,11,15,6,24,0,Arnaud William Adala Moto missed Jumper.
Wake Forest,Kansas,11,15,6,24,0,Joel Embiid Defensive Rebound.
Wake Forest,Kansas,11,15,6,41,0,Niko Roberts missed Three Point Jumper.
Wake Forest,Kansas,11,15,6,41,0,Devin Thomas Defensive Rebound.
Wake Forest,Kansas,11,15,6,52,0,Devin Thomas missed Layup.
Wake Forest,Kansas,11,15,6,52,0,Travis McKie Offensive Rebound.
Wake Forest,Kansas,11,15,6,52,0,Travis McKie missed Two Point Tip Shot.
Wake Forest,Kansas,11,15,6,52,0,Travis McKie Offensive Rebound.
Wake Forest,Kansas,11,15,6,52,0,Travis McKie missed Two Point Tip Shot.
Wake Forest,Kansas,11,15,6,52,0,Wayne Selden Jr. Defensive Rebound.
Wake Forest,Kansas,11,17,6,58,1,Joel Embiid made Layup. Assisted by Naadir Tharpe.
Wake Forest,Kansas,11,17,7,8,0,Foul on Frank Mason.
Wake Forest,Kansas,11,17,7,27,0,Codi Miller-McIntyre missed Jumper.
Wake Forest,Kansas,11,17,7,27,0,Landen Lucas Block.
Wake Forest,Kansas,11,17,7,27,0,Frank Mason Defensive Rebound.
Wake Forest,Kansas,11,17,7,34,0,Frank Mason Turnover.
Wake Forest,Kansas,11,17,7,34,0,Codi Miller-McIntyre Steal.
Wake Forest,Kansas,13,17,7,40,1,Codi Miller-McIntyre made Jumper.
Wake Forest,Kansas,13,17,7,54,0,Frank Mason missed Three Point Jumper.
Wake Forest,Kansas,13,17,7,54,0,Jamari Traylor Offensive Rebound.
Wake Forest,Kansas,13,19,8,6,1,Jamari Traylor made Layup.
Wake Forest,Kansas,13,19,8,16,0,Arnaud William Adala Moto missed Three Point Jumper.
Wake Forest,Kansas,13,19,8,16,0,Joel Embiid Defensive Rebound.
Wake Forest,Kansas,13,19,8,28,0,Foul on Andre Washington.
Wake Forest,Kansas,13,19,8,28,0,Official TV Timeout
Wake Forest,Kansas,13,20,8,28,1,Jamari Traylor made Free Throw.
Wake Forest,Kansas,13,21,8,28,1,Jamari Traylor made Free Throw.
Wake Forest,Kansas,13,21,8,58,0,Aaron Rountree III Turnover.
Wake Forest,Kansas,13,21,9,19,0,Jamari Traylor missed Jumper.
