Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Weber State,Eastern Washington,0,0,0,0,0,Technical Foul on Richaud Gittens.
Weber State,Eastern Washington,0,1,0,0,1,Tyler Harvey made Free Throw.
Weber State,Eastern Washington,0,2,0,0,1,Tyler Harvey made Free Throw.
Weber State,Eastern Washington,0,2,0,17,0,Kyle Tresnak missed Layup.
Weber State,Eastern Washington,0,2,0,17,0,Drew Brandon Defensive Rebound.
Weber State,Eastern Washington,0,2,0,42,0,Martin Seiferth missed Layup.
Weber State,Eastern Washington,0,2,0,42,0,Tyler Harvey Offensive Rebound.
Weber State,Eastern Washington,0,2,0,51,0,Tyler Harvey missed Three Point Jumper.
Weber State,Eastern Washington,0,2,0,51,0,Joel Bolomboy Defensive Rebound.
Weber State,Eastern Washington,0,2,1,5,0,Davion Berry missed Three Point Jumper.
Weber State,Eastern Washington,0,2,1,5,0,Martin Seiferth Defensive Rebound.
Weber State,Eastern Washington,0,4,1,21,1,Drew Brandon made Layup.
Weber State,Eastern Washington,0,4,1,46,0,Joel Bolomboy Turnover.
Weber State,Eastern Washington,0,4,1,47,0,Tyler Harvey Steal.
Weber State,Eastern Washington,0,6,2,5,1,Venky Jois made Layup.
Weber State,Eastern Washington,0,6,2,35,0,Kyle Tresnak Turnover.
Weber State,Eastern Washington,0,6,2,48,0,Tyler Harvey missed Jumper.
Weber State,Eastern Washington,0,6,2,48,0,Jeremy Senglin Defensive Rebound.
Weber State,Eastern Washington,0,6,2,55,0,Foul on Venky Jois.
Weber State,Eastern Washington,0,6,3,18,0,Jordan Richardson missed Three Point Jumper.
Weber State,Eastern Washington,0,6,3,18,0,Drew Brandon Defensive Rebound.
Weber State,Eastern Washington,0,9,3,38,1,Parker Kelly made Three Point Jumper. Assisted by Venky Jois.
Weber State,Eastern Washington,0,9,3,44,0,Weber State  Timeout
Weber State,Eastern Washington,0,9,3,57,0,Kyle Tresnak missed Jumper.
Weber State,Eastern Washington,0,9,3,57,0,Joel Bolomboy Offensive Rebound.
Weber State,Eastern Washington,0,9,3,59,0,Foul on Parker Kelly.
Weber State,Eastern Washington,1,9,3,59,1,Joel Bolomboy made Free Throw.
Weber State,Eastern Washington,2,9,3,59,1,Joel Bolomboy made Free Throw.
Weber State,Eastern Washington,2,9,4,15,0,Tyler Harvey missed Jumper.
Weber State,Eastern Washington,2,9,4,15,0,Jordan Richardson Defensive Rebound.
Weber State,Eastern Washington,2,9,4,25,0,Jordan Richardson missed Three Point Jumper.
Weber State,Eastern Washington,2,9,4,25,0,Joel Bolomboy Offensive Rebound.
Weber State,Eastern Washington,2,9,4,30,0,Foul on Venky Jois.
Weber State,Eastern Washington,2,9,4,30,0,Official TV Timeout
Weber State,Eastern Washington,3,9,4,30,1,Joel Bolomboy made Free Throw.
Weber State,Eastern Washington,4,9,4,30,1,Joel Bolomboy made Free Throw.
Weber State,Eastern Washington,4,9,4,54,0,Drew Brandon Turnover.
Weber State,Eastern Washington,4,9,4,55,0,Richaud Gittens Steal.
Weber State,Eastern Washington,4,9,4,58,0,Richaud Gittens missed Layup.
