Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
West Virginia,Georgetown,0,0,0,0,0,Jump Ball won by Georgetown
West Virginia,Georgetown,0,2,0,13,1,Jabril Trawick made Layup. Assisted by Mikael Hopkins.
West Virginia,Georgetown,0,2,0,47,0,Juwan Staten Turnover.
West Virginia,Georgetown,0,2,0,47,0,Jabril Trawick Steal.
West Virginia,Georgetown,0,2,0,52,0,D'Vauntes Smith-Rivera missed Three Point Jumper.
West Virginia,Georgetown,0,2,0,52,0,Mikael Hopkins Offensive Rebound.
West Virginia,Georgetown,0,2,1,4,0,D'Vauntes Smith-Rivera Turnover.
West Virginia,Georgetown,0,2,1,4,0,Nathan Adrian Steal.
West Virginia,Georgetown,0,2,1,9,0,Remi Dibo missed Three Point Jumper.
West Virginia,Georgetown,0,2,1,9,0,West Virginia Offensive Rebound.
West Virginia,Georgetown,0,2,1,12,0,Foul on Jabril Trawick.
West Virginia,Georgetown,0,2,1,19,0,Remi Dibo Turnover.
West Virginia,Georgetown,0,2,1,29,0,Foul on Remi Dibo.
West Virginia,Georgetown,0,2,1,29,0,Georgetown  Timeout
West Virginia,Georgetown,0,2,1,55,0,Markel Starks missed Three Point Jumper.
West Virginia,Georgetown,0,2,1,55,0,West Virginia Defensive Rebound.
West Virginia,Georgetown,0,2,2,25,0,Foul on D'Vauntes Smith-Rivera.
West Virginia,Georgetown,2,2,2,30,1,Remi Dibo made Layup. Assisted by Nathan Adrian.
West Virginia,Georgetown,2,2,2,54,0,Foul on Kevin Noreen.
West Virginia,Georgetown,2,2,2,56,0,Foul on Nathan Adrian.
West Virginia,Georgetown,2,3,2,56,1,Jabril Trawick made Free Throw.
West Virginia,Georgetown,2,4,2,56,1,Jabril Trawick made Free Throw.
West Virginia,Georgetown,4,4,3,10,1,Juwan Staten made Layup.
West Virginia,Georgetown,4,4,3,28,0,Foul on Kevin Noreen.
West Virginia,Georgetown,4,4,3,40,0,Mikael Hopkins missed Layup.
West Virginia,Georgetown,4,4,3,40,0,Devin Williams Defensive Rebound.
West Virginia,Georgetown,7,4,4,7,1,Eron Harris made Three Point Jumper. Assisted by Juwan Staten.
West Virginia,Georgetown,7,4,4,29,0,Markel Starks missed Jumper.
West Virginia,Georgetown,7,4,4,29,0,Nathan Adrian Defensive Rebound.
West Virginia,Georgetown,7,4,4,43,0,Foul on Markel Starks.
West Virginia,Georgetown,7,4,4,43,0,Official TV Timeout
West Virginia,Georgetown,7,4,4,43,0,Juwan Staten missed Free Throw.
West Virginia,Georgetown,7,4,4,43,0,West Virginia Deadball Team Rebound.
West Virginia,Georgetown,8,4,4,43,1,Juwan Staten made Free Throw.
West Virginia,Georgetown,8,7,4,59,1,D'Vauntes Smith-Rivera made Three Point Jumper. Assisted by Jabril Trawick.
West Virginia,Georgetown,8,7,5,17,0,Remi Dibo missed Jumper.
West Virginia,Georgetown,8,7,5,17,0,Mikael Hopkins Defensive Rebound.
West Virginia,Georgetown,8,7,5,29,0,Jabril Trawick missed Layup.
West Virginia,Georgetown,8,7,5,29,0,Devin Williams Defensive Rebound.
