Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Drake,Wichita State,0,0,0,0,0,Jump Ball won by Wichita St
Drake,Wichita State,0,0,0,27,0,Fred VanVleet missed Three Point Jumper.
Drake,Wichita State,0,0,0,27,0,Drake Defensive Rebound.
Drake,Wichita State,0,0,0,35,0,Richard Carter Turnover.
Drake,Wichita State,0,0,0,48,0,Cleanthony Early Turnover.
Drake,Wichita State,0,0,0,48,0,Richard Carter Steal.
Drake,Wichita State,0,0,0,54,0,Richard Carter missed Layup.
Drake,Wichita State,0,0,0,54,0,Tekele Cotton Block.
Drake,Wichita State,0,0,0,54,0,Aaron Hawley Offensive Rebound.
Drake,Wichita State,0,0,0,54,0,Aaron Hawley missed Two Point Tip Shot.
Drake,Wichita State,0,0,0,54,0,Cleanthony Early Defensive Rebound.
Drake,Wichita State,0,0,1,11,0,Ron Baker missed Three Point Jumper.
Drake,Wichita State,0,0,1,11,0,Seth VanDeest Defensive Rebound.
Drake,Wichita State,0,0,1,23,0,Chris Caird missed Three Point Jumper.
Drake,Wichita State,0,0,1,23,0,Ron Baker Defensive Rebound.
Drake,Wichita State,0,3,1,44,1,Ron Baker made Three Point Jumper. Assisted by Fred VanVleet.
Drake,Wichita State,0,3,2,2,0,Aaron Hawley missed Layup.
Drake,Wichita State,0,3,2,2,0,Cleanthony Early Defensive Rebound.
Drake,Wichita State,0,3,2,22,0,Foul on Seth VanDeest.
Drake,Wichita State,0,5,2,41,1,Chadrack Lufile made Layup. Assisted by Ron Baker.
Drake,Wichita State,0,5,3,2,0,Aaron Hawley missed Three Point Jumper.
Drake,Wichita State,0,5,3,2,0,Wichita St Defensive Rebound.
Drake,Wichita State,0,5,3,20,0,Cleanthony Early missed Jumper.
Drake,Wichita State,0,5,3,20,0,Aaron Hawley Defensive Rebound.
Drake,Wichita State,0,5,3,22,0,Foul on Cleanthony Early.
Drake,Wichita State,0,5,3,55,0,Richard Carter Turnover.
Drake,Wichita State,0,5,3,55,0,Tekele Cotton Steal.
Drake,Wichita State,0,5,3,57,0,Foul on Richard Carter.
Drake,Wichita State,0,7,4,11,1,Tekele Cotton made Jumper.
Drake,Wichita State,2,7,4,28,1,Trevor Berkeley made Layup. Assisted by Jordan Daniels.
Drake,Wichita State,2,7,4,28,0,Foul on Ron Baker.
Drake,Wichita State,2,7,4,28,0,Official TV Timeout
Drake,Wichita State,3,7,4,28,1,Trevor Berkeley made Free Throw.
Drake,Wichita State,3,7,4,49,0,Darius Carter missed Jumper.
Drake,Wichita State,3,7,4,49,0,Jordan Daniels Defensive Rebound.
Drake,Wichita State,3,7,5,9,0,Chris Caird missed Jumper.
Drake,Wichita State,3,7,5,9,0,Darius Carter Block.
Drake,Wichita State,3,7,5,9,0,Kadeem Coleby Defensive Rebound.
Drake,Wichita State,3,9,5,17,1,Fred VanVleet made Layup.
Drake,Wichita State,3,9,5,17,0,Foul on Chris Caird.
Drake,Wichita State,3,10,5,17,1,Fred VanVleet made Free Throw.
Drake,Wichita State,5,10,5,38,1,Jordan Daniels made Jumper.
Drake,Wichita State,5,10,5,59,0,Fred VanVleet missed Three Point Jumper.
Drake,Wichita State,5,10,5,59,0,Ron Baker Offensive Rebound.
Drake,Wichita State,5,10,6,3,0,Foul on Trevor Berkeley.
Drake,Wichita State,5,10,6,3,0,Ron Baker missed Free Throw.
Drake,Wichita State,5,10,6,3,0,Wichita St Deadball Team Rebound.
Drake,Wichita State,5,10,6,3,0,Ron Baker missed Free Throw.
Drake,Wichita State,5,10,6,3,0,Jacob Enevold Jensen Defensive Rebound.
Drake,Wichita State,5,10,6,29,0,Chris Caird Turnover.
Drake,Wichita State,5,10,6,29,0,Fred VanVleet Steal.
Drake,Wichita State,5,12,6,40,1,Darius Carter made Layup. Assisted by Fred VanVleet.
Drake,Wichita State,5,12,7,8,0,Foul on Fred VanVleet.
Drake,Wichita State,6,12,7,8,1,Jordan Daniels made Free Throw.
Drake,Wichita State,6,12,7,18,0,Chadrack Lufile missed Layup.
Drake,Wichita State,6,12,7,18,0,Jacob Enevold Jensen Block.
Drake,Wichita State,6,12,7,18,0,Wichita St Offensive Rebound.
Drake,Wichita State,6,12,7,22,0,Fred VanVleet missed Three Point Jumper.
Drake,Wichita State,6,12,7,22,0,Jordan Daniels Defensive Rebound.
Drake,Wichita State,6,12,7,32,0,Richard Carter missed Three Point Jumper.
Drake,Wichita State,6,12,7,32,0,Wichita St Defensive Rebound.
Drake,Wichita State,6,12,7,52,0,Nick Wiggins missed Three Point Jumper.
Drake,Wichita State,6,12,7,52,0,Chadrack Lufile Offensive Rebound.
Drake,Wichita State,6,14,7,57,1,Chadrack Lufile made Jumper.
Drake,Wichita State,8,14,8,12,1,Aaron Hawley made Jumper. Assisted by Richard Carter.
Drake,Wichita State,8,14,8,28,0,Nick Wiggins Turnover.
Drake,Wichita State,8,14,8,28,0,Richard Carter Steal.
Drake,Wichita State,10,14,8,33,1,Richard Carter made Layup.
Drake,Wichita State,10,14,8,43,0,Nick Wiggins Turnover.
Drake,Wichita State,10,14,8,43,0,Official TV Timeout
Drake,Wichita State,12,14,9,1,1,Daddy Ugbede made Jumper.
Drake,Wichita State,12,14,9,21,0,Ron Baker missed Three Point Jumper.
Drake,Wichita State,12,14,9,21,0,Nick Wiggins Offensive Rebound.
Drake,Wichita State,12,14,9,28,0,Nick Wiggins missed Jumper.
Drake,Wichita State,12,14,9,28,0,Jacob Enevold Jensen Block.
Drake,Wichita State,12,14,9,28,0,Drake Defensive Rebound.
Drake,Wichita State,12,14,9,51,0,Foul on Daddy Ugbede.
Drake,Wichita State,12,14,9,51,0,Daddy Ugbede Turnover.
Drake,Wichita State,12,14,10,12,0,Fred VanVleet missed Three Point Jumper.
Drake,Wichita State,12,14,10,12,0,Wichita St Offensive Rebound.
Drake,Wichita State,12,14,10,22,0,Foul on Cleanthony Early.
Drake,Wichita State,12,14,10,22,0,Cleanthony Early Turnover.
Drake,Wichita State,12,14,10,22,0,Aaron Hawley missed Free Throw.
Drake,Wichita State,12,14,10,22,0,Drake Deadball Team Rebound.
Drake,Wichita State,13,14,10,22,1,Aaron Hawley made Free Throw.
Drake,Wichita State,15,14,10,39,1,Aaron Hawley made Layup. Assisted by Seth VanDeest.
Drake,Wichita State,15,14,11,4,0,Foul on Daddy Ugbede.
Drake,Wichita State,15,16,11,17,1,Darius Carter made Jumper. Assisted by Evan Wessel.
Drake,Wichita State,15,16,11,36,0,Karl Madison missed Jumper.
Drake,Wichita State,15,16,11,36,0,Darius Carter Block.
Drake,Wichita State,15,16,11,36,0,Darius Carter Defensive Rebound.
Drake,Wichita State,15,16,11,42,0,Foul on Ron Baker.
Drake,Wichita State,15,16,11,42,0,Ron Baker Turnover.
Drake,Wichita State,15,16,11,58,0,Karl Madison Turnover.
Drake,Wichita State,15,16,12,16,0,Foul on Karl Madison.
Drake,Wichita State,15,16,12,16,0,Official TV Timeout
Drake,Wichita State,15,17,12,16,1,Darius Carter made Free Throw.
Drake,Wichita State,15,18,12,16,1,Darius Carter made Free Throw.
Drake,Wichita State,15,18,12,36,0,Foul on Nick Wiggins.
Drake,Wichita State,16,18,12,36,1,Richard Carter made Free Throw.
Drake,Wichita State,17,18,12,36,1,Richard Carter made Free Throw.
Drake,Wichita State,17,20,12,59,1,Fred VanVleet made Layup.
Drake,Wichita State,17,20,13,13,0,Seth VanDeest Turnover.
Drake,Wichita State,17,20,13,13,0,Tekele Cotton Steal.
Drake,Wichita State,17,22,13,17,1,Tekele Cotton made Layup.
