Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
William & Mary,Hofstra,0,0,0,11,0,Jamall Robinson Turnover.
William & Mary,Hofstra,0,0,0,13,0,Terry Tarpey Steal.
William & Mary,Hofstra,3,0,0,48,1,Brandon Britt made Three Point Jumper.
William & Mary,Hofstra,3,0,1,14,0,Jamall Robinson missed Jumper.
William & Mary,Hofstra,3,0,1,14,0,Jordan Allen Offensive Rebound.
William & Mary,Hofstra,3,0,1,18,0,Jordan Allen missed Jumper.
William & Mary,Hofstra,3,0,1,18,0,Terry Tarpey Defensive Rebound.
William & Mary,Hofstra,3,0,1,48,0,Tim Rusthoven Turnover.
William & Mary,Hofstra,3,2,2,19,1,Dion Nesmith made Jumper.
William & Mary,Hofstra,3,2,2,19,0,Foul on Tim Rusthoven.
William & Mary,Hofstra,3,2,2,19,0,Dion Nesmith missed Free Throw.
William & Mary,Hofstra,3,2,2,19,0,Stephen Nwaukoni Offensive Rebound.
William & Mary,Hofstra,3,2,2,23,0,Dion Nesmith missed Three Point Jumper.
William & Mary,Hofstra,3,2,2,23,0,Tim Rusthoven Defensive Rebound.
William & Mary,Hofstra,3,2,2,51,0,Marcus Thornton missed Jumper.
William & Mary,Hofstra,3,2,2,51,0,Jordan Allen Defensive Rebound.
William & Mary,Hofstra,3,4,2,58,1,Zeke Upshaw made Jumper. Assisted by Dion Nesmith.
William & Mary,Hofstra,3,4,2,58,0,Foul on Brandon Britt.
William & Mary,Hofstra,3,5,2,58,1,Zeke Upshaw made Free Throw.
William & Mary,Hofstra,3,5,3,19,0,Brandon Britt missed Layup.
William & Mary,Hofstra,3,5,3,19,0,Tim Rusthoven Offensive Rebound.
William & Mary,Hofstra,3,5,3,23,0,Tim Rusthoven missed Jumper.
William & Mary,Hofstra,3,5,3,23,0,Zeke Upshaw Defensive Rebound.
William & Mary,Hofstra,3,5,3,27,0,Zeke Upshaw Turnover.
William & Mary,Hofstra,3,5,3,59,0,Brandon Britt missed Three Point Jumper.
William & Mary,Hofstra,3,5,3,59,0,Zeke Upshaw Defensive Rebound.
William & Mary,Hofstra,3,5,4,15,0,Zeke Upshaw missed Three Point Jumper.
William & Mary,Hofstra,3,5,4,15,0,Brandon Britt Defensive Rebound.
William & Mary,Hofstra,6,5,4,23,1,Kyle Gaillard made Three Point Jumper. Assisted by Marcus Thornton.
William & Mary,Hofstra,6,5,4,43,0,Jamall Robinson missed Jumper.
William & Mary,Hofstra,6,5,4,43,0,Tim Rusthoven Defensive Rebound.
William & Mary,Hofstra,6,5,4,46,0,Foul on Jordan Allen.
William & Mary,Hofstra,6,5,4,46,0,Official TV Timeout
William & Mary,Hofstra,6,5,5,5,0,Foul on Moussa Kone.
