Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Incarnate Word,Abilene Christian,2,0,0,36,1,Denzel Livingston made Jumper.
Incarnate Word,Abilene Christian,2,0,0,47,0,Jalen Little Turnover.
Incarnate Word,Abilene Christian,2,0,1,8,0,Denzel Livingston Turnover.
Incarnate Word,Abilene Christian,2,0,1,9,0,Jalen Little Steal.
Incarnate Word,Abilene Christian,2,0,1,35,0,Riley Payne missed Jumper.
Incarnate Word,Abilene Christian,2,0,1,35,0,Austin Cooke Offensive Rebound.
Incarnate Word,Abilene Christian,2,2,1,38,1,Austin Cooke made Jumper.
Incarnate Word,Abilene Christian,2,2,1,53,0,Kyle Hittle missed Jumper.
Incarnate Word,Abilene Christian,2,2,1,53,0,Kyle Hittle Offensive Rebound.
Incarnate Word,Abilene Christian,2,2,1,54,0,Foul on Riley Payne.
Incarnate Word,Abilene Christian,5,2,1,59,1,Denzel Livingston made Three Point Jumper. Assisted by Jontrell Walker.
Incarnate Word,Abilene Christian,5,2,2,29,0,Duran Porter missed Jumper.
Incarnate Word,Abilene Christian,5,2,2,29,0,Jalen Little Offensive Rebound.
Incarnate Word,Abilene Christian,5,2,2,35,0,Parker Wentz missed Jumper.
Incarnate Word,Abilene Christian,5,2,2,35,0,Traylin Farris Block.
Incarnate Word,Abilene Christian,5,2,2,38,0,Mitchell Badillo Defensive Rebound.
Incarnate Word,Abilene Christian,7,2,3,3,1,Traylin Farris made Layup. Assisted by Jerred Kite.
Incarnate Word,Abilene Christian,7,4,3,27,1,Harrison Hawkins made Jumper.
Incarnate Word,Abilene Christian,10,4,3,44,1,Jontrell Walker made Three Point Jumper. Assisted by Mitchell Badillo.
Incarnate Word,Abilene Christian,10,4,4,3,0,Parker Wentz Turnover.
Incarnate Word,Abilene Christian,10,4,4,3,0,Official TV Timeout
Incarnate Word,Abilene Christian,12,4,4,34,1,Traylin Farris made Jumper.
Incarnate Word,Abilene Christian,12,6,4,58,1,Harrison Hawkins made Jumper.
Incarnate Word,Abilene Christian,14,6,5,23,1,Jerred Kite made Layup.
Incarnate Word,Abilene Christian,14,8,5,42,1,Christian Albright made Jumper. Assisted by Austin Cooke.
Incarnate Word,Abilene Christian,14,8,6,0,0,Mitchell Badillo missed Jumper.
Incarnate Word,Abilene Christian,14,8,6,0,0,Parker Wentz Block.
Incarnate Word,Abilene Christian,14,8,6,1,0,Incarnate Word Offensive Rebound.
Incarnate Word,Abilene Christian,14,8,6,3,0,Foul on Jalen Little.
Incarnate Word,Abilene Christian,14,8,6,25,0,Jerred Kite Turnover.
Incarnate Word,Abilene Christian,14,8,6,25,0,Parker Wentz Steal.
Incarnate Word,Abilene Christian,14,8,6,49,0,Foul on LaDarrien Williams.
Incarnate Word,Abilene Christian,14,8,6,49,0,LaDarrien Williams Turnover.
Incarnate Word,Abilene Christian,14,8,7,4,0,Denzel Livingston missed Jumper.
Incarnate Word,Abilene Christian,14,8,7,4,0,Jalen Little Defensive Rebound.
Incarnate Word,Abilene Christian,14,10,7,14,1,LaDarrien Williams made Jumper.
Incarnate Word,Abilene Christian,14,10,7,16,0,Foul on Kyle Hittle.
Incarnate Word,Abilene Christian,14,11,7,16,1,LaDarrien Williams made Free Throw.
Incarnate Word,Abilene Christian,16,11,7,38,1,Traylin Farris made Dunk. Assisted by Mitchell Badillo.
Incarnate Word,Abilene Christian,16,14,7,48,1,Harrison Hawkins made Three Point Jumper.
Incarnate Word,Abilene Christian,18,14,7,57,1,Kyle Hittle made Jumper.
Incarnate Word,Abilene Christian,18,14,8,12,0,Harrison Hawkins missed Three Point Jumper.
Incarnate Word,Abilene Christian,18,14,8,12,0,LaDarrien Williams Offensive Rebound.
Incarnate Word,Abilene Christian,18,14,8,22,0,LaDarrien Williams missed Three Point Jumper.
Incarnate Word,Abilene Christian,18,14,8,22,0,Jontrell Walker Defensive Rebound.
Incarnate Word,Abilene Christian,20,14,8,31,1,Jontrell Walker made Layup.
Incarnate Word,Abilene Christian,20,14,8,49,0,Foul on Austin Henry.
Incarnate Word,Abilene Christian,20,14,8,49,0,Official TV Timeout
Incarnate Word,Abilene Christian,20,15,8,49,1,Michael Grant made Free Throw.
Incarnate Word,Abilene Christian,20,15,8,49,0,Michael Grant missed Free Throw.
Incarnate Word,Abilene Christian,20,15,8,49,0,Denzel Livingston Defensive Rebound.
Incarnate Word,Abilene Christian,23,15,9,5,1,Kyle Hittle made Three Point Jumper. Assisted by Mitchell Badillo.
Incarnate Word,Abilene Christian,23,15,9,21,0,Foul on Kyle Hittle.
Incarnate Word,Abilene Christian,23,15,9,44,0,Harrison Hawkins missed Three Point Jumper.
Incarnate Word,Abilene Christian,23,15,9,44,0,Incarnate Word Defensive Rebound.
Incarnate Word,Abilene Christian,23,15,9,46,0,Foul on Michael Grant.
Incarnate Word,Abilene Christian,23,15,10,9,0,Shawn Johnson Turnover.
Incarnate Word,Abilene Christian,23,15,10,10,0,Parker Wentz Steal.
Incarnate Word,Abilene Christian,23,15,10,15,0,Jalen Little Turnover.
Incarnate Word,Abilene Christian,23,15,10,16,0,Shawn Johnson Steal.
Incarnate Word,Abilene Christian,25,15,10,21,1,Traylin Farris made Layup. Assisted by Mitchell Badillo.
Incarnate Word,Abilene Christian,25,17,10,40,1,Duran Porter made Jumper.
Incarnate Word,Abilene Christian,27,17,11,9,1,Shawn Johnson made Jumper.
Incarnate Word,Abilene Christian,27,20,11,33,1,Harrison Hawkins made Three Point Jumper. Assisted by Jalen Little.
Incarnate Word,Abilene Christian,27,20,11,52,0,Denzel Livingston missed Three Point Jumper.
Incarnate Word,Abilene Christian,27,20,11,52,0,Duran Porter Defensive Rebound.
Incarnate Word,Abilene Christian,27,20,12,9,0,Foul on Traylin Farris.
Incarnate Word,Abilene Christian,27,20,12,9,0,Official TV Timeout
Incarnate Word,Abilene Christian,27,20,12,9,0,Duran Porter missed Free Throw.
Incarnate Word,Abilene Christian,27,20,12,9,0,Abilene Christian Deadball Team Rebound.
Incarnate Word,Abilene Christian,27,21,12,9,1,Duran Porter made Free Throw.
Incarnate Word,Abilene Christian,27,21,12,26,0,Denzel Livingston missed Jumper.
Incarnate Word,Abilene Christian,27,21,12,26,0,Denzel Livingston Offensive Rebound.
Incarnate Word,Abilene Christian,29,21,12,30,1,Denzel Livingston made Layup.
Incarnate Word,Abilene Christian,29,21,12,38,0,K.J. Maura Turnover.
Incarnate Word,Abilene Christian,29,21,12,39,0,Kyle Hittle Steal.
Incarnate Word,Abilene Christian,29,21,12,51,0,Foul on Harrison Hawkins.
Incarnate Word,Abilene Christian,30,21,12,51,1,Denzel Livingston made Free Throw.
Incarnate Word,Abilene Christian,31,21,12,51,1,Denzel Livingston made Free Throw.
Incarnate Word,Abilene Christian,31,21,13,1,0,LaDarrien Williams Turnover.
Incarnate Word,Abilene Christian,31,21,13,17,0,Kyle Hittle missed Three Point Jumper.
Incarnate Word,Abilene Christian,31,21,13,17,0,Riley Payne Defensive Rebound.
Incarnate Word,Abilene Christian,31,21,13,32,0,Drake Green missed Jumper.
Incarnate Word,Abilene Christian,31,21,13,32,0,Jontrell Walker Defensive Rebound.
Incarnate Word,Abilene Christian,31,21,13,42,0,Denzel Livingston missed Three Point Jumper.
Incarnate Word,Abilene Christian,31,21,13,42,0,Kyle Hittle Offensive Rebound.
Incarnate Word,Abilene Christian,33,21,13,45,1,Kyle Hittle made Layup.
Incarnate Word,Abilene Christian,33,21,14,11,0,Foul on Denzel Livingston.
Incarnate Word,Abilene Christian,33,22,14,11,1,Drake Green made Free Throw.
Incarnate Word,Abilene Christian,33,23,14,11,1,Drake Green made Free Throw.
Incarnate Word,Abilene Christian,35,23,14,26,1,Mitchell Badillo made Jumper.
Incarnate Word,Abilene Christian,35,25,14,39,1,Riley Payne made Layup. Assisted by Jalen Little.
Incarnate Word,Abilene Christian,37,25,14,59,1,Jontrell Walker made Jumper.
