Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Nicholls,Abilene Christian,0,0,0,15,0,Parker Wentz missed Three Point Jumper.
Nicholls,Abilene Christian,0,0,0,15,0,Amin Torres Defensive Rebound.
Nicholls,Abilene Christian,0,0,0,24,0,Richie Lewis missed Layup.
Nicholls,Abilene Christian,0,0,0,24,0,Nicholls St Offensive Rebound.
Nicholls,Abilene Christian,0,0,0,30,0,T.J. Carpenter missed Layup.
Nicholls,Abilene Christian,0,0,0,30,0,Harrison Hawkins Defensive Rebound.
Nicholls,Abilene Christian,0,2,0,36,1,Parker Wentz made Layup. Assisted by Harrison Hawkins.
Nicholls,Abilene Christian,0,2,0,51,0,Liam Thomas Turnover.
Nicholls,Abilene Christian,0,2,0,52,0,Harrison Hawkins Steal.
Nicholls,Abilene Christian,0,2,0,58,0,Parker Wentz missed Jumper.
Nicholls,Abilene Christian,0,2,0,58,0,Abilene Christian Offensive Rebound.
Nicholls,Abilene Christian,0,4,1,5,1,Parker Wentz made Layup. Assisted by Jalen Little.
Nicholls,Abilene Christian,0,4,1,5,0,Foul on Amin Torres.
Nicholls,Abilene Christian,0,5,1,5,1,Parker Wentz made Free Throw.
Nicholls,Abilene Christian,0,5,1,16,0,Amin Torres Turnover.
Nicholls,Abilene Christian,0,5,1,17,0,Austin Cooke Steal.
Nicholls,Abilene Christian,0,5,1,33,0,Parker Wentz missed Three Point Jumper.
Nicholls,Abilene Christian,0,5,1,33,0,T.J. Carpenter Block.
Nicholls,Abilene Christian,0,5,1,35,0,Liam Thomas Defensive Rebound.
Nicholls,Abilene Christian,2,5,1,54,1,Ja'Dante' Frye made Jumper.
Nicholls,Abilene Christian,2,5,2,14,0,Foul on Harrison Hawkins.
Nicholls,Abilene Christian,2,5,2,14,0,Harrison Hawkins Turnover.
Nicholls,Abilene Christian,2,5,2,23,0,Richie Lewis Turnover.
Nicholls,Abilene Christian,2,5,2,35,0,Parker Wentz missed Three Point Jumper.
