Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Army,St. Francis (BKN),0,2,0,5,1,Amdy Fall made Jumper. Assisted by Brent Jones.
Army,St. Francis (BKN),0,2,0,14,0,Kyle Wilson missed Three Point Jumper.
Army,St. Francis (BKN),0,2,0,14,0,Jalen Cannon Defensive Rebound.
Army,St. Francis (BKN),0,2,0,29,0,Jalen Cannon Turnover.
Army,St. Francis (BKN),0,2,0,31,0,Larry Toomey Turnover.
Army,St. Francis (BKN),0,2,0,31,0,Brent Jones Steal.
Army,St. Francis (BKN),0,2,0,31,0,Amdy Fall missed Jumper.
Army,St. Francis (BKN),0,2,0,31,0,Brent Jones Offensive Rebound.
Army,St. Francis (BKN),0,2,0,31,0,Brent Jones missed Layup.
Army,St. Francis (BKN),0,2,0,31,0,Dylan Cox Defensive Rebound.
Army,St. Francis (BKN),2,2,0,31,1,Larry Toomey made Layup. Assisted by Dylan Cox.
Army,St. Francis (BKN),2,2,1,27,0,St. Francis (NY)  Timeout
Army,St. Francis (BKN),2,2,1,29,0,Brent Jones missed Layup.
Army,St. Francis (BKN),2,2,1,29,0,Dylan Cox Block.
Army,St. Francis (BKN),2,2,1,36,0,Larry Toomey Defensive Rebound.
Army,St. Francis (BKN),2,2,1,39,0,Larry Toomey missed Jumper.
Army,St. Francis (BKN),2,2,1,39,0,St. Francis (NY) Defensive Rebound.
Army,St. Francis (BKN),2,2,2,5,0,Brent Jones missed Jumper.
Army,St. Francis (BKN),2,2,2,5,0,Jalen Cannon Offensive Rebound.
Army,St. Francis (BKN),2,4,2,12,1,Jalen Cannon made Layup.
Army,St. Francis (BKN),2,4,2,12,0,Foul on Larry Toomey.
Army,St. Francis (BKN),2,5,2,12,1,Jalen Cannon made Free Throw.
Army,St. Francis (BKN),2,5,2,16,0,Larry Toomey Turnover.
Army,St. Francis (BKN),2,5,2,28,0,Jalen Cannon missed Layup.
Army,St. Francis (BKN),2,5,2,28,0,Amdy Fall Offensive Rebound.
Army,St. Francis (BKN),2,5,2,33,0,Tyreek Jewell missed Three Point Jumper.
Army,St. Francis (BKN),2,5,2,33,0,Tanner Omlid Defensive Rebound.
Army,St. Francis (BKN),2,5,2,44,0,Tanner Omlid missed Three Point Jumper.
Army,St. Francis (BKN),2,5,2,44,0,Tyreek Jewell Defensive Rebound.
Army,St. Francis (BKN),2,5,2,47,0,Foul on Travis Rollo.
Army,St. Francis (BKN),2,5,3,5,0,Foul on Jalen Cannon.
Army,St. Francis (BKN),2,5,3,5,0,Maxwell Lenox Turnover.
Army,St. Francis (BKN),2,5,3,17,0,Kyle Wilson missed Layup.
Army,St. Francis (BKN),2,5,3,17,0,Amdy Fall Defensive Rebound.
Army,St. Francis (BKN),2,5,3,28,0,Foul on Tanner Omlid.
Army,St. Francis (BKN),2,5,3,28,0,Jalen Cannon missed Free Throw.
Army,St. Francis (BKN),2,5,3,28,0,St. Francis (NY) Deadball Team Rebound.
Army,St. Francis (BKN),2,6,3,28,1,Jalen Cannon made Free Throw.
Army,St. Francis (BKN),2,6,3,40,0,Tanner Plomb Turnover.
Army,St. Francis (BKN),2,6,3,43,0,Jalen Cannon Steal.
Army,St. Francis (BKN),2,6,3,44,0,Jalen Cannon Turnover.
Army,St. Francis (BKN),2,6,3,46,0,Tanner Plomb Steal.
Army,St. Francis (BKN),4,6,3,47,1,Tanner Plomb made Layup.
Army,St. Francis (BKN),4,9,4,14,1,Tyreek Jewell made Three Point Jumper.
Army,St. Francis (BKN),6,9,4,38,1,Kevin Ferguson made Layup. Assisted by Dylan Cox.
Army,St. Francis (BKN),6,9,5,8,0,Amdy Fall missed Layup.
Army,St. Francis (BKN),6,9,5,8,0,Amdy Fall Offensive Rebound.
Army,St. Francis (BKN),6,9,5,19,0,Foul on Dylan Cox.
Army,St. Francis (BKN),6,10,5,19,1,Amdy Fall made Free Throw.
Army,St. Francis (BKN),6,10,5,19,0,Amdy Fall missed Free Throw.
Army,St. Francis (BKN),6,10,5,19,0,Tanner Plomb Offensive Rebound.
Army,St. Francis (BKN),6,10,5,34,0,Jalen Cannon missed Jumper.
Army,St. Francis (BKN),6,10,5,34,0,Amdy Fall Offensive Rebound.
Army,St. Francis (BKN),6,13,5,45,1,Jalen Cannon made Three Point Jumper. Assisted by Yunus Hopkinson.
Army,St. Francis (BKN),8,13,6,5,1,Kevin Ferguson made Layup. Assisted by Tanner Plomb.
Army,St. Francis (BKN),8,13,6,5,0,Foul on Jalen Cannon.
Army,St. Francis (BKN),9,13,6,5,1,Kevin Ferguson made Free Throw.
Army,St. Francis (BKN),9,13,6,12,0,Tanner Omlid Defensive Rebound.
Army,St. Francis (BKN),9,13,6,12,0,Antonio Jenifer missed Layup.
Army,St. Francis (BKN),9,13,6,51,0,Foul on Chris Hooper.
Army,St. Francis (BKN),9,13,6,51,0,Travis Rollo missed Free Throw.
Army,St. Francis (BKN),9,13,6,51,0,Army Deadball Team Rebound.
Army,St. Francis (BKN),10,13,6,51,1,Travis Rollo made Free Throw.
Army,St. Francis (BKN),10,13,7,22,0,Chris Hooper Turnover.
Army,St. Francis (BKN),10,13,7,22,0,Kyle Wilson Steal.
