Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Arkansas,Auburn,0,0,0,0,0,Jump Ball won by Arkansas
Arkansas,Auburn,2,0,0,3,1,Alandise Harris made Layup.
Arkansas,Auburn,2,0,0,40,0,Cinmeon Bowers Turnover.
Arkansas,Auburn,2,0,0,55,0,Bobby Portis missed Jumper.
Arkansas,Auburn,2,0,0,55,0,Tahj Shamsid-Deen Defensive Rebound.
Arkansas,Auburn,2,3,1,4,1,Antoine Mason made Three Point Jumper. Assisted by Tahj Shamsid-Deen.
Arkansas,Auburn,2,3,1,10,0,Foul on Jordon Granger.
Arkansas,Auburn,5,3,1,23,1,Michael Qualls made Three Point Jumper. Assisted by Rashad Madden.
Arkansas,Auburn,5,5,1,35,1,Tahj Shamsid-Deen made Layup.
Arkansas,Auburn,5,5,1,35,0,Foul on Rashad Madden.
Arkansas,Auburn,5,6,1,35,1,Tahj Shamsid-Deen made Free Throw.
Arkansas,Auburn,7,6,1,55,1,Michael Qualls made Layup.
Arkansas,Auburn,7,6,2,6,0,Foul on Jordon Granger.
Arkansas,Auburn,7,6,2,6,0,Jordon Granger Turnover.
Arkansas,Auburn,7,6,2,14,0,Anton Beard missed Three Point Jumper.
Arkansas,Auburn,7,6,2,14,0,Rashad Madden Offensive Rebound.
Arkansas,Auburn,7,6,2,17,0,Foul on Antoine Mason.
Arkansas,Auburn,7,6,2,21,0,Alandise Harris missed Three Point Jumper.
Arkansas,Auburn,7,6,2,21,0,Auburn Defensive Rebound.
Arkansas,Auburn,7,6,2,40,0,Antoine Mason missed Three Point Jumper.
Arkansas,Auburn,7,6,2,40,0,Bobby Portis Defensive Rebound.
Arkansas,Auburn,7,6,2,52,0,Foul on Malcolm Canada.
Arkansas,Auburn,10,6,3,1,1,Michael Qualls made Three Point Jumper. Assisted by Anton Beard.
Arkansas,Auburn,10,8,3,10,1,Tahj Shamsid-Deen made Jumper.
Arkansas,Auburn,12,8,3,21,1,Alandise Harris made Layup. Assisted by Rashad Madden.
Arkansas,Auburn,12,8,3,36,0,Antoine Mason missed Jumper.
Arkansas,Auburn,12,8,3,36,0,Rashad Madden Defensive Rebound.
Arkansas,Auburn,12,8,3,48,0,Bobby Portis missed Jumper.
Arkansas,Auburn,12,8,3,48,0,Auburn Defensive Rebound.
Arkansas,Auburn,12,8,4,0,0,Malcolm Canada Turnover.
Arkansas,Auburn,14,8,4,13,1,Bobby Portis made Layup.
Arkansas,Auburn,14,11,4,20,1,KT Harrell made Three Point Jumper. Assisted by K.C. Ross-Miller.
Arkansas,Auburn,14,11,4,36,0,Bobby Portis missed Jumper.
Arkansas,Auburn,14,11,4,36,0,Cinmeon Bowers Defensive Rebound.
Arkansas,Auburn,14,11,4,46,0,Foul on Anton Beard.
Arkansas,Auburn,14,11,4,46,0,Official TV Timeout
Arkansas,Auburn,14,13,4,58,1,K.C. Ross-Miller made Jumper.
Arkansas,Auburn,17,13,5,9,1,Rashad Madden made Three Point Jumper. Assisted by Anton Beard.
Arkansas,Auburn,17,13,5,32,0,Foul on Rashad Madden.
Arkansas,Auburn,17,13,5,34,0,Foul on Alandise Harris.
Arkansas,Auburn,17,15,5,44,1,Malcolm Canada made Layup.
Arkansas,Auburn,20,15,6,1,1,Anthlon Bell made Three Point Jumper. Assisted by Anton Beard.
Arkansas,Auburn,20,15,6,11,0,Foul on Anton Beard.
Arkansas,Auburn,20,16,6,11,1,KT Harrell made Free Throw.
Arkansas,Auburn,20,16,6,11,0,KT Harrell missed Free Throw.
