Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
BYU,Gonzaga,0,0,0,0,0,Jump Ball won by Gonzaga
BYU,Gonzaga,0,0,0,8,0,Kevin Pangos missed Jumper.
BYU,Gonzaga,0,0,0,8,0,Przemek Karnowski Offensive Rebound.
BYU,Gonzaga,0,0,0,26,0,Przemek Karnowski missed Layup.
BYU,Gonzaga,0,0,0,26,0,Josh Sharp Block.
BYU,Gonzaga,0,0,0,26,0,Tyler Haws Defensive Rebound.
BYU,Gonzaga,0,0,0,52,0,Chase Fischer missed Layup.
BYU,Gonzaga,0,0,0,52,0,Kevin Pangos Defensive Rebound.
BYU,Gonzaga,0,2,1,16,1,Przemek Karnowski made Layup. Assisted by Byron Wesley.
BYU,Gonzaga,2,2,1,31,1,Kyle Collinsworth made Jumper.
BYU,Gonzaga,2,2,1,45,0,Byron Wesley missed Jumper.
BYU,Gonzaga,2,2,1,45,0,Kyle Wiltjer Offensive Rebound.
BYU,Gonzaga,2,2,1,48,0,Foul on Tyler Haws.
BYU,Gonzaga,2,2,2,15,0,Kyle Wiltjer missed Jumper.
BYU,Gonzaga,2,2,2,15,0,Kyle Collinsworth Defensive Rebound.
BYU,Gonzaga,2,2,2,19,0,Chase Fischer missed Three Point Jumper.
BYU,Gonzaga,2,2,2,19,0,Corbin Kaufusi Offensive Rebound.
BYU,Gonzaga,2,2,2,19,0,Corbin Kaufusi missed Two Point Tip Shot.
BYU,Gonzaga,2,2,2,19,0,Kyle Wiltjer Defensive Rebound.
BYU,Gonzaga,2,2,2,33,0,Przemek Karnowski missed Jumper.
BYU,Gonzaga,2,2,2,33,0,Corbin Kaufusi Defensive Rebound.
BYU,Gonzaga,2,2,2,42,0,Foul on Przemek Karnowski.
BYU,Gonzaga,3,2,2,42,1,Kyle Collinsworth made Free Throw.
BYU,Gonzaga,4,2,2,42,1,Kyle Collinsworth made Free Throw.
BYU,Gonzaga,4,4,3,3,1,Byron Wesley made Layup.
BYU,Gonzaga,4,4,3,28,0,Foul on Tyler Haws.
BYU,Gonzaga,4,4,3,28,0,Tyler Haws Turnover.
BYU,Gonzaga,4,4,3,42,0,Domantas Sabonis missed Jumper.
BYU,Gonzaga,4,4,3,42,0,Josh Sharp Defensive Rebound.
BYU,Gonzaga,4,4,3,45,0,Jump Ball won by BYU
