Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Bowling Green,Miami (OH),0,0,0,2,0,Geovonie McKnight missed Layup.
Bowling Green,Miami (OH),0,0,0,2,0,Bowling Green Defensive Rebound.
Bowling Green,Miami (OH),2,0,0,15,1,Richaun Holmes made Dunk. Assisted by Spencer Parker.
Bowling Green,Miami (OH),2,2,0,50,1,Geovonie McKnight made Jumper. Assisted by Eric Washington.
Bowling Green,Miami (OH),2,2,1,32,0,David Joseph missed Three Point Jumper.
Bowling Green,Miami (OH),2,2,1,32,0,Richaun Holmes Offensive Rebound.
Bowling Green,Miami (OH),2,2,1,38,0,David Joseph missed Three Point Jumper.
Bowling Green,Miami (OH),2,2,1,38,0,Logan McLane Defensive Rebound.
Bowling Green,Miami (OH),2,4,1,53,1,Logan McLane made Jumper.
Bowling Green,Miami (OH),2,4,1,59,0,Foul on Chris Bryant.
Bowling Green,Miami (OH),3,4,1,59,1,Anthony Henderson made Free Throw.
Bowling Green,Miami (OH),4,4,1,59,1,Anthony Henderson made Free Throw.
Bowling Green,Miami (OH),4,4,2,24,0,Will Sullivan missed Layup.
Bowling Green,Miami (OH),4,4,2,24,0,Bowling Green Defensive Rebound.
Bowling Green,Miami (OH),4,4,2,52,0,David Joseph missed Three Point Jumper.
Bowling Green,Miami (OH),4,4,2,52,0,Will Sullivan Defensive Rebound.
Bowling Green,Miami (OH),4,4,3,3,0,Eric Washington missed Jumper.
Bowling Green,Miami (OH),4,4,3,3,0,Chris Bryant Offensive Rebound.
Bowling Green,Miami (OH),4,4,3,25,0,Logan McLane missed Three Point Jumper.
Bowling Green,Miami (OH),4,4,3,25,0,Miami (OH) Offensive Rebound.
Bowling Green,Miami (OH),4,7,3,39,1,Will Sullivan made Three Point Jumper. Assisted by Logan McLane.
Bowling Green,Miami (OH),4,7,3,56,0,Spencer Parker Turnover.
Bowling Green,Miami (OH),4,7,3,57,0,Chris Bryant Steal.
Bowling Green,Miami (OH),4,7,4,6,0,Will Sullivan Turnover.
Bowling Green,Miami (OH),4,7,4,7,0,Official TV Timeout
Bowling Green,Miami (OH),4,7,4,43,0,Spencer Parker missed Jumper.
Bowling Green,Miami (OH),4,7,4,43,0,Geovonie McKnight Defensive Rebound.
Bowling Green,Miami (OH),4,7,4,50,0,Will Sullivan missed Three Point Jumper.
Bowling Green,Miami (OH),4,7,4,50,0,Spencer Parker Defensive Rebound.
Bowling Green,Miami (OH),4,7,4,57,0,Foul on Eric Washington.
Bowling Green,Miami (OH),4,7,5,8,0,Zack Denny Turnover.
Bowling Green,Miami (OH),4,7,5,8,0,Kalif Wright Steal.
Bowling Green,Miami (OH),4,7,5,36,0,Foul on Jovan Austin.
Bowling Green,Miami (OH),4,7,5,46,0,Willie Moore Turnover.
Bowling Green,Miami (OH),4,7,5,47,0,Zack Denny Steal.
Bowling Green,Miami (OH),6,7,5,50,1,Zack Denny made Jumper.
Bowling Green,Miami (OH),6,7,6,10,0,Zach McCormick missed Jumper.
Bowling Green,Miami (OH),6,7,6,10,0,Anthony Henderson Defensive Rebound.
Bowling Green,Miami (OH),6,7,6,10,0,Anthony Henderson Defensive Rebound.
Bowling Green,Miami (OH),8,7,6,33,1,Josh Gomez made Layup. Assisted by Jovan Austin.
Bowling Green,Miami (OH),8,7,7,1,0,Willie Moore missed Three Point Jumper.
Bowling Green,Miami (OH),8,7,7,1,0,Zack Denny Defensive Rebound.
Bowling Green,Miami (OH),8,7,7,28,0,Zack Denny missed Three Point Jumper.
Bowling Green,Miami (OH),8,7,7,28,0,Willie Moore Defensive Rebound.
Bowling Green,Miami (OH),8,9,7,35,1,Willie Moore made Layup.
Bowling Green,Miami (OH),8,9,7,35,0,Foul on Jovan Austin.
Bowling Green,Miami (OH),8,10,7,35,1,Willie Moore made Free Throw.
Bowling Green,Miami (OH),8,10,7,45,0,Foul on Willie Moore.
Bowling Green,Miami (OH),10,10,7,58,1,Zack Denny made Jumper.
Bowling Green,Miami (OH),10,10,8,4,0,Kalif Wright Turnover.
Bowling Green,Miami (OH),10,10,8,4,0,Official TV Timeout
Bowling Green,Miami (OH),10,10,8,24,0,Richaun Holmes missed Layup.
Bowling Green,Miami (OH),10,10,8,24,0,Willie Moore Defensive Rebound.
Bowling Green,Miami (OH),10,10,8,48,0,Jaryd Eustace Turnover.
Bowling Green,Miami (OH),10,10,8,49,0,Delvin Dickerson Steal.
Bowling Green,Miami (OH),10,10,8,56,0,Foul on Jaryd Eustace.
Bowling Green,Miami (OH),11,10,8,56,1,Richaun Holmes made Free Throw.
Bowling Green,Miami (OH),11,10,8,56,0,Richaun Holmes missed Free Throw.
Bowling Green,Miami (OH),11,10,8,56,0,LJ Livingston Defensive Rebound.
Bowling Green,Miami (OH),11,10,9,11,0,Will Sullivan Turnover.
Bowling Green,Miami (OH),11,10,9,12,0,Delvin Dickerson Steal.
Bowling Green,Miami (OH),13,10,9,22,1,Richaun Holmes made Layup.
Bowling Green,Miami (OH),13,10,9,47,0,Foul on Jehvon Clarke.
Bowling Green,Miami (OH),13,10,9,51,0,Logan McLane Turnover.
Bowling Green,Miami (OH),13,10,10,3,0,Zack Denny missed Jumper.
Bowling Green,Miami (OH),13,10,10,3,0,Richaun Holmes Offensive Rebound.
Bowling Green,Miami (OH),13,10,10,6,0,Foul on Logan McLane.
Bowling Green,Miami (OH),14,10,10,6,1,Richaun Holmes made Free Throw.
Bowling Green,Miami (OH),14,10,10,6,1,Richaun Holmes made Free Throw.
Bowling Green,Miami (OH),15,10,10,6,1,Richaun Holmes made Free Throw.
Bowling Green,Miami (OH),15,12,10,33,1,Chris Bryant made Layup.
Bowling Green,Miami (OH),15,12,10,58,0,Zack Denny missed Three Point Jumper.
Bowling Green,Miami (OH),15,12,10,58,0,Zack Denny missed Three Point Jumper.
Bowling Green,Miami (OH),15,12,10,58,0,Chris Bryant Defensive Rebound.
Bowling Green,Miami (OH),15,12,10,58,0,Chris Bryant Defensive Rebound.
Bowling Green,Miami (OH),15,14,11,9,1,Willie Moore made Jumper.
Bowling Green,Miami (OH),15,14,11,16,0,Anthony Henderson missed Three Point Jumper.
Bowling Green,Miami (OH),15,14,11,16,0,Richaun Holmes Offensive Rebound.
Bowling Green,Miami (OH),15,14,11,25,0,Foul on Chris Bryant.
Bowling Green,Miami (OH),15,14,11,25,0,Foul on Chris Bryant.
Bowling Green,Miami (OH),17,14,11,46,1,Jehvon Clarke made Jumper.
Bowling Green,Miami (OH),17,16,11,54,1,Eric Washington made Jumper.
Bowling Green,Miami (OH),17,16,11,54,0,Foul on Richaun Holmes.
Bowling Green,Miami (OH),17,17,11,54,1,Eric Washington made Free Throw.
Bowling Green,Miami (OH),17,17,12,0,0,Jehvon Clarke Turnover.
Bowling Green,Miami (OH),17,17,12,1,0,Eric Washington Steal.
Bowling Green,Miami (OH),17,19,12,13,1,Logan McLane made Layup. Assisted by Geovonie McKnight.
Bowling Green,Miami (OH),17,19,12,30,0,Official TV Timeout
Bowling Green,Miami (OH),17,19,12,53,0,Spencer Parker missed Three Point Jumper.
Bowling Green,Miami (OH),17,19,12,53,0,Will Sullivan Defensive Rebound.
Bowling Green,Miami (OH),17,19,13,0,0,Will Sullivan missed Three Point Jumper.
Bowling Green,Miami (OH),17,19,13,0,0,Richaun Holmes Defensive Rebound.
Bowling Green,Miami (OH),17,19,13,21,0,David Joseph missed Three Point Jumper.
Bowling Green,Miami (OH),17,19,13,21,0,Richaun Holmes Offensive Rebound.
Bowling Green,Miami (OH),19,19,13,23,1,Richaun Holmes made Two Point Tip Shot.
Bowling Green,Miami (OH),19,21,13,45,1,Will Sullivan made Layup. Assisted by Logan McLane.
Bowling Green,Miami (OH),21,21,14,13,1,David Joseph made Jumper.
Bowling Green,Miami (OH),21,21,14,35,0,Foul on Zack Denny.
Bowling Green,Miami (OH),21,21,14,40,0,Jaryd Eustace missed Three Point Jumper.
Bowling Green,Miami (OH),21,21,14,40,0,Anthony Henderson Defensive Rebound.
Bowling Green,Miami (OH),21,21,14,52,0,Zack Denny missed Layup.
Bowling Green,Miami (OH),21,21,14,52,0,Zack Denny Offensive Rebound.
Bowling Green,Miami (OH),21,21,14,54,0,Zack Denny missed Jumper.
Bowling Green,Miami (OH),21,21,14,54,0,Geovonie McKnight Defensive Rebound.
Bowling Green,Miami (OH),21,21,15,7,0,Foul on Anthony Henderson.
Bowling Green,Miami (OH),21,22,15,7,1,Kalif Wright made Free Throw.
Bowling Green,Miami (OH),21,23,15,7,1,Kalif Wright made Free Throw.
Bowling Green,Miami (OH),21,23,15,16,0,Foul on Kalif Wright.
Bowling Green,Miami (OH),22,23,15,16,1,Josh Gomez made Free Throw.
Bowling Green,Miami (OH),23,23,15,16,1,Josh Gomez made Free Throw.
Bowling Green,Miami (OH),23,23,15,26,0,Foul on Willie Moore.
Bowling Green,Miami (OH),23,23,15,26,0,Willie Moore Turnover.
Bowling Green,Miami (OH),25,23,15,38,1,Delvin Dickerson made Jumper.
Bowling Green,Miami (OH),25,23,16,7,0,Geovonie McKnight missed Jumper.
Bowling Green,Miami (OH),25,23,16,7,0,Delvin Dickerson Defensive Rebound.
Bowling Green,Miami (OH),25,23,16,22,0,Delvin Dickerson missed Jumper.
Bowling Green,Miami (OH),25,23,16,22,0,Miami (OH) Defensive Rebound.
Bowling Green,Miami (OH),25,23,16,23,0,Official TV Timeout
Bowling Green,Miami (OH),25,23,16,47,0,Eric Washington missed Three Point Jumper.
Bowling Green,Miami (OH),25,23,16,47,0,David Joseph Defensive Rebound.
Bowling Green,Miami (OH),25,23,17,3,0,Delvin Dickerson missed Jumper.
Bowling Green,Miami (OH),25,23,17,3,0,Eric Washington Defensive Rebound.
Bowling Green,Miami (OH),25,23,17,12,0,Foul on Jehvon Clarke.
Bowling Green,Miami (OH),25,24,17,12,1,Geovonie McKnight made Free Throw.
Bowling Green,Miami (OH),25,25,17,12,1,Geovonie McKnight made Free Throw.
Bowling Green,Miami (OH),27,25,17,41,1,Josh Gomez made Layup. Assisted by David Joseph.
Bowling Green,Miami (OH),27,25,17,47,0,Geovonie McKnight Turnover.
Bowling Green,Miami (OH),27,25,17,47,0,Geovonie McKnight Turnover.
Bowling Green,Miami (OH),27,25,18,7,0,Delvin Dickerson missed Jumper.
Bowling Green,Miami (OH),27,25,18,7,0,Will Sullivan Defensive Rebound.
Bowling Green,Miami (OH),27,25,18,33,0,Foul on Delvin Dickerson.
Bowling Green,Miami (OH),27,25,18,33,0,Jaryd Eustace missed Free Throw.
Bowling Green,Miami (OH),27,25,18,33,0,Anthony Henderson Defensive Rebound.
Bowling Green,Miami (OH),27,25,19,5,0,Foul on Logan McLane.
Bowling Green,Miami (OH),28,25,19,5,1,Richaun Holmes made Free Throw.
Bowling Green,Miami (OH),29,25,19,5,1,Richaun Holmes made Free Throw.
Bowling Green,Miami (OH),29,25,19,9,0,Eric Washington missed Jumper.
Bowling Green,Miami (OH),29,25,19,9,0,Eric Washington missed Jumper.
Bowling Green,Miami (OH),29,25,19,9,0,Kalif Wright Offensive Rebound.
Bowling Green,Miami (OH),29,25,19,9,0,Kalif Wright Offensive Rebound.
Bowling Green,Miami (OH),29,25,19,11,0,Kalif Wright missed Two Point Tip Shot.
Bowling Green,Miami (OH),29,25,19,11,0,Kalif Wright missed Two Point Tip Shot.
Bowling Green,Miami (OH),29,25,19,11,0,Spencer Parker Defensive Rebound.
Bowling Green,Miami (OH),29,25,19,11,0,Spencer Parker Defensive Rebound.
Bowling Green,Miami (OH),29,25,19,15,0,Bowling Green  Timeout
Bowling Green,Miami (OH),31,25,19,22,1,Anthony Henderson made Dunk.
Bowling Green,Miami (OH),31,25,19,22,1,Anthony Henderson made Dunk.
Bowling Green,Miami (OH),31,27,19,57,1,Eric Washington made Jumper.
Bowling Green,Miami (OH),31,27,19,57,1,Eric Washington made Jumper.
Bowling Green,Miami (OH),31,27,20,0,0,End of 1st half
Bowling Green,Miami (OH),31,27,20,23,0,Eric Washington Turnover.
Bowling Green,Miami (OH),31,27,20,45,0,Spencer Parker missed Jumper.
Bowling Green,Miami (OH),31,27,20,45,0,Logan McLane Defensive Rebound.
Bowling Green,Miami (OH),31,29,21,21,1,Eric Washington made Jumper.
Bowling Green,Miami (OH),31,29,21,36,0,Bowling Green  Timeout
Bowling Green,Miami (OH),31,29,21,52,0,Jehvon Clarke missed Three Point Jumper.
Bowling Green,Miami (OH),31,29,21,52,0,Logan McLane Defensive Rebound.
Bowling Green,Miami (OH),31,29,21,54,0,Foul on Spencer Parker.
Bowling Green,Miami (OH),31,29,22,8,0,Eric Washington Turnover.
Bowling Green,Miami (OH),31,29,22,9,0,Jehvon Clarke Steal.
Bowling Green,Miami (OH),31,29,22,14,0,Jehvon Clarke missed Layup.
Bowling Green,Miami (OH),31,29,22,14,0,Logan McLane Defensive Rebound.
Bowling Green,Miami (OH),31,29,22,41,0,Geovonie McKnight Turnover.
Bowling Green,Miami (OH),31,29,22,42,0,David Joseph Steal.
Bowling Green,Miami (OH),31,29,22,56,0,Foul on Logan McLane.
Bowling Green,Miami (OH),31,29,23,1,0,Anthony Henderson missed Jumper.
Bowling Green,Miami (OH),31,29,23,1,0,Geovonie McKnight Defensive Rebound.
Bowling Green,Miami (OH),31,31,23,10,1,Geovonie McKnight made Jumper.
Bowling Green,Miami (OH),31,31,23,26,0,Foul on Eric Washington.
Bowling Green,Miami (OH),31,31,23,48,0,Foul on Spencer Parker.
Bowling Green,Miami (OH),31,31,23,48,0,Spencer Parker Turnover.
Bowling Green,Miami (OH),31,31,24,4,0,Eric Washington missed Three Point Jumper.
Bowling Green,Miami (OH),31,31,24,4,0,Richaun Holmes Defensive Rebound.
Bowling Green,Miami (OH),31,31,24,12,0,Zack Denny missed Three Point Jumper.
Bowling Green,Miami (OH),31,31,24,12,0,Willie Moore Defensive Rebound.
Bowling Green,Miami (OH),31,31,24,18,0,Eric Washington Turnover.
Bowling Green,Miami (OH),31,31,24,19,0,David Joseph Steal.
Bowling Green,Miami (OH),31,31,24,23,0,David Joseph Turnover.
Bowling Green,Miami (OH),31,31,24,24,0,Eric Washington Steal.
Bowling Green,Miami (OH),31,33,24,30,1,Willie Moore made Layup. Assisted by Eric Washington.
Bowling Green,Miami (OH),31,33,24,31,0,Foul on Delvin Dickerson.
Bowling Green,Miami (OH),31,33,24,31,0,Official TV Timeout
Bowling Green,Miami (OH),31,33,24,31,0,Willie Moore missed Free Throw.
Bowling Green,Miami (OH),31,33,24,31,0,Zack Denny Defensive Rebound.
Bowling Green,Miami (OH),31,33,24,46,0,Foul on Geovonie McKnight.
Bowling Green,Miami (OH),31,33,25,18,0,Jovan Austin missed Three Point Jumper.
Bowling Green,Miami (OH),31,33,25,18,0,Miami (OH) Defensive Rebound.
Bowling Green,Miami (OH),31,33,25,34,0,Will Sullivan missed Three Point Jumper.
Bowling Green,Miami (OH),31,33,25,34,0,Chris Bryant Offensive Rebound.
Bowling Green,Miami (OH),31,33,25,37,0,Foul on Richaun Holmes.
Bowling Green,Miami (OH),31,33,25,40,0,Will Sullivan Turnover.
Bowling Green,Miami (OH),31,33,26,9,0,Richaun Holmes missed Jumper.
Bowling Green,Miami (OH),31,33,26,9,0,Jaryd Eustace Defensive Rebound.
Bowling Green,Miami (OH),31,35,26,26,1,Chris Bryant made Layup. Assisted by Eric Washington.
Bowling Green,Miami (OH),31,35,26,38,0,Foul on Willie Moore.
Bowling Green,Miami (OH),31,35,27,1,0,Foul on Zack Denny.
Bowling Green,Miami (OH),31,35,27,1,0,Zack Denny Turnover.
Bowling Green,Miami (OH),31,37,27,23,1,Eric Washington made Layup.
Bowling Green,Miami (OH),31,37,27,45,0,Foul on Spencer Parker.
Bowling Green,Miami (OH),31,37,27,45,0,Spencer Parker Turnover.
Bowling Green,Miami (OH),31,37,28,0,0,Geovonie McKnight missed Jumper.
Bowling Green,Miami (OH),31,37,28,0,0,Will Sullivan Offensive Rebound.
Bowling Green,Miami (OH),31,37,28,9,0,Geovonie McKnight missed Layup.
Bowling Green,Miami (OH),31,37,28,9,0,Josh Gomez Block.
Bowling Green,Miami (OH),31,37,28,11,0,Geovonie McKnight Offensive Rebound.
Bowling Green,Miami (OH),31,37,28,15,0,Jaryd Eustace missed Three Point Jumper.
Bowling Green,Miami (OH),31,37,28,15,0,Miami (OH) Offensive Rebound.
Bowling Green,Miami (OH),31,37,28,19,0,Official TV Timeout
Bowling Green,Miami (OH),31,39,28,32,1,Geovonie McKnight made Jumper. Assisted by Eric Washington.
Bowling Green,Miami (OH),31,39,29,2,0,Zack Denny Turnover.
Bowling Green,Miami (OH),31,39,29,3,0,Zach McCormick Steal.
Bowling Green,Miami (OH),31,41,29,4,1,Zach McCormick made Layup.
Bowling Green,Miami (OH),31,41,29,19,0,Bowling Green  Timeout
Bowling Green,Miami (OH),31,41,29,25,0,Foul on Zach McCormick.
Bowling Green,Miami (OH),33,41,29,50,1,Jehvon Clarke made Jumper.
Bowling Green,Miami (OH),33,41,30,23,0,Zach McCormick missed Three Point Jumper.
Bowling Green,Miami (OH),33,41,30,23,0,Richaun Holmes Defensive Rebound.
Bowling Green,Miami (OH),33,41,30,33,0,Jehvon Clarke missed Layup.
Bowling Green,Miami (OH),33,41,30,33,0,Jaryd Eustace Defensive Rebound.
Bowling Green,Miami (OH),33,41,30,39,0,Foul on Geovonie McKnight.
Bowling Green,Miami (OH),33,41,30,39,0,Geovonie McKnight Turnover.
Bowling Green,Miami (OH),33,41,30,50,0,Foul on Chris Bryant.
Bowling Green,Miami (OH),34,41,30,50,1,Richaun Holmes made Free Throw.
Bowling Green,Miami (OH),35,41,30,50,1,Richaun Holmes made Free Throw.
Bowling Green,Miami (OH),35,44,31,23,1,Eric Washington made Three Point Jumper.
Bowling Green,Miami (OH),35,44,31,45,0,Richaun Holmes missed Three Point Jumper.
Bowling Green,Miami (OH),35,44,31,45,0,Richaun Holmes missed Three Point Jumper.
Bowling Green,Miami (OH),35,44,31,45,0,Eric Washington Defensive Rebound.
Bowling Green,Miami (OH),35,44,31,45,0,Eric Washington Defensive Rebound.
Bowling Green,Miami (OH),35,46,31,52,1,Eric Washington made Jumper.
Bowling Green,Miami (OH),35,46,31,52,1,Eric Washington made Jumper.
Bowling Green,Miami (OH),35,46,31,59,0,Bowling Green  Timeout
Bowling Green,Miami (OH),38,46,32,13,1,Zack Denny made Three Point Jumper. Assisted by Spencer Parker.
Bowling Green,Miami (OH),38,46,32,31,0,Willie Moore Turnover.
Bowling Green,Miami (OH),38,46,32,31,0,Official TV Timeout
Bowling Green,Miami (OH),38,46,32,31,0,Official TV Timeout
Bowling Green,Miami (OH),38,46,32,42,0,Bowling Green  Turnover.
Bowling Green,Miami (OH),38,46,33,0,0,Will Sullivan missed Three Point Jumper.
Bowling Green,Miami (OH),38,46,33,0,0,David Joseph Defensive Rebound.
Bowling Green,Miami (OH),38,46,33,24,0,Richaun Holmes missed Three Point Jumper.
Bowling Green,Miami (OH),38,46,33,24,0,Bowling Green Offensive Rebound.
Bowling Green,Miami (OH),38,46,33,37,0,David Joseph missed Three Point Jumper.
Bowling Green,Miami (OH),38,46,33,37,0,Spencer Parker Offensive Rebound.
Bowling Green,Miami (OH),40,46,33,39,1,Spencer Parker made Jumper.
Bowling Green,Miami (OH),40,46,33,39,0,Foul on Chris Bryant.
Bowling Green,Miami (OH),41,46,33,39,1,Spencer Parker made Free Throw.
Bowling Green,Miami (OH),41,49,34,0,1,Zach McCormick made Three Point Jumper. Assisted by Eric Washington.
Bowling Green,Miami (OH),43,49,34,21,1,Spencer Parker made Layup.
Bowling Green,Miami (OH),43,49,34,21,1,Spencer Parker made Layup.
