Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Akron,Buffalo,0,0,0,0,0,Jump Ball won by Akron
Akron,Buffalo,0,0,0,13,0,Antino Jackson missed Layup.
Akron,Buffalo,0,0,0,13,0,Lamonte Bearden Defensive Rebound.
Akron,Buffalo,0,2,0,21,1,Shannon Evans made Jumper.
Akron,Buffalo,2,2,0,45,1,Kwan Cheatham Jr. made Jumper.
Akron,Buffalo,2,2,1,9,0,Justin Moss missed Jumper.
Akron,Buffalo,2,2,1,9,0,Nyles Evans Defensive Rebound.
Akron,Buffalo,2,2,1,29,0,Jake Kretzer missed Three Point Jumper.
Akron,Buffalo,2,2,1,29,0,Lamonte Bearden Defensive Rebound.
Akron,Buffalo,2,2,1,47,0,Foul on Antino Jackson.
Akron,Buffalo,2,2,1,48,0,Foul on Kwan Cheatham Jr..
Akron,Buffalo,2,2,1,48,0,Xavier Ford missed Free Throw.
Akron,Buffalo,2,2,1,48,0,Buffalo Deadball Team Rebound.
Akron,Buffalo,2,2,1,48,0,Xavier Ford missed Free Throw.
Akron,Buffalo,2,2,1,48,0,Isaiah Johnson Defensive Rebound.
Akron,Buffalo,2,2,2,3,0,Foul on Justin Moss.
Akron,Buffalo,2,2,2,5,0,Antino Jackson missed Three Point Jumper.
Akron,Buffalo,2,2,2,20,0,Jake Kretzer Offensive Rebound.
Akron,Buffalo,4,2,2,25,1,Jake Kretzer made Layup.
Akron,Buffalo,4,4,2,34,1,Jarryn Skeete made Jumper.
Akron,Buffalo,6,4,2,54,1,Nyles Evans made Layup.
Akron,Buffalo,6,4,3,3,0,Technical Foul on Buffalo.
Akron,Buffalo,7,4,3,3,1,Jake Kretzer made Free Throw.
Akron,Buffalo,8,4,3,3,1,Jake Kretzer made Free Throw.
Akron,Buffalo,8,4,3,10,0,Jarryn Skeete missed Layup.
Akron,Buffalo,8,4,3,10,0,Isaiah Johnson Block.
Akron,Buffalo,8,4,3,10,0,Buffalo Offensive Rebound.
Akron,Buffalo,8,6,3,10,1,Shannon Evans made Layup. Assisted by Lamonte Bearden.
Akron,Buffalo,8,6,3,10,0,Foul on Nyles Evans.
Akron,Buffalo,8,7,3,10,1,Shannon Evans made Free Throw.
Akron,Buffalo,10,7,3,44,1,Nyles Evans made Layup.
Akron,Buffalo,10,7,3,53,0,Jarryn Skeete missed Three Point Jumper.
Akron,Buffalo,10,7,3,53,0,Nyles Evans Defensive Rebound.
Akron,Buffalo,10,7,4,6,0,Nyles Evans Turnover.
Akron,Buffalo,10,7,4,12,0,Official TV Timeout
Akron,Buffalo,10,9,4,20,1,Will Regan made Layup. Assisted by Rodell Wigginton.
Akron,Buffalo,10,9,4,20,0,Foul on Kwan Cheatham Jr..
Akron,Buffalo,10,10,4,21,1,Will Regan made Free Throw.
Akron,Buffalo,10,10,4,39,0,Reggie McAdams missed Three Point Jumper.
Akron,Buffalo,10,10,4,39,0,Rodell Wigginton Defensive Rebound.
Akron,Buffalo,10,10,4,53,0,Shannon Evans missed Jumper.
Akron,Buffalo,10,10,4,53,0,Kwan Cheatham Jr. Defensive Rebound.
Akron,Buffalo,12,10,5,9,1,Antino Jackson made Layup.
Akron,Buffalo,12,10,5,34,0,Shannon Evans missed Jumper.
Akron,Buffalo,12,10,5,34,0,Antino Jackson Defensive Rebound.
Akron,Buffalo,12,10,6,2,0,Deji Ibitayo missed Jumper.
Akron,Buffalo,12,10,6,2,0,Rodell Wigginton Defensive Rebound.
Akron,Buffalo,12,10,6,28,0,Lamonte Bearden Turnover.
Akron,Buffalo,12,10,6,28,0,Pat Forsythe Steal.
Akron,Buffalo,15,10,6,56,1,Jake Kretzer made Three Point Jumper. Assisted by Nyles Evans.
Akron,Buffalo,15,10,7,20,0,Jarryn Skeete missed Jumper.
Akron,Buffalo,15,10,7,20,0,Shannon Evans Offensive Rebound.
Akron,Buffalo,15,10,7,28,0,Rodell Wigginton missed Jumper.
Akron,Buffalo,15,10,7,28,0,Pat Forsythe Defensive Rebound.
Akron,Buffalo,17,10,7,47,1,Pat Forsythe made Jumper.
Akron,Buffalo,17,13,8,12,1,Rodell Wigginton made Three Point Jumper. Assisted by Jarryn Skeete.
Akron,Buffalo,17,13,8,31,0,Foul on Shannon Evans.
Akron,Buffalo,17,13,8,31,0,Official TV Timeout
Akron,Buffalo,20,13,8,41,1,Jake Kretzer made Three Point Jumper. Assisted by Pat Forsythe.
Akron,Buffalo,20,13,9,9,0,Jarryn Skeete missed Layup.
Akron,Buffalo,20,13,9,9,0,Xavier Ford Offensive Rebound.
Akron,Buffalo,20,15,9,26,1,Xavier Ford made Dunk.
Akron,Buffalo,23,15,9,33,1,Reggie McAdams made Three Point Jumper. Assisted by Antino Jackson.
Akron,Buffalo,23,15,9,42,0,Shannon Evans missed Jumper.
Akron,Buffalo,23,15,9,42,0,Jake Kretzer Defensive Rebound.
Akron,Buffalo,23,15,9,54,0,Deji Ibitayo missed Layup.
Akron,Buffalo,23,15,9,54,0,Rodell Wigginton Defensive Rebound.
Akron,Buffalo,23,15,10,1,0,Jarryn Skeete Turnover.
Akron,Buffalo,23,15,10,27,0,Nyles Evans Turnover.
Akron,Buffalo,23,15,10,27,0,Jarryn Skeete Steal.
Akron,Buffalo,23,17,10,35,1,Shannon Evans made Layup.
Akron,Buffalo,23,17,10,56,0,Aaron Jackson missed Three Point Jumper.
Akron,Buffalo,23,17,10,56,0,Justin Moss Defensive Rebound.
Akron,Buffalo,23,19,11,7,1,Xavier Ford made Layup. Assisted by Shannon Evans.
Akron,Buffalo,23,19,11,7,0,Foul on Aaron Jackson.
Akron,Buffalo,23,20,11,7,1,Xavier Ford made Free Throw.
Akron,Buffalo,23,20,11,22,0,Reggie McAdams missed Jumper.
Akron,Buffalo,23,20,11,22,0,Justin Moss Defensive Rebound.
Akron,Buffalo,23,20,11,44,0,Shannon Evans Turnover.
Akron,Buffalo,23,20,11,44,0,Antino Jackson Steal.
Akron,Buffalo,23,20,11,44,0,Akron  Timeout
Akron,Buffalo,23,20,12,3,0,Isaiah Johnson Turnover.
Akron,Buffalo,23,20,12,3,0,Jarryn Skeete Steal.
Akron,Buffalo,23,20,12,10,0,Shannon Evans missed Jumper.
Akron,Buffalo,23,20,12,10,0,Xavier Ford Offensive Rebound.
Akron,Buffalo,23,22,12,19,1,Xavier Ford made Dunk.
Akron,Buffalo,23,22,12,31,0,Reggie McAdams missed Three Point Jumper.
Akron,Buffalo,23,22,12,31,0,Xavier Ford Defensive Rebound.
Akron,Buffalo,23,22,12,34,0,Foul on Aaron Jackson.
Akron,Buffalo,23,22,12,39,0,Official TV Timeout
Akron,Buffalo,23,22,12,48,0,Xavier Ford missed Three Point Jumper.
Akron,Buffalo,23,22,12,48,0,Isaiah Johnson Defensive Rebound.
Akron,Buffalo,23,22,13,4,0,Kwan Cheatham Jr. missed Three Point Jumper.
Akron,Buffalo,23,22,13,4,0,Rodell Wigginton Defensive Rebound.
Akron,Buffalo,23,24,13,13,1,Lamonte Bearden made Layup.
Akron,Buffalo,23,24,13,31,0,Deji Ibitayo Turnover.
Akron,Buffalo,23,24,13,43,0,Lamonte Bearden missed Jumper.
Akron,Buffalo,23,24,13,43,0,Lamonte Bearden Offensive Rebound.
Akron,Buffalo,23,26,13,43,1,Lamonte Bearden made Two Point Tip Shot.
Akron,Buffalo,23,26,14,16,0,Antino Jackson missed Three Point Jumper.
Akron,Buffalo,23,26,14,16,0,Shannon Evans Block.
Akron,Buffalo,23,26,14,16,0,Raheem Johnson Defensive Rebound.
Akron,Buffalo,23,28,14,30,1,Lamonte Bearden made Jumper.
Akron,Buffalo,23,28,14,30,0,Akron  Timeout
Akron,Buffalo,26,28,14,43,1,Deji Ibitayo made Three Point Jumper. Assisted by Isaiah Johnson.
