Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Chicago State,Utah Valley,0,0,0,17,0,Foul on Joshua Meier.
Chicago State,Utah Valley,0,2,0,22,1,Boston Gubler made Jumper. Assisted by Donte Williams.
Chicago State,Utah Valley,0,2,0,48,0,Clarke Rosenberg Turnover.
Chicago State,Utah Valley,0,2,0,50,0,Boston Gubler Steal.
Chicago State,Utah Valley,0,2,1,4,0,Marcel Davis missed Layup.
Chicago State,Utah Valley,0,2,1,4,0,Joshua Meier Block.
Chicago State,Utah Valley,0,2,1,4,0,Joshua Meier Defensive Rebound.
Chicago State,Utah Valley,0,2,1,24,0,Jared Dimakos missed Three Point Jumper.
Chicago State,Utah Valley,0,2,1,24,0,Zach Nelson Defensive Rebound.
Chicago State,Utah Valley,0,2,1,40,0,Foul on Joshua Meier.
Chicago State,Utah Valley,0,3,1,40,1,Marcel Davis made Free Throw.
Chicago State,Utah Valley,0,3,1,40,0,Marcel Davis missed Free Throw.
Chicago State,Utah Valley,0,3,1,40,0,Trayvon Palmer Defensive Rebound.
Chicago State,Utah Valley,0,3,2,4,0,Jesse Tessmer Turnover.
Chicago State,Utah Valley,0,3,2,5,0,Marcel Davis Steal.
Chicago State,Utah Valley,0,5,2,30,1,Marcel Davis made Layup. Assisted by Boston Gubler.
Chicago State,Utah Valley,0,5,2,41,0,Joshua Batson missed Jumper.
Chicago State,Utah Valley,0,5,2,41,0,Mitch Bruneel Defensive Rebound.
Chicago State,Utah Valley,0,8,2,52,1,Zach Nelson made Three Point Jumper. Assisted by Marcel Davis.
Chicago State,Utah Valley,0,8,2,56,0,Chicago St  Timeout
Chicago State,Utah Valley,0,8,3,13,0,Sean Hill missed Three Point Jumper.
Chicago State,Utah Valley,0,8,3,13,0,Jesse Tessmer Offensive Rebound.
Chicago State,Utah Valley,0,8,3,19,0,Foul on Alex Carr.
Chicago State,Utah Valley,0,8,3,28,0,Foul on Donte Williams.
Chicago State,Utah Valley,2,8,3,33,1,Sean Hill made Jumper.
Chicago State,Utah Valley,2,8,3,34,0,Foul on Marcel Davis.
Chicago State,Utah Valley,3,8,3,34,1,Sean Hill made Free Throw.
Chicago State,Utah Valley,3,10,3,53,1,Marcel Davis made Jumper. Assisted by Boston Gubler.
Chicago State,Utah Valley,6,10,4,14,1,Jared Dimakos made Three Point Jumper. Assisted by Anthony Glover.
Chicago State,Utah Valley,6,12,4,28,1,Boston Gubler made Layup.
Chicago State,Utah Valley,6,12,4,38,0,Trayvon Palmer missed Three Point Jumper.
Chicago State,Utah Valley,6,12,4,38,0,Anthony Glover Offensive Rebound.
Chicago State,Utah Valley,6,12,4,51,0,Sean Hill missed Three Point Jumper.
Chicago State,Utah Valley,6,12,4,51,0,Marcel Davis Defensive Rebound.
Chicago State,Utah Valley,6,12,4,56,0,Donte Williams missed Three Point Jumper.
Chicago State,Utah Valley,6,12,4,56,0,Zach Nelson Offensive Rebound.
Chicago State,Utah Valley,6,14,5,13,1,Marcel Davis made Layup.
Chicago State,Utah Valley,6,14,5,40,0,Anthony Glover missed Three Point Jumper.
Chicago State,Utah Valley,6,14,5,40,0,Zach Nelson Defensive Rebound.
Chicago State,Utah Valley,6,14,5,49,0,Foul on Anthony Glover.
Chicago State,Utah Valley,6,14,5,49,0,Official TV Timeout
Chicago State,Utah Valley,6,14,5,49,0,Donte Williams missed Free Throw.
Chicago State,Utah Valley,6,14,5,49,0,Utah Valley Deadball Team Rebound.
Chicago State,Utah Valley,6,15,5,49,1,Donte Williams made Free Throw.
Chicago State,Utah Valley,6,15,6,6,0,Sean Hill missed Layup.
Chicago State,Utah Valley,6,15,6,6,0,Johnny Griffin Offensive Rebound.
Chicago State,Utah Valley,6,15,6,10,0,Johnny Griffin missed Layup.
Chicago State,Utah Valley,6,15,6,10,0,Zach Nelson Block.
Chicago State,Utah Valley,6,15,6,10,0,Chicago St Offensive Rebound.
Chicago State,Utah Valley,6,15,6,23,0,Anthony Glover missed Three Point Jumper.
Chicago State,Utah Valley,6,15,6,23,0,Jesse Tessmer Offensive Rebound.
Chicago State,Utah Valley,6,15,6,27,0,Foul on Brenden Evans.
Chicago State,Utah Valley,6,15,6,35,0,Jesse Tessmer missed Jumper.
Chicago State,Utah Valley,6,15,6,35,0,Jaden Jackson Defensive Rebound.
Chicago State,Utah Valley,6,15,6,44,0,Brenden Evans missed Jumper.
Chicago State,Utah Valley,6,15,6,44,0,Brenden Evans Offensive Rebound.
Chicago State,Utah Valley,6,15,6,47,0,Foul on Sean Hill.
Chicago State,Utah Valley,6,15,6,51,0,Jaden Jackson missed Three Point Jumper.
Chicago State,Utah Valley,6,15,6,51,0,Mitch Bruneel Offensive Rebound.
Chicago State,Utah Valley,6,15,6,58,0,Mitch Bruneel missed Layup.
Chicago State,Utah Valley,6,15,6,58,0,Johnny Griffin Block.
Chicago State,Utah Valley,6,15,7,2,0,Brenden Evans Offensive Rebound.
Chicago State,Utah Valley,6,15,7,19,0,Foul on Jesse Tessmer.
Chicago State,Utah Valley,6,15,7,19,0,Donte Williams missed Free Throw.
Chicago State,Utah Valley,6,15,7,19,0,Utah Valley Deadball Team Rebound.
Chicago State,Utah Valley,6,16,7,19,1,Donte Williams made Free Throw.
Chicago State,Utah Valley,8,16,7,32,1,Jared Dimakos made Layup.
Chicago State,Utah Valley,8,16,7,49,0,Marcel Davis missed Three Point Jumper.
Chicago State,Utah Valley,8,16,7,49,0,Brenden Evans Offensive Rebound.
Chicago State,Utah Valley,8,16,7,49,0,Foul on Clarke Rosenberg.
Chicago State,Utah Valley,8,16,7,57,0,Foul on Kurt Karis.
Chicago State,Utah Valley,8,17,7,57,1,Zach Nelson made Free Throw.
Chicago State,Utah Valley,8,18,7,57,1,Zach Nelson made Free Throw.
Chicago State,Utah Valley,10,18,8,8,1,Jared Dimakos made Jumper.
Chicago State,Utah Valley,10,18,8,18,0,Brenden Evans missed Layup.
Chicago State,Utah Valley,10,18,8,18,0,Chicago St Defensive Rebound.
Chicago State,Utah Valley,10,18,8,22,0,Official TV Timeout
Chicago State,Utah Valley,10,18,8,33,0,Clarke Rosenberg missed Layup.
Chicago State,Utah Valley,10,18,8,33,0,Alex Carr Defensive Rebound.
Chicago State,Utah Valley,10,18,8,41,0,Foul on Jesse Tessmer.
Chicago State,Utah Valley,10,18,8,41,0,Dayon Goodman missed Free Throw.
Chicago State,Utah Valley,10,18,8,41,0,Jared Dimakos Defensive Rebound.
Chicago State,Utah Valley,10,18,8,56,0,Foul on Alex Carr.
Chicago State,Utah Valley,10,18,9,3,0,Foul on Jaden Jackson.
Chicago State,Utah Valley,11,18,9,3,1,Kurt Karis made Free Throw.
Chicago State,Utah Valley,12,18,9,3,1,Kurt Karis made Free Throw.
Chicago State,Utah Valley,12,18,9,17,0,Dayon Goodman missed Layup.
Chicago State,Utah Valley,12,18,9,17,0,Clarke Rosenberg Defensive Rebound.
Chicago State,Utah Valley,14,18,9,41,1,Aaron Williams made Jumper.
Chicago State,Utah Valley,14,18,10,2,0,Foul on Aaron Williams.
Chicago State,Utah Valley,14,19,10,2,1,Marcel Davis made Free Throw.
Chicago State,Utah Valley,14,20,10,2,1,Marcel Davis made Free Throw.
Chicago State,Utah Valley,14,20,10,28,0,Trayvon Palmer missed Jumper.
Chicago State,Utah Valley,14,20,10,28,0,Boston Gubler Defensive Rebound.
Chicago State,Utah Valley,14,20,11,1,0,Boston Gubler Turnover.
Chicago State,Utah Valley,14,20,11,2,0,Trayvon Palmer Steal.
Chicago State,Utah Valley,16,20,11,3,1,Jared Dimakos made Layup. Assisted by Clarke Rosenberg.
Chicago State,Utah Valley,16,22,11,26,1,Zach Nelson made Layup. Assisted by Donte Williams.
Chicago State,Utah Valley,16,22,11,45,0,Clarke Rosenberg missed Layup.
Chicago State,Utah Valley,16,22,11,45,0,Zach Nelson Block.
Chicago State,Utah Valley,16,22,11,47,0,Mitch Bruneel Defensive Rebound.
Chicago State,Utah Valley,16,22,11,51,0,Donte Williams missed Jumper.
Chicago State,Utah Valley,16,22,11,51,0,Trayvon Palmer Block.
Chicago State,Utah Valley,16,22,11,52,0,Jared Dimakos Defensive Rebound.
Chicago State,Utah Valley,16,22,12,16,0,Kurt Karis missed Jumper.
Chicago State,Utah Valley,16,22,12,16,0,Zach Nelson Defensive Rebound.
Chicago State,Utah Valley,16,25,12,33,1,Mitch Bruneel made Three Point Jumper. Assisted by Marcel Davis.
Chicago State,Utah Valley,19,25,12,57,1,Jared Dimakos made Three Point Jumper. Assisted by Trayvon Palmer.
Chicago State,Utah Valley,19,25,13,13,0,Foul on Kurt Karis.
Chicago State,Utah Valley,19,25,13,13,0,Official TV Timeout
Chicago State,Utah Valley,19,25,13,13,0,Foul on Clarke Rosenberg.
Chicago State,Utah Valley,19,25,13,13,0,Boston Gubler missed Free Throw.
Chicago State,Utah Valley,19,25,13,13,0,Utah Valley Deadball Team Rebound.
Chicago State,Utah Valley,19,25,13,13,0,Boston Gubler missed Free Throw.
Chicago State,Utah Valley,19,25,13,13,0,Utah Valley Deadball Team Rebound.
Chicago State,Utah Valley,19,26,13,13,1,Boston Gubler made Free Throw.
Chicago State,Utah Valley,19,26,13,13,0,Boston Gubler missed Free Throw.
Chicago State,Utah Valley,19,26,13,13,0,Utah Valley Deadball Team Rebound.
Chicago State,Utah Valley,19,28,13,14,1,Zach Nelson made Layup. Assisted by Marcel Davis.
Chicago State,Utah Valley,22,28,13,46,1,Jared Dimakos made Three Point Jumper. Assisted by Sean Hill.
Chicago State,Utah Valley,22,28,13,59,0,Boston Gubler missed Layup.
Chicago State,Utah Valley,22,28,14,2,0,Joshua Meier Defensive Rebound.
Chicago State,Utah Valley,22,28,14,2,0,Foul on Zach Nelson.
Chicago State,Utah Valley,23,28,14,2,1,Joshua Meier made Free Throw.
Chicago State,Utah Valley,24,28,14,2,1,Joshua Meier made Free Throw.
Chicago State,Utah Valley,24,28,14,15,0,Zach Nelson Turnover.
Chicago State,Utah Valley,24,28,14,16,0,Johnny Griffin Steal.
Chicago State,Utah Valley,26,28,14,18,1,Johnny Griffin made Dunk.
Chicago State,Utah Valley,26,28,14,23,0,Utah Valley  Timeout
Chicago State,Utah Valley,26,31,14,40,1,Donte Williams made Three Point Jumper. Assisted by Marcel Davis.
Chicago State,Utah Valley,26,31,15,17,0,Jared Dimakos missed Three Point Jumper.
Chicago State,Utah Valley,26,31,15,17,0,Utah Valley Defensive Rebound.
Chicago State,Utah Valley,26,31,15,44,0,Foul on Joshua Batson.
Chicago State,Utah Valley,26,32,15,44,1,Marcel Davis made Free Throw.
Chicago State,Utah Valley,26,33,15,44,1,Marcel Davis made Free Throw.
Chicago State,Utah Valley,28,33,16,4,1,Anthony Glover made Jumper. Assisted by Sean Hill.
Chicago State,Utah Valley,28,33,16,20,0,Marcel Davis Turnover.
Chicago State,Utah Valley,28,33,16,21,0,Official TV Timeout
Chicago State,Utah Valley,28,33,16,46,0,Trayvon Palmer Turnover.
Chicago State,Utah Valley,28,33,16,46,0,Zach Nelson Turnover.
Chicago State,Utah Valley,30,33,16,56,1,Sean Hill made Jumper.
Chicago State,Utah Valley,30,33,17,20,0,Mitch Bruneel missed Layup.
Chicago State,Utah Valley,30,33,17,20,0,Brenden Evans Offensive Rebound.
Chicago State,Utah Valley,30,33,17,22,0,Brenden Evans missed Two Point Tip Shot.
Chicago State,Utah Valley,30,33,17,22,0,Sean Hill Defensive Rebound.
Chicago State,Utah Valley,30,33,17,28,0,Sean Hill Turnover.
Chicago State,Utah Valley,30,33,17,41,0,Marcel Davis missed Layup.
Chicago State,Utah Valley,30,33,17,41,0,Johnny Griffin Block.
Chicago State,Utah Valley,30,33,17,43,0,Zach Nelson Offensive Rebound.
Chicago State,Utah Valley,30,35,17,45,1,Zach Nelson made Layup.
Chicago State,Utah Valley,30,35,18,13,0,Anthony Glover missed Jumper.
Chicago State,Utah Valley,30,35,18,13,0,Donte Williams Defensive Rebound.
Chicago State,Utah Valley,30,35,18,26,0,Foul on Johnny Griffin.
Chicago State,Utah Valley,30,36,18,26,1,Donte Williams made Free Throw.
Chicago State,Utah Valley,30,37,18,26,1,Donte Williams made Free Throw.
Chicago State,Utah Valley,30,38,18,26,1,Donte Williams made Free Throw.
Chicago State,Utah Valley,32,38,18,38,1,Anthony Glover made Jumper. Assisted by Jared Dimakos.
Chicago State,Utah Valley,32,40,19,12,1,Marcel Davis made Layup. Assisted by Donte Williams.
Chicago State,Utah Valley,32,40,19,28,0,Anthony Glover missed Three Point Jumper.
Chicago State,Utah Valley,32,40,19,28,0,Marcel Davis Defensive Rebound.
Chicago State,Utah Valley,32,40,19,33,0,Foul on Trayvon Palmer.
Chicago State,Utah Valley,32,41,19,33,1,Brenden Evans made Free Throw.
Chicago State,Utah Valley,32,42,19,33,1,Brenden Evans made Free Throw.
Chicago State,Utah Valley,34,42,19,56,1,Jared Dimakos made Layup.
Chicago State,Utah Valley,34,42,19,56,0,Foul on Brenden Evans.
Chicago State,Utah Valley,35,42,19,56,1,Jared Dimakos made Free Throw.
Chicago State,Utah Valley,35,42,19,58,0,Donte Williams missed Three Point Jumper.
Chicago State,Utah Valley,35,42,19,58,0,Mitch Bruneel Offensive Rebound.
Chicago State,Utah Valley,35,42,20,0,0,End of 1st half
Chicago State,Utah Valley,35,42,20,17,0,Jared Dimakos missed Jumper.
Chicago State,Utah Valley,35,42,20,17,0,Boston Gubler Defensive Rebound.
Chicago State,Utah Valley,35,42,20,32,0,Foul on Joshua Meier.
Chicago State,Utah Valley,35,42,20,33,0,Utah Valley  Timeout
Chicago State,Utah Valley,35,45,20,37,1,Donte Williams made Three Point Jumper. Assisted by Zach Nelson.
Chicago State,Utah Valley,35,45,20,59,0,Joshua Batson missed Jumper.
Chicago State,Utah Valley,35,45,20,59,0,Donte Williams Block.
Chicago State,Utah Valley,35,45,21,1,0,Donte Williams Defensive Rebound.
Chicago State,Utah Valley,35,45,21,10,0,Donte Williams missed Three Point Jumper.
Chicago State,Utah Valley,35,45,21,10,0,Mitch Bruneel Offensive Rebound.
Chicago State,Utah Valley,35,45,21,16,0,Foul on Joshua Batson.
Chicago State,Utah Valley,35,46,21,16,1,Marcel Davis made Free Throw.
Chicago State,Utah Valley,35,46,21,16,0,Marcel Davis missed Free Throw.
Chicago State,Utah Valley,35,46,21,16,0,Clarke Rosenberg Defensive Rebound.
Chicago State,Utah Valley,37,46,21,28,1,Joshua Meier made Jumper. Assisted by Clarke Rosenberg.
Chicago State,Utah Valley,37,46,21,55,0,Donte Williams missed Layup.
Chicago State,Utah Valley,37,46,21,55,0,Clarke Rosenberg Block.
Chicago State,Utah Valley,37,46,21,56,0,Utah Valley Offensive Rebound.
Chicago State,Utah Valley,37,49,22,5,1,Donte Williams made Three Point Jumper. Assisted by Marcel Davis.
Chicago State,Utah Valley,37,49,22,33,0,Foul on Boston Gubler.
Chicago State,Utah Valley,38,49,22,33,1,Trayvon Palmer made Free Throw.
Chicago State,Utah Valley,38,49,22,33,0,Trayvon Palmer missed Free Throw.
Chicago State,Utah Valley,38,49,22,33,0,Zach Nelson Defensive Rebound.
Chicago State,Utah Valley,38,49,22,49,0,Boston Gubler missed Jumper.
Chicago State,Utah Valley,38,49,22,49,0,Jared Dimakos Defensive Rebound.
Chicago State,Utah Valley,38,49,22,59,0,Kurt Karis missed Layup.
Chicago State,Utah Valley,38,49,22,59,0,Zach Nelson Block.
Chicago State,Utah Valley,38,49,23,0,0,Kurt Karis Offensive Rebound.
Chicago State,Utah Valley,40,49,23,20,1,Jared Dimakos made Layup.
Chicago State,Utah Valley,40,49,23,28,0,Marcel Davis missed Layup.
Chicago State,Utah Valley,40,49,23,28,0,Trayvon Palmer Block.
Chicago State,Utah Valley,40,49,23,28,0,Marcel Davis Offensive Rebound.
Chicago State,Utah Valley,40,49,23,30,0,Marcel Davis missed Jumper.
Chicago State,Utah Valley,40,49,23,30,0,Kurt Karis Defensive Rebound.
Chicago State,Utah Valley,40,49,23,58,0,Kurt Karis Turnover.
Chicago State,Utah Valley,40,51,24,16,1,Marcel Davis made Layup.
