Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UL Monroe,Coastal Carolina,0,2,0,23,1,Warren Gillis made Jumper.
UL Monroe,Coastal Carolina,0,2,0,45,0,Nick Coppola missed Three Point Jumper.
UL Monroe,Coastal Carolina,0,2,0,45,0,Coastal Carolina Defensive Rebound.
UL Monroe,Coastal Carolina,0,2,0,48,0,Foul on Marvin Williams.
UL Monroe,Coastal Carolina,0,2,1,10,0,Warren Gillis missed Jumper.
UL Monroe,Coastal Carolina,0,2,1,10,0,Marvin Williams Defensive Rebound.
UL Monroe,Coastal Carolina,0,2,1,19,0,Marvin Williams missed Three Point Jumper.
UL Monroe,Coastal Carolina,0,2,1,19,0,UL Monroe Offensive Rebound.
UL Monroe,Coastal Carolina,0,2,1,26,0,Foul on Marvin Williams.
UL Monroe,Coastal Carolina,0,2,1,26,0,Marvin Williams Turnover.
UL Monroe,Coastal Carolina,0,2,1,49,0,Foul on Nick Coppola.
UL Monroe,Coastal Carolina,0,2,2,14,0,Badou Diagne missed Jumper.
UL Monroe,Coastal Carolina,0,2,2,14,0,Tylor Ongwae Defensive Rebound.
UL Monroe,Coastal Carolina,0,2,2,22,0,Foul on Elijah Wilson.
UL Monroe,Coastal Carolina,0,2,2,30,0,Majok Deng missed Three Point Jumper.
UL Monroe,Coastal Carolina,0,2,2,30,0,Coastal Carolina Defensive Rebound.
UL Monroe,Coastal Carolina,0,2,2,56,0,Warren Gillis missed Three Point Jumper.
UL Monroe,Coastal Carolina,0,2,2,56,0,UL Monroe Defensive Rebound.
UL Monroe,Coastal Carolina,0,2,3,16,0,Foul on Warren Gillis.
UL Monroe,Coastal Carolina,1,2,3,16,1,Majok Deng made Free Throw.
UL Monroe,Coastal Carolina,2,2,3,16,1,Majok Deng made Free Throw.
UL Monroe,Coastal Carolina,2,4,3,36,1,Shivaughn Wiggins made Jumper.
UL Monroe,Coastal Carolina,2,4,4,5,0,Justin Roberson missed Three Point Jumper.
UL Monroe,Coastal Carolina,2,4,4,5,0,Badou Diagne Defensive Rebound.
UL Monroe,Coastal Carolina,2,4,4,13,0,Elijah Wilson missed Three Point Jumper.
UL Monroe,Coastal Carolina,2,4,4,13,0,Tylor Ongwae Defensive Rebound.
UL Monroe,Coastal Carolina,2,4,4,26,0,Tylor Ongwae missed Jumper.
UL Monroe,Coastal Carolina,2,4,4,26,0,Coastal Carolina Defensive Rebound.
UL Monroe,Coastal Carolina,2,4,4,29,0,Official TV Timeout
UL Monroe,Coastal Carolina,2,4,5,1,0,Josh Cameron missed Jumper.
UL Monroe,Coastal Carolina,2,4,5,1,0,Justin Roberson Defensive Rebound.
