Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Colgate,James Madison,3,0,0,27,1,Damon Sherman-Newsome made Three Point Jumper. Assisted by Luke Roh.
Colgate,James Madison,3,0,0,53,0,Paulius Satkus missed Jumper.
Colgate,James Madison,3,0,0,53,0,Yohanny Dalembert Offensive Rebound.
Colgate,James Madison,3,2,0,58,1,Yohanny Dalembert made Layup.
Colgate,James Madison,3,2,1,14,0,Matt McMullen Turnover.
Colgate,James Madison,3,2,1,22,0,Ron Curry missed Three Point Jumper.
Colgate,James Madison,3,2,1,22,0,Luke Roh Defensive Rebound.
Colgate,James Madison,3,2,1,34,0,Ethan Jacobs Turnover.
Colgate,James Madison,3,2,1,36,0,Yohanny Dalembert Steal.
Colgate,James Madison,3,2,1,39,0,Ron Curry missed Layup.
Colgate,James Madison,3,2,1,39,0,James Madison Offensive Rebound.
Colgate,James Madison,3,5,1,51,1,Jackson Kent made Three Point Jumper. Assisted by Ron Curry.
Colgate,James Madison,3,5,2,18,0,Austin Tillotson missed Three Point Jumper.
Colgate,James Madison,3,5,2,18,0,Winston Grays Defensive Rebound.
Colgate,James Madison,3,5,2,47,0,Jackson Kent Turnover.
Colgate,James Madison,5,5,3,7,1,Damon Sherman-Newsome made Layup.
Colgate,James Madison,5,7,3,23,1,Yohanny Dalembert made Layup.
Colgate,James Madison,7,7,3,51,1,Austin Tillotson made Layup.
Colgate,James Madison,7,7,3,52,0,Foul on Paulius Satkus.
Colgate,James Madison,8,7,3,52,1,Austin Tillotson made Free Throw.
Colgate,James Madison,8,9,4,3,1,Tom Vodanovich made Layup. Assisted by Winston Grays.
Colgate,James Madison,10,9,4,33,1,Matt McMullen made Jumper.
Colgate,James Madison,10,11,4,55,1,Ron Curry made Layup. Assisted by Hari Hall.
Colgate,James Madison,10,11,5,20,0,Luke Roh missed Jumper.
Colgate,James Madison,10,11,5,20,0,Hari Hall Defensive Rebound.
Colgate,James Madison,10,11,5,29,0,Ron Curry missed Jumper.
Colgate,James Madison,10,11,5,29,0,Ethan Jacobs Defensive Rebound.
Colgate,James Madison,10,11,5,39,0,Austin Tillotson missed Jumper.
Colgate,James Madison,10,11,5,39,0,Tom Vodanovich Defensive Rebound.
Colgate,James Madison,10,13,5,49,1,Tom Vodanovich made Layup. Assisted by Ron Curry.
Colgate,James Madison,10,13,6,14,0,Damon Sherman-Newsome missed Three Point Jumper.
Colgate,James Madison,10,13,6,14,0,Ron Curry Defensive Rebound.
Colgate,James Madison,10,13,6,21,0,Hari Hall missed Layup.
Colgate,James Madison,10,13,6,21,0,Ethan Jacobs Defensive Rebound.
Colgate,James Madison,12,13,6,55,1,Luke Roh made Layup. Assisted by Ethan Jacobs.
Colgate,James Madison,12,13,6,55,0,Foul on Ethan Jacobs.
Colgate,James Madison,12,13,6,55,0,Official TV Timeout
Colgate,James Madison,12,16,7,13,1,Winston Grays made Three Point Jumper. Assisted by Ron Curry.
Colgate,James Madison,12,16,7,39,0,Foul on Matt McMullen.
Colgate,James Madison,12,16,7,39,0,Matt McMullen Turnover.
Colgate,James Madison,12,16,8,2,0,Tom Vodanovich missed Three Point Jumper.
Colgate,James Madison,12,16,8,4,0,James Madison Offensive Rebound.
Colgate,James Madison,12,16,8,4,0,Official TV Timeout
Colgate,James Madison,12,16,8,12,0,Winston Grays Turnover.
Colgate,James Madison,12,16,8,14,0,Matt McMullen Steal.
Colgate,James Madison,12,16,8,43,0,Sean O'Brien missed Three Point Jumper.
Colgate,James Madison,12,16,8,43,0,Hari Hall Defensive Rebound.
Colgate,James Madison,12,16,8,59,0,Foul on John Fenton.
Colgate,James Madison,12,17,8,59,1,Yohanny Dalembert made Free Throw.
Colgate,James Madison,12,18,8,59,1,Yohanny Dalembert made Free Throw.
Colgate,James Madison,15,18,9,15,1,Alex Ramon made Three Point Jumper. Assisted by Luke Roh.
Colgate,James Madison,15,20,9,43,1,Yohanny Dalembert made Layup.
Colgate,James Madison,17,20,10,16,1,Austin Tillotson made Jumper.
Colgate,James Madison,17,20,10,31,0,Foul on Ivan Lukic.
Colgate,James Madison,17,20,10,31,0,Ivan Lukic Turnover.
Colgate,James Madison,17,20,11,0,0,Sean O'Brien Turnover.
Colgate,James Madison,17,20,11,19,0,Jackson Kent missed Three Point Jumper.
Colgate,James Madison,17,20,11,19,0,Luke Roh Defensive Rebound.
Colgate,James Madison,17,20,11,31,0,Wyatt Hagerty missed Layup.
Colgate,James Madison,17,20,11,31,0,Ivan Lukic Block.
Colgate,James Madison,17,20,11,34,0,Jackson Kent Defensive Rebound.
Colgate,James Madison,17,22,11,41,1,Ron Curry made Jumper. Assisted by Paulius Satkus.
Colgate,James Madison,17,22,12,2,0,Luke Roh Turnover.
Colgate,James Madison,17,22,12,4,0,Ivan Lukic Steal.
Colgate,James Madison,17,24,12,6,1,Jackson Kent made Layup.
Colgate,James Madison,17,24,12,6,0,Foul on Alex Ramon.
Colgate,James Madison,17,24,12,6,0,Official TV Timeout
Colgate,James Madison,17,25,12,6,1,Jackson Kent made Free Throw.
Colgate,James Madison,17,25,12,15,0,Wyatt Hagerty missed Layup.
Colgate,James Madison,17,25,12,15,0,Yohanny Dalembert Defensive Rebound.
Colgate,James Madison,17,25,12,27,0,Winston Grays missed Three Point Jumper.
Colgate,James Madison,17,25,12,27,0,Yohanny Dalembert Offensive Rebound.
Colgate,James Madison,17,25,12,31,0,Foul on Luke Roh.
Colgate,James Madison,17,28,12,33,1,Jackson Kent made Three Point Jumper. Assisted by Ron Curry.
Colgate,James Madison,17,28,12,53,0,Austin Tillotson missed Jumper.
Colgate,James Madison,17,28,12,53,0,Ron Curry Block.
Colgate,James Madison,17,28,12,56,0,Yohanny Dalembert Defensive Rebound.
Colgate,James Madison,17,31,13,5,1,Jackson Kent made Three Point Jumper. Assisted by Yohanny Dalembert.
Colgate,James Madison,17,31,13,11,0,Colgate  Timeout
Colgate,James Madison,19,31,13,20,1,Matt McMullen made Jumper.
Colgate,James Madison,19,31,13,34,0,Hari Hall missed Layup.
Colgate,James Madison,19,31,13,34,0,Matt McMullen Defensive Rebound.
Colgate,James Madison,19,31,13,45,0,Matt McMullen missed Three Point Jumper.
