Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Davidson,UCF,0,0,0,7,0,Brian Sullivan missed Three Point Jumper.
Davidson,UCF,0,0,0,7,0,Staphon Blair Defensive Rebound.
Davidson,UCF,0,2,0,30,1,Kasey Wilson made Jumper. Assisted by Brandon Goodwin.
Davidson,UCF,0,2,0,49,0,Tyler Kalinoski Turnover.
Davidson,UCF,0,4,1,1,1,B.J. Taylor made Jumper.
Davidson,UCF,2,4,1,13,1,Jake Belford made Layup.
Davidson,UCF,2,4,1,28,0,Kasey Wilson missed Three Point Jumper.
Davidson,UCF,2,4,1,28,0,Brian Sullivan Defensive Rebound.
Davidson,UCF,2,4,1,50,0,Jake Belford missed Three Point Jumper.
Davidson,UCF,2,4,1,50,0,B.J. Taylor Defensive Rebound.
Davidson,UCF,2,4,1,59,0,Foul on Peyton Aldridge.
Davidson,UCF,2,4,1,59,0,Kasey Wilson missed Free Throw.
Davidson,UCF,2,4,1,59,0,UCF Deadball Team Rebound.
Davidson,UCF,2,5,1,59,1,Kasey Wilson made Free Throw.
Davidson,UCF,2,5,2,23,0,Jake Belford missed Jumper.
Davidson,UCF,2,5,2,23,0,Peyton Aldridge Offensive Rebound.
Davidson,UCF,2,5,2,23,0,Peyton Aldridge Offensive Rebound.
Davidson,UCF,2,5,2,30,0,Brian Sullivan missed Three Point Jumper.
Davidson,UCF,2,5,2,30,0,B.J. Taylor Defensive Rebound.
Davidson,UCF,2,7,2,53,1,Staphon Blair made Layup. Assisted by Kasey Wilson.
Davidson,UCF,5,7,3,0,1,Jack Gibbs made Three Point Jumper.
Davidson,UCF,5,9,3,32,1,Staphon Blair made Layup. Assisted by Adonys Henriquez.
Davidson,UCF,5,9,3,46,0,Foul on Brandon Goodwin.
Davidson,UCF,5,9,3,57,0,Peyton Aldridge missed Jumper.
Davidson,UCF,5,9,3,57,0,B.J. Taylor Defensive Rebound.
Davidson,UCF,5,11,4,4,1,B.J. Taylor made Layup.
Davidson,UCF,5,11,4,12,0,Foul on Kasey Wilson.
Davidson,UCF,5,11,4,12,0,Official TV Timeout
Davidson,UCF,5,11,4,12,0,Nathan Ekwu missed Free Throw.
Davidson,UCF,5,11,4,12,0,Davidson Deadball Team Rebound.
Davidson,UCF,6,11,4,12,1,Nathan Ekwu made Free Throw.
Davidson,UCF,6,11,4,32,0,Staphon Blair missed Layup.
Davidson,UCF,6,11,4,32,0,Davidson Defensive Rebound.
Davidson,UCF,8,11,4,45,1,Nathan Ekwu made Jumper.
Davidson,UCF,8,11,4,45,1,Nathan Ekwu made Jumper.
Davidson,UCF,8,11,5,15,0,Daiquan Walker missed Three Point Jumper.
Davidson,UCF,8,11,5,18,0,UCF Offensive Rebound.
Davidson,UCF,8,11,5,29,0,Justin McBride Turnover.
Davidson,UCF,8,11,5,30,0,Tyler Kalinoski Steal.
Davidson,UCF,8,11,5,30,0,Tyler Kalinoski Steal.
Davidson,UCF,10,11,5,43,1,Jack Gibbs made Layup.
Davidson,UCF,10,11,5,43,1,Jack Gibbs made Layup.
Davidson,UCF,10,11,6,8,0,Shaheed Davis missed Three Point Jumper.
Davidson,UCF,10,11,6,8,0,Jack Gibbs Defensive Rebound.
Davidson,UCF,12,11,6,14,1,Jack Gibbs made Jumper.
Davidson,UCF,12,11,6,28,0,B.J. Taylor Turnover.
Davidson,UCF,12,11,6,28,0,Foul on B.J. Taylor.
Davidson,UCF,12,11,6,42,0,Nathan Ekwu missed Layup.
Davidson,UCF,12,11,6,42,0,Brandon Goodwin Defensive Rebound.
Davidson,UCF,12,11,6,48,0,Adonys Henriquez missed Three Point Jumper.
Davidson,UCF,12,11,6,48,0,Peyton Aldridge Defensive Rebound.
Davidson,UCF,12,11,6,59,0,Oskar Michelsen missed Three Point Jumper.
Davidson,UCF,12,11,6,59,0,Justin McBride Defensive Rebound.
Davidson,UCF,12,13,7,11,1,Brandon Goodwin made Layup.
Davidson,UCF,12,13,7,11,0,Foul on Peyton Aldridge.
Davidson,UCF,12,14,7,11,1,Brandon Goodwin made Free Throw.
Davidson,UCF,12,14,7,23,0,Jordan Barham Turnover.
Davidson,UCF,12,14,7,23,0,Jordan Barham Turnover.
Davidson,UCF,12,14,7,23,0,Shaheed Davis Steal.
Davidson,UCF,12,14,7,37,0,Justin McBride missed Layup.
Davidson,UCF,12,14,7,37,0,Brian Sullivan Defensive Rebound.
Davidson,UCF,12,14,7,46,0,Foul on Brandon Goodwin.
Davidson,UCF,13,14,7,46,1,Brian Sullivan made Free Throw.
Davidson,UCF,13,14,7,46,1,Brian Sullivan made Free Throw.
Davidson,UCF,13,14,7,46,0,Brian Sullivan missed Free Throw.
Davidson,UCF,13,14,7,46,0,Shaheed Davis Defensive Rebound.
Davidson,UCF,13,17,8,7,1,Daiquan Walker made Three Point Jumper.
Davidson,UCF,16,17,8,21,1,Nathan Ekwu made Three Point Jumper. Assisted by Oskar Michelsen.
Davidson,UCF,16,17,8,47,0,Justin McBride missed Layup.
Davidson,UCF,16,17,8,47,0,Nathan Ekwu Defensive Rebound.
Davidson,UCF,16,17,8,59,0,Nathan Ekwu missed Layup.
Davidson,UCF,16,17,8,59,0,Shaheed Davis Block.
Davidson,UCF,16,17,8,59,0,Shaheed Davis Block.
Davidson,UCF,16,17,9,2,0,Kasey Wilson Defensive Rebound.
Davidson,UCF,16,19,9,7,1,Daiquan Walker made Layup.
Davidson,UCF,16,19,9,7,1,Daiquan Walker made Layup.
Davidson,UCF,16,19,9,17,0,Tyler Kalinoski missed Three Point Jumper.
Davidson,UCF,16,19,9,17,0,Jordan Barham Offensive Rebound.
Davidson,UCF,16,19,9,21,0,Foul on Justin McBride.
Davidson,UCF,16,19,9,21,0,Jordan Barham missed Free Throw.
Davidson,UCF,16,19,9,21,0,Davidson Deadball Team Rebound.
Davidson,UCF,17,19,9,21,1,Jordan Barham made Free Throw.
Davidson,UCF,17,19,9,31,0,Shaheed Davis Turnover.
Davidson,UCF,19,19,10,0,1,Andrew McAuliffe made Layup.
Davidson,UCF,19,19,10,24,0,B.J. Taylor Turnover.
Davidson,UCF,19,19,10,24,0,B.J. Taylor Turnover.
Davidson,UCF,19,19,10,25,0,Jack Gibbs Steal.
Davidson,UCF,19,19,10,25,0,Jack Gibbs Steal.
Davidson,UCF,21,19,10,28,1,Jack Gibbs made Layup.
Davidson,UCF,21,21,10,51,1,Shaheed Davis made Layup.
Davidson,UCF,23,21,11,4,1,Jordan Barham made Layup.
Davidson,UCF,23,21,11,4,1,Jordan Barham made Layup.
Davidson,UCF,23,21,11,24,0,B.J. Taylor missed Jumper.
