Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Drake,Southern Illinois,2,0,0,36,1,Trevor Berkeley made Layup. Assisted by Jacob Enevold Jensen.
Drake,Southern Illinois,2,0,1,4,0,Anthony Beane Turnover.
Drake,Southern Illinois,2,0,1,25,0,Jacob Enevold Jensen missed Jumper.
Drake,Southern Illinois,2,0,1,25,0,Jordan Caroline Defensive Rebound.
Drake,Southern Illinois,2,0,1,52,0,Sean O'Brien missed Jumper.
Drake,Southern Illinois,2,0,1,52,0,Southern Illinois Offensive Rebound.
Drake,Southern Illinois,2,3,2,4,1,Anthony Beane made Three Point Jumper.
Drake,Southern Illinois,2,3,2,34,0,Reed Timmer missed Layup.
Drake,Southern Illinois,2,3,2,34,0,Jordan Caroline Defensive Rebound.
Drake,Southern Illinois,2,5,2,42,1,Dawson Verhines made Layup. Assisted by Sean O'Brien.
Drake,Southern Illinois,2,5,2,42,0,Foul on Jacob Enevold Jensen.
Drake,Southern Illinois,2,6,2,43,1,Dawson Verhines made Free Throw.
Drake,Southern Illinois,5,6,3,16,1,Gary Ricks Jr. made Three Point Jumper. Assisted by Reed Timmer.
Drake,Southern Illinois,5,8,3,42,1,Anthony Beane made Layup.
Drake,Southern Illinois,7,8,4,14,1,Reed Timmer made Jumper.
Drake,Southern Illinois,7,8,4,43,0,Jordan Caroline missed Jumper.
Drake,Southern Illinois,7,8,4,43,0,Bola Olaniyan Offensive Rebound.
Drake,Southern Illinois,7,10,4,49,1,Bola Olaniyan made Layup.
Drake,Southern Illinois,9,10,5,16,1,Reed Timmer made Jumper.
Drake,Southern Illinois,9,12,5,36,1,Sean O'Brien made Layup.
Drake,Southern Illinois,9,12,6,14,0,Gary Ricks Jr. missed Jumper.
Drake,Southern Illinois,9,12,6,14,0,Bola Olaniyan Defensive Rebound.
Drake,Southern Illinois,9,12,6,34,0,Sean O'Brien Turnover.
Drake,Southern Illinois,9,12,6,34,0,Official TV Timeout
Drake,Southern Illinois,9,12,6,48,0,C.J. Rivers missed Jumper.
Drake,Southern Illinois,9,12,6,48,0,Jordan Caroline Defensive Rebound.
Drake,Southern Illinois,9,15,7,13,1,Deion Lavender made Three Point Jumper.
Drake,Southern Illinois,9,15,7,36,0,Foul on Jalen Pendleton.
Drake,Southern Illinois,11,15,7,50,1,Reed Timmer made Jumper.
Drake,Southern Illinois,11,18,8,15,1,Anthony Beane made Three Point Jumper.
Drake,Southern Illinois,11,18,8,35,0,Reed Timmer Turnover.
Drake,Southern Illinois,11,18,8,35,0,Bola Olaniyan Steal.
Drake,Southern Illinois,11,20,8,38,1,Jalen Pendleton made Layup.
Drake,Southern Illinois,11,20,8,39,0,Drake  Timeout
Drake,Southern Illinois,11,20,8,53,0,Jacob Enevold Jensen missed Jumper.
Drake,Southern Illinois,11,20,8,53,0,Jalen Pendleton Defensive Rebound.
Drake,Southern Illinois,11,23,9,4,1,Anthony Beane made Three Point Jumper.
Drake,Southern Illinois,13,23,9,36,1,Jacob Enevold Jensen made Dunk. Assisted by Jordan Daniels.
Drake,Southern Illinois,13,23,9,55,0,Deion Lavender Turnover.
Drake,Southern Illinois,13,23,9,55,0,Official TV Timeout
Drake,Southern Illinois,13,23,10,20,0,Jordan Daniels missed Three Point Jumper.
Drake,Southern Illinois,13,23,10,20,0,Southern Illinois Defensive Rebound.
Drake,Southern Illinois,13,23,10,56,0,Ibby Djimde missed Jumper.
Drake,Southern Illinois,13,23,10,56,0,Chris Caird Defensive Rebound.
Drake,Southern Illinois,13,23,11,3,0,Chris Caird Turnover.
Drake,Southern Illinois,13,25,11,22,1,Jalen Pendleton made Jumper.
Drake,Southern Illinois,13,25,12,2,0,Ore Arogundade missed Layup.
Drake,Southern Illinois,13,25,12,2,0,Sean O'Brien Block.
Drake,Southern Illinois,13,25,12,2,0,Drake Offensive Rebound.
Drake,Southern Illinois,13,25,12,3,0,Drake  Turnover.
Drake,Southern Illinois,13,25,12,3,0,Official TV Timeout
Drake,Southern Illinois,13,25,12,37,0,Jalen Pendleton missed Three Point Jumper.
Drake,Southern Illinois,13,25,12,37,0,Gary Ricks Jr. Defensive Rebound.
Drake,Southern Illinois,16,25,13,4,1,Chris Caird made Three Point Jumper. Assisted by Karl Madison.
Drake,Southern Illinois,16,27,13,22,1,Sean O'Brien made Layup.
Drake,Southern Illinois,18,27,13,49,1,Reed Timmer made Jumper.
Drake,Southern Illinois,18,27,14,8,0,Sean O'Brien missed Jumper.
Drake,Southern Illinois,18,27,14,8,0,Drake Defensive Rebound.
Drake,Southern Illinois,21,27,14,23,1,Gary Ricks Jr. made Three Point Jumper. Assisted by Karl Madison.
Drake,Southern Illinois,21,27,14,39,0,Anthony Beane missed Jumper.
Drake,Southern Illinois,21,27,14,39,0,Reed Timmer Defensive Rebound.
Drake,Southern Illinois,21,27,15,10,0,Chris Caird missed Three Point Jumper.
Drake,Southern Illinois,21,27,15,10,0,Sean O'Brien Defensive Rebound.
Drake,Southern Illinois,21,29,15,19,1,Sean O'Brien made Jumper. Assisted by Deion Lavender.
Drake,Southern Illinois,21,29,15,35,0,Reed Timmer Turnover.
Drake,Southern Illinois,21,29,15,37,0,Bola Olaniyan Steal.
Drake,Southern Illinois,21,29,15,38,0,Foul on Jacob Enevold Jensen.
Drake,Southern Illinois,21,30,15,38,1,Bola Olaniyan made Free Throw.
Drake,Southern Illinois,21,31,15,38,1,Bola Olaniyan made Free Throw.
Drake,Southern Illinois,21,31,16,4,0,Foul on Tyler Smithpeters.
Drake,Southern Illinois,21,31,16,4,0,Official TV Timeout
Drake,Southern Illinois,21,31,16,6,0,Karl Madison Turnover.
Drake,Southern Illinois,21,31,16,6,0,Bola Olaniyan Steal.
Drake,Southern Illinois,21,31,16,27,0,Foul on Karl Madison.
Drake,Southern Illinois,21,31,16,27,0,Jordan Caroline missed Free Throw.
Drake,Southern Illinois,21,31,16,27,0,Southern Illinois Deadball Team Rebound.
Drake,Southern Illinois,21,32,16,27,1,Jordan Caroline made Free Throw.
Drake,Southern Illinois,23,32,16,27,1,Gary Ricks Jr. made Layup. Assisted by Trevor Berkeley.
Drake,Southern Illinois,23,32,17,17,0,Foul on Trevor Berkeley.
Drake,Southern Illinois,23,32,17,37,0,Tyler Smithpeters missed Three Point Jumper.
Drake,Southern Illinois,23,32,17,37,0,Bola Olaniyan Offensive Rebound.
Drake,Southern Illinois,23,34,17,53,1,Anthony Beane made Jumper.
Drake,Southern Illinois,23,34,18,32,0,Reed Timmer missed Three Point Jumper.
Drake,Southern Illinois,23,34,18,32,0,Bola Olaniyan Defensive Rebound.
Drake,Southern Illinois,23,36,18,52,1,Jordan Caroline made Layup.
Drake,Southern Illinois,23,36,18,52,0,Foul on Kory Kuenstling.
Drake,Southern Illinois,23,37,18,52,1,Jordan Caroline made Free Throw.
Drake,Southern Illinois,23,37,19,5,0,Foul on Bola Olaniyan.
Drake,Southern Illinois,24,37,19,5,1,Reed Timmer made Free Throw.
Drake,Southern Illinois,24,37,19,5,0,Southern Illinois  Timeout
Drake,Southern Illinois,25,37,19,5,1,Reed Timmer made Free Throw.
Drake,Southern Illinois,25,37,19,23,0,Deion Lavender missed Three Point Jumper.
Drake,Southern Illinois,25,37,19,23,0,Bola Olaniyan Offensive Rebound.
Drake,Southern Illinois,25,37,20,0,0,Jordan Caroline missed Three Point Jumper.
Drake,Southern Illinois,25,37,20,0,0,Drake Defensive Rebound.
Drake,Southern Illinois,25,37,20,0,0,End of 1st half
Drake,Southern Illinois,25,39,20,20,1,Sean O'Brien made Layup. Assisted by Anthony Beane.
Drake,Southern Illinois,25,39,20,41,0,Foul on Bola Olaniyan.
Drake,Southern Illinois,25,39,20,42,0,Gary Ricks Jr. missed Three Point Jumper.
Drake,Southern Illinois,25,39,20,42,0,Jacob Enevold Jensen Offensive Rebound.
Drake,Southern Illinois,28,39,20,47,1,Gary Ricks Jr. made Three Point Jumper. Assisted by Karl Madison.
Drake,Southern Illinois,28,41,21,8,1,Deion Lavender made Jumper.
Drake,Southern Illinois,28,41,21,27,0,Trevor Berkeley Turnover.
Drake,Southern Illinois,28,41,21,45,0,Anthony Beane Turnover.
Drake,Southern Illinois,28,41,21,45,0,Foul on Anthony Beane.
Drake,Southern Illinois,31,41,22,1,1,Trevor Berkeley made Three Point Jumper. Assisted by Karl Madison.
Drake,Southern Illinois,31,41,22,18,0,Jordan Caroline missed Dunk.
Drake,Southern Illinois,31,41,22,18,0,Bola Olaniyan Offensive Rebound.
Drake,Southern Illinois,31,43,22,20,1,Bola Olaniyan made Layup.
Drake,Southern Illinois,31,43,22,20,0,Foul on Trevor Berkeley.
Drake,Southern Illinois,31,43,22,20,0,Bola Olaniyan missed Free Throw.
Drake,Southern Illinois,31,43,22,20,0,Sean O'Brien Offensive Rebound.
Drake,Southern Illinois,31,43,22,38,0,Sean O'Brien missed Jumper.
Drake,Southern Illinois,31,43,22,38,0,Trevor Berkeley Defensive Rebound.
Drake,Southern Illinois,31,43,22,41,0,Foul on Bola Olaniyan.
Drake,Southern Illinois,34,43,22,55,1,Reed Timmer made Three Point Jumper. Assisted by Karl Madison.
Drake,Southern Illinois,34,45,23,13,1,Sean O'Brien made Jumper.
Drake,Southern Illinois,34,45,23,50,0,Reed Timmer missed Layup.
Drake,Southern Illinois,34,45,23,50,0,Bola Olaniyan Block.
Drake,Southern Illinois,34,45,23,50,0,Trevor Berkeley Offensive Rebound.
Drake,Southern Illinois,34,45,23,53,0,Trevor Berkeley missed Jumper.
Drake,Southern Illinois,34,45,23,53,0,Jacob Enevold Jensen Offensive Rebound.
Drake,Southern Illinois,34,45,23,54,0,Jacob Enevold Jensen Turnover.
Drake,Southern Illinois,34,45,24,8,0,Anthony Beane missed Three Point Jumper.
Drake,Southern Illinois,34,45,24,8,0,Jacob Enevold Jensen Defensive Rebound.
Drake,Southern Illinois,34,45,24,15,0,Gary Ricks Jr. missed Three Point Jumper.
Drake,Southern Illinois,34,45,24,15,0,Deion Lavender Defensive Rebound.
Drake,Southern Illinois,34,45,24,27,0,Foul on Gary Ricks Jr..
Drake,Southern Illinois,34,45,24,27,0,Official TV Timeout
Drake,Southern Illinois,34,45,24,27,0,Ibby Djimde missed Free Throw.
Drake,Southern Illinois,34,45,24,27,0,Southern Illinois Deadball Team Rebound.
Drake,Southern Illinois,34,46,24,27,1,Ibby Djimde made Free Throw.
Drake,Southern Illinois,36,46,24,49,1,Jacob Enevold Jensen made Jumper. Assisted by Trevor Berkeley.
Drake,Southern Illinois,36,46,25,20,0,Deion Lavender missed Three Point Jumper.
Drake,Southern Illinois,36,46,25,20,0,Reed Timmer Defensive Rebound.
Drake,Southern Illinois,36,46,25,31,0,Jacob Enevold Jensen Turnover.
Drake,Southern Illinois,36,46,25,33,0,Ibby Djimde Steal.
Drake,Southern Illinois,36,48,25,36,1,Deion Lavender made Jumper.
Drake,Southern Illinois,36,48,25,57,0,Foul on Ibby Djimde.
Drake,Southern Illinois,36,48,26,13,0,Jacob Enevold Jensen Turnover.
Drake,Southern Illinois,36,48,26,42,0,Anthony Beane missed Three Point Jumper.
Drake,Southern Illinois,36,48,26,42,0,Deion Lavender Offensive Rebound.
Drake,Southern Illinois,36,50,27,0,1,Jordan Caroline made Layup. Assisted by Anthony Beane.
Drake,Southern Illinois,38,50,27,17,1,Reed Timmer made Jumper.
Drake,Southern Illinois,38,50,27,43,0,Jalen Pendleton missed Jumper.
Drake,Southern Illinois,38,50,27,43,0,Jacob Enevold Jensen Defensive Rebound.
Drake,Southern Illinois,38,50,28,2,0,Foul on Ibby Djimde.
Drake,Southern Illinois,38,50,28,2,0,Official TV Timeout
Drake,Southern Illinois,38,50,28,4,0,Ore Arogundade missed Jumper.
Drake,Southern Illinois,38,50,28,4,0,Sean O'Brien Defensive Rebound.
Drake,Southern Illinois,38,50,28,34,0,Anthony Beane missed Jumper.
Drake,Southern Illinois,38,50,28,34,0,Ibby Djimde Offensive Rebound.
Drake,Southern Illinois,38,50,28,48,0,Anthony Beane missed Jumper.
Drake,Southern Illinois,38,50,28,48,0,Ibby Djimde Offensive Rebound.
Drake,Southern Illinois,38,52,28,51,1,Ibby Djimde made Jumper.
Drake,Southern Illinois,38,52,29,5,0,Foul on Anthony Beane.
Drake,Southern Illinois,40,52,29,7,1,Ore Arogundade made Jumper.
Drake,Southern Illinois,40,52,29,38,0,Deion Lavender Turnover.
Drake,Southern Illinois,40,52,29,38,0,Ore Arogundade Steal.
Drake,Southern Illinois,40,52,29,39,0,Drake  Timeout
Drake,Southern Illinois,40,52,29,49,0,Reed Timmer Turnover.
Drake,Southern Illinois,40,52,29,49,0,Foul on Reed Timmer.
Drake,Southern Illinois,40,54,30,22,1,Sean O'Brien made Jumper.
Drake,Southern Illinois,40,54,30,41,0,Chris Caird missed Three Point Jumper.
Drake,Southern Illinois,40,54,30,41,0,Deion Lavender Defensive Rebound.
Drake,Southern Illinois,40,54,30,55,0,Bola Olaniyan missed Layup.
Drake,Southern Illinois,40,54,30,55,0,Ore Arogundade Defensive Rebound.
Drake,Southern Illinois,40,54,31,3,0,Ore Arogundade missed Jumper.
Drake,Southern Illinois,40,54,31,3,0,Jacob Enevold Jensen Offensive Rebound.
Drake,Southern Illinois,42,54,31,6,1,Jacob Enevold Jensen made Jumper.
Drake,Southern Illinois,42,54,31,27,0,Foul on Chris Caird.
Drake,Southern Illinois,42,54,31,28,0,Sean O'Brien missed Jumper.
Drake,Southern Illinois,42,54,31,28,0,Southern Illinois Offensive Rebound.
Drake,Southern Illinois,42,54,31,48,0,Sean O'Brien Turnover.
Drake,Southern Illinois,42,54,31,49,0,Reed Timmer Steal.
Drake,Southern Illinois,44,54,31,57,1,Reed Timmer made Jumper.
Drake,Southern Illinois,44,54,32,30,0,Dawson Verhines Turnover.
Drake,Southern Illinois,44,54,32,31,0,Ore Arogundade Steal.
Drake,Southern Illinois,44,54,32,33,0,Reed Timmer missed Layup.
Drake,Southern Illinois,44,54,32,33,0,Anthony Beane Block.
Drake,Southern Illinois,44,54,32,33,0,Dawson Verhines Defensive Rebound.
Drake,Southern Illinois,44,54,32,43,0,Foul on Ore Arogundade.
Drake,Southern Illinois,44,54,32,43,0,Official TV Timeout
Drake,Southern Illinois,44,54,32,59,0,Jordan Caroline Turnover.
Drake,Southern Illinois,44,54,33,20,0,C.J. Rivers Turnover.
Drake,Southern Illinois,44,54,33,20,0,Bola Olaniyan Steal.
Drake,Southern Illinois,44,56,33,25,1,Jalen Pendleton made Layup.
Drake,Southern Illinois,44,56,33,43,0,C.J. Rivers missed Layup.
Drake,Southern Illinois,44,56,33,43,0,Bola Olaniyan Defensive Rebound.
