Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Eastern Illinois,Cleveland State,0,2,0,26,1,Marlin Mason made Jumper.
Eastern Illinois,Cleveland State,0,2,0,45,0,Trae Anderson Turnover.
Eastern Illinois,Cleveland State,0,2,0,47,0,Anton Grady Steal.
Eastern Illinois,Cleveland State,0,2,0,54,0,Anton Grady Turnover.
Eastern Illinois,Cleveland State,2,2,1,6,1,Luke Piotrowski made Jumper. Assisted by Dylan Chatman.
Eastern Illinois,Cleveland State,2,2,1,15,0,Anton Grady missed Jumper.
Eastern Illinois,Cleveland State,2,2,1,15,0,Andre Yates Offensive Rebound.
Eastern Illinois,Cleveland State,2,2,1,19,0,Andre Yates missed Layup.
Eastern Illinois,Cleveland State,2,2,1,19,0,LeTrell Viser Defensive Rebound.
Eastern Illinois,Cleveland State,2,2,1,44,0,LeTrell Viser missed Jumper.
Eastern Illinois,Cleveland State,2,2,1,44,0,Luke Piotrowski Offensive Rebound.
Eastern Illinois,Cleveland State,2,2,1,51,0,Luke Piotrowski missed Layup.
Eastern Illinois,Cleveland State,2,2,1,51,0,Luke Piotrowski Offensive Rebound.
Eastern Illinois,Cleveland State,4,2,1,56,1,Luke Piotrowski made Layup.
Eastern Illinois,Cleveland State,4,5,2,5,1,Trey Lewis made Three Point Jumper. Assisted by Charlie Lee.
Eastern Illinois,Cleveland State,4,5,2,23,0,Trae Anderson missed Three Point Jumper.
Eastern Illinois,Cleveland State,4,5,2,23,0,Anton Grady Defensive Rebound.
Eastern Illinois,Cleveland State,4,5,2,31,0,Andre Yates missed Three Point Jumper.
Eastern Illinois,Cleveland State,4,5,2,31,0,Trae Anderson Defensive Rebound.
Eastern Illinois,Cleveland State,4,5,2,41,0,Foul on Andre Yates.
Eastern Illinois,Cleveland State,4,5,2,41,0,Luke Piotrowski missed Free Throw.
Eastern Illinois,Cleveland State,4,5,2,41,0,Eastern Illinois Deadball Team Rebound.
Eastern Illinois,Cleveland State,5,5,2,41,1,Luke Piotrowski made Free Throw.
Eastern Illinois,Cleveland State,5,5,2,57,0,Charlie Lee missed Three Point Jumper.
Eastern Illinois,Cleveland State,5,5,2,57,0,Chris Olivier Defensive Rebound.
Eastern Illinois,Cleveland State,5,5,3,13,0,Josh Piper missed Three Point Jumper.
Eastern Illinois,Cleveland State,5,5,3,13,0,Anton Grady Defensive Rebound.
Eastern Illinois,Cleveland State,5,5,3,32,0,Foul on Cornell Johnston.
Eastern Illinois,Cleveland State,5,5,3,32,0,Anton Grady missed Free Throw.
Eastern Illinois,Cleveland State,5,5,3,32,0,Cleveland St Deadball Team Rebound.
Eastern Illinois,Cleveland State,5,6,3,32,1,Anton Grady made Free Throw.
Eastern Illinois,Cleveland State,5,6,3,43,0,Cornell Johnston Turnover.
Eastern Illinois,Cleveland State,5,6,3,44,0,Anton Grady Steal.
Eastern Illinois,Cleveland State,5,6,3,44,0,Anton Grady Turnover.
Eastern Illinois,Cleveland State,5,6,4,0,0,Luke Norman Turnover.
Eastern Illinois,Cleveland State,5,6,4,2,0,Andre Yates Steal.
Eastern Illinois,Cleveland State,5,8,4,4,1,Andre Yates made Layup.
Eastern Illinois,Cleveland State,5,8,4,16,0,Foul on Charlie Lee.
Eastern Illinois,Cleveland State,5,8,4,16,0,Official TV Timeout
Eastern Illinois,Cleveland State,5,8,4,29,0,Chris Olivier missed Jumper.
