Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Florida Intl,Western Kentucky,0,0,0,11,0,Nigel Snipes missed Three Point Jumper.
Florida Intl,Western Kentucky,0,0,0,12,0,Daviyon Draper Defensive Rebound.
Florida Intl,Western Kentucky,0,0,0,41,0,Adrian Diaz missed Jumper.
Florida Intl,Western Kentucky,0,0,0,41,0,Western Kentucky Defensive Rebound.
Florida Intl,Western Kentucky,0,0,0,58,0,Foul on Daviyon Draper.
Florida Intl,Western Kentucky,0,0,0,58,0,George Fant missed Free Throw.
Florida Intl,Western Kentucky,0,0,0,58,0,Western Kentucky Deadball Team Rebound.
Florida Intl,Western Kentucky,0,1,0,58,1,George Fant made Free Throw.
Florida Intl,Western Kentucky,0,1,1,24,0,Foul on Adrian Diaz.
Florida Intl,Western Kentucky,0,1,1,24,0,Adrian Diaz Turnover.
Florida Intl,Western Kentucky,0,1,1,38,0,T.J. Price missed Three Point Jumper.
Florida Intl,Western Kentucky,0,1,1,38,0,George Fant Offensive Rebound.
Florida Intl,Western Kentucky,0,1,1,42,0,Trency Jackson missed Three Point Jumper.
Florida Intl,Western Kentucky,0,1,1,42,0,Ray Rodriguez Defensive Rebound.
Florida Intl,Western Kentucky,0,1,1,47,0,Foul on Chris Harrison-Docks.
Florida Intl,Western Kentucky,3,1,1,55,1,Kris Gulley made Three Point Jumper. Assisted by Adrian Diaz.
Florida Intl,Western Kentucky,3,1,2,13,0,Trency Jackson Turnover.
Florida Intl,Western Kentucky,3,1,2,14,0,Daviyon Draper Steal.
Florida Intl,Western Kentucky,3,1,2,18,0,Kris Gulley Turnover.
Florida Intl,Western Kentucky,3,1,2,18,0,Western Kentucky  Timeout
Florida Intl,Western Kentucky,3,1,2,38,0,George Fant missed Jumper.
Florida Intl,Western Kentucky,3,1,2,38,0,Adrian Diaz Defensive Rebound.
Florida Intl,Western Kentucky,3,1,2,47,0,Adrian Diaz missed Layup.
Florida Intl,Western Kentucky,3,1,2,47,0,George Fant Block.
Florida Intl,Western Kentucky,3,1,2,49,0,Adrian Diaz Offensive Rebound.
Florida Intl,Western Kentucky,5,1,2,52,1,Adrian Diaz made Layup.
Florida Intl,Western Kentucky,5,4,3,2,1,Trency Jackson made Three Point Jumper. Assisted by Chris Harrison-Docks.
Florida Intl,Western Kentucky,5,4,3,38,0,Adrian Diaz Turnover.
Florida Intl,Western Kentucky,5,4,3,48,0,T.J. Price missed Three Point Jumper.
Florida Intl,Western Kentucky,5,4,3,48,0,Kris Gulley Defensive Rebound.
Florida Intl,Western Kentucky,5,4,4,11,0,Daviyon Draper missed Jumper.
Florida Intl,Western Kentucky,5,4,4,11,0,T.J. Price Defensive Rebound.
Florida Intl,Western Kentucky,5,4,4,22,0,George Fant Turnover.
Florida Intl,Western Kentucky,7,4,4,33,1,Dennis Mavin made Jumper.
Florida Intl,Western Kentucky,7,4,4,50,0,Trency Jackson Turnover.
Florida Intl,Western Kentucky,7,4,4,50,0,Official TV Timeout
Florida Intl,Western Kentucky,7,4,5,0,0,Dennis Mavin missed Jumper.
Florida Intl,Western Kentucky,7,4,5,0,0,Ben Lawson Block.
Florida Intl,Western Kentucky,7,4,5,1,0,Ben Lawson Defensive Rebound.
Florida Intl,Western Kentucky,7,6,5,13,1,Chris Harrison-Docks made Jumper.
Florida Intl,Western Kentucky,10,6,5,32,1,Kris Gulley made Three Point Jumper. Assisted by Dennis Mavin.
Florida Intl,Western Kentucky,10,8,5,56,1,Ben Lawson made Dunk. Assisted by Justin Johnson.
Florida Intl,Western Kentucky,10,8,6,15,0,Daviyon Draper missed Jumper.
Florida Intl,Western Kentucky,10,8,6,15,0,Justin Johnson Block.
Florida Intl,Western Kentucky,10,8,6,20,0,Chris Harrison-Docks Defensive Rebound.
Florida Intl,Western Kentucky,10,8,6,25,0,Chris Harrison-Docks Turnover.
Florida Intl,Western Kentucky,10,8,6,26,0,Dennis Mavin Steal.
Florida Intl,Western Kentucky,12,8,6,28,1,Dennis Mavin made Layup.
Florida Intl,Western Kentucky,12,8,6,40,0,T.J. Price missed Jumper.
Florida Intl,Western Kentucky,12,8,6,40,0,Justin Johnson Offensive Rebound.
Florida Intl,Western Kentucky,12,10,6,43,1,Justin Johnson made Layup.
Florida Intl,Western Kentucky,12,10,7,15,0,Dennis Mavin missed Jumper.
Florida Intl,Western Kentucky,12,10,7,15,0,Florida International Offensive Rebound.
Florida Intl,Western Kentucky,14,10,7,35,1,Hassan Hussein made Jumper. Assisted by Dennis Mavin.
Florida Intl,Western Kentucky,14,10,7,50,0,Foul on Hassan Hussein.
Florida Intl,Western Kentucky,14,12,7,51,1,Avery Patterson made Jumper. Assisted by Trency Jackson.
Florida Intl,Western Kentucky,17,12,8,26,1,Kris Gulley made Three Point Jumper. Assisted by Tashawn Desir.
Florida Intl,Western Kentucky,17,12,8,37,0,George Fant missed Jumper.
Florida Intl,Western Kentucky,17,12,8,37,0,Hassan Hussein Defensive Rebound.
Florida Intl,Western Kentucky,19,12,8,46,1,Adrian Diaz made Layup. Assisted by Dennis Mavin.
Florida Intl,Western Kentucky,19,12,9,8,0,Foul on Tashawn Desir.
Florida Intl,Western Kentucky,19,12,9,8,0,Official TV Timeout
Florida Intl,Western Kentucky,19,12,9,21,0,Avery Patterson Turnover.
Florida Intl,Western Kentucky,19,12,9,32,0,Hassan Hussein missed Jumper.
Florida Intl,Western Kentucky,19,12,9,32,0,Trency Jackson Defensive Rebound.
Florida Intl,Western Kentucky,19,15,9,52,1,Trency Jackson made Three Point Jumper. Assisted by Chris Harrison-Docks.
Florida Intl,Western Kentucky,19,15,10,14,0,Tashawn Desir missed Three Point Jumper.
Florida Intl,Western Kentucky,19,15,10,14,0,Trency Jackson Defensive Rebound.
Florida Intl,Western Kentucky,19,18,10,38,1,Trency Jackson made Three Point Jumper. Assisted by T.J. Price.
Florida Intl,Western Kentucky,19,18,10,57,0,Adrian Diaz missed Layup.
Florida Intl,Western Kentucky,19,18,10,57,0,Ben Lawson Block.
Florida Intl,Western Kentucky,19,18,10,59,0,Adrian Diaz Offensive Rebound.
Florida Intl,Western Kentucky,19,18,11,1,0,Adrian Diaz missed Jumper.
Florida Intl,Western Kentucky,19,18,11,1,0,T.J. Price Defensive Rebound.
Florida Intl,Western Kentucky,19,18,11,13,0,George Fant Turnover.
