Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Fort Wayne,Georgia Tech,0,2,0,28,1,Demarco Cox made Jumper. Assisted by Quinton Stephens.
Fort Wayne,Georgia Tech,0,2,0,49,0,Steve Forbes Turnover.
Fort Wayne,Georgia Tech,0,5,1,5,1,Marcus Georges-Hunt made Three Point Jumper. Assisted by Josh Heath.
Fort Wayne,Georgia Tech,0,5,1,17,0,Steve Forbes missed Layup.
Fort Wayne,Georgia Tech,0,5,1,17,0,Steve Forbes missed Layup.
Fort Wayne,Georgia Tech,0,5,1,17,0,Demarco Cox Defensive Rebound.
Fort Wayne,Georgia Tech,0,5,1,22,0,Foul on Mo Evans.
Fort Wayne,Georgia Tech,0,5,1,31,0,Charles Mitchell Turnover.
Fort Wayne,Georgia Tech,0,5,1,42,0,Mo Evans Turnover.
Fort Wayne,Georgia Tech,0,5,1,43,0,Charles Mitchell Steal.
Fort Wayne,Georgia Tech,0,5,1,43,0,Charles Mitchell Steal.
Fort Wayne,Georgia Tech,0,7,1,45,1,Charles Mitchell made Dunk.
Fort Wayne,Georgia Tech,0,7,1,45,1,Charles Mitchell made Dunk.
Fort Wayne,Georgia Tech,2,7,2,7,1,Isaiah McCray made Layup.
Fort Wayne,Georgia Tech,2,7,2,18,0,Quinton Stephens missed Jumper.
Fort Wayne,Georgia Tech,2,7,2,18,0,Demarco Cox Offensive Rebound.
Fort Wayne,Georgia Tech,2,7,2,20,0,Foul on Isaiah McCray.
Fort Wayne,Georgia Tech,2,7,2,20,0,Demarco Cox missed Free Throw.
Fort Wayne,Georgia Tech,2,7,2,20,0,Georgia Tech Deadball Team Rebound.
Fort Wayne,Georgia Tech,2,7,2,20,0,Demarco Cox missed Free Throw.
Fort Wayne,Georgia Tech,2,7,2,20,0,Steve Forbes Defensive Rebound.
Fort Wayne,Georgia Tech,2,7,2,37,0,Steve Forbes missed Jumper.
Fort Wayne,Georgia Tech,2,7,2,37,0,Steve Forbes missed Jumper.
Fort Wayne,Georgia Tech,2,7,2,37,0,Demarco Cox Defensive Rebound.
Fort Wayne,Georgia Tech,2,7,2,45,0,Marcus Georges-Hunt missed Layup.
Fort Wayne,Georgia Tech,2,7,2,45,0,Joe Edwards Defensive Rebound.
Fort Wayne,Georgia Tech,4,7,2,55,1,Isaiah McCray made Layup.
Fort Wayne,Georgia Tech,4,7,3,13,0,Charles Mitchell missed Layup.
Fort Wayne,Georgia Tech,4,7,3,13,0,Mo Evans Defensive Rebound.
Fort Wayne,Georgia Tech,4,7,3,20,0,Joe Edwards missed Layup.
Fort Wayne,Georgia Tech,4,7,3,20,0,Quinton Stephens Defensive Rebound.
Fort Wayne,Georgia Tech,4,7,3,27,0,Marcus Georges-Hunt Turnover.
Fort Wayne,Georgia Tech,6,7,3,42,1,Steve Forbes made Layup.
Fort Wayne,Georgia Tech,6,9,4,5,1,Robert Sampson made Layup. Assisted by Josh Heath.
Fort Wayne,Georgia Tech,6,9,4,22,0,Steve Forbes missed Jumper.
Fort Wayne,Georgia Tech,6,9,4,22,0,Demarco Cox Block.
Fort Wayne,Georgia Tech,6,9,4,22,0,Demarco Cox Block.
Fort Wayne,Georgia Tech,6,9,4,24,0,Steve Forbes Offensive Rebound.
Fort Wayne,Georgia Tech,6,9,4,24,0,Steve Forbes Offensive Rebound.
Fort Wayne,Georgia Tech,6,9,4,25,0,Steve Forbes missed Jumper.
Fort Wayne,Georgia Tech,6,9,4,25,0,Marcus Georges-Hunt Defensive Rebound.
Fort Wayne,Georgia Tech,6,9,4,25,0,Marcus Georges-Hunt Defensive Rebound.
Fort Wayne,Georgia Tech,6,11,4,33,1,Quinton Stephens made Jumper.
Fort Wayne,Georgia Tech,6,11,5,3,0,Joe Edwards missed Layup.
Fort Wayne,Georgia Tech,6,11,5,3,0,Quinton Stephens Defensive Rebound.
Fort Wayne,Georgia Tech,6,11,5,3,0,Joe Edwards missed Layup.
Fort Wayne,Georgia Tech,6,11,5,3,0,Quinton Stephens Defensive Rebound.
Fort Wayne,Georgia Tech,6,11,5,10,0,Foul on Isaiah McCray.
Fort Wayne,Georgia Tech,6,11,5,10,0,Official TV Timeout
Fort Wayne,Georgia Tech,6,11,5,10,0,Robert Sampson missed Free Throw.
Fort Wayne,Georgia Tech,6,11,5,10,0,Georgia Tech Deadball Team Rebound.
Fort Wayne,Georgia Tech,6,11,5,10,0,Robert Sampson missed Free Throw.
Fort Wayne,Georgia Tech,6,11,5,10,0,Joe Reed Defensive Rebound.
Fort Wayne,Georgia Tech,6,11,5,12,0,Foul on Charles Mitchell.
Fort Wayne,Georgia Tech,6,11,5,27,0,Joe Edwards missed Layup.
Fort Wayne,Georgia Tech,6,11,5,27,0,Joe Edwards missed Layup.
Fort Wayne,Georgia Tech,6,11,5,27,0,Charles Mitchell Defensive Rebound.
Fort Wayne,Georgia Tech,6,11,5,27,0,Charles Mitchell Defensive Rebound.
Fort Wayne,Georgia Tech,6,11,5,32,0,Quinton Stephens missed Jumper.
Fort Wayne,Georgia Tech,6,11,5,32,0,Michael Calder Defensive Rebound.
Fort Wayne,Georgia Tech,9,11,5,44,1,Mo Evans made Three Point Jumper. Assisted by Jure Gunjina.
Fort Wayne,Georgia Tech,9,11,5,44,1,Mo Evans made Three Point Jumper.
Fort Wayne,Georgia Tech,9,13,6,15,1,Charles Mitchell made Jumper. Assisted by Travis Jorgenson.
Fort Wayne,Georgia Tech,11,13,6,40,1,Joe Reed made Layup. Assisted by Michael Calder.
Fort Wayne,Georgia Tech,11,13,6,40,1,Joe Reed made Layup. Assisted by Michael Calder.
Fort Wayne,Georgia Tech,11,13,7,8,0,Travis Jorgenson missed Layup.
Fort Wayne,Georgia Tech,11,13,7,8,0,Michael Calder Defensive Rebound.
Fort Wayne,Georgia Tech,11,13,7,14,0,Michael Calder missed Jumper.
Fort Wayne,Georgia Tech,11,13,7,14,0,Quinton Stephens Defensive Rebound.
Fort Wayne,Georgia Tech,11,15,7,33,1,Charles Mitchell made Layup.
Fort Wayne,Georgia Tech,11,15,7,51,0,Jure Gunjina missed Three Point Jumper.
Fort Wayne,Georgia Tech,11,15,7,51,0,Quinton Stephens Defensive Rebound.
