Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
VMI,George Washington,0,0,0,30,0,Joe McDonald missed Jumper.
VMI,George Washington,0,0,0,30,0,Julian Eleby Defensive Rebound.
VMI,George Washington,2,0,0,45,1,Tim Marshall made Layup.
VMI,George Washington,2,2,0,56,1,Patricio Garino made Layup.
VMI,George Washington,2,2,0,57,0,Foul on Jarid Watson.
VMI,George Washington,2,3,0,57,1,Patricio Garino made Free Throw.
VMI,George Washington,2,3,1,8,0,Tim Marshall Turnover.
VMI,George Washington,2,3,1,24,0,Kevin Larsen missed Jumper.
VMI,George Washington,2,3,1,24,0,Brian Brown Defensive Rebound.
VMI,George Washington,2,3,1,35,0,Brian Brown Turnover.
VMI,George Washington,2,3,1,44,0,Kevin Larsen missed Layup.
VMI,George Washington,2,3,1,44,0,Jarid Watson Block.
VMI,George Washington,2,3,1,45,0,Jarid Watson Defensive Rebound.
VMI,George Washington,2,3,1,50,0,Brian Brown missed Three Point Jumper.
VMI,George Washington,2,3,1,50,0,Patricio Garino Defensive Rebound.
VMI,George Washington,2,3,1,59,0,Foul on Julian Eleby.
VMI,George Washington,2,4,1,59,1,Kethan Savage made Free Throw.
VMI,George Washington,2,5,1,59,1,Kethan Savage made Free Throw.
VMI,George Washington,2,5,2,2,0,QJ Peterson Turnover.
VMI,George Washington,2,5,2,3,0,Joe McDonald Steal.
VMI,George Washington,2,5,2,5,0,Patricio Garino missed Layup.
VMI,George Washington,2,5,2,5,0,Kevin Larsen Offensive Rebound.
VMI,George Washington,2,7,2,8,1,Kevin Larsen made Layup.
VMI,George Washington,2,7,2,13,0,Craig Hinton missed Three Point Jumper.
VMI,George Washington,2,7,2,13,0,VMI Offensive Rebound.
VMI,George Washington,2,7,2,32,0,Foul on Jordan Weethee.
VMI,George Washington,2,7,2,32,0,Jordan Weethee Turnover.
VMI,George Washington,2,7,2,39,0,Joe McDonald missed Jumper.
VMI,George Washington,2,7,2,39,0,Trey Chapman Defensive Rebound.
VMI,George Washington,2,7,2,44,0,Christian Burton missed Three Point Jumper.
VMI,George Washington,2,7,2,44,0,Phillip Anglade Offensive Rebound.
VMI,George Washington,2,7,2,48,0,QJ Peterson missed Three Point Jumper.
