Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Little Rock,Georgia Southern,0,0,0,20,0,Angel Matias missed Jumper.
Little Rock,Georgia Southern,0,0,0,20,0,DeVonte Smith Defensive Rebound.
Little Rock,Georgia Southern,0,0,0,42,0,Roger Woods Turnover.
Little Rock,Georgia Southern,0,0,0,45,0,Mike Hughes Steal.
Little Rock,Georgia Southern,0,0,0,52,0,Mike Hughes Turnover.
Little Rock,Georgia Southern,0,0,1,3,0,Arkansas-Little Rock  Turnover.
Little Rock,Georgia Southern,0,0,1,17,0,Trent Wiedeman missed Jumper.
Little Rock,Georgia Southern,0,0,1,17,0,DeVonte Smith Defensive Rebound.
Little Rock,Georgia Southern,2,0,1,30,1,Gus Leeper made Jumper. Assisted by Josh Hagins.
Little Rock,Georgia Southern,2,0,1,58,0,Trent Wiedeman missed Jumper.
Little Rock,Georgia Southern,2,0,1,58,0,Georgia Southern Offensive Rebound.
Little Rock,Georgia Southern,2,0,1,59,0,Foul on Roger Woods.
Little Rock,Georgia Southern,2,0,2,0,0,Jelani Hewitt missed Three Point Jumper.
Little Rock,Georgia Southern,2,0,2,0,0,Mike Hughes Offensive Rebound.
Little Rock,Georgia Southern,2,2,2,5,1,Jake Allsmiller made Layup. Assisted by Mike Hughes.
Little Rock,Georgia Southern,2,2,2,27,0,Roger Woods missed Jumper.
Little Rock,Georgia Southern,2,2,2,27,0,DeVonte Smith Offensive Rebound.
Little Rock,Georgia Southern,5,2,2,32,1,Ben Dillard made Three Point Jumper. Assisted by DeVonte Smith.
Little Rock,Georgia Southern,5,2,2,33,0,Foul on Jake Allsmiller.
Little Rock,Georgia Southern,6,2,2,33,1,Ben Dillard made Free Throw.
Little Rock,Georgia Southern,6,2,2,46,0,Angel Matias Turnover.
Little Rock,Georgia Southern,6,2,3,2,0,Gus Leeper Turnover.
Little Rock,Georgia Southern,6,2,3,8,0,Jake Allsmiller missed Three Point Jumper.
Little Rock,Georgia Southern,6,2,3,8,0,Angel Matias Offensive Rebound.
