Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Georgia,Kansas State,0,0,0,0,0,Jump Ball won by Georgia
Georgia,Kansas State,0,0,0,19,0,Nemanja Djurisic Turnover.
Georgia,Kansas State,0,2,0,38,1,Nino Williams made Layup. Assisted by Jevon Thomas.
Georgia,Kansas State,0,2,1,1,0,Kenny Gaines missed Jumper.
Georgia,Kansas State,0,2,1,1,0,Justin Edwards Defensive Rebound.
Georgia,Kansas State,0,2,1,11,0,Foul on Juwan Parker.
Georgia,Kansas State,0,2,1,11,0,Justin Edwards missed Three Point Jumper.
Georgia,Kansas State,0,2,1,11,0,Marcus Thornton Defensive Rebound.
Georgia,Kansas State,0,2,1,19,0,Nemanja Djurisic missed Jumper.
Georgia,Kansas State,0,2,1,19,0,Stephen Hurt Defensive Rebound.
Georgia,Kansas State,0,2,1,27,0,Jevon Thomas Turnover.
Georgia,Kansas State,2,2,1,33,1,Charles Mann made Layup. Assisted by Kenny Gaines.
Georgia,Kansas State,2,2,1,43,0,Marcus Foster missed Three Point Jumper.
Georgia,Kansas State,2,2,1,43,0,Marcus Thornton Defensive Rebound.
Georgia,Kansas State,2,2,2,20,0,Charles Mann Turnover.
Georgia,Kansas State,2,2,2,20,0,Jevon Thomas Steal.
Georgia,Kansas State,2,2,2,31,0,Foul on Stephen Hurt.
Georgia,Kansas State,2,2,2,31,0,Stephen Hurt Turnover.
Georgia,Kansas State,2,2,2,43,0,Marcus Thornton missed Jumper.
Georgia,Kansas State,2,2,2,43,0,Nemanja Djurisic Offensive Rebound.
Georgia,Kansas State,2,2,3,8,0,Charles Mann missed Three Point Jumper.
Georgia,Kansas State,2,2,3,8,0,Kansas St Deadball Team Rebound.
Georgia,Kansas State,2,2,3,19,0,Foul on Kenny Gaines.
Georgia,Kansas State,2,2,3,31,0,Justin Edwards Turnover.
Georgia,Kansas State,2,2,3,31,0,Marcus Thornton Steal.
Georgia,Kansas State,2,2,3,38,0,Marcus Thornton Turnover.
Georgia,Kansas State,2,2,3,38,0,Justin Edwards Steal.
Georgia,Kansas State,2,2,3,42,0,Justin Edwards missed Layup.
Georgia,Kansas State,2,2,3,42,0,Jevon Thomas Offensive Rebound.
Georgia,Kansas State,2,2,3,42,0,Jevon Thomas Turnover.
Georgia,Kansas State,5,2,4,3,1,Kenny Gaines made Three Point Jumper. Assisted by Kenny Paul Geno.
Georgia,Kansas State,5,2,4,27,0,Foul on J.J. Frazier.
Georgia,Kansas State,5,2,4,27,0,Official TV Timeout
Georgia,Kansas State,5,2,4,27,0,Jevon Thomas missed Free Throw.
Georgia,Kansas State,5,2,4,27,0,Kansas St Deadball Team Rebound.
Georgia,Kansas State,5,2,4,27,0,Jevon Thomas missed Free Throw.
Georgia,Kansas State,5,2,4,27,0,Nino Williams Offensive Rebound.
Georgia,Kansas State,5,2,4,48,0,Thomas Gipson Turnover.
Georgia,Kansas State,5,2,5,8,0,Foul on Wesley Iwundu.
Georgia,Kansas State,5,2,5,20,0,Charles Mann missed Three Point Jumper.
Georgia,Kansas State,5,2,5,20,0,Marcus Foster Defensive Rebound.
Georgia,Kansas State,5,2,5,32,0,Wesley Iwundu Turnover.
Georgia,Kansas State,5,2,5,32,0,J.J. Frazier Steal.
Georgia,Kansas State,8,2,5,48,1,Charles Mann made Three Point Jumper.
Georgia,Kansas State,8,2,6,8,0,Jevon Thomas Turnover.
Georgia,Kansas State,8,2,6,8,0,J.J. Frazier Steal.
Georgia,Kansas State,8,2,6,14,0,J.J. Frazier Turnover.
Georgia,Kansas State,8,2,6,19,0,Jevon Thomas missed Layup.
Georgia,Kansas State,8,2,6,19,0,Nino Williams Offensive Rebound.
Georgia,Kansas State,8,2,6,24,0,Nino Williams Turnover.
Georgia,Kansas State,8,2,6,24,0,Kenny Paul Geno Steal.
Georgia,Kansas State,8,2,6,54,0,Nemanja Djurisic missed Jumper.
Georgia,Kansas State,8,2,6,54,0,Marcus Foster Defensive Rebound.
Georgia,Kansas State,8,2,7,22,0,Wesley Iwundu missed Three Point Jumper.
Georgia,Kansas State,8,2,7,22,0,Thomas Gipson Offensive Rebound.
Georgia,Kansas State,8,2,7,37,0,Marcus Foster missed Three Point Jumper.
Georgia,Kansas State,8,2,7,37,0,Thomas Gipson Offensive Rebound.
Georgia,Kansas State,8,4,7,37,1,Malek Harris made Two Point Tip Shot.
Georgia,Kansas State,8,4,8,3,0,Kenny Gaines missed Jumper.
Georgia,Kansas State,8,4,8,3,0,Thomas Gipson Defensive Rebound.
Georgia,Kansas State,8,6,8,26,1,Wesley Iwundu made Jumper.
Georgia,Kansas State,8,6,8,44,0,Charles Mann Turnover.
Georgia,Kansas State,8,6,8,54,0,Marcus Foster Turnover.
Georgia,Kansas State,8,6,8,54,0,Juwan Parker Steal.
Georgia,Kansas State,8,6,8,59,0,Marcus Thornton missed Layup.
Georgia,Kansas State,8,6,8,59,0,Wesley Iwundu Defensive Rebound.
Georgia,Kansas State,8,6,9,26,0,Thomas Gipson missed Jumper.
Georgia,Kansas State,8,6,9,26,0,Malek Harris Offensive Rebound.
Georgia,Kansas State,8,8,9,26,1,Malek Harris made Two Point Tip Shot.
Georgia,Kansas State,8,8,9,51,0,Nemanja Djurisic missed Three Point Jumper.
Georgia,Kansas State,8,8,9,51,0,Wesley Iwundu Defensive Rebound.
Georgia,Kansas State,8,8,10,4,0,Technical Foul on Georgia.
Georgia,Kansas State,8,8,10,4,0,Official TV Timeout
Georgia,Kansas State,8,9,10,4,1,Stephen Hurt made Free Throw.
Georgia,Kansas State,8,9,10,4,0,Stephen Hurt missed Free Throw.
Georgia,Kansas State,8,9,10,4,0,Kansas St Deadball Team Rebound.
Georgia,Kansas State,8,9,10,21,0,Foul on Nemanja Djurisic.
Georgia,Kansas State,8,9,10,21,0,Nigel Johnson missed Free Throw.
Georgia,Kansas State,8,9,10,21,0,Kansas St Deadball Team Rebound.
Georgia,Kansas State,8,10,10,21,1,Nigel Johnson made Free Throw.
Georgia,Kansas State,8,10,10,32,0,Juwan Parker Turnover.
Georgia,Kansas State,8,10,10,32,0,Justin Edwards Steal.
Georgia,Kansas State,8,10,10,37,0,Wesley Iwundu missed Jumper.
Georgia,Kansas State,8,10,10,37,0,Kenny Gaines Block.
Georgia,Kansas State,8,10,10,37,0,Malek Harris Offensive Rebound.
Georgia,Kansas State,8,10,10,57,0,Justin Edwards missed Layup.
Georgia,Kansas State,8,10,10,57,0,Justin Edwards Offensive Rebound.
Georgia,Kansas State,8,10,11,23,0,Nigel Johnson missed Jumper.
Georgia,Kansas State,8,10,11,23,0,Marcus Thornton Defensive Rebound.
Georgia,Kansas State,8,10,11,38,0,Foul on Justin Edwards.
Georgia,Kansas State,8,10,11,47,0,Marcus Thornton missed Jumper.
Georgia,Kansas State,8,10,11,47,0,Marcus Thornton Offensive Rebound.
Georgia,Kansas State,8,10,11,54,0,Kenny Gaines missed Three Point Jumper.
Georgia,Kansas State,8,10,11,54,0,Georgia Deadball Team Rebound.
Georgia,Kansas State,8,10,11,58,0,Foul on Jevon Thomas.
Georgia,Kansas State,8,10,12,9,0,Yante Maten missed Layup.
Georgia,Kansas State,8,10,12,9,0,Stephen Hurt Block.
Georgia,Kansas State,8,10,12,9,0,Justin Edwards Defensive Rebound.
Georgia,Kansas State,8,10,12,22,0,Stephen Hurt Turnover.
Georgia,Kansas State,8,10,12,22,0,Official TV Timeout
Georgia,Kansas State,10,10,12,44,1,Marcus Thornton made Layup.
Georgia,Kansas State,10,10,13,3,0,Stephen Hurt missed Jumper.
Georgia,Kansas State,10,10,13,3,0,Nino Williams Offensive Rebound.
Georgia,Kansas State,10,10,13,3,0,Nino Williams missed Jumper.
Georgia,Kansas State,10,10,13,3,0,Charles Mann Defensive Rebound.
Georgia,Kansas State,10,10,13,16,0,Foul on Nino Williams.
