Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Gonzaga,Saint Mary's,0,0,0,0,0,Jump Ball won by Saint Mary's
Gonzaga,Saint Mary's,0,2,0,22,1,Brad Waldow made Jumper.
Gonzaga,Saint Mary's,0,2,0,45,0,Byron Wesley missed Layup.
Gonzaga,Saint Mary's,0,2,0,45,0,Byron Wesley Offensive Rebound.
Gonzaga,Saint Mary's,0,2,0,56,0,Kyle Wiltjer missed Jumper.
Gonzaga,Saint Mary's,0,2,0,56,0,Kerry Carter Defensive Rebound.
Gonzaga,Saint Mary's,0,4,1,27,1,Brad Waldow made Jumper.
Gonzaga,Saint Mary's,2,4,1,46,1,Przemek Karnowski made Layup.
Gonzaga,Saint Mary's,2,7,2,5,1,Desmond Simmons made Three Point Jumper. Assisted by Brad Waldow.
Gonzaga,Saint Mary's,4,7,2,28,1,Kyle Wiltjer made Layup.
Gonzaga,Saint Mary's,4,7,2,47,0,Aaron Bright missed Layup.
Gonzaga,Saint Mary's,4,7,2,47,0,Przemek Karnowski Defensive Rebound.
Gonzaga,Saint Mary's,4,7,2,53,0,Kyle Wiltjer missed Three Point Jumper.
Gonzaga,Saint Mary's,4,7,2,53,0,Desmond Simmons Defensive Rebound.
Gonzaga,Saint Mary's,4,7,3,4,0,Garrett Jackson missed Jumper.
Gonzaga,Saint Mary's,4,7,3,4,0,Przemek Karnowski Block.
Gonzaga,Saint Mary's,4,7,3,4,0,Garrett Jackson Offensive Rebound.
Gonzaga,Saint Mary's,4,10,3,21,1,Kerry Carter made Three Point Jumper. Assisted by Aaron Bright.
Gonzaga,Saint Mary's,4,10,3,34,0,Gary Bell Jr. Turnover.
Gonzaga,Saint Mary's,4,10,3,59,0,Brad Waldow missed Layup.
Gonzaga,Saint Mary's,4,10,3,59,0,Garrett Jackson Offensive Rebound.
Gonzaga,Saint Mary's,4,12,4,3,1,Garrett Jackson made Layup.
Gonzaga,Saint Mary's,4,12,4,24,0,Kyle Wiltjer missed Three Point Jumper.
Gonzaga,Saint Mary's,4,12,4,24,0,Desmond Simmons Defensive Rebound.
Gonzaga,Saint Mary's,4,14,4,47,1,Brad Waldow made Jumper.
Gonzaga,Saint Mary's,4,14,4,53,0,Gonzaga  Timeout
Gonzaga,Saint Mary's,6,14,5,6,1,Byron Wesley made Layup. Assisted by Kyle Wiltjer.
Gonzaga,Saint Mary's,6,14,5,26,0,Brad Waldow missed Layup.
Gonzaga,Saint Mary's,6,14,5,26,0,Kyle Wiltjer Defensive Rebound.
Gonzaga,Saint Mary's,6,14,5,30,0,Foul on Kerry Carter.
Gonzaga,Saint Mary's,6,14,5,30,0,Official TV Timeout
Gonzaga,Saint Mary's,6,14,5,30,0,Foul on Kerry Carter.
Gonzaga,Saint Mary's,8,14,5,32,1,Kevin Pangos made Jumper.
Gonzaga,Saint Mary's,8,17,5,57,1,Aaron Bright made Three Point Jumper. Assisted by Desmond Simmons.
Gonzaga,Saint Mary's,11,17,6,18,1,Kyle Dranginis made Three Point Jumper. Assisted by Kevin Pangos.
Gonzaga,Saint Mary's,11,17,6,42,0,Garrett Jackson missed Three Point Jumper.
Gonzaga,Saint Mary's,11,17,6,42,0,Kyle Wiltjer Defensive Rebound.
Gonzaga,Saint Mary's,11,17,6,59,0,Domantas Sabonis missed Layup.
Gonzaga,Saint Mary's,11,17,6,59,0,Desmond Simmons Defensive Rebound.
Gonzaga,Saint Mary's,11,17,7,0,0,Desmond Simmons Turnover.
Gonzaga,Saint Mary's,11,17,7,0,0,Kyle Wiltjer Steal.
Gonzaga,Saint Mary's,11,17,7,2,0,Kevin Pangos missed Three Point Jumper.
Gonzaga,Saint Mary's,11,17,7,2,0,Desmond Simmons Defensive Rebound.
Gonzaga,Saint Mary's,11,17,7,26,0,Aaron Bright missed Jumper.
Gonzaga,Saint Mary's,11,17,7,26,0,Domantas Sabonis Defensive Rebound.
Gonzaga,Saint Mary's,11,17,7,40,0,Kyle Wiltjer missed Jumper.
Gonzaga,Saint Mary's,11,17,7,40,0,Domantas Sabonis Offensive Rebound.
Gonzaga,Saint Mary's,11,17,7,45,0,Domantas Sabonis missed Layup.
