Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Green Bay,Wisconsin,0,0,0,0,0,Jump Ball won by Green Bay
Green Bay,Wisconsin,2,0,0,14,1,Keifer Sykes made Jumper.
Green Bay,Wisconsin,2,0,0,40,0,Sam Dekker Turnover.
Green Bay,Wisconsin,2,0,0,40,0,Jordan Fouse Steal.
Green Bay,Wisconsin,2,0,0,49,0,Kenneth Lowe missed Layup.
Green Bay,Wisconsin,2,0,0,49,0,Frank Kaminsky Block.
Green Bay,Wisconsin,2,0,0,49,0,Nigel Hayes Defensive Rebound.
Green Bay,Wisconsin,2,2,1,8,1,Sam Dekker made Layup.
Green Bay,Wisconsin,2,2,1,18,0,Keifer Sykes missed Dunk.
Green Bay,Wisconsin,2,2,1,18,0,Nigel Hayes Defensive Rebound.
Green Bay,Wisconsin,2,2,1,40,0,Sam Dekker missed Jumper.
Green Bay,Wisconsin,2,2,1,40,0,Kenneth Lowe Block.
Green Bay,Wisconsin,2,2,1,40,0,Jordan Fouse Defensive Rebound.
Green Bay,Wisconsin,4,2,1,44,1,Greg Mays made Dunk. Assisted by Keifer Sykes.
Green Bay,Wisconsin,4,2,2,5,0,Sam Dekker missed Three Point Jumper.
Green Bay,Wisconsin,4,2,2,5,0,Nigel Hayes Offensive Rebound.
Green Bay,Wisconsin,4,2,2,16,0,Foul on Kenneth Lowe.
Green Bay,Wisconsin,4,2,2,16,0,Nigel Hayes missed Free Throw.
Green Bay,Wisconsin,4,2,2,16,0,Wisconsin Deadball Team Rebound.
Green Bay,Wisconsin,4,3,2,16,1,Nigel Hayes made Free Throw.
Green Bay,Wisconsin,4,3,2,29,0,Foul on Frank Kaminsky.
Green Bay,Wisconsin,4,3,2,29,0,Greg Mays missed Free Throw.
Green Bay,Wisconsin,4,3,2,29,0,Green Bay Deadball Team Rebound.
Green Bay,Wisconsin,5,3,2,29,1,Greg Mays made Free Throw.
Green Bay,Wisconsin,5,3,2,45,0,Nigel Hayes missed Layup.
Green Bay,Wisconsin,5,3,2,45,0,Kenneth Lowe Block.
Green Bay,Wisconsin,5,3,2,45,0,Nigel Hayes Offensive Rebound.
