Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Albany,Hartford,0,0,0,25,0,John Carroll missed Layup.
Albany,Hartford,0,0,0,25,0,Sam Rowley Block.
Albany,Hartford,0,0,0,27,0,Hartford Offensive Rebound.
Albany,Hartford,0,0,0,33,0,Mark Nwakamma missed Jumper.
Albany,Hartford,0,0,0,33,0,Richard Peters Defensive Rebound.
Albany,Hartford,0,0,1,6,0,Evan Singletary missed Three Point Jumper.
Albany,Hartford,0,0,1,6,0,John Carroll Defensive Rebound.
Albany,Hartford,0,0,1,8,0,Foul on Sam Rowley.
Albany,Hartford,0,0,1,22,0,Mark Nwakamma missed Jumper.
Albany,Hartford,0,0,1,22,0,Richard Peters Defensive Rebound.
Albany,Hartford,2,0,1,33,1,Sam Rowley made Layup. Assisted by Ray Sanders.
Albany,Hartford,2,3,1,49,1,Mark Nwakamma made Three Point Jumper. Assisted by Taylor Dyson.
Albany,Hartford,2,3,2,6,0,Ray Sanders Turnover.
Albany,Hartford,2,3,2,26,0,Mark Nwakamma Turnover.
Albany,Hartford,2,3,2,46,0,Dallas Ennema missed Three Point Jumper.
Albany,Hartford,2,3,2,46,0,Sam Rowley Offensive Rebound.
Albany,Hartford,2,3,2,48,0,Sam Rowley missed Layup.
Albany,Hartford,2,3,2,48,0,Taylor Dyson Defensive Rebound.
Albany,Hartford,2,3,2,59,0,Taylor Dyson missed Three Point Jumper.
Albany,Hartford,2,3,2,59,0,John Carroll Offensive Rebound.
Albany,Hartford,2,3,3,2,0,John Carroll Turnover.
Albany,Hartford,2,3,3,3,0,Sam Rowley Steal.
Albany,Hartford,2,3,3,19,0,Foul on Ray Sanders.
Albany,Hartford,2,3,3,19,0,Ray Sanders Turnover.
Albany,Hartford,2,3,3,38,0,Taylor Dyson missed Three Point Jumper.
Albany,Hartford,2,3,3,38,0,Richard Peters Defensive Rebound.
Albany,Hartford,2,3,3,55,0,Richard Peters missed Jumper.
Albany,Hartford,2,3,3,55,0,Corban Wroe Defensive Rebound.
Albany,Hartford,2,3,4,5,0,Corban Wroe Turnover.
Albany,Hartford,2,3,4,5,0,Official TV Timeout
Albany,Hartford,2,3,4,18,0,Foul on Taylor Dyson.
Albany,Hartford,4,3,4,31,1,Sam Rowley made Jumper. Assisted by Evan Singletary.
Albany,Hartford,4,3,5,8,0,Justin Graham missed Three Point Jumper.
Albany,Hartford,4,3,5,8,0,Evan Singletary Defensive Rebound.
Albany,Hartford,6,3,5,15,1,Ray Sanders made Layup. Assisted by Evan Singletary.
Albany,Hartford,6,5,5,41,1,Corban Wroe made Layup. Assisted by Nate Sikma.
Albany,Hartford,6,5,6,6,0,Mike Rowley missed Three Point Jumper.
Albany,Hartford,6,5,6,6,0,Mark Nwakamma Defensive Rebound.
Albany,Hartford,6,5,6,30,0,Justin Graham missed Three Point Jumper.
Albany,Hartford,6,5,6,30,0,Evan Singletary Defensive Rebound.
Albany,Hartford,6,5,6,38,0,Foul on Justin Graham.
Albany,Hartford,7,5,6,38,1,Sam Rowley made Free Throw.
Albany,Hartford,8,5,6,38,1,Sam Rowley made Free Throw.
Albany,Hartford,8,5,7,3,0,John Carroll missed Jumper.
Albany,Hartford,8,5,7,3,0,Evan Singletary Defensive Rebound.
Albany,Hartford,8,5,7,24,0,Evan Singletary missed Jumper.
Albany,Hartford,8,5,7,24,0,Greig Stire Offensive Rebound.
Albany,Hartford,8,5,7,49,0,Greig Stire Turnover.
Albany,Hartford,8,7,8,10,1,John Carroll made Jumper. Assisted by Nate Sikma.
Albany,Hartford,8,7,8,26,0,Foul on Taylor Dyson.
Albany,Hartford,8,7,8,26,0,Official TV Timeout
Albany,Hartford,10,7,8,42,1,Evan Singletary made Jumper.
Albany,Hartford,10,9,9,2,1,John Carroll made Jumper.
Albany,Hartford,13,9,9,24,1,Dallas Ennema made Three Point Jumper. Assisted by Mike Rowley.
Albany,Hartford,13,9,9,45,0,John Carroll missed Layup.
Albany,Hartford,13,9,9,45,0,Justin Graham Offensive Rebound.
Albany,Hartford,13,9,10,10,0,Jack Hobbs missed Three Point Jumper.
Albany,Hartford,13,9,10,10,0,Dallas Ennema Defensive Rebound.
Albany,Hartford,13,9,10,43,0,Wheeler Baker missed Layup.
Albany,Hartford,13,9,10,43,0,Wheeler Baker Offensive Rebound.
Albany,Hartford,13,9,10,47,0,Dallas Ennema missed Jumper.
Albany,Hartford,13,9,10,47,0,Hartford Defensive Rebound.
Albany,Hartford,13,12,11,8,1,Yolonzo Moore II made Three Point Jumper. Assisted by Nate Sikma.
Albany,Hartford,15,12,11,33,1,Sam Rowley made Jumper.
Albany,Hartford,15,14,11,41,1,Corban Wroe made Layup.
Albany,Hartford,15,14,12,4,0,Foul on Mark Nwakamma.
Albany,Hartford,15,14,12,4,0,Official TV Timeout
Albany,Hartford,15,14,12,11,0,Ray Sanders missed Three Point Jumper.
Albany,Hartford,15,14,12,11,0,Nate Sikma Defensive Rebound.
Albany,Hartford,15,14,12,36,0,Yolonzo Moore II missed Three Point Jumper.
Albany,Hartford,15,14,12,36,0,Sam Rowley Defensive Rebound.
Albany,Hartford,15,14,12,50,0,Mike Rowley Turnover.
Albany,Hartford,15,14,12,51,0,Yolonzo Moore II Steal.
Albany,Hartford,15,14,12,54,0,Yolonzo Moore II Turnover.
Albany,Hartford,15,14,12,55,0,Evan Singletary Steal.
Albany,Hartford,15,14,13,0,0,Ray Sanders missed Layup.
Albany,Hartford,15,14,13,0,0,Nate Sikma Block.
Albany,Hartford,15,14,13,0,0,Mike Rowley Offensive Rebound.
Albany,Hartford,15,14,13,2,0,Foul on Corban Wroe.
Albany,Hartford,16,14,13,2,1,Mike Rowley made Free Throw.
Albany,Hartford,17,14,13,2,1,Mike Rowley made Free Throw.
Albany,Hartford,17,14,13,15,0,Foul on Mark Nwakamma.
Albany,Hartford,17,14,13,15,0,Mark Nwakamma Turnover.
Albany,Hartford,17,14,13,34,0,Dallas Ennema missed Jumper.
Albany,Hartford,17,14,13,34,0,Justin Graham Defensive Rebound.
Albany,Hartford,17,14,13,44,0,Corban Wroe missed Three Point Jumper.
Albany,Hartford,17,14,13,44,0,Sam Rowley Defensive Rebound.
Albany,Hartford,19,14,14,9,1,Dallas Ennema made Jumper.
Albany,Hartford,19,14,14,28,0,John Carroll missed Three Point Jumper.
Albany,Hartford,19,14,14,28,0,Sam Rowley Defensive Rebound.
Albany,Hartford,21,14,14,58,1,Richard Peters made Layup. Assisted by Ray Sanders.
Albany,Hartford,21,17,15,18,1,Nate Sikma made Three Point Jumper. Assisted by Corban Wroe.
Albany,Hartford,21,17,15,41,0,Sam Rowley missed Jumper.
Albany,Hartford,21,17,15,41,0,Justin Graham Defensive Rebound.
Albany,Hartford,21,17,15,50,0,Nate Sikma missed Three Point Jumper.
Albany,Hartford,21,17,15,50,0,Sam Rowley Defensive Rebound.
Albany,Hartford,23,17,16,13,1,Richard Peters made Layup. Assisted by Dallas Ennema.
Albany,Hartford,23,17,16,23,0,Official TV Timeout
Albany,Hartford,23,20,16,47,1,Wes Cole made Three Point Jumper. Assisted by Mark Nwakamma.
Albany,Hartford,23,20,16,48,0,Hartford  Timeout
Albany,Hartford,23,20,16,59,0,Wheeler Baker missed Three Point Jumper.
Albany,Hartford,23,20,16,59,0,Mike Rowley Offensive Rebound.
Albany,Hartford,23,20,17,0,0,Foul on Taylor Dyson.
Albany,Hartford,24,20,17,0,1,Mike Rowley made Free Throw.
Albany,Hartford,25,20,17,0,1,Mike Rowley made Free Throw.
Albany,Hartford,25,20,17,23,0,Yolonzo Moore II missed Layup.
Albany,Hartford,25,20,17,23,0,Evan Singletary Defensive Rebound.
Albany,Hartford,25,20,17,51,0,Dallas Ennema missed Jumper.
Albany,Hartford,25,20,17,52,0,Albany Offensive Rebound.
Albany,Hartford,27,20,18,12,1,Sam Rowley made Jumper.
Albany,Hartford,27,20,18,27,0,Corban Wroe missed Three Point Jumper.
Albany,Hartford,27,20,18,29,0,Hartford Offensive Rebound.
Albany,Hartford,27,20,18,33,0,Foul on Corban Wroe.
Albany,Hartford,27,20,18,33,0,Corban Wroe Turnover.
Albany,Hartford,27,20,19,1,0,Evan Singletary missed Layup.
Albany,Hartford,27,20,19,1,0,Wes Cole Defensive Rebound.
Albany,Hartford,27,20,19,8,0,Justin Graham Turnover.
Albany,Hartford,27,20,19,13,0,Albany  Timeout
Albany,Hartford,27,20,19,24,0,Dallas Ennema missed Three Point Jumper.
Albany,Hartford,27,20,19,24,0,John Carroll Defensive Rebound.
Albany,Hartford,27,20,19,54,0,Wes Cole missed Three Point Jumper.
Albany,Hartford,27,20,19,55,0,Albany Defensive Rebound.
Albany,Hartford,27,20,19,59,0,Evan Singletary missed Three Point Jumper.
Albany,Hartford,27,20,19,59,0,Ray Sanders Offensive Rebound.
Albany,Hartford,27,20,20,0,0,End of 1st half
Albany,Hartford,27,20,20,32,0,Evan Singletary missed Three Point Jumper.
Albany,Hartford,27,20,20,32,0,Yolonzo Moore II Defensive Rebound.
Albany,Hartford,27,23,20,39,1,Taylor Dyson made Three Point Jumper. Assisted by Yolonzo Moore II.
Albany,Hartford,27,23,21,8,0,Foul on Evan Singletary.
Albany,Hartford,27,23,21,8,0,Evan Singletary Turnover.
Albany,Hartford,27,25,21,26,1,Mark Nwakamma made Jumper.
Albany,Hartford,27,25,21,50,0,Foul on Corban Wroe.
Albany,Hartford,28,25,21,50,1,Richard Peters made Free Throw.
Albany,Hartford,29,25,21,50,1,Richard Peters made Free Throw.
Albany,Hartford,29,25,22,17,0,Wes Cole missed Layup.
Albany,Hartford,29,25,22,17,0,Sam Rowley Block.
Albany,Hartford,29,25,22,17,0,Hartford Offensive Rebound.
Albany,Hartford,29,27,22,23,1,Mark Nwakamma made Layup.
Albany,Hartford,29,27,22,43,0,Sam Rowley missed Layup.
Albany,Hartford,29,27,22,43,0,John Carroll Block.
Albany,Hartford,29,27,22,44,0,John Carroll Defensive Rebound.
Albany,Hartford,29,27,22,58,0,Foul on Mark Nwakamma.
Albany,Hartford,29,27,22,58,0,Mark Nwakamma Turnover.
Albany,Hartford,31,27,23,17,1,Sam Rowley made Layup.
Albany,Hartford,31,27,23,37,0,Nate Sikma missed Three Point Jumper.
Albany,Hartford,31,27,23,37,0,Dallas Ennema Defensive Rebound.
Albany,Hartford,33,27,23,59,1,Evan Singletary made Jumper.
Albany,Hartford,33,27,24,8,0,Wes Cole missed Three Point Jumper.
Albany,Hartford,33,27,24,8,0,Ray Sanders Defensive Rebound.
Albany,Hartford,33,27,24,29,0,Foul on Nate Sikma.
Albany,Hartford,33,27,24,29,0,Official TV Timeout
Albany,Hartford,34,27,24,29,1,Richard Peters made Free Throw.
