Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
North Carolina Central,Howard,0,0,0,26,0,Anthony McDonald missed Three Point Jumper.
North Carolina Central,Howard,0,0,0,26,0,Jordan Parks Offensive Rebound.
North Carolina Central,Howard,0,0,0,43,0,Nimrod Hilliard missed Jumper.
North Carolina Central,Howard,0,0,0,43,0,Marcel Boyd Defensive Rebound.
North Carolina Central,Howard,0,0,1,0,0,James Carlton Turnover.
North Carolina Central,Howard,0,0,1,0,0,Foul on James Carlton.
North Carolina Central,Howard,0,0,1,14,0,Nimrod Hilliard Turnover.
North Carolina Central,Howard,0,0,1,15,0,James Daniel Iii Steal.
North Carolina Central,Howard,0,0,1,20,0,James Daniel Iii Turnover.
North Carolina Central,Howard,0,0,1,21,0,Dante Holmes Steal.
North Carolina Central,Howard,0,0,1,26,0,Nimrod Hilliard Turnover.
North Carolina Central,Howard,0,0,1,28,0,Damon Collins Steal.
North Carolina Central,Howard,0,0,1,43,0,Damon Collins missed Jumper.
North Carolina Central,Howard,0,0,1,43,0,Jordan Parks Defensive Rebound.
North Carolina Central,Howard,0,0,1,51,0,Foul on James Miller.
North Carolina Central,Howard,0,0,2,19,0,Dante Holmes missed Three Point Jumper.
North Carolina Central,Howard,0,0,2,19,0,Damon Collins Defensive Rebound.
North Carolina Central,Howard,0,0,2,37,0,Foul on Karamo Jawara.
North Carolina Central,Howard,0,0,2,55,0,James Miller missed Layup.
North Carolina Central,Howard,0,0,2,55,0,Jordan Parks Defensive Rebound.
North Carolina Central,Howard,0,0,3,2,0,Foul on Damon Collins.
North Carolina Central,Howard,1,0,3,2,1,Nimrod Hilliard made Free Throw.
North Carolina Central,Howard,2,0,3,2,1,Nimrod Hilliard made Free Throw.
North Carolina Central,Howard,2,0,3,12,0,James Carlton missed Jumper.
North Carolina Central,Howard,2,0,3,12,0,Karamo Jawara Defensive Rebound.
North Carolina Central,Howard,2,0,3,25,0,Jordan Parks missed Jumper.
North Carolina Central,Howard,2,0,3,25,0,Marcel Boyd Block.
North Carolina Central,Howard,2,0,3,27,0,Marcel Boyd Defensive Rebound.
North Carolina Central,Howard,2,0,3,36,0,Foul on Nimrod Hilliard.
North Carolina Central,Howard,2,1,3,36,1,James Daniel Iii made Free Throw.
North Carolina Central,Howard,2,1,3,36,0,James Daniel Iii missed Free Throw.
North Carolina Central,Howard,2,1,3,36,0,Karamo Jawara Defensive Rebound.
North Carolina Central,Howard,4,1,4,4,1,Karamo Jawara made Layup. Assisted by Dante Holmes.
North Carolina Central,Howard,4,1,4,24,0,James Daniel Iii missed Three Point Jumper.
North Carolina Central,Howard,4,1,4,24,0,Karamo Jawara Defensive Rebound.
North Carolina Central,Howard,4,1,4,33,0,Anthony McDonald missed Three Point Jumper.
North Carolina Central,Howard,4,1,4,33,0,James Miller Defensive Rebound.
North Carolina Central,Howard,4,3,4,41,1,James Miller made Layup.
North Carolina Central,Howard,6,3,5,8,1,Jordan Parks made Jumper. Assisted by Anthony McDonald.
North Carolina Central,Howard,6,3,5,32,0,James Daniel Iii Turnover.
North Carolina Central,Howard,6,3,5,32,0,Official TV Timeout
North Carolina Central,Howard,6,3,5,54,0,Anthony McDonald missed Three Point Jumper.
North Carolina Central,Howard,6,3,5,54,0,Dante Holmes Offensive Rebound.
North Carolina Central,Howard,6,3,6,11,0,Nimrod Hilliard Turnover.
North Carolina Central,Howard,6,3,6,12,0,James Daniel Iii Steal.
North Carolina Central,Howard,6,6,6,34,1,James Carlton made Three Point Jumper. Assisted by James Daniel Iii.
North Carolina Central,Howard,6,6,6,54,0,Nimrod Hilliard Turnover.
North Carolina Central,Howard,6,6,7,10,0,Foul on Jordan Parks.
North Carolina Central,Howard,6,6,7,20,0,Jared Norsworthy missed Layup.
North Carolina Central,Howard,6,6,7,20,0,James Carlton Offensive Rebound.
North Carolina Central,Howard,6,6,7,23,0,James Carlton missed Jumper.
North Carolina Central,Howard,6,6,7,23,0,James Miller Offensive Rebound.
North Carolina Central,Howard,6,8,7,26,1,James Miller made Dunk.
North Carolina Central,Howard,6,8,7,40,0,Jordan Parks Turnover.
North Carolina Central,Howard,6,8,7,54,0,Foul on Jeremiah Ingram.
North Carolina Central,Howard,6,8,7,54,0,James Daniel Iii missed Free Throw.
North Carolina Central,Howard,6,8,7,54,0,Howard Deadball Team Rebound.
North Carolina Central,Howard,6,9,7,54,1,James Daniel Iii made Free Throw.
North Carolina Central,Howard,6,9,8,5,0,Foul on James Daniel Iii.
North Carolina Central,Howard,6,9,8,5,0,Official TV Timeout
North Carolina Central,Howard,6,9,8,13,0,Jeremiah Ingram Turnover.
North Carolina Central,Howard,6,9,8,14,0,James Carlton Steal.
North Carolina Central,Howard,6,9,8,30,0,James Carlton Turnover.
North Carolina Central,Howard,6,9,8,50,0,Dante Holmes Turnover.
North Carolina Central,Howard,6,9,9,7,0,Damon Collins Turnover.
North Carolina Central,Howard,9,9,9,24,1,Anthony McDonald made Three Point Jumper. Assisted by Nimrod Hilliard.
North Carolina Central,Howard,9,9,9,40,0,James Miller Turnover.
North Carolina Central,Howard,9,9,9,40,0,Foul on James Miller.
North Carolina Central,Howard,12,9,9,56,1,Anthony McDonald made Three Point Jumper. Assisted by Nimrod Hilliard.
North Carolina Central,Howard,12,9,10,14,0,James Carlton missed Three Point Jumper.
North Carolina Central,Howard,12,9,10,14,0,Damon Collins Offensive Rebound.
North Carolina Central,Howard,12,9,10,30,0,James Carlton missed Jumper.
North Carolina Central,Howard,12,9,10,30,0,Anthony McDonald Defensive Rebound.
North Carolina Central,Howard,12,9,10,32,0,Foul on Jared Norsworthy.
North Carolina Central,Howard,14,9,10,59,1,Jordan Parks made Layup. Assisted by Dante Holmes.
North Carolina Central,Howard,14,9,11,31,0,James Daniel Iii Turnover.
North Carolina Central,Howard,14,9,11,32,0,Dante Holmes Steal.
North Carolina Central,Howard,14,9,11,35,0,Dante Holmes missed Layup.
North Carolina Central,Howard,14,9,11,35,0,Dante Holmes Offensive Rebound.
North Carolina Central,Howard,16,9,11,38,1,Dante Holmes made Layup.
North Carolina Central,Howard,16,9,11,40,0,Howard  Timeout
North Carolina Central,Howard,16,9,11,51,0,Damon Collins missed Layup.
North Carolina Central,Howard,16,9,11,51,0,Howard Offensive Rebound.
North Carolina Central,Howard,16,9,12,6,0,Foul on Dante Holmes.
North Carolina Central,Howard,16,9,12,6,0,Official TV Timeout
North Carolina Central,Howard,16,9,12,8,0,Howard  Timeout
North Carolina Central,Howard,16,9,12,17,0,James Daniel Iii missed Three Point Jumper.
North Carolina Central,Howard,16,9,12,17,0,James Carlton Offensive Rebound.
North Carolina Central,Howard,16,11,12,19,1,James Carlton made Two Point Tip Shot.
North Carolina Central,Howard,16,11,12,34,0,Dante Holmes missed Three Point Jumper.
North Carolina Central,Howard,16,11,12,34,0,Jordan Parks Offensive Rebound.
North Carolina Central,Howard,18,11,12,37,1,Jordan Parks made Two Point Tip Shot.
North Carolina Central,Howard,18,11,12,56,0,Damon Collins missed Jumper.
North Carolina Central,Howard,18,11,12,56,0,Jordan Parks Defensive Rebound.
North Carolina Central,Howard,21,11,13,4,1,Anthony McDonald made Three Point Jumper. Assisted by Nimrod Hilliard.
North Carolina Central,Howard,21,11,13,29,0,Foul on Jordan Parks.
North Carolina Central,Howard,21,11,13,43,0,James Daniel Iii missed Three Point Jumper.
North Carolina Central,Howard,21,11,13,43,0,Damon Collins Offensive Rebound.
North Carolina Central,Howard,21,13,13,53,1,James Daniel Iii made Jumper.
North Carolina Central,Howard,21,13,14,7,0,Karamo Jawara Turnover.
North Carolina Central,Howard,21,13,14,8,0,James Miller Steal.
North Carolina Central,Howard,21,13,14,17,0,Foul on Enoch Hood.
North Carolina Central,Howard,21,14,14,17,1,James Daniel Iii made Free Throw.
North Carolina Central,Howard,21,15,14,17,1,James Daniel Iii made Free Throw.
North Carolina Central,Howard,21,15,14,37,0,Karamo Jawara Turnover.
North Carolina Central,Howard,21,17,14,52,1,James Daniel Iii made Jumper.
North Carolina Central,Howard,21,17,14,55,0,North Carolina Central  Timeout
North Carolina Central,Howard,21,17,15,20,0,Anthony McDonald missed Three Point Jumper.
North Carolina Central,Howard,21,17,15,20,0,Oliver Ellison Defensive Rebound.
North Carolina Central,Howard,21,17,15,34,0,James Daniel Iii missed Three Point Jumper.
North Carolina Central,Howard,21,17,15,34,0,North Carolina Central Defensive Rebound.
North Carolina Central,Howard,21,17,15,54,0,Foul on Oliver Ellison.
North Carolina Central,Howard,22,17,15,54,1,Nimrod Hilliard made Free Throw.
North Carolina Central,Howard,23,17,15,54,1,Nimrod Hilliard made Free Throw.
North Carolina Central,Howard,23,17,16,14,0,James Miller missed Three Point Jumper.
North Carolina Central,Howard,23,17,16,14,0,Damon Collins Offensive Rebound.
North Carolina Central,Howard,23,17,16,24,0,Foul on Dante Holmes.
North Carolina Central,Howard,23,17,16,24,0,Official TV Timeout
North Carolina Central,Howard,23,18,16,24,1,Damon Collins made Free Throw.
North Carolina Central,Howard,23,19,16,24,1,Damon Collins made Free Throw.
North Carolina Central,Howard,23,19,16,52,0,Karamo Jawara missed Three Point Jumper.
North Carolina Central,Howard,23,19,16,52,0,Dante Holmes Offensive Rebound.
North Carolina Central,Howard,23,19,16,54,0,Foul on Damon Collins.
North Carolina Central,Howard,23,19,16,54,0,Dante Holmes missed Free Throw.
North Carolina Central,Howard,23,19,16,54,0,James Carlton Defensive Rebound.
North Carolina Central,Howard,23,19,17,10,0,James Carlton missed Layup.
North Carolina Central,Howard,23,19,17,10,0,Karamo Jawara Defensive Rebound.
North Carolina Central,Howard,23,19,17,19,0,Nimrod Hilliard Turnover.
North Carolina Central,Howard,23,19,17,37,0,James Daniel Iii missed Jumper.
North Carolina Central,Howard,23,19,17,37,0,Anthony McDonald Defensive Rebound.
North Carolina Central,Howard,23,19,17,55,0,Nimrod Hilliard missed Three Point Jumper.
North Carolina Central,Howard,23,19,17,55,0,Dante Holmes Offensive Rebound.
North Carolina Central,Howard,25,19,17,59,1,Dante Holmes made Layup.
North Carolina Central,Howard,25,19,18,40,0,James Miller missed Layup.
North Carolina Central,Howard,25,19,18,40,0,Enoch Hood Defensive Rebound.
North Carolina Central,Howard,25,19,18,48,0,Anthony McDonald missed Three Point Jumper.
North Carolina Central,Howard,25,19,18,48,0,North Carolina Central Offensive Rebound.
North Carolina Central,Howard,25,19,19,1,0,Foul on Jared Norsworthy.
North Carolina Central,Howard,26,19,19,1,1,Nimrod Hilliard made Free Throw.
