Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Texas Tech,Iowa State,0,0,0,0,0,Jump Ball won by Texas Tech
Texas Tech,Iowa State,0,0,0,34,0,Randy Onwuasor missed Three Point Jumper.
Texas Tech,Iowa State,0,0,0,34,0,Monte Morris Defensive Rebound.
Texas Tech,Iowa State,0,0,0,53,0,Jameel McKay Turnover.
Texas Tech,Iowa State,0,0,0,53,0,Devaugntah Williams Steal.
Texas Tech,Iowa State,0,0,0,58,0,Foul on Zach Smith.
Texas Tech,Iowa State,0,0,0,58,0,Zach Smith Turnover.
Texas Tech,Iowa State,0,0,1,5,0,Georges Niang Turnover.
Texas Tech,Iowa State,0,0,1,5,0,Randy Onwuasor Steal.
Texas Tech,Iowa State,0,0,1,19,0,Norense Odiase Turnover.
Texas Tech,Iowa State,0,0,1,27,0,Naz Long missed Three Point Jumper.
Texas Tech,Iowa State,0,0,1,27,0,Randy Onwuasor Defensive Rebound.
Texas Tech,Iowa State,0,0,1,55,0,Robert Turner missed Three Point Jumper.
Texas Tech,Iowa State,0,0,1,55,0,Georges Niang Defensive Rebound.
Texas Tech,Iowa State,0,3,2,9,1,Naz Long made Three Point Jumper. Assisted by Jameel McKay.
Texas Tech,Iowa State,0,3,2,43,0,Devaugntah Williams Turnover.
Texas Tech,Iowa State,0,3,2,43,0,Jameel McKay Steal.
Texas Tech,Iowa State,0,3,2,51,0,Georges Niang Turnover.
Texas Tech,Iowa State,0,3,2,51,0,Devaugntah Williams Steal.
Texas Tech,Iowa State,0,3,2,57,0,Foul on Naz Long.
Texas Tech,Iowa State,0,3,2,57,0,Randy Onwuasor missed Free Throw.
Texas Tech,Iowa State,0,3,2,57,0,Texas Tech Deadball Team Rebound.
Texas Tech,Iowa State,0,3,2,57,0,Randy Onwuasor missed Free Throw.
Texas Tech,Iowa State,0,3,2,57,0,Georges Niang Defensive Rebound.
Texas Tech,Iowa State,0,3,3,5,0,Naz Long Turnover.
Texas Tech,Iowa State,0,3,3,33,0,Devaugntah Williams missed Three Point Jumper.
Texas Tech,Iowa State,0,3,3,33,0,Devaugntah Williams Offensive Rebound.
Texas Tech,Iowa State,2,3,3,40,1,Devaugntah Williams made Layup.
Texas Tech,Iowa State,2,3,3,51,0,Georges Niang missed Layup.
Texas Tech,Iowa State,2,3,3,51,0,Aaron Ross Block.
Texas Tech,Iowa State,2,3,3,51,0,Devaugntah Williams Defensive Rebound.
Texas Tech,Iowa State,2,3,4,12,0,Isaiah Manderson Turnover.
Texas Tech,Iowa State,2,3,4,12,0,Monte Morris Steal.
Texas Tech,Iowa State,2,5,4,21,1,Jameel McKay made Dunk. Assisted by Georges Niang.
Texas Tech,Iowa State,2,5,4,44,0,Isaiah Manderson missed Jumper.
Texas Tech,Iowa State,2,5,4,44,0,Jameel McKay Defensive Rebound.
Texas Tech,Iowa State,2,7,4,53,1,Monte Morris made Jumper.
Texas Tech,Iowa State,2,7,5,28,0,Foul on Georges Niang.
Texas Tech,Iowa State,2,7,5,28,0,Official TV Timeout
Texas Tech,Iowa State,2,7,5,45,0,Aaron Ross missed Jumper.
Texas Tech,Iowa State,2,7,5,45,0,Clark Lammert Offensive Rebound.
Texas Tech,Iowa State,2,7,5,56,0,Aaron Ross missed Three Point Jumper.
Texas Tech,Iowa State,2,7,5,56,0,Clark Lammert Offensive Rebound.
Texas Tech,Iowa State,2,7,5,56,0,Clark Lammert missed Jumper.
Texas Tech,Iowa State,2,7,5,56,0,Matt Thomas Defensive Rebound.
Texas Tech,Iowa State,2,7,6,14,0,Foul on Toddrick Gotcher.
Texas Tech,Iowa State,2,10,6,24,1,Dustin Hogue made Three Point Jumper. Assisted by Bryce Dejean-Jones.
Texas Tech,Iowa State,2,10,6,47,0,Aaron Ross missed Jumper.
Texas Tech,Iowa State,2,10,6,47,0,Jameel McKay Block.
Texas Tech,Iowa State,2,10,6,47,0,Bryce Dejean-Jones Defensive Rebound.
