Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Jacksonville State,Belmont,0,2,0,13,1,Evan Bradds made Layup.
Jacksonville State,Belmont,2,2,0,35,1,Darion Rackley made Jumper.
Jacksonville State,Belmont,2,2,0,56,0,Evan Bradds Turnover.
Jacksonville State,Belmont,4,2,1,2,1,Darion Rackley made Layup.
Jacksonville State,Belmont,4,2,1,19,0,Foul on Darion Rackley.
Jacksonville State,Belmont,4,2,1,27,0,Evan Bradds Turnover.
Jacksonville State,Belmont,4,2,1,27,0,Jamal Hunter Steal.
Jacksonville State,Belmont,4,2,1,45,0,Darion Rackley missed Jumper.
Jacksonville State,Belmont,4,2,1,45,0,Taylor Barnette Defensive Rebound.
Jacksonville State,Belmont,4,2,1,55,0,Amanze Egekeze missed Jumper.
Jacksonville State,Belmont,4,2,1,55,0,Evan Bradds Offensive Rebound.
Jacksonville State,Belmont,4,4,1,58,1,Evan Bradds made Jumper.
Jacksonville State,Belmont,4,4,2,15,0,JaQuail Townser missed Three Point Jumper.
Jacksonville State,Belmont,4,4,2,15,0,Belmont Defensive Rebound.
Jacksonville State,Belmont,4,7,2,35,1,Amanze Egekeze made Three Point Jumper. Assisted by Craig Bradshaw.
Jacksonville State,Belmont,4,7,2,55,0,D.J. Felder missed Jumper.
Jacksonville State,Belmont,4,7,2,55,0,Taylor Barnette Defensive Rebound.
Jacksonville State,Belmont,4,7,3,4,0,Reece Chamberlain missed Three Point Jumper.
Jacksonville State,Belmont,4,7,3,4,0,Evan Bradds Offensive Rebound.
Jacksonville State,Belmont,4,10,3,16,1,Amanze Egekeze made Three Point Jumper. Assisted by Reece Chamberlain.
Jacksonville State,Belmont,4,10,3,22,0,Jacksonville St  Timeout
Jacksonville State,Belmont,4,10,3,37,0,Foul on Holden Mobley.
Jacksonville State,Belmont,4,10,3,53,0,Darion Rackley missed Three Point Jumper.
Jacksonville State,Belmont,4,10,3,53,0,Avery Moore Offensive Rebound.
Jacksonville State,Belmont,4,10,3,58,0,Avery Moore missed Three Point Jumper.
Jacksonville State,Belmont,4,10,3,58,0,Reece Chamberlain Defensive Rebound.
