Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Truett-McConnell,Jacksonville,0,0,0,25,0,Andris Misters missed Jumper.
Truett-McConnell,Jacksonville,0,0,0,25,0,Antwon Clayton Offensive Rebound.
Truett-McConnell,Jacksonville,0,0,0,39,0,BJ Edwards missed Jumper.
Truett-McConnell,Jacksonville,0,0,0,39,0,J'Quayveon Williams Defensive Rebound.
Truett-McConnell,Jacksonville,3,0,1,7,1,JR Hurst made Three Point Jumper. Assisted by Rudy Deaza.
Truett-McConnell,Jacksonville,3,0,1,27,0,Kori Babineaux missed Jumper.
Truett-McConnell,Jacksonville,3,0,1,27,0,J'Quayveon Williams Defensive Rebound.
Truett-McConnell,Jacksonville,3,0,2,2,0,Xavier Holland missed Three Point Jumper.
Truett-McConnell,Jacksonville,3,0,2,2,0,Andretti Loyd Offensive Rebound.
Truett-McConnell,Jacksonville,3,0,2,16,0,Foul on BJ Edwards.
Truett-McConnell,Jacksonville,3,0,2,26,0,Andretti Loyd missed Jumper.
Truett-McConnell,Jacksonville,3,0,2,26,0,Andris Misters Defensive Rebound.
Truett-McConnell,Jacksonville,3,0,2,32,0,Andris Misters Turnover.
Truett-McConnell,Jacksonville,5,0,2,59,1,J'Quayveon Williams made Jumper. Assisted by JR Hurst.
Truett-McConnell,Jacksonville,5,2,3,21,1,Kori Babineaux made Layup. Assisted by BJ Edwards.
Truett-McConnell,Jacksonville,5,2,3,35,0,Foul on Tim Gill.
Truett-McConnell,Jacksonville,5,2,3,45,0,Foul on Kori Babineaux.
Truett-McConnell,Jacksonville,5,2,4,2,0,Rudy Deaza Turnover.
Truett-McConnell,Jacksonville,5,2,4,3,0,Antwon Clayton Steal.
Truett-McConnell,Jacksonville,5,4,4,6,1,Kori Babineaux made Dunk. Assisted by J.R. Holder.
Truett-McConnell,Jacksonville,8,4,4,23,1,Xavier Holland made Three Point Jumper.
Truett-McConnell,Jacksonville,8,4,4,37,0,Foul on J'Quayveon Williams.
Truett-McConnell,Jacksonville,8,4,4,37,0,Official TV Timeout
Truett-McConnell,Jacksonville,8,6,4,48,1,J.R. Holder made Layup. Assisted by Kori Babineaux.
Truett-McConnell,Jacksonville,8,6,5,9,0,Foul on J.R. Holder.
Truett-McConnell,Jacksonville,8,6,5,20,0,JR Hurst missed Three Point Jumper.
Truett-McConnell,Jacksonville,8,6,5,20,0,Andris Misters Defensive Rebound.
Truett-McConnell,Jacksonville,8,6,5,35,0,Kori Babineaux missed Layup.
Truett-McConnell,Jacksonville,8,6,5,35,0,Kori Babineaux Offensive Rebound.
Truett-McConnell,Jacksonville,8,8,5,42,1,Kori Babineaux made Layup.
Truett-McConnell,Jacksonville,8,8,5,56,0,Andretti Loyd missed Three Point Jumper.
Truett-McConnell,Jacksonville,8,8,5,56,0,Omar El Manasterly Defensive Rebound.
Truett-McConnell,Jacksonville,8,8,6,4,0,Foul on J.R. Holder.
Truett-McConnell,Jacksonville,8,8,6,4,0,J.R. Holder Turnover.
Truett-McConnell,Jacksonville,8,8,6,15,0,Foul on David Campbell.
Truett-McConnell,Jacksonville,8,8,6,15,0,David Campbell Turnover.
Truett-McConnell,Jacksonville,8,8,6,20,0,Kori Babineaux missed Layup.
Truett-McConnell,Jacksonville,8,8,6,20,0,David Campbell Defensive Rebound.
Truett-McConnell,Jacksonville,8,8,6,26,0,Daniel Beausejour missed Three Point Jumper.
Truett-McConnell,Jacksonville,8,8,6,26,0,Antwon Clayton Defensive Rebound.
Truett-McConnell,Jacksonville,8,8,6,34,0,Foul on Marquise Bumpas.
Truett-McConnell,Jacksonville,8,9,6,34,1,Antwon Clayton made Free Throw.
Truett-McConnell,Jacksonville,8,10,6,34,1,Antwon Clayton made Free Throw.
Truett-McConnell,Jacksonville,10,10,6,57,1,J'Quayveon Williams made Jumper. Assisted by Xavier Holland.
Truett-McConnell,Jacksonville,10,10,7,30,0,Kori Babineaux Turnover.
