Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Loyola (Chi),UT San Antonio,2,0,0,15,1,Milton Doyle made Jumper.
Loyola (Chi),UT San Antonio,2,0,0,36,0,Jeromie Hill missed Three Point Jumper.
Loyola (Chi),UT San Antonio,2,0,0,36,0,Loyola (IL) Defensive Rebound.
Loyola (Chi),UT San Antonio,4,0,0,51,1,Devon Turk made Jumper. Assisted by Joe Crisman.
Loyola (Chi),UT San Antonio,4,0,1,27,0,Keon Lewis missed Three Point Jumper.
Loyola (Chi),UT San Antonio,4,0,1,27,0,Milton Doyle Defensive Rebound.
Loyola (Chi),UT San Antonio,4,0,1,35,0,Devon Turk missed Three Point Jumper.
Loyola (Chi),UT San Antonio,4,0,1,35,0,Milton Doyle Offensive Rebound.
Loyola (Chi),UT San Antonio,4,0,1,58,0,Devon Turk missed Layup.
Loyola (Chi),UT San Antonio,4,0,1,58,0,Ryan Bowie Block.
Loyola (Chi),UT San Antonio,4,0,1,59,0,Kaj-Bjrn Sherman Defensive Rebound.
Loyola (Chi),UT San Antonio,4,2,2,7,1,Jeromie Hill made Layup. Assisted by Keon Lewis.
Loyola (Chi),UT San Antonio,4,2,2,28,0,Christian Thomas missed Jumper.
Loyola (Chi),UT San Antonio,4,2,2,28,0,Jeromie Hill Defensive Rebound.
Loyola (Chi),UT San Antonio,4,2,2,37,0,Ryan Bowie missed Three Point Jumper.
Loyola (Chi),UT San Antonio,4,2,2,37,0,Devon Turk Defensive Rebound.
Loyola (Chi),UT San Antonio,4,2,2,45,0,Devon Turk missed Three Point Jumper.
Loyola (Chi),UT San Antonio,4,2,2,45,0,Montel James Offensive Rebound.
Loyola (Chi),UT San Antonio,6,2,2,54,1,Christian Thomas made Layup. Assisted by Devon Turk.
Loyola (Chi),UT San Antonio,6,2,3,3,0,Foul on Christian Thomas.
Loyola (Chi),UT San Antonio,6,4,3,11,1,Jeromie Hill made Layup. Assisted by Keon Lewis.
Loyola (Chi),UT San Antonio,6,4,3,34,0,Joe Crisman missed Three Point Jumper.
Loyola (Chi),UT San Antonio,6,4,3,34,0,UT San Antonio Defensive Rebound.
Loyola (Chi),UT San Antonio,6,7,3,59,1,Jeromie Hill made Three Point Jumper. Assisted by Keon Lewis.
Loyola (Chi),UT San Antonio,9,7,4,29,1,Milton Doyle made Three Point Jumper. Assisted by Montel James.
Loyola (Chi),UT San Antonio,9,9,4,49,1,Larry Lewis Jr made Layup.
Loyola (Chi),UT San Antonio,9,9,5,2,0,Montel James Turnover.
Loyola (Chi),UT San Antonio,9,9,5,2,0,Official TV Timeout
Loyola (Chi),UT San Antonio,9,9,5,6,0,Foul on Milton Doyle.
Loyola (Chi),UT San Antonio,9,9,5,15,0,Foul on Ben Richardson.
Loyola (Chi),UT San Antonio,9,12,5,35,1,James Ringholt made Three Point Jumper. Assisted by Keon Lewis.
Loyola (Chi),UT San Antonio,12,12,6,11,1,Jeff White made Three Point Jumper.
Loyola (Chi),UT San Antonio,12,12,6,29,0,Keon Lewis missed Jumper.
Loyola (Chi),UT San Antonio,12,12,6,29,0,Ben Richardson Defensive Rebound.
Loyola (Chi),UT San Antonio,12,12,6,29,0,Ben Richardson Defensive Rebound.
Loyola (Chi),UT San Antonio,12,12,6,39,0,Donte Ingram missed Three Point Jumper.
Loyola (Chi),UT San Antonio,12,12,6,39,0,Donte Ingram missed Three Point Jumper.
Loyola (Chi),UT San Antonio,12,12,6,39,0,Larry Lewis Jr Defensive Rebound.
Loyola (Chi),UT San Antonio,12,12,6,39,0,Larry Lewis Jr Defensive Rebound.
Loyola (Chi),UT San Antonio,12,12,6,59,0,James Ringholt Turnover.
Loyola (Chi),UT San Antonio,12,12,7,0,0,Christian Thomas Steal.
Loyola (Chi),UT San Antonio,14,12,7,4,1,Donte Ingram made Layup. Assisted by Ben Richardson.
Loyola (Chi),UT San Antonio,14,12,7,4,0,Foul on Christian Wilson.
Loyola (Chi),UT San Antonio,15,12,7,4,1,Donte Ingram made Free Throw.
Loyola (Chi),UT San Antonio,15,12,7,15,0,Christian Wilson missed Jumper.
Loyola (Chi),UT San Antonio,15,12,7,15,0,Ben Richardson Block.
Loyola (Chi),UT San Antonio,15,12,7,17,0,Donte Ingram Defensive Rebound.
Loyola (Chi),UT San Antonio,15,12,7,26,0,Ben Richardson missed Three Point Jumper.
Loyola (Chi),UT San Antonio,15,12,7,26,0,Christian Wilson Defensive Rebound.
Loyola (Chi),UT San Antonio,15,12,8,0,0,Christian Wilson missed Jumper.
Loyola (Chi),UT San Antonio,15,12,8,0,0,Ryan Bowie Offensive Rebound.
Loyola (Chi),UT San Antonio,15,12,8,3,0,Official TV Timeout
Loyola (Chi),UT San Antonio,15,12,8,3,0,Foul on Ben Richardson.
Loyola (Chi),UT San Antonio,15,14,8,16,1,Kaj-Bjrn Sherman made Jumper.
Loyola (Chi),UT San Antonio,15,14,8,52,0,Christian Thomas missed Three Point Jumper.
Loyola (Chi),UT San Antonio,15,14,8,52,0,Donte Ingram Offensive Rebound.
Loyola (Chi),UT San Antonio,15,14,9,11,0,Christian Thomas missed Layup.
Loyola (Chi),UT San Antonio,15,14,9,11,0,James Ringholt Block.
Loyola (Chi),UT San Antonio,15,14,9,12,0,Larry Lewis Jr Defensive Rebound.
Loyola (Chi),UT San Antonio,15,16,9,42,1,Christian Wilson made Layup.
Loyola (Chi),UT San Antonio,17,16,9,57,1,Earl Peterson made Jumper.
Loyola (Chi),UT San Antonio,17,19,10,9,1,James Ringholt made Three Point Jumper. Assisted by Larry Lewis Jr.
Loyola (Chi),UT San Antonio,17,19,10,32,0,Jeff White missed Jumper.
Loyola (Chi),UT San Antonio,17,19,10,32,0,Ryan Bowie Defensive Rebound.
Loyola (Chi),UT San Antonio,17,19,10,39,0,Foul on Donte Ingram.
Loyola (Chi),UT San Antonio,17,19,11,13,0,James Ringholt Turnover.
Loyola (Chi),UT San Antonio,17,19,11,13,0,Joe Crisman Steal.
Loyola (Chi),UT San Antonio,17,19,11,13,0,Foul on James Ringholt.
Loyola (Chi),UT San Antonio,19,19,11,30,1,Milton Doyle made Jumper.
Loyola (Chi),UT San Antonio,19,21,11,44,1,Jeromie Hill made Jumper.
Loyola (Chi),UT San Antonio,19,21,12,3,0,Milton Doyle missed Three Point Jumper.
