Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Loyola Marymount,Pacific,0,0,0,4,0,David Humphries missed Three Point Jumper.
Loyola Marymount,Pacific,0,0,0,4,0,Marin Mornar Offensive Rebound.
Loyola Marymount,Pacific,0,0,0,10,0,Marin Mornar missed Jumper.
Loyola Marymount,Pacific,0,0,0,10,0,Gabriel Aguirre Defensive Rebound.
Loyola Marymount,Pacific,0,0,0,19,0,Alec Kobre missed Three Point Jumper.
Loyola Marymount,Pacific,0,0,0,19,0,Godwin Okonji Defensive Rebound.
Loyola Marymount,Pacific,0,0,0,42,0,Marin Mornar missed Three Point Jumper.
Loyola Marymount,Pacific,0,0,0,42,0,Ray Bowles Defensive Rebound.
Loyola Marymount,Pacific,0,0,1,7,0,Alec Kobre missed Three Point Jumper.
Loyola Marymount,Pacific,0,0,1,18,0,Jacob Lampkin Offensive Rebound.
Loyola Marymount,Pacific,0,0,1,19,0,Jacob Lampkin missed Layup.
Loyola Marymount,Pacific,0,0,1,19,0,Marin Mornar Defensive Rebound.
Loyola Marymount,Pacific,0,0,1,34,0,David Humphries missed Jumper.
Loyola Marymount,Pacific,0,0,1,34,0,Joshua Spiers Offensive Rebound.
Loyola Marymount,Pacific,2,0,1,54,1,Godwin Okonji made Jumper. Assisted by Chase Flint.
Loyola Marymount,Pacific,2,3,2,13,1,Alec Kobre made Three Point Jumper. Assisted by Ray Bowles.
Loyola Marymount,Pacific,2,3,2,36,0,Godwin Okonji missed Jumper.
Loyola Marymount,Pacific,2,3,2,36,0,Ray Bowles Defensive Rebound.
Loyola Marymount,Pacific,2,5,2,45,1,Alec Kobre made Jumper.
Loyola Marymount,Pacific,2,5,3,0,0,Chase Flint missed Three Point Jumper.
Loyola Marymount,Pacific,2,5,3,0,0,Marin Mornar Offensive Rebound.
Loyola Marymount,Pacific,4,5,3,10,1,Godwin Okonji made Dunk. Assisted by Chase Flint.
Loyola Marymount,Pacific,4,5,3,31,0,Dulani Robinson Turnover.
Loyola Marymount,Pacific,4,5,3,44,0,Foul on Jacob Lampkin.
Loyola Marymount,Pacific,5,5,3,45,1,Marin Mornar made Free Throw.
Loyola Marymount,Pacific,6,5,3,45,1,Marin Mornar made Free Throw.
Loyola Marymount,Pacific,6,5,4,1,0,Jacob Lampkin missed Layup.
Loyola Marymount,Pacific,6,5,4,1,0,Marin Mornar Defensive Rebound.
Loyola Marymount,Pacific,6,5,4,10,0,Marin Mornar Turnover.
Loyola Marymount,Pacific,6,5,4,10,0,Official TV Timeout
Loyola Marymount,Pacific,6,5,4,22,0,Pacific  Turnover.
Loyola Marymount,Pacific,6,5,4,41,0,Evan Payne Turnover.
Loyola Marymount,Pacific,6,7,4,52,1,T.J. Wallace made Jumper.
Loyola Marymount,Pacific,6,7,5,2,0,Marin Mornar missed Jumper.
Loyola Marymount,Pacific,6,7,5,2,0,Evan Payne Offensive Rebound.
Loyola Marymount,Pacific,6,7,5,6,0,Evan Payne missed Two Point Tip Shot.
Loyola Marymount,Pacific,6,7,5,6,0,Eric Thompson Defensive Rebound.
Loyola Marymount,Pacific,6,7,5,30,0,Gabriel Aguirre Turnover.
Loyola Marymount,Pacific,6,7,5,31,0,Godwin Okonji Steal.
Loyola Marymount,Pacific,6,7,5,46,0,Godwin Okonji missed Layup.
Loyola Marymount,Pacific,6,7,5,46,0,Eric Thompson Defensive Rebound.
Loyola Marymount,Pacific,6,10,6,2,1,T.J. Wallace made Three Point Jumper. Assisted by Ray Bowles.
Loyola Marymount,Pacific,6,10,6,24,0,Foul on David Taylor.
Loyola Marymount,Pacific,9,10,6,43,1,David Humphries made Three Point Jumper. Assisted by Evan Payne.
Loyola Marymount,Pacific,9,10,7,12,0,Ray Bowles missed Jumper.
Loyola Marymount,Pacific,9,10,7,12,0,Evan Payne Defensive Rebound.
Loyola Marymount,Pacific,9,10,7,17,0,Evan Payne Turnover.
Loyola Marymount,Pacific,9,10,7,17,0,Pacific  Timeout
Loyola Marymount,Pacific,9,10,7,30,0,Dulani Robinson missed Jumper.
Loyola Marymount,Pacific,9,10,7,30,0,Pacific Offensive Rebound.
Loyola Marymount,Pacific,9,13,7,56,1,Alec Kobre made Three Point Jumper. Assisted by Eric Thompson.
Loyola Marymount,Pacific,9,13,8,15,0,Chase Flint Turnover.
Loyola Marymount,Pacific,9,13,8,15,0,Official TV Timeout
Loyola Marymount,Pacific,9,15,8,37,1,Eric Thompson made Layup. Assisted by T.J. Wallace.
Loyola Marymount,Pacific,9,15,9,11,0,Godwin Okonji missed Jumper.
Loyola Marymount,Pacific,9,15,9,11,0,Jacob Lampkin Defensive Rebound.
Loyola Marymount,Pacific,9,15,9,25,0,Alec Kobre missed Three Point Jumper.
Loyola Marymount,Pacific,9,15,9,25,0,Chase Flint Defensive Rebound.
Loyola Marymount,Pacific,9,15,9,40,0,Matt Hayes missed Three Point Jumper.
Loyola Marymount,Pacific,9,15,9,40,0,T.J. Wallace Defensive Rebound.
Loyola Marymount,Pacific,9,15,9,58,0,Eric Thompson missed Jumper.
Loyola Marymount,Pacific,9,15,9,58,0,Marin Mornar Block.
Loyola Marymount,Pacific,9,15,10,0,0,Eric Thompson Offensive Rebound.
Loyola Marymount,Pacific,9,15,10,2,0,Eric Thompson missed Jumper.
Loyola Marymount,Pacific,9,15,10,2,0,Matt Hayes Defensive Rebound.
Loyola Marymount,Pacific,9,15,10,23,0,David Humphries missed Jumper.
Loyola Marymount,Pacific,9,15,10,23,0,Jacob Lampkin Block.
Loyola Marymount,Pacific,9,15,10,25,0,Marin Mornar Offensive Rebound.
Loyola Marymount,Pacific,9,15,10,33,0,Godwin Okonji missed Jumper.
Loyola Marymount,Pacific,9,15,10,33,0,Matt Hayes Offensive Rebound.
Loyola Marymount,Pacific,9,15,10,45,0,Marin Mornar missed Jumper.
Loyola Marymount,Pacific,9,15,10,45,0,Alec Kobre Defensive Rebound.
Loyola Marymount,Pacific,9,15,11,13,0,Alec Kobre missed Three Point Jumper.
Loyola Marymount,Pacific,9,15,11,13,0,T.J. Wallace Offensive Rebound.
Loyola Marymount,Pacific,9,15,11,19,0,Foul on Simon Krajcovic.
Loyola Marymount,Pacific,9,15,11,31,0,Gabriel Aguirre missed Jumper.
Loyola Marymount,Pacific,9,15,11,31,0,Petr Herman Block.
Loyola Marymount,Pacific,9,15,11,33,0,Jacob Lampkin Offensive Rebound.
Loyola Marymount,Pacific,9,15,11,38,0,Jacob Lampkin missed Layup.
Loyola Marymount,Pacific,9,15,11,38,0,Devin Wyatt Defensive Rebound.
Loyola Marymount,Pacific,11,15,11,45,1,Evan Payne made Jumper.
Loyola Marymount,Pacific,11,15,12,11,0,Dulani Robinson missed Three Point Jumper.
Loyola Marymount,Pacific,11,15,12,11,0,Dulani Robinson Offensive Rebound.
Loyola Marymount,Pacific,11,18,12,25,1,David Taylor made Three Point Jumper. Assisted by Dulani Robinson.
Loyola Marymount,Pacific,11,18,12,29,0,Loyola Marymount  Timeout
Loyola Marymount,Pacific,11,18,12,37,0,Simon Krajcovic Turnover.
Loyola Marymount,Pacific,11,18,12,38,0,Dulani Robinson Steal.
Loyola Marymount,Pacific,11,20,12,41,1,Dulani Robinson made Layup.
Loyola Marymount,Pacific,11,20,12,45,0,Official TV Timeout
Loyola Marymount,Pacific,11,20,13,1,0,Marin Mornar missed Jumper.
Loyola Marymount,Pacific,11,20,13,1,0,Jacob Lampkin Defensive Rebound.
Loyola Marymount,Pacific,11,22,13,22,1,Dulani Robinson made Layup.
Loyola Marymount,Pacific,11,22,13,33,0,David Humphries missed Three Point Jumper.
Loyola Marymount,Pacific,11,22,13,33,0,David Taylor Defensive Rebound.
Loyola Marymount,Pacific,11,22,13,40,0,David Taylor Turnover.
Loyola Marymount,Pacific,11,22,13,41,0,David Humphries Steal.
Loyola Marymount,Pacific,13,22,13,45,1,Marin Mornar made Layup. Assisted by Chase Flint.
Loyola Marymount,Pacific,13,22,14,23,0,David Taylor missed Three Point Jumper.
Loyola Marymount,Pacific,13,22,14,23,0,Marin Mornar Defensive Rebound.
