Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Maine,Northern Illinois,0,0,0,19,0,Darrell Bowie missed Jumper.
Maine,Northern Illinois,0,0,0,19,0,Jordan Threloff Offensive Rebound.
Maine,Northern Illinois,0,0,0,23,0,Jordan Threloff missed Layup.
Maine,Northern Illinois,0,0,0,23,0,Zarko Valjarevic Block.
Maine,Northern Illinois,0,0,0,25,0,Marko Pirovic Defensive Rebound.
Maine,Northern Illinois,0,0,0,45,0,Zarko Valjarevic missed Three Point Jumper.
Maine,Northern Illinois,0,0,0,45,0,Darrell Bowie Defensive Rebound.
Maine,Northern Illinois,0,0,1,8,0,Aaric Armstead missed Jumper.
Maine,Northern Illinois,0,0,1,8,0,Zarko Valjarevic Defensive Rebound.
Maine,Northern Illinois,2,0,1,32,1,Aaron Calixte made Layup.
Maine,Northern Illinois,2,0,1,32,0,Foul on Aaric Armstead.
Maine,Northern Illinois,2,0,1,32,0,Aaron Calixte missed Free Throw.
Maine,Northern Illinois,2,0,1,32,0,Aaric Armstead Defensive Rebound.
Maine,Northern Illinois,2,0,1,50,0,Darrell Bowie missed Layup.
Maine,Northern Illinois,2,0,1,50,0,Jordan Threloff Offensive Rebound.
Maine,Northern Illinois,2,0,2,1,0,Aaric Armstead Turnover.
Maine,Northern Illinois,2,0,2,2,0,Zarko Valjarevic Steal.
Maine,Northern Illinois,2,0,2,4,0,Aaron Calixte missed Layup.
Maine,Northern Illinois,2,0,2,4,0,Travon Baker Defensive Rebound.
Maine,Northern Illinois,2,2,2,11,1,Darrell Bowie made Layup.
Maine,Northern Illinois,2,2,2,38,0,Aaron Calixte Turnover.
Maine,Northern Illinois,2,2,2,52,0,Aaric Armstead Turnover.
Maine,Northern Illinois,2,2,3,3,0,Zarko Valjarevic Turnover.
Maine,Northern Illinois,2,2,3,3,0,Foul on Zarko Valjarevic.
Maine,Northern Illinois,2,2,3,15,0,Foul on Till Gloger.
Maine,Northern Illinois,2,2,3,19,0,Travon Baker missed Three Point Jumper.
Maine,Northern Illinois,2,2,3,19,0,Marko Pirovic Defensive Rebound.
Maine,Northern Illinois,2,2,3,51,0,Aaron Calixte missed Jumper.
