Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Maine,UMass Lowell,0,3,0,14,1,Lance Crawford made Three Point Jumper. Assisted by Brad Schaub.
Maine,UMass Lowell,0,3,0,40,0,Troy Reid-Knight missed Three Point Jumper.
Maine,UMass Lowell,0,3,0,40,0,Marco Banegas-Flores Defensive Rebound.
Maine,UMass Lowell,0,5,1,0,1,Lance Crawford made Jumper. Assisted by Kerry Weldon.
Maine,UMass Lowell,2,5,1,23,1,Till Gloger made Layup.
Maine,UMass Lowell,2,5,1,36,0,Lance Crawford missed Layup.
Maine,UMass Lowell,2,5,1,36,0,UMass Lowell Offensive Rebound.
Maine,UMass Lowell,2,5,1,49,0,Brad Schaub missed Three Point Jumper.
Maine,UMass Lowell,2,5,1,49,0,Kerry Weldon Offensive Rebound.
Maine,UMass Lowell,2,5,1,59,0,Foul on Troy Reid-Knight.
Maine,UMass Lowell,2,5,2,9,0,Marco Banegas-Flores Turnover.
Maine,UMass Lowell,4,5,2,28,1,Till Gloger made Layup. Assisted by Kevin Little.
Maine,UMass Lowell,4,5,2,44,0,Marco Banegas-Flores missed Three Point Jumper.
Maine,UMass Lowell,4,5,2,44,0,Till Gloger Defensive Rebound.
Maine,UMass Lowell,4,5,2,51,0,Kevin Little missed Three Point Jumper.
Maine,UMass Lowell,4,5,2,51,0,Chad Holley Defensive Rebound.
Maine,UMass Lowell,4,5,3,1,0,Chad Holley Turnover.
Maine,UMass Lowell,4,5,3,25,0,Zarko Valjarevic missed Three Point Jumper.
Maine,UMass Lowell,4,5,3,25,0,Lance Crawford Defensive Rebound.
Maine,UMass Lowell,4,7,3,32,1,Marco Banegas-Flores made Layup.
Maine,UMass Lowell,4,7,3,47,0,Garvey Melmed Turnover.
Maine,UMass Lowell,4,7,3,48,0,Brad Schaub Steal.
Maine,UMass Lowell,4,7,3,56,0,Lance Crawford missed Layup.
Maine,UMass Lowell,4,7,3,56,0,Kerry Weldon Offensive Rebound.
Maine,UMass Lowell,4,7,4,0,0,Kerry Weldon Turnover.
Maine,UMass Lowell,4,7,4,1,0,Troy Reid-Knight Steal.
Maine,UMass Lowell,4,7,4,2,0,Kevin Little missed Layup.
Maine,UMass Lowell,4,7,4,2,0,Troy Reid-Knight Offensive Rebound.
Maine,UMass Lowell,4,7,4,2,0,Official TV Timeout
Maine,UMass Lowell,4,7,4,2,0,Foul on Brad Schaub.
Maine,UMass Lowell,4,7,4,2,0,Troy Reid-Knight missed Free Throw.
Maine,UMass Lowell,4,7,4,2,0,Maine Deadball Team Rebound.
Maine,UMass Lowell,5,7,4,2,1,Troy Reid-Knight made Free Throw.
Maine,UMass Lowell,5,10,4,12,1,Chad Holley made Three Point Jumper. Assisted by Lance Crawford.
Maine,UMass Lowell,7,10,4,25,1,Till Gloger made Layup. Assisted by Troy Reid-Knight.
Maine,UMass Lowell,7,13,4,51,1,Lance Crawford made Three Point Jumper.
Maine,UMass Lowell,7,13,5,10,0,Till Gloger Turnover.
Maine,UMass Lowell,7,13,5,25,0,Chad Holley missed Three Point Jumper.
Maine,UMass Lowell,7,13,5,25,0,Till Gloger Defensive Rebound.
Maine,UMass Lowell,10,13,5,39,1,Zarko Valjarevic made Three Point Jumper. Assisted by Till Gloger.
Maine,UMass Lowell,10,15,6,16,1,Lance Crawford made Jumper.
Maine,UMass Lowell,10,15,6,33,0,Troy Reid-Knight missed Three Point Jumper.
Maine,UMass Lowell,10,15,6,33,0,Chad Holley Defensive Rebound.
Maine,UMass Lowell,10,18,6,38,1,Matt Harris made Three Point Jumper. Assisted by Chad Holley.
Maine,UMass Lowell,10,18,6,45,0,Maine  Timeout
Maine,UMass Lowell,13,18,7,1,1,Zarko Valjarevic made Three Point Jumper. Assisted by Aaron Calixte.
Maine,UMass Lowell,13,18,7,18,0,Kerry Weldon Turnover.
Maine,UMass Lowell,13,18,7,29,0,Zarko Valjarevic missed Three Point Jumper.
Maine,UMass Lowell,13,18,7,29,0,Dj Mlachnik Defensive Rebound.
Maine,UMass Lowell,13,18,7,41,0,Chad Holley Turnover.
Maine,UMass Lowell,13,18,7,42,0,Zarko Valjarevic Steal.
Maine,UMass Lowell,13,18,7,51,0,Till Gloger missed Layup.
Maine,UMass Lowell,13,18,7,51,0,Tyler Livingston Defensive Rebound.
Maine,UMass Lowell,13,18,8,19,0,Kerry Weldon Turnover.
Maine,UMass Lowell,13,18,8,19,0,Official TV Timeout
Maine,UMass Lowell,13,18,8,29,0,Foul on Brad Schaub.
Maine,UMass Lowell,15,18,8,32,1,Troy Reid-Knight made Layup.
Maine,UMass Lowell,15,18,8,32,0,Foul on Tyler Livingston.
Maine,UMass Lowell,16,18,8,32,1,Troy Reid-Knight made Free Throw.
Maine,UMass Lowell,16,18,8,54,0,Tyler Livingston Turnover.
Maine,UMass Lowell,16,18,9,14,0,Troy Reid-Knight missed Three Point Jumper.
Maine,UMass Lowell,16,18,9,14,0,Marco Banegas-Flores Defensive Rebound.
Maine,UMass Lowell,16,18,9,35,0,Marco Banegas-Flores missed Three Point Jumper.
Maine,UMass Lowell,16,18,9,35,0,Kerry Weldon Offensive Rebound.
Maine,UMass Lowell,16,18,9,43,0,Foul on Marco Banegas-Flores.
Maine,UMass Lowell,16,18,9,43,0,Marco Banegas-Flores Turnover.
Maine,UMass Lowell,16,18,9,57,0,Till Gloger Turnover.
Maine,UMass Lowell,16,18,9,58,0,Matt Harris Steal.
Maine,UMass Lowell,16,20,10,2,1,Lance Crawford made Layup.
Maine,UMass Lowell,16,20,10,2,0,Foul on Kevin Little.
Maine,UMass Lowell,16,21,10,2,1,Lance Crawford made Free Throw.
Maine,UMass Lowell,16,21,10,16,0,Aaron Calixte missed Three Point Jumper.
Maine,UMass Lowell,16,21,10,16,0,Till Gloger Offensive Rebound.
Maine,UMass Lowell,18,21,10,20,1,Till Gloger made Layup.
Maine,UMass Lowell,18,21,10,30,0,Lance Crawford missed Jumper.
Maine,UMass Lowell,18,21,10,30,0,Kevin Little Defensive Rebound.
Maine,UMass Lowell,18,21,10,38,0,Foul on Kevin Little.
Maine,UMass Lowell,18,21,10,38,0,Kevin Little Turnover.
Maine,UMass Lowell,18,21,11,1,0,Marco Banegas-Flores missed Three Point Jumper.
Maine,UMass Lowell,18,21,11,1,0,Mark Cornelius Offensive Rebound.
Maine,UMass Lowell,18,21,11,6,0,Matt Harris missed Three Point Jumper.
Maine,UMass Lowell,18,21,11,6,0,Mark Cornelius Offensive Rebound.
Maine,UMass Lowell,18,21,11,9,0,Mark Cornelius missed Layup.
Maine,UMass Lowell,18,21,11,9,0,Troy Reid-Knight Defensive Rebound.
Maine,UMass Lowell,18,21,11,37,0,Zarko Valjarevic missed Three Point Jumper.
Maine,UMass Lowell,18,21,11,37,0,UMass Lowell Defensive Rebound.
Maine,UMass Lowell,18,21,11,38,0,Foul on Aaron Calixte.
Maine,UMass Lowell,18,21,12,6,0,Kerry Weldon Turnover.
Maine,UMass Lowell,18,21,12,6,0,Official TV Timeout
Maine,UMass Lowell,18,21,12,24,0,Troy Reid-Knight Turnover.
Maine,UMass Lowell,18,21,12,24,0,Brad Schaub Steal.
Maine,UMass Lowell,18,21,12,24,0,Brad Schaub Turnover.
Maine,UMass Lowell,20,21,12,29,1,Aaron Calixte made Layup.
Maine,UMass Lowell,20,21,12,55,0,Foul on Till Gloger.
Maine,UMass Lowell,20,21,12,57,0,Lance Crawford missed Three Point Jumper.
Maine,UMass Lowell,20,21,12,57,0,Maine Defensive Rebound.
Maine,UMass Lowell,20,21,13,16,0,Foul on Marco Banegas-Flores.
Maine,UMass Lowell,20,21,13,20,0,Troy Reid-Knight Turnover.
Maine,UMass Lowell,20,23,13,39,1,Brad Schaub made Layup. Assisted by Lance Crawford.
Maine,UMass Lowell,20,23,13,50,0,Aaron Calixte missed Layup.
Maine,UMass Lowell,20,23,13,50,0,Lance Crawford Defensive Rebound.
Maine,UMass Lowell,20,23,13,57,0,Lance Crawford missed Layup.
Maine,UMass Lowell,20,23,13,57,0,Erik Nissen Block.
Maine,UMass Lowell,20,23,14,2,0,Troy Reid-Knight Defensive Rebound.
Maine,UMass Lowell,20,23,14,18,0,Aaron Calixte Turnover.
Maine,UMass Lowell,20,23,14,18,0,Lance Crawford Steal.
Maine,UMass Lowell,20,25,14,37,1,Brad Schaub made Jumper.
Maine,UMass Lowell,22,25,14,52,1,Aaron Calixte made Jumper.
Maine,UMass Lowell,22,25,14,57,0,UMass Lowell  Timeout
Maine,UMass Lowell,22,28,15,16,1,Matt Harris made Three Point Jumper. Assisted by Lance Crawford.
Maine,UMass Lowell,22,28,15,43,0,Till Gloger missed Layup.
